“It is time...to make plain that while the pandemic poses many grave challenges there is no world in which the Constitution tolerates color-coded executive edicts that reopen liquor stores and bike shops but shutter churches synagogues and mosques.” https://t.co/Zm7qEJvkHd,2020-11-26 15:25:28,Twitter for iPhone,4,8
Look forward to being on with @jeff_poor at 10:00 this morning! https://t.co/zYHKH8nWwf,2020-11-25 15:20:34,Twitter for iPhone,1,5
We must continue to prioritize keeping schools open for in-person learning. The online schooling experiment is NOT working for most students. https://t.co/FpDcbx1Oay,2020-11-25 15:18:32,Twitter for iPhone,3,6
Thankful for all our local food banks and community organizations who are helping support those in need this #Thanksgiving. https://t.co/NEIa7CeLPD,2020-11-24 17:48:15,Twitter for iPhone,2,7
Have you been following the incredibly positive news on potential vaccines for #COVID19? Operation Warp Speed and our amazing scientists are making HUGE progress! https://t.co/l0bPU4xmcQ,2020-11-24 15:06:30,Twitter for iPhone,5,8
Jimmy Lyons' creative forward-thinking leadership at the Alabama State Port Authority led to transformative growth at one of Alabama’s premiere assets. The port and our economy are better positioned for future success than ever because of him. Best wishes in retirement Jimmy! https://t.co/oL8sL4sMBI,2020-11-20 14:39:19,Twitter Web App,6,27
Donna Givens' community involvement and professional accolades have led me and many others to call her the Queen of Baldwin County. I wish Donna my sincerest best wishes in her retirement from @BaldwinEMC and have no doubt she will remain a fixture in her community. https://t.co/sIxIQKh5NN,2020-11-19 18:42:26,Twitter Media Studio,4,11
My dear friends Monty and Euber Collins recently passed away leaving behind a legacy of love for each other their family and their community that will be difficult to match in its intensity and longevity. They will be deeply missed and fondly remembered by many. https://t.co/lAjWAuw7Ih,2020-11-18 20:10:41,Twitter Media Studio,1,4
On a call with community leaders from Mobile Clarke and Washington counties to discuss the ongoing recovery process from Hurricane Zeta. All levels of government are working together to support our citizens and communities. https://t.co/KaGzbsQHWY,2020-11-18 19:49:09,Twitter for iPhone,1,6
The FEMA Assistance Relief Act will raise the federal cost share of pandemic-related disaster relief to 100% &amp; all other relief for disasters this year including hurricanes to a minimum of 90%. I hope Members from both sides will join me in supporting this critical legislation.,2020-11-17 21:34:05,Twitter Web App,0,2
Today I spoke in support of the FEMA Assistance Relief Act of 2020 to raise the federal cost share of FEMA disaster relief to Southwest Alabama communities hit by both the pandemic and hurricanes. This important bipartisan bill would go far to strengthen our recovery process. https://t.co/PrzITCnWg8,2020-11-17 21:31:41,Twitter Media Studio,5,7
We cannot have dangerous and unconstitutional nationwide mandates to shut down our economy. I stand with @BCAToday and others across #Alabama working to safely keep our businesses open. Federal efforts to hinder individual state decisions in response to #COVID19 must be fought!,2020-11-17 21:06:44,Twitter Web App,9,29
Thank you for helping us reverse this terrible decision! We should honor those who have given so much to our country! https://t.co/M6c7ctKL1s,2020-11-17 20:54:01,Twitter for iPhone,6,22
Thank you to @SecArmy for reversing the decision and allowing @WreathsAcross America to continue this year! We should never miss an opportunity to honor those who have given so much to their country! https://t.co/gPbzU4I2iT,2020-11-17 20:02:51,Twitter for iPhone,2,12
After an election &amp; 6-week hiatus Congress has much to do. @HouseGOP is ready to get to work.  But don't expect much from @SpeakerPelosi. Unfortunately when the choice is between the needs of the country and her own power she always chooses the latter.  https://t.co/qDj8rCUyGU,2020-11-16 18:14:17,Twitter Web App,35,140
Only two days remain for residents of Baldwin Mobile and Escambia Counties to apply for @FEMA individual assistance for #HurricaneSally damage. Registering is easy and I encourage you to do so if you believe you may be eligible. https://t.co/klJ1W9CyQI,2020-11-16 17:36:32,Twitter Web App,5,5
If possible hold your Thanksgiving events outdoors and be especially careful with older family members or those with health issues. Try to limit travel and consider holding your events in smaller groups than normal. I know it’s hard but it’s the responsible thing to do.,2020-11-16 15:00:11,Twitter for iPhone,0,6
There is no reason to cancel #Thanksgiving but there are some common sense things we can all do to keep our families safe this year. https://t.co/kjWdtU7URS,2020-11-16 14:59:04,Twitter for iPhone,5,8
Join me in praying for @repdonyoung and a speedy recovery! https://t.co/9ZxOLAseKn,2020-11-13 01:02:35,Twitter for iPhone,3,22
This carries on a tradition started by Congressman Jack Edwards. @UofSouthAlabama will now be home to records from Congressman Edwards Congressman Callahan Congressman Bonner and myself. It was an honor to keep the tradition going!,2020-11-12 22:38:01,Twitter for iPhone,0,11
I visited @UofSouthAlabama today to sign an agreement officially donating my Congressional records to South Alabama for research purposes. https://t.co/CZ7DICcNsb,2020-11-12 22:36:13,Twitter for iPhone,3,33
No one is more deserving of being named Mobile’s Veteran of the Year than @PeteRiehm. Congratulations on a much deserved honor! https://t.co/VjqPVV0oK1,2020-11-11 20:24:20,Twitter for iPhone,3,15
On #VeteransDay I always remember the stories and sacrifices of my brother Dale - who gave so much to his community and country. I miss him every day and think of him often as I serve out my term in Congress. https://t.co/CsxDwwRH2H,2020-11-11 15:29:08,Twitter for iPhone,2,18
THANK YOU to all our veterans!  "The brave men living and dead who struggled here have consecrated it far above our poor power to add or detract. The world will little note nor long remember what we say here but it can never forget what they did here." -- Abraham Lincoln https://t.co/lOyhsDtZQB,2020-11-11 15:23:20,Twitter for iPhone,3,16
The scam “Lincoln Project” didn’t like President Trump for his style yet they think this is okay? Give me a break. https://t.co/bxB2HkRCr2,2020-11-11 01:08:50,Twitter for iPhone,8,18
Despite the predictable assurances from media “analysts” and other so called “experts” there was no Blue wave no generational realignment of our body politic. The media discovered what the rest of us knew: America is not a left leaning nation. And demographics aren’t destiny.,2020-11-09 21:46:44,Twitter for iPhone,2,26
These are the key dates when we will “know” who will become president on Inauguration Day January 20.  So let’s not jump to a conclusion about who won this very close presidential election just yet.,2020-11-09 21:45:54,Twitter for iPhone,4,8
By Federal law all election disputes must be resolved by December 8 and presidential electors must meet and cast their votes for president on December 14.  The ballots will be counted in Congress on January 6.,2020-11-09 21:45:41,Twitter for iPhone,1,6
Despite the fact that multiple national news sites have “called” the presidential election court cases and recounts are going forward in several states where the margin is less than 1% and we don’t yet “know” who was elected president. MORE: https://t.co/BMnYoBAtx6,2020-11-09 21:45:05,Twitter for iPhone,1,6
Don’t let the lines deter you from heading to vote today! It is critically important every Alabamian exercise their right to vote. Polls will be open until 7:00 p.m. tonight! You can find your polling location here: https://t.co/iFSqqhMcrO,2020-11-03 19:35:56,Twitter for iPhone,5,17
Very good to hear this about Saraland’s own DaMarcus Thomas! https://t.co/E7mU4YyEjI,2020-11-03 14:48:57,Twitter for iPhone,2,19
My line to vote this morning at Daphne Civic Center! Glad to see so many people showing up to exercise their right to vote. Polls are open until 7:00 p.m. tonight! 🗳 🇺🇸 🗳 https://t.co/Sq5AWqshn8,2020-11-03 14:46:29,Twitter for iPhone,4,18
Regardless of what happens with this election remember that there is far more that unites us than divides us. We are one nation under God. Let’s keep it that way. https://t.co/VQgTMjIJPR,2020-11-03 14:27:51,Twitter for iPhone,6,34
Join me in saying a prayer for DaMarcus Thomas from Saraland who suffered a serious injury during football practice at Ole Miss. https://t.co/ks9ocIPN5D,2020-11-02 19:24:00,Twitter for iPhone,5,15
Our power companies are hard at work to get the lights turned back on and they are making a special effort to ensure all of our polling locations have what they need to be up and running for tomorrow’s election.,2020-11-02 17:53:02,Twitter for iPhone,0,3
My office is continuing to work with @GovernorKayIvey @AlabamaEMA @FEMA and local leaders to ensure our communities get the help and assistance they need to recover from Hurricane Zeta. Responding to these storms requires a complete team effort from all levels of government.,2020-11-02 17:51:55,Twitter for iPhone,2,5
If your candidate loses the appropriate response is to be the loyal opposition - loyal to our nation and its Constitution but opposed to the policies of the victorious party.   Remember in American politics today’s loser is often tomorrow’s winner.,2020-11-02 15:00:10,Twitter for iPhone,3,6
If your candidate doesn’t win let’s not have a replay of 2016 when Democrats refused to accept the result wouldn’t let it be “over” and shamefully called themselves the “resistance” a slap in the face of the Constitution and our tradition of peaceful transfer of power.,2020-11-02 14:58:54,Twitter for iPhone,4,8
Be careful of the information you receive during and after the election because we know there’s a lot of truly fake “news” out there designed to divide us as a nation.,2020-11-02 14:57:49,Twitter for iPhone,2,6
There will be plenty of eyes on the process and nothing inappropriate is going to go unnoticed.  Our intelligence and law enforcement communities have been closely monitoring foreign actors and will continue to do so after the election.,2020-11-02 14:57:08,Twitter for iPhone,3,7
Quick thread before voters head to the polls tomorrow: Though this year’s election isn’t likely to be over as quickly as we are used to all of us should be patient and trust in our Constitution and the institutions which have served us so well for over 230 years.,2020-11-02 14:56:32,Twitter for iPhone,6,22
It was an honor to present a flag that has flown over the U.S. Capitol to fly over historic Oaklawn Cemetery in Mobile! https://t.co/77DckhsLxu,2020-10-31 13:24:42,Twitter for iPhone,4,7
For residents in Clarke County without power and in need of a hot meal the @RedCross will be providing hot meals beginning at 6 PM tonight at Jackson City Hall (400 Commerce Street).,2020-10-30 20:59:38,Twitter for iPhone,1,4
Please try to stay off the roads if possible this morning to allow first responders and power crews to do their job. The fewer cars on the road the quicker crews can get power restored.,2020-10-29 13:14:32,Twitter for iPhone,5,17
STAY. OFF. THE. ROADS. https://t.co/Nzw7OZYFNW,2020-10-28 23:41:40,Twitter for iPhone,3,10
IMPORTANT: The impact from Hurricane #Zeta will be felt far in-land with high winds heavy rain and possible tornadoes. We should all take the storm seriously and heed advice of our local emergency officials. https://t.co/a8JCvtZAPf,2020-10-28 19:38:08,Twitter for iPhone,2,8
I enjoyed visiting TR Miller High School yesterday in #Brewton to learn more about how our local schools are keeping our students safe while allowing for in-person learning. https://t.co/HXOvRLpTWt,2020-10-28 18:32:50,Twitter for iPhone,6,6
With Hurricane #Zeta approaching our area I wanted to share some important safety tips:  ▪️Evacuate low lying areas prone to flooding. ▪️Don’t leave your home after dark on Wednesday when the storm is in our area. ▪️Make sure you are safely using your generators. https://t.co/cs2xIRoOnh,2020-10-28 12:43:51,Twitter for iPhone,3,11
IMPORTANT: The impact from Hurricane #Zeta will spread far inland across lower Alabama. This won’t just impact the coast. https://t.co/5FHnEt9AMq,2020-10-28 11:52:25,Twitter for iPhone,2,3
