Wishing everyone across Alabama and our great country a happy and safe Thanksgiving today! https://t.co/dAlxHrRFEE,2020-11-26 15:46:17,Echofon,4,14
This should never happen to another American! https://t.co/bwt7nlxVTv,2020-11-25 22:02:59,Echofon,3,25
I am honored to once again be named an #NDAA Conferee. Being at the table to negotiate the #NDAA is more important than ever. With more threats to our great nation every day I will continue to advocate for a strong National Defense. 🇺🇸   Read more: https://t.co/rAqBMI2gGF,2020-11-18 23:50:45,Echofon,5,13
I would say this is unbelievable but unfortunately Nancy Pelosi’s attempts to weaken our great Congress should be expected at this point. https://t.co/2PKcbjcSa3,2020-11-12 02:24:14,Echofon,13,48
This Veterans Day join me in thanking all who have served. Without you and your loved ones’ sacrifices America would be much less free and full of opportunity. We thank you #VeteransDay https://t.co/ke3wPBgLqA,2020-11-11 13:13:36,Echofon,5,10
#HappyBirthdayMarines! https://t.co/n6vATgqSlz,2020-11-10 15:12:58,Echofon,2,4
Looking forward to it! https://t.co/zeXU2cRJMs,2020-11-09 14:12:16,Echofon,1,0
Alabama does elections right. Every one of the battleground states should do themselves and our nation a favor and call @JohnHMerrill for help.,2020-11-09 00:37:32,Echofon,31,129
@realDonaldTrump is absolutely right to challenge these results through all relevant legal means.This is as much about 2020 as it is for future elections.,2020-11-09 00:37:16,Echofon,8,18
Unfortunately some states are utterly incompetent at running an election. Many Americans will view the 2020 election in doubt because of the operations of these states. And that will only undermine the integrity in our institutions going forward.,2020-11-09 00:35:38,Echofon,103,534
Great job by my colleague @EliseStefanik! https://t.co/sPaxgv7T3L,2020-11-08 19:19:56,Echofon,5,7
Count the legal ballots only! https://t.co/eNpN1FSVer,2020-11-07 21:05:52,Echofon,233,763
Great to see my friend Lamar Dewberry at lunch with the Clay County Economic Development Council! https://t.co/mwg5jeOlTb,2020-11-02 18:29:56,Echofon,1,1
🚨 folks in #AL03- be weather prepared for #HurricaneZeta https://t.co/AqfMEWaks1,2020-10-28 19:00:34,Echofon,5,1
Republicans support our brave law enforcement. Thank you @GOPLeader for your support! https://t.co/vm0RN85T6w,2020-10-27 14:56:18,Echofon,263,1341
Another success for @realDonaldTrump and for America. https://t.co/gswnnV6s5w,2020-10-27 00:30:45,Echofon,3,31
Thanks to the Pinhoti trail alliance for having me at Calhuga Creek Park to talk about the park and the Pinhoti National Recreation Trail! https://t.co/69s8dbrSsV,2020-10-26 21:18:20,Echofon,2,8
Thanks to the folks at Rusken Packaging in Heflin for having me today! https://t.co/I4BDY3a6Cu,2020-10-26 20:41:15,Echofon,2,5
Always great to see my friend Cleburne County Probate Judge Ryan Robertson! https://t.co/pPATGjSWvY,2020-10-26 20:20:23,Echofon,2,2
Great tour of the Carillon Oaks Assisted Living in Heflin today! https://t.co/Jss9KbqrVk,2020-10-26 19:09:25,Echofon,2,6
Thanks to the folks at Auburn University College of Engineering for the tour and meeting today! https://t.co/91uK4g9ClC,2020-10-22 17:20:13,Echofon,4,6
Always a great day when I get to catch up with Dr. Gogue at @AuburnU! https://t.co/HUJYGMARzO,2020-10-22 15:51:37,Echofon,2,1
Thanks to @AuburnAg and @AuburnU for having me this morning to speak to an Ag Law class! https://t.co/Y4BSZ2Kxss,2020-10-22 14:13:44,Echofon,3,12
