Wishing you and your families a happy Thanksgiving! Even if your celebrations look different this year I hope it's a special and restful holiday. Despite the hardships of this year there is still much to be thankful for and I encourage us to take time to reflect on that. https://t.co/4NH0VpGO4D,2020-11-26 14:00:01,TweetDeck,5,39
Live now on @1055WERC with JT! Hope you’re tuning in #AL06!,2020-11-24 12:49:15,Twitter for iPhone,1,2
Live now on the @JeffPoorShow! Tune in #AL06!,2020-11-23 15:36:32,Twitter Web App,4,6
My website has a page dedicated to regular updates on new facts and advisories about #COVID19. Check it out today for the latest information on #OperationWarpSpeed vaccine candidates and the encouraging news on those fronts.  https://t.co/UZHEppAvYl,2020-11-19 21:48:02,Twitter Web App,2,5
Live now with @mattmurphyshow on @realtalk995! Hope you're tuning in #AL06!,2020-11-19 15:36:36,Twitter Web App,2,3
Republicans want to work to help the American people. Pelosi has repeatedly blocked common sense legislation and instead tried to placate the most radical left. This has cost the Democrats many House seats. The choice ahead is simple—political games or common ground. #LetsWork https://t.co/1OqBadjsmV,2020-11-18 20:49:59,Twitter Web App,95,301
I'm honored that my colleagues have elected me to serve them on the @GOPpolicy Committee again for the 117th Congress. I look forward to the great work we'll do together over the next two years!  https://t.co/4t8FkYqhR2,2020-11-17 20:30:19,Twitter Web App,4,13
More good news on #COVID19 vaccines! @moderna_tx says its candidate is showing &gt;90% effectiveness. We're indebted to medical innovators &amp; the Trump Admin's efforts through #OperationWarpSpeed for their tireless work to deliver a vaccine in record time. https://t.co/k1flxqG7xV,2020-11-16 18:40:28,Twitter Web App,34,171
House Democrats are again trying to consolidate power and shield themselves from opposing ideas. Their vote-by-proxy scheme is already unconstitutional and rejects precedent. The new "vote by text" scheme takes it even further and will dangerously undermine our institutions. https://t.co/QdvwvWY2K2,2020-11-12 20:11:33,Twitter Web App,163,469
Today we honor the brave men &amp; women who have fought to defend our country &amp; freedom. I want to highlight one veteran from #AL06 today. Sam Romano is from B'ham and joined the Army Corps of Engineers in the 1950s. Read more of his story here:  https://t.co/kneVGy0jFk,2020-11-11 15:30:01,TweetDeck,3,11
This is encouraging news about the development of a #COVID19 vaccine. Thanks to our medical researchers &amp; the Trump Admin for their dedication to fighting this virus &amp; for working together effectively to deliver a vaccine for the American people. https://t.co/plJyaARTy0,2020-11-10 17:15:04,Twitter Web App,2,7
Good news continues on the jobs front! The #JobsReport has once again exceeded expectations for October proving that the American economy is resilient and more and more Americans are going back to work.  https://t.co/1htkJKSsMx,2020-11-09 19:48:58,Twitter Web App,7,12
Live now with @jeff_poor talking election integrity. Tune in #AL06! https://t.co/jQdZXQArt6,2020-11-05 16:10:11,Twitter for iPhone,4,8
Really enjoyed visiting Hope Christian School in Pelham and speaking to their Student Government Association! Special thanks to Candous Langston. https://t.co/nDAEqi5IDR,2020-11-04 17:37:32,Twitter Web App,2,11
Congrats to Sridhara Gutti President &amp; CEO of Birmingham's @Essnova Solutions on AL's Small Business Person of the Year Award from the US @SBAgov Admin! Essnova offers many data services to federal agencies &amp; commercial clients. Read more below! #AL06  https://t.co/7QmSVZbvgE https://t.co/NRtYUE4zXU,2020-11-03 17:19:13,Twitter Web App,3,2
