#SmallBusinessSaturday is today and I hope you will consider buying something in your community this weekend across AR-1. Our small businesses have struggled this year and for many 50% of their sales come this time of the year. Let’s spend locally if you can/are able! 🎅🏼🤶🏻🎄🎁,2020-11-28 15:20:31,Twitter for iPhone,4,16
American traditions are what make us great like Thanksgiving. But in America we are fighting against social media platforms who want to start a new “tradition” - censorship. No longer is this being watchful against foreign nations. It’s censoring our very own! #EndSec230 https://t.co/fCVWGwcTG4,2020-11-27 15:34:48,Twitter for iPhone,10,21
There is no doubt that food brings us together and the dinner table is a place of many laughs and heartfelt conversations. This year might look a little different but there is always a lot to be grateful for no matter how you celebrate. From my table to yours Happy Thanksgiving. https://t.co/hV0qvQq223,2020-11-26 17:43:52,Twitter for iPhone,1,9
For today’s Thanksgiving food fact did you about 3 billion pounds of sweet potatoes are produced in the US each year? That’s about $706 million for our farmers and producers! Your Thanksgiving meal might taste great but it also does great things for the nation’s economy too. #Ag https://t.co/tSQOIhdLh3,2020-11-26 17:27:42,Twitter for iPhone,2,13
There are certain inalienable rights endowed to us by our Creator and within those rights is the protection of our religious beliefs. Even in a pandemic the Constitution preserves the rights of every American citizen. https://t.co/tS6i34u3j8,2020-11-26 16:39:57,Twitter for iPhone,198,761
This Thanksgiving will likely be different for many across the First District. We’ve all endured so much this year in ways we never thought imaginable. My family wishes yours a day filled with gratitude and joy from the blessings given to us all by God. #HappyThanksgiving,2020-11-26 13:30:54,Twitter for iPhone,2,33
Congratulations to @GenFlynn and his pardon for the crimes he never committed that were conceived by then-President Obama and Vice President Biden and their cadre of supporters. May America never unlearn the lessons of his circumstances and eventual outcome. #FlynnPardon,2020-11-25 22:03:30,Twitter for iPhone,454,1614
For today’s Thanksgiving food fact did you know that about 50 million pumpkin pies are consumed each Thanksgiving? About 1.6 billion pounds of pumpkin are produced in preparation for Thanksgiving. That’s more than $207 million for American producers! #Agriculture #Thanksgiving https://t.co/ZclgEFomSm,2020-11-25 20:05:19,Twitter for iPhone,5,10
Reconnecting rural and urban America will make us all stronger and realize how important being food and fiber secure really is. This  is a great reminder about that this week of Thanksgiving. We live in the most food abundant and nutritious country anywhere in the world! https://t.co/VMgJpIP3Y8,2020-11-25 19:35:03,Twitter for iPhone,4,6
Cranberries are a traditional side dish for a Thanksgiving meal. But did you know that Americans consume enough cranberries to fill 8 Olympic-sized pools? #agriculture #Thanksgiving https://t.co/X6b1n7fcvv,2020-11-24 21:09:25,Twitter for iPhone,3,2
What reporter in the establishment media will be courageous enough to ask Joe Biden about this and demand an answer like they have President Trump the last four years on a myriad of topics? Probably less than five and that may be optimistic. https://t.co/8y1CGLWpzt,2020-11-24 21:08:47,Twitter for iPhone,2,3
When a nation - any nation - forsakes their food security it’s forsaking their *national* security. The global threats to our food and fiber supply are significant. Any administration who isn’t taking that serious is not serious about protecting American families. https://t.co/tIfSu8wzmF,2020-11-24 20:44:27,Twitter for iPhone,3,13
Pelosi is ensuring President Trump has as little impact on helping American families as possible. She wouldn’t pass a bill before the election and she continues to stall. It’s clear she’s driven by her politics not the needs of the people. https://t.co/N1WnUUgbqA,2020-11-24 17:01:22,Twitter for iPhone,5,13
As a veteran and the son of someone who was away from home many times while in the Air Force this hits close to home. During this week of thankfulness I’m especially thankful for those in uniform who are away from their families in service to our country. God bless them all! https://t.co/D0lIWNQGmp,2020-11-24 01:02:21,Twitter for iPhone,8,17
As we gear up for Thanksgiving I thought it’d be fun to highlight some fun Thanksgiving food facts this week. Let’s start with the main course. Did you know that Arkansas is the 3rd largest turkey producing state in the US? #Thanksgiving #agriculture https://t.co/ax0HkESojW,2020-11-23 20:22:57,Twitter for iPhone,3,13
As we enter a week of Thanksgiving and appreciation it is great to see another company with a vaccine candidate with high effectiveness. Without the ingenuity of the private sector coupled with Operation Warp Speed we likely wouldn’t have these three options. https://t.co/IcwA5WoIUa,2020-11-23 14:13:04,Twitter for iPhone,6,10
Even with the significant and complete whitewashing of the election by the MSM almost fifty percent (!!) of Americans distrust the election results. This is why we must have transparency and full-faith efforts/audits on the results. Why isn’t Joe Biden asking for this? https://t.co/NmliwzDUT9,2020-11-21 14:59:47,Twitter for iPhone,2,19
Working families believe our policies and our ideas are better than that of Nancy Pelosi and her socialist members. More Americans want economic opportunity not economic ruin.  House Republicans are the party of the American Worker! https://t.co/vv6zaEiwFq,2020-11-20 00:35:05,Twitter for iPhone,106,288
How many times did Joe Biden walk away from a press conference over the last several months after not taking questions and get this reaction?  How many times did the establishment media put it out all over social media like they are now?  It’s a really easy answer.... zero. https://t.co/FJjw4JvFnk,2020-11-19 23:48:11,Twitter for iPhone,10,28
Pelosi getting her hair done no mask. CA Gov Newsome repeatedly ignoring his own lockdown rules. Biden/Harris calling for unity but not speaking out against this instance and many more where threats and intimidation are ongoing. Remember they have different rules for you. https://t.co/llohxsxk5G,2020-11-19 14:43:19,Twitter for iPhone,12,28
This kind of innovation with renewable energy and a market opportunity created the right results for significant benefits to students teachers and families. Hats off to the forward-thinkers in Batesville who made this happen. Innovation in rural America! https://t.co/WxqOlMwW19,2020-11-18 22:07:26,Twitter for iPhone,2,5
Five years ago this corn would have been lost and this operation would have taken a heavy loss. With new technology almost always coming to market even nasty weather can’t hold back producers from harvest. This ensures we stay food secure!#AgTech #farmer https://t.co/BIkdO4Lolz,2020-11-18 21:37:21,Twitter for iPhone,2,5
