Small businesses are the backbone of our local communities- and this year they need our support more than ever. Please shop local this #SmallBusinessSaturday,2020-11-28 18:24:20,Twitter for iPhone,19,71
This Native American Heritage Day I celebrate all America’s Indigenous peoples especially the Native Nations &amp; people that call Arizona home. Your incredible leadership &amp; resilience this year is worthy of recognition &amp; I look forward to continuing our work together.,2020-11-27 22:25:38,Twitter for iPhone,9,65
Happy Thanksgiving! It’s been a tough year but we still have so much to be grateful for. Wishing everyone a safe and happy holiday. 🦃,2020-11-26 20:04:09,Twitter for iPhone,2,77
When all is said and done I believe Michèle Flournoy will be the right choice to lead the Department of Defense for President-elect Joe Biden.,2020-11-25 23:24:19,Twitter for iPhone,2,43
Lastly it’s hard not to notice that some of the objections raised against Michèle Fluornoy could equally apply to other high-level national security appointments over the years. She should be subject to the highest ethical standards and a transparent vetting process.,2020-11-25 23:24:19,Twitter for iPhone,4,33
Her appointment would be historic. The nat’l security community has long struggled w gender diversity &amp; opportunity issues. Her appt would show women can reach the highest levels in defense policy &amp; break a glass ceiling that has kept talented women from rising through the ranks.,2020-11-25 23:24:19,Twitter for iPhone,2,28
She has the experience to hit the ground running on day one at the Pentagon and restore confidence at home and abroad after years of chaos and mismanagement of our military under Trump.,2020-11-25 23:24:19,Twitter for iPhone,2,27
Michèle Flournoy is an expert on both existing and emerging national security issues. She has worked for years to raise the alarm on a variety of new threats like climate change and pandemic disease.,2020-11-25 23:24:18,Twitter for iPhone,2,29
Michèle Flournoy is tremendously qualified and capable to serve as Secretary of Defense as we restore America’s reputation in the world and enact a more progressive national security posture.,2020-11-25 23:24:18,Twitter for iPhone,29,205
Please #StayHome and #MaskUpAZ. Hospitals are overwhelmed and understaffed and we must continue to work together to help #SlowTheSpread. https://t.co/LDXEQrLLXN,2020-11-25 01:39:49,Twitter for iPhone,8,19
Congrats to my friend @ABlinken our next Secretary of State. I’m confident his experience will help restore our position as a global leader at this critical time.,2020-11-23 19:22:35,Twitter for iPhone,9,92
The science is clear. Now is the time. https://t.co/dwhnhVRa3A,2020-11-20 19:18:21,Twitter for iPhone,22,137
On #TransDayOfRemembrance we honor and mourn too many lives that have been stolen.  We must honor those lives with action and make our world a better more equal more just and less hate-filled place.,2020-11-20 19:15:56,Twitter for iPhone,9,28
.@dougducey won’t take action to save the lives and health of Arizonans but you can. Please #MaskupAZ everywhere you go and stay home as much as you can. https://t.co/akqW012OxT,2020-11-19 18:11:16,Twitter for iPhone,33,85
It’s time for @dougducey to step up and do the same. https://t.co/AyeUrq6JVU,2020-11-17 16:54:18,Twitter for iPhone,51,306
Proud the House just passed my PRC for Native Veterans Act to ensure timely affordable access to high quality health care. The Senate must act quickly to pass this common sense bipartisan policy. https://t.co/T8Q2Ae9iuc,2020-11-16 23:50:28,Twitter for iPhone,6,42
This is a huge part of why I have repeatedly called on the Senate to pass #VAWA. The progress we've made with Savanna's Act &amp; the Not Invisible Act isn't enough.   @senatemajldr it's Native American Heritage Month. Enough is enough. Pass VAWA for #MMIW. https://t.co/LTm3X9COgd,2020-11-12 20:13:41,Twitter for iPhone,46,83
To all who have served our nation in uniform and to the families who stood by their sides- Thank you. #VeteransDay https://t.co/N36ha8kXGT,2020-11-11 17:26:49,Twitter for iPhone,18,78
Semper fi Marines. Happy birthday! Let’s go.  @USMC  #marinecorpsbirthday https://t.co/Zhq2E41LQt,2020-11-10 17:14:02,Twitter for iPhone,14,90
It is my honor to congratulate President-Elect Joe Biden and Vice President-Elect Kamala Harris. You have fought tirelessly to restore ‘the soul of this nation’ and I look forward to working with you to bring about a more equal more just nation for all. The work begins now.,2020-11-07 19:45:57,Twitter for iPhone,98,868
#COVID19 is still here and getting worse. We all need to do our part to keep each other safe. https://t.co/C3FLvqApHA,2020-11-05 20:01:52,Twitter for iPhone,12,59
Every vote counts and every vote must be counted.,2020-11-04 21:54:44,Twitter for iPhone,26,253
Today is the last day to vote early in AZ in person before Election Day. You can return your completed ballot at a drive thru drop box over the weekend &amp; Monday. Maricopa County voters you can find an open early voting center or drop box near you here: https://t.co/ito3gjmjHA,2020-10-30 19:37:51,Twitter for iPhone,16,51
Words alone do not slow the spread of COVID no matter how often they’re repeated. There’s still time to act to save lives @dougducey.  https://t.co/vrgCTuUWdi,2020-10-30 00:09:57,Twitter for iPhone,9,63
Last week I led my colleagues in AZ in a letter demanding answers about the cause and expected duration of closure and how patients would receive continuity of care and have their costs covered ⬇️ https://t.co/GsFzd7BXhv,2020-10-29 16:51:42,Twitter Web App,4,25
This closure disrupts health care for expecting Native mothers in my district and across Arizona New Mexico Nevada &amp; Utah. I will continue to fight to make sure Native mothers &amp; children receive the high quality care &amp; cost coverage they need. https://t.co/L7STyJUnJn,2020-10-29 16:51:41,Twitter Web App,11,36
Starting tomorrow Tongass Nat'l Forest is open to devastating logging &amp; roadbuilding thanks to the Trump admin.   There are countless reasons to fight for the Tongass but facts &amp; figures alone can't capture the true beauty &amp; importance of this place: https://t.co/ORPP1ygBZE,2020-10-29 00:04:49,Twitter for iPhone,33,64
Now seems like a good time to re-up this. https://t.co/1h3zlWK1QD,2020-10-28 23:41:41,Twitter for iPhone,25,111
Ducey’s team is lowering the bar when it comes to school safety. We can’t ignore COVID growth. We need leaders to step up and protect kids families and teachers. https://t.co/yT2Pcuboos,2020-10-28 14:55:11,Twitter for iPhone,9,28
🚨 Reminder: If you haven’t yet mailed in your ballot do it today or turn it in at a voting center/ballot box! 🚨,2020-10-27 20:57:25,Twitter for iPhone,19,74
The #PROGRESSAct empowers Tribes to more fully and easily exercise their sovereignty. I'm glad it is now law. https://t.co/SJLilJ8THo,2020-10-23 17:48:59,Twitter Web App,27,82
This isn’t over. Please continue to protect yourself and others by wearing a mask social distancing and staying home when possible. https://t.co/jWmfiYa0xD,2020-10-22 20:27:01,Twitter for iPhone,48,172
Good. If free people can’t safely talk to each other they stop being free people. https://t.co/RmnaH1P0Uu,2020-10-20 17:14:49,Twitter for iPhone,3,10
Arizonans COVID is on the rise here. Do your part to reverse this trend.   ✅ #MaskUpAZ ✅ #StayHome ✅ Keep 6 feet of social distance ✅ Wash your hands https://t.co/Iw2TY2C7mz,2020-10-19 20:37:39,Twitter for iPhone,15,46
It’s past time to draw the line on the Russians. My amendment protects the US and has overwhelming bipartisan support. It should be made law. https://t.co/wzIMpEXN4V,2020-10-16 01:22:13,Twitter for iPhone,19,56
Our @NATO alliance must have secure comms. Proud to intro the Digital Marshall Plan in this essay with @RepHartzler today. NATO Whole and Free! https://t.co/jlxB9TzEuo,2020-10-14 22:32:05,Twitter for iPhone,9,22
Unprecedented long-lasting high temperatures endanger the lives and livelihood of my constituents. We can’t afford to keep treating climate change as a difference of opinion when it’s already here and harming Americans on the ground. https://t.co/tX2tTmVQg8,2020-10-14 20:04:08,Twitter for iPhone,45,173
Indigenous Peoples’ Day is a time to celebrate the rich cultures &amp; history of Native people as well as their invaluable contributions to our country. It is a privilege to work with sovereign Tribes in Congress &amp; to fight for Indian Country. #IndigenousPeoplesDay,2020-10-12 17:08:17,Twitter for iPhone,27,95
I’ll be joining @AliciaMenendez @AliciaOnMSNBC today at 6:15 pm ET/3:15 pm PT to discuss the urgent need for meaningful COVID relief for American families and communities. Tune in!,2020-10-11 21:27:31,Twitter for iPhone,6,15
I’m in the process of fixing McSally’s loophole that would let the Air Force kill the A-10. https://t.co/5rhKDTybmO,2020-10-07 22:57:45,Twitter for iPhone,22,58
As climate change worsens storms wildfires &amp; heatwaves across America @forestservice has green-lit clearcutting in Alaska's Tongass Nat'l forest- one of our best weapons in the fight against climate change.   Yesterday I led 60+ colleagues demanding this decision be reversed⬇ https://t.co/fMq6dPEFiX,2020-10-06 16:45:15,Twitter for iPhone,21,56
Today is the last day to register to vote in Arizona!   You can register online at https://t.co/MKL17prcP9  More info here:  https://t.co/gxCFv0Oet8,2020-10-05 20:15:21,Twitter for iPhone,41,52
Congrats on 30 years of German reunification &amp; 75 years of German-American friendship! Germans and Americans everywhere know through experience that good things can happen despite the darkness. Germany whole and free! 🇺🇸 🤝 🇩🇪 https://t.co/mVDaqlxw5P,2020-10-04 18:04:45,Twitter for iPhone,8,33
I tested negative today for COVID-19. Please continue to wear a mask and social distance.,2020-10-02 19:21:35,Twitter for iPhone,78,841
We can’t hold the VA accountable if we don’t know how it’s performing- but too much of the data it’s legally required to release is inaccessible or unusable. Today I led a bipartisan group of members pushing the VA to release info vets need to make informed health care decisions. https://t.co/GyeyIXT1id,2020-10-01 17:37:12,Twitter for iPhone,18,35
Yep. Glad to have my friend Ranking Member Thornberry @MacTXPress and other top GOP supporting my NDAA effort to protect our troops in Germany. Our national defense depends on it! https://t.co/lXvk2hpyiD,2020-10-01 14:42:41,Twitter for iPhone,6,14
Reports of hysterectomies performed without consent on women in ICE custody are chilling. The GAO must fully investigate ICE’s procedures for obtaining informed consent for all medical decisions &amp; procedures. It’s a vital human rights matter.  Our letter: https://t.co/22mFc8NJMP,2020-09-29 17:39:47,Twitter for iPhone,94,168
Tongass is home to Alaska Native Tribes it is an essential tool to fight climate change &amp; it is the lifeblood of the Southeast Alaskan economy. It should be protected for future generations not opened up to logging and destructive roadbuilding to serve a political agenda. https://t.co/xG6EpUqSid,2020-09-25 13:44:11,Twitter for iPhone,109,161
#2020Census data is critical to helping our communities thrive. It helps us obtain the healthcare transportation schools affordable housing and higher education that our families need to get a good start &amp; succeed. Complete yours at https://t.co/liFT152Szn  #BeCounted https://t.co/0gRxZjjpgB,2020-09-24 17:52:11,Twitter for iPhone,5,7
Last year I held the first-ever House hearing on Missing &amp; Murdered Indigenous Women.  This week the House passed Savanna’s Act and the Not Invisible Act by voice vote taking key first steps to combat this crisis.  We can’t let up in our fight to protect Native women &amp; girls. https://t.co/jhVcxYhSaQ,2020-09-23 18:10:01,Twitter for iPhone,11,47
Ya casi se acaba el tiempo - pero todavía pueden completar el #Censo2020 que determinará cómo miles de millones de $$$ se asignarán a las escuelas públicas y otros servicios.   Vaya a https://t.co/liFT152Szn https://t.co/nvw8KCMVri,2020-09-23 17:30:05,Twitter for iPhone,6,8
Native Americans &amp; Alaska Natives serve in our armed forces at higher rates than any other group. Today I’m proud to say the House passed my bipartisan bill HR 4908 to remove copays for these vets in accordance with our treaty obligations to Tribes. https://t.co/cS9CJPwe0a,2020-09-22 22:55:23,Twitter for iPhone,8,26
Today is #NationalVoterRegistrationDay! Register to vote by visiting https://t.co/SvYLsR39Y3 and make sure your voice is heard.,2020-09-22 19:29:58,Twitter for iPhone,6,12
