Today we honor our veterans for their service &amp; bravery. A special thank you to the thousands of courageous veterans across the Central Valley. #VeteransDay https://t.co/1eQrnlqnXn,2020-11-11 17:19:56,Twitter Web App,3,18
For more info on how you can help us go to: https://t.co/SFjj7GzF0V  #CA21 #TeamTJ #LetTheValleyVote https://t.co/4qUJUk2rzF,2020-11-11 17:04:00,TweetDeck,7,5
We need your help: https://t.co/SFjj7GRfSt   #CA21 #TeamTJ #RallyForTheValley https://t.co/3oifPVg8k6,2020-11-10 18:02:00,TweetDeck,3,10
We owe it to the Valley to take a pause and allow every single vote to be counted. #CA21 #TeamTJ  Go to: https://t.co/SFjj7GRfSt https://t.co/QH4sHJ9LRu,2020-11-10 00:35:28,TweetDeck,9,24
Thank you to my buddy Robert for giving us a lift for the “Ridin with Biden” victory caravan in Bakersfield. It’s a great day for America! 😎 https://t.co/DYgLeXSP93,2020-11-08 23:07:42,Twitter Web App,8,68
I wanted to take a brief minute to update you on the progress of the ballot count in our race. Go to https://t.co/KpJ6wmrPPS to see how you can help us win this fight 💪🏼 https://t.co/LDPk00DWTq,2020-11-08 16:57:00,Twitter Media Studio,26,67
Truth prevailed over lies light over dark hope over fear. Congratulations to President-elect @JoeBiden Vice President-elect @KamalaHarris and our nation which deserves a return to decency and competent leadership.,2020-11-07 16:41:08,Twitter for iPhone,9,75
If you've been with me since day one or just joining #TeamTJ now: GIVE: https://t.co/1uMtDjLMzr VOLUNTEER: https://t.co/yKIbtleciI,2020-11-06 03:00:47,Twitter Web App,5,16
To the Central Valley: This race is far from over. Tens of thousands of votes haven't been counted yet and we're doing everything in our power to make sure every voice is heard.   #LetTheValleyVote https://t.co/SgvCbzDv8a,2020-11-06 03:00:47,Twitter Web App,13,86
TJ Cox Election Night 2020 #RallyfortheValley https://t.co/nWflIcbFbB,2020-11-04 04:23:26,Periscope,4,15
I am honored to have your support as we continue to fight and I look forward to watching these returns with you! https://t.co/w4T1ySfqIU,2020-11-04 04:06:21,TweetDeck,2,12
Thanks to everyone for getting out &amp; voting today. If you’re in line STAY in line. Your vote is your voice and it WILL be counted.,2020-11-04 04:04:47,Twitter for iPhone,15,46
Check out our election night Zoom wallpapers &amp; printout posters here: https://t.co/UzU8GxKCFW,2020-11-04 03:57:39,Twitter Web App,0,0
Watch TJ deliver his speech in 10 minutes. Go to: https://t.co/7djCnPg8Zt to join us!,2020-11-04 03:54:39,Twitter for iPhone,4,1
Grab a mask get in line and hold your ground. Polling locations close at 8pm but if you’re in line by then stay in line.   Stay strong and be safe Central Valley!  #CA21 #RallyForTheValley #TeamTJ https://t.co/izYQJUqOVF,2020-11-04 03:07:03,TweetDeck,3,9
