Everyday we must continue to dismantle a conditioned mindset that creates hate. https://t.co/E0131NJixF,2020-11-20 15:43:30,Twitter for iPhone,2,0
My #family and I #thankyou for your support.  My wife and I born raised and raised our family in the Northeast #sanfernandovalley #ourcommunity #tonycardenasfamily https://t.co/oiJvta05Oz,2020-11-07 01:36:59,Twitter Web App,2,3
#Election2020 #sfvalley https://t.co/rtvd9oReSQ,2020-11-07 01:27:36,Twitter Web App,1,3
!!Excellent win!! Congratulations to our @Dodgers 💥 #SerieMundial #WorldSeriesChamps #LADodgers #DodgersNation #BlueWave #DodgerBlue https://t.co/mHcnPhksv3,2020-10-28 13:57:57,Twitter for iPhone,1,0
((Reminder)) Watch Tony Cardenas today!  8pmET/5pmPST. Link below.  https://t.co/8XTVhRw2gs https://t.co/AzzW131L1N,2020-10-27 15:58:47,Twitter for iPhone,0,1
@sendavidperdue does it again insults someone who doesn’t look like him and shows no respect for his fellow American colleague. https://t.co/80EA6YhSno,2020-10-18 04:48:57,Twitter for iPhone,0,0
I am proud to be one of your elected officials that have scored 100% on issues of equality. @HRC  https://t.co/kyK8tHX1db  #HumanRights  #LGBTQ  #Latinx #PRIDE https://t.co/6t19SRiGwR,2020-10-11 05:53:52,Twitter Web App,2,4
Be #VoteReady https://t.co/snALiYonU3,2020-09-22 16:39:37,Twitter for iPhone,1,2
Thank you @ChavezUsvet for your service.  Your community work has been essencial. #HispanicHeritageMonth https://t.co/i9U1oqCStn,2020-09-20 20:28:08,Twitter Web App,1,0
Thank you for your support! https://t.co/KKVqWkLa7F,2020-09-20 20:21:56,Twitter Web App,1,1
It was her wit and wisdom that brought justice and equality to all. Rest in peace and may your work expand.  Art: @BijouKarman https://t.co/Ew2fuEiN5r,2020-09-20 19:38:11,Twitter Web App,1,0
When we fail to include diverse talented faces reflecting both today and tomorrow's America we send a poor message to our youth and the world. #latinx #HispanicHeritageMonth2020,2020-09-16 19:45:01,Twitter for iPhone,0,0
@TheMujerista https://t.co/a5wmeXYY2c,2020-09-15 15:54:54,Twitter for iPhone,0,0
“We must continue to fight against the causes and consequences of such inequities in mental health and ensure that critical resources are available for where they are needed most.” Congresswomen Eddie Bernice Johnson  https://t.co/VmVLvpK3Xj https://t.co/dWcLiKR43R,2020-09-04 01:05:16,Twitter for iPhone,2,0
#thankyou @SelfEvidentProj Our family just got our book.  We are proud contributors.  #LGBTQIAofTwitter https://t.co/8Dtl9VZNG6,2020-08-30 16:51:52,Twitter for iPhone,1,0
One hundred years ago today women gathered with courage and strategic determination to break open mindsets and create change. Everyday I am witness to the energy behind that evolution in my own family.  #HappyWomensEqualityDay https://t.co/THOWZAPlXf,2020-08-27 00:00:08,Twitter for iPhone,1,0
In our country far too often we are ready willing and able to use our tax dollars for suppression purposes rather than rehabilitation. https://t.co/7bN3mzQWVt @MyNewsLA  Photo: Jullianne Nubla @DPRMag https://t.co/Uuw9SPqp2U,2020-08-26 15:17:20,Twitter for iPhone,1,1
Strength in Diversity  Fab-Five from Pacoima representing the community they were raised in. Daughters and Sons of immigrants we get the job done.  @AlexPadilla4CA @MRodCD7 @AsmLuzRivas @CD6Nury https://t.co/VmkbDb543u,2020-08-23 08:34:46,Twitter for iPhone,1,3
I know there is a lot of information overload happening right now but this is an important message and with your participation your community benefits. https://t.co/WHj4nTFIrG https://t.co/3hhJAKZCjP,2020-08-17 01:27:41,Twitter Web App,1,0
The #Republican run @SenateGOP MUST ACT NOW! #stimuluschecks PASS the #HEROSACT https://t.co/k6g2y47kQz,2020-08-15 16:48:49,Twitter for iPhone,2,2
Sharing a moment for #JohnLewis  #repjohnlewis  https://t.co/yGiRytSnCZ https://t.co/y66QNIzCaZ,2020-08-03 19:56:12,Twitter Web App,1,2
Our youth imprinting the fabric of #americanhistory #changemakers #latinx #blm #latinxforblacklives https://t.co/VqaznJWYFW,2020-07-27 16:59:46,Twitter for iPhone,1,0
