Happy #SmallBusinessSaturday! Small businesses add so much to our community but many are struggling this year because of the pandemic. Show our local small businesses some love and shop small. https://t.co/tmOTxjkN7O,2020-11-28 17:08:24,TweetDeck,4,10
The holidays are a time for family happiness &amp; celebration. However in less than 1 month 12 million Americans will lose the #CARESAct unemployment benefits that have been keeping their families afloat during this unprecedented crisis. @SenateGOP pass the Heroes Act already.,2020-11-28 01:24:00,TweetDeck,8,34
This week I visited the Humboldt County Emergency Operations Center and met with Director Ryan Derby and other personnel involved in handling the coronavirus pandemic. Cases across our district are surging and I am grateful to these professionals for their tireless work. https://t.co/yObayI1w7H,2020-11-27 20:55:29,Twitter Web App,8,29
Thanksgiving celebrations may look a little different but despite the hardships of this year we can still find things to be thankful for. I am grateful for the resiliency my fellow Americans show time and again. #InThisTogether #GiveThanks https://t.co/PpFIhhHwz2,2020-11-26 18:21:10,Twitter Web App,3,23
This action is long overdue but the threat of mining hasn’t ended. EPA must issue a veto and provide lasting protections for #BristolBay and communities that depend on its waters. https://t.co/XXWRIG3aHT,2020-11-25 20:26:24,Twitter for iPhone,10,41
Join me and two impressive special guests for a virtual town hall to discuss the presidential transition challenges to the election results and the importance of accountability.   📅Thurs 12/3  ⏰4pmPST 💻https://t.co/5r2hPUw3Tk https://t.co/MHV99lxmeb,2020-11-24 23:02:19,Twitter Web App,1,6
🚨Deadline Extension🚨  If you suffered damages from a wildfire earlier this year you now have until December 11 to apply for @fema grants and low-interest disaster loans.  Register now at https://t.co/c5l7iAuHbv https://t.co/PhYEaV3M5L,2020-11-24 16:00:46,Twitter Web App,6,11
A fundamental and welcome shift towards competent and experienced leaders with diverse backgrounds and fresh perspectives. https://t.co/TKR7b8S8gg,2020-11-23 23:23:40,Twitter Web App,4,30
California's Great Plates Delivered program is a fantastic way to provide safe healthy and delicious meals to high-risk seniors and support local restaurants and food providers at the same time.  To learn more visit https://t.co/d6MefHhok3,2020-11-23 17:06:38,Twitter Web App,3,16
As we prepare for the upcoming holiday season we can't forget that we are still in a pandemic. The best way to keep our friends and family healthy is to minimize travel limit gatherings and follow coronavirus travel advisories and guidelines. https://t.co/wY8CiGoz10,2020-11-23 01:37:00,TweetDeck,3,15
Couldn’t agree more -- it’s a no-brainer that drilling in the Arctic is bad business. Let’s see who uses this as an audition for the role of World’s Worst Business. https://t.co/TOliGRt4UK,2020-11-22 18:34:53,Twitter Web App,4,35
The Trump administration needs to stop delaying and disrupting @Transition46. All Americans expect a peaceful transition of power to ensure economic recovery national security and a successful coronavirus response. https://t.co/hO8sKPnvZM,2020-11-22 18:33:13,Twitter Web App,6,48
Climate change is real the science is irrefutable. We will not tolerate any more of Donald Trump’s antics to suppress and undermine the facts. https://t.co/kcLYi09aET,2020-11-22 03:49:03,Twitter for iPhone,9,40
This year school looks very different. Thank you to the teachers parents caregivers students and administrators around the country who are working so hard to rise to all the challenges this year. #AmericanEducationWeek,2020-11-22 00:01:50,Twitter for iPhone,2,29
Op-ed with @RepSeanCasten @RepRaskin @jahimes @RepDean @RepMGS @RepSchneider @RepUnderwood @RepMalinowski and @RepJasonCrow in @CNNOpinion.,2020-11-21 21:49:43,Twitter Web App,1,7
To the American people who stood up against Trump who marched organized voted: Our republic still stands because of you. Now it is our duty to protect the vital records necessary for a smooth transition &amp; to hold officials accountable. Read our op-ed⬇️ https://t.co/7VMe432o3O,2020-11-21 21:49:43,Twitter Web App,4,29
Welcome to the #Freethought Caucus @RepDonBeyer! https://t.co/jpJSZnXjdb,2020-11-21 21:42:50,Twitter Web App,1,23
❌7.3 million workers will lose Pandemic Unemployment Assistance ❌4.6 million workers will be cut off from Pandemic Emergency Unemployment Compensation   That’s just part of what’s at risk if @senatemajldr doesn’t come to the table and negotiate more #COVID relief.,2020-11-20 18:58:53,Twitter Web App,4,13
This Transgender Day of Remembrance we honor the lives lost to anti-transgender violence. We must also reflect on the daily harassment faced by the transgender community and never stop fighting these injustices. You are loved you are valued and you are seen. https://t.co/8xmOJupU5V,2020-11-20 15:47:21,Twitter Web App,6,42
Happy #NationalRuralHealthDay to all our indispensable rural health workers. Everyone should have access to health care no matter where they live. https://t.co/k8chpndb9f,2020-11-20 01:12:56,Twitter Web App,2,9
Honored to be named by @SpeakerPelosi as a conferee on the National Defense Authorization Act (NDAA) to represent @TransportDems and secure important priorities.  https://t.co/dgsSWNWz7m,2020-11-19 22:51:04,Twitter Web App,4,23
Former @SeaGrant Knauss fellows in my office have gone on to become policy leaders in Congress fed agencies and fisheries tribal science and environmental orgs. Pleased to lead the fight for House reauthorization for this important program this week. https://t.co/MBU7pslU4z,2020-11-19 16:49:57,Twitter Web App,13,84
All of this year’s participants demonstrated ambition and creativity that gave me and the panel of judges more hope for the future. I can't wait to see what these bright young people achieve next and I'm already looking forward to next year's #CongressionalAppChallenge. [2/2],2020-11-18 23:54:45,Twitter Web App,0,4
Congratulations to the winners of the #CongressionalAppChallenge Beck Lorsch and Amrit Baveja. They created MarinTrace a free contact tracing app that will be piloted in select Marin County schools to aid our efforts to fight this global pandemic. [1/] https://t.co/0lislcOIxQ,2020-11-18 23:54:45,Twitter Web App,3,10
This agreement is the result of many folk's remarkable work. Thank you to the Tribal leaders activists state govt officials et al who have joined me in shepherding this forward—&amp; to Berkshire Hathaway for coming back to the table to do the right thing. https://t.co/pVUG8eVunS,2020-11-18 21:15:56,Twitter Web App,5,27
#PebbleMine developers just released their report including a so-called mitigation plan. No level of compensatory mitigation will address the mine’s irreversible harm to the environment and communities in Bristol Bay. #SaveBristolBay https://t.co/UOD7Nv78y0,2020-11-18 18:00:06,Twitter Web App,4,11
It's been 6 months since we passed the Heroes Act to expand unemployment benefits increase $ for testing support small biz &amp; more but @SenateGOP has failed to act. We need to negotiate and get a deal done—it's time for @senatemajldr to come to the table. https://t.co/FsByEfGdOO,2020-11-18 15:26:36,Twitter Web App,6,36
This bill has a lot of powerful ideas on how to harness our oceans to #ActOnClimate &amp; we kicked off a good conversation today. Communities like mine are all too aware of the need for bold legislation to protect ocean resources &amp; harness its power to tackle the #climatecrisis. https://t.co/vjA4V1WXOT,2020-11-17 23:55:21,Twitter Media Studio,5,11
