❤️ https://t.co/MJtP73R9pb,2020-11-23 17:33:56,Twitter for iPhone,1,3
306,2020-11-14 06:30:33,Twitter for iPhone,8,32
Biggest electoral college win possible,2020-11-07 17:28:46,Twitter for iPhone,0,3
Keep-’em coming. Let’s pile on the states for the biggest electoral win possible. In addition to a huge win with the popular vote. #winning https://t.co/HISHc3P8O3,2020-11-07 17:27:52,Twitter for iPhone,3,13
Finally! The networks called it. So happy @JoeBiden has won. Congratulations Mr. President-elect and Madam Vice President-elect@KamalaHarris. #Election2020,2020-11-07 16:32:13,Twitter for iPhone,3,12
Wonder if decision desks are more cautious because they know Trump is litigious and may sue. Given what we know and the assessments from @Redistrict and @NateSilver538 I feel comfortable with the race being called. https://t.co/wOFsxqWsLU,2020-11-07 03:16:54,Twitter for iPhone,1,11
Winning! Just waiting for the official call but time to get to work for the people. So much harm to undo and healing we need. Today hope and opportunity shine bright. https://t.co/B1gA70owlH,2020-11-06 15:59:20,Twitter for iPhone,3,15
@Victoria4Texas Was my privilege. Happy you won. Congratulations!,2020-11-06 05:05:38,Twitter for iPhone,0,1
Wow https://t.co/DbiA6Y4tzY,2020-11-06 00:07:57,Twitter for iPhone,1,11
Thank you #CA44 for the honor of serving you another term. It’s a privilege and honor. https://t.co/vGraxZqg0D,2020-11-04 08:41:09,Twitter for iPhone,5,58
|Join me today @ 4pm PT||7pm ET along w. @Dr_RaulRuiz @RepGutierrez @NathalieRayes and Matt Barretto of @LatinoDecisions.   We will talk about why this election is so important for Latinos - and why Latinos must get out and vote for @JoeBiden. #BidenHarris2020 #TodosConBiden https://t.co/US6A5XRATA|,2020-10-30 16:38:04,Twitter for iPhone,0,7
The power of our young people is endless. Listen and watch this @taylorswift13 song  #onlytheyoung then go out and #vote. https://t.co/nvRWC6YTo1,2020-10-30 15:45:14,Twitter for iPhone,107,314
This is exactly how I’m feeling! Doyers #Dodgers https://t.co/n09GUpaWTf,2020-10-28 06:22:07,Twitter for iPhone,1,10
Watch this great video narrated by Jeff Daniels then go vote for @JoeBiden #VOTE https://t.co/6Ck5ZTpE8w,2020-10-28 06:20:58,Twitter for iPhone,1,2
🤞🏽 https://t.co/arvUscKdBB,2020-10-28 02:54:04,Twitter for iPhone,2,7
In Mesquite Texas for a #HeyChica GOTV Latinas vote event because Mi Voto Cuenta. Proud to join and support State Rep. Victoria Neave at this event and her re-election. #TxLeg https://t.co/5ZyMw9vV4n,2020-10-26 22:34:31,Twitter for iPhone,1,13
On my way to this fun #HeyChica Latinas Vote event in Mesquite Texas #Latinavoter #2020Elections https://t.co/umoLlp9Mmo,2020-10-26 21:26:29,Twitter for iPhone,1,3
👇🏾 Great morning walk with @BrandyforTexas #TXHD112 https://t.co/CMzfQbHQxi,2020-10-25 20:44:34,Twitter for iPhone,1,5
https://t.co/toocIa2ugH,2020-10-25 16:17:28,Twitter for iPhone,7,18
Excited to support and join @BrandyforTexas kickoff and walk this morning for GOTV. If Brandy Chambers wins she would be the first Latina elected to Texas House District 112 and the first Democrat elected in over 30 years. #Flip #txleg #BelieveinBrandy @latinovictoryus https://t.co/FmXGzZe86e,2020-10-25 14:45:34,Twitter for iPhone,4,9
This was the last picture I took tonight while watching the @Dodgers game. Then it came apart and I was stunned. Heartbroken. Nothing like a late night walk to help deal with the emotions. Tomorrow is a new day. Let’s get’em tomorrow #Dodgers #WorldSeries2020 https://t.co/7EmIP7iP6h,2020-10-25 06:46:09,Twitter for iPhone,1,8
Today @candacefor24 voted and I had the honor of kicking off her phone bank. Latinas supporting Latinas in #Dallas. She’s a mother educator former school board member we need in Congress. #TX24 https://t.co/skT7hYK4AU,2020-10-25 03:41:00,Twitter for iPhone,2,7
Great way to start the morning in Dallas. An amazing Latina to support. Vote @JoannaCattanach  #flip #texlg https://t.co/U5eCJp5kfB,2020-10-25 03:32:12,Twitter for iPhone,2,9
Yes! @Dodgers #WorldSeries2020,2020-10-25 03:09:09,Twitter for iPhone,1,5
Stand with @SEIU2015 by supporting their pledge &amp; vote #BidenHarris! We need an Administration that supports our #caregivers &amp; recognizes how essential they are. Time to invest in #LongTermCare! Sign the pledge: https://t.co/uoYClqv9xZ #OurVoteIsEssential #Congress4Caregivers,2020-10-24 18:32:57,Twitter for iPhone,6,5
https://t.co/quVPJygPi8,2020-10-24 15:12:41,Twitter for iPhone,1,2
Excited to be in TX to support some great Latina candidates. Heading to GOTV event now at @dallasdemocrats HQ for @JoannaCattanach.   Joanna is running for a seat in TX State House Dist. 108 to help flip TX leg. I am happy to support her! #HD108 #JoinJoanna #txlege #Vote,2020-10-24 14:17:15,Twitter for iPhone,4,3
Trump: we are working well with industry. True. Trump is working for dirty oil companies. He is not to be trusted to fight climate change. Says he loves the environment. Just look what damage he has done on the environment in his almost 4 years. Judge his actions not words.,2020-10-23 02:26:26,Twitter for iPhone,1,11
Why should the American people trust  @JoeBiden over @realDonaldTrump on immigration? One values immigrants the other calls them criminals separates kids from their parents to deter and treats them inhumane. Biden will work with the @HispanicCaucus to pass immigration reform.,2020-10-23 02:09:06,Twitter for iPhone,1,6
Since we are taking about the minimum wage 👇🏾 #DebateTonight https://t.co/sdDgnuuPZZ,2020-10-23 02:02:11,Twitter for iPhone,19,71
Come on,2020-10-23 01:59:34,Twitter for iPhone,0,3
People have judged me based simply on my Mexican heritage and last name. Stand in solidarity with my friend @KamalaHarris against disgusting attempt to stoke hatred based on her name and background. #MyNameIs Barragàn.  #IWillVote #BidenHarris2020,2020-10-19 00:46:13,Twitter for iPhone,6,15
Love this. https://t.co/WCUKb3Kc4p,2020-10-16 16:23:36,Twitter for iPhone,2,4
👇🏾 https://t.co/w4ou0FfQSe,2020-10-08 07:14:40,Twitter for iPhone,2,12
Really? When was the last time we asked if a male was capable of serving as VP? https://t.co/AtD6MhzdGX,2020-10-08 02:45:17,Twitter for iPhone,0,6
Excellent closing by Senator Harris. Joe Biden is about lifting us up. Unite us not divide us. #VPDebate,2020-10-08 02:33:37,Twitter for iPhone,6,56
Pence went on despite Susan Page asking him to stop. Only fair to allow Senator Harris to respond without interruption. Even if she made a prior point. What happened to equal time? #VPDebate,2020-10-08 02:23:29,Twitter for iPhone,23,234
What the black thing on Pence’s head? #VPDebate,2020-10-08 02:19:23,Twitter for iPhone,3,87
Let the record reflect Pence did not articulate the Trump healthcare plan. Because there is none .  #VPDebate,2020-10-08 02:14:30,Twitter for iPhone,21,158
Love this Honest Abe story #VPDebate,2020-10-08 02:10:45,Twitter for iPhone,3,50
Your time is up. #VPDebate,2020-10-08 02:05:06,Twitter for iPhone,3,38
I hope Susan Page is going to give Senator Harris extra time. Or Senator Harris needs to talk over her time like Pence.,2020-10-08 02:02:25,Twitter for iPhone,0,8
Pence now lying. Says he and Trump have a healthcare plan. What is it? Strip healthcare from millions of Americans? #VPDebate,2020-10-08 01:38:10,Twitter for iPhone,20,124
Can't wait to join @cristela9 @TucsonRomero @RaquelTeran &amp; @TomPerez for the #VoyAVotar virtual bus tour stop in #AZ today at 3pm PT.  Latinos &amp; Latinas let's get out &amp; turn #AZ Blue! #BidenHarris2020  Join us here: https://t.co/tUSy7sR8Ti,2020-10-04 20:06:57,Twitter for iPhone,7,22
#Vote https://t.co/9LJa7m6BKD,2020-10-03 04:51:19,Twitter for iPhone,27,95
So glad to hear VP @JoeBiden has tested negative for COVID. Please stay safe and healthy! But let’s not stop let’s get this done. We need your leadership.,2020-10-02 16:16:00,Twitter for iPhone,2,8
We need a president who respects science who understands the dangers of climate change. Unless we take urgent action the results will be more catastrophic.,2020-09-30 02:50:06,Twitter for iPhone,1,7
My head hurts after watching that debate. I don’t know if we need another.  Especially because Trump doesn’t know how to follow the rules. He thinks he’s above the law and rules.,2020-09-30 02:46:51,Twitter for iPhone,9,66
Biden wraps presidential debate acting presidential saying he would accept the election results. What does Trump do?  Interrupt. Because Trump doesn’t know how to do the same be presidential.,2020-09-30 02:42:47,Twitter for iPhone,16,48
I don’t want 4 more years of these lies.  #Vote   Pass it on.,2020-09-30 02:31:35,Twitter for iPhone,4,8
Ha. Wallace finally admits he also can’t keep up with Trump’s rantings.,2020-09-30 02:27:13,Twitter for iPhone,0,10
Wallace going through Biden’s enviro plan and talking now about cost. No mention from Wallace about the cost of not doing it - to our planet and public health. We must act on climate change now.  And let’s be clear Trump’s plan is to bail out Big Oil with taxpayer $$,2020-09-30 02:26:23,Twitter for iPhone,4,75
Trump knows nothing about climate change. Clearly doesn’t know what is environmental justice. He thinks our air is immaculate?  He hasn’t been to #CA44 and fails to read any air quality reports. But then remember he doesn’t read.,2020-09-30 02:19:48,Twitter for iPhone,1,7
Omg. Biden talking about his son Beau who served in the military (and later died) and Trump interrupts to insult his other son. What a disgrace. And Wallace just allowing this bullshit.,2020-09-30 02:16:38,Twitter for iPhone,202,1023
“He’s Putin’s puppy.” -Biden. Yes he is. Trump is Putin’s puppy.,2020-09-30 02:14:44,Twitter for iPhone,4,25
Trump has no credibility on healthcare. Remember he is trying to strip away healthcare from millions of Americans.,2020-09-30 02:12:44,Twitter for iPhone,21,106
Can we talk about Trump breaking the law? And those in his Administration.,2020-09-30 02:08:29,Twitter for iPhone,0,5
What the heck did Trump just say on race? I couldn’t even understand his answer on ending race sensitive training. Did i miss it or does he just have no clue what he’s talking about.,2020-09-30 02:03:15,Twitter for iPhone,0,10
Wallace tried to scold Trump  about not interrupting and Trump pointing finger like a kid saying well he did it too.  🤦🏽‍♀️,2020-09-30 01:54:31,Twitter for iPhone,0,2
