I’m proud of small businesses like Friends Café which is using CARES funding to help distribute meals to seniors. In Congress I’ll keep fighting for oversight so we can be confident relief funds are helping families &amp; small businesses—not big corporations #SmallBusinessSaturday https://t.co/2MfqfvbFtG,2020-11-28 20:36:05,Twitter Web App,350,3189
November marks Military Families Appreciation Month. Military families are owed a debt of gratitude that must be met with action. I’m proud my provision to protect military families in private housing was signed into law but more must be done to support these Americans.,2020-11-27 18:41:59,Twitter Web App,310,2887
Millions of Americans are experiencing food insecurity this holiday season. Today I was proud to help distribute Thanksgiving meals and boxed food to Orange County families in need and I’ll keep fighting in Congress to get direct help to families during this crisis. https://t.co/1MpCH65LO8,2020-11-26 19:39:41,Twitter Web App,2157,19272
Today we recognize International Day for the Elimination of Violence Against Women. Here at home we need the Senate to extend the Violence Against Women Act which includes my amendment recognizing economic abuse as a form of domestic violence.,2020-11-25 18:26:05,Twitter Web App,3331,19282
I’m committed to giving voice to Orange County families in Washington. I’m proud to share that so far our office has introduced the most amendments made in order of any freshman and the second most of anyone in this term!  ▶️⬇️ to learn more! https://t.co/ppv1yI1FLV,2020-11-24 22:09:18,Twitter Media Studio,363,4638
Orange County’s essential workers have gone above and beyond during this challenging time. On Saturday I visited a few grocery stores in our community to distribute thank you notes our office has been collecting for workers on the frontlines of this pandemic. https://t.co/b065MPoq9S,2020-11-24 18:30:47,Twitter Web App,1112,14303
We are in the middle of a public health emergency and economic recession. @OversightDems know that a smooth transition of power is essential to our recovery so they’re insisting @GSAEmily brief Congressional leadership tomorrow.  https://t.co/S8vpD2EfVg,2020-11-23 22:17:53,Twitter Web App,1583,10586
GSA Administrator Emily Murphy was supposed to brief Congressional leadership today about why she’s obstructing a smooth transition of power. She refused to show up and now she’s trying to send her deputy next week in her place.  Enough. The American people deserve answers. https://t.co/5fuVfyRoZg,2020-11-23 22:17:53,Twitter Web App,14124,85339
I’m humbled and proud to share that on Friday @CMSGov finalized the reforms I have been fighting for over the last year.  Read more about the changes that will save thousands of lives ⬇️. (5/5)  https://t.co/6kEUobdOAZ,2020-11-23 19:00:51,Twitter Web App,513,4751
So @RepKarenBass and I followed up on behalf of the more than 110000 Americans currently on the waitlist for a lifesaving transplant. In July we wrote to @SecAzar and @SeemaCMS directly about the urgent need to crack down on OPOs. (4/5)  https://t.co/8sE1CvYq82,2020-11-23 19:00:51,Twitter Web App,273,2180
But these contractors tried to fight back. They claimed @HHSGov should delay making changes until after the pandemic. This made no sense to @RepKarenBass and me especially given the risks COVID poses to many patients in organ failure. (3/5)  https://t.co/EhhycrJCXc,2020-11-23 19:00:51,Twitter Web App,183,1369
Last October I reached out to @HHSGov and @CMSGov about the lack of oversight and reporting requirements for these contractors known as Organ Procurement Organizations (OPOs). Several weeks later @CMSGov issued a proposed rule to hold OPOs accountable. (2/5),2020-11-23 19:00:51,Twitter Web App,158,1402
Last year @HHSGov found that more than half of the federal contractors responsible for transporting lifesaving organs were failing baseline performance measures resulting in *thousands* of potential donations falling through the cracks and countless lives lost. (1/5),2020-11-23 19:00:50,Twitter Web App,1669,6352
Orange County has the best Registrar of Voters in the country. Mr. Kelley does his job professionally and doesn’t engage in partisan politics. @OCRegistrar is a model for how counties everywhere can make it easy for every eligible voter to cast a ballot.  https://t.co/gH49blMklx,2020-11-22 19:14:41,Twitter Web App,207,1987
The CARES Act is the largest stimulus package in American history and there’s a real risk that money is going out the door with no strings attached because we lack aggressive real-time oversight. The American people deserve to know their tax dollars are being spent effectively.,2020-11-21 18:01:45,Twitter Web App,755,4141
The CARES Act Congressional Oversight Commission was created *eight months ago* to monitor bailout money going to large corporations and it still lacks a Chair. What’s more the Trump Administration refuses to release comprehensive data on PPP loan recipients.,2020-11-21 18:01:45,Twitter Web App,787,3819
It’s that simple. https://t.co/jKEjsAUFws,2020-11-21 18:01:44,Twitter Web App,804,5902
I know from experience that being a new mom is never easy. Doing so in the middle of a pandemic can feel impossible. Today @gillibrandny and I led a letter to Congressional leadership urging them to fully support a Maternal Mental Health Hotline ⤵️ https://t.co/JtdR94BUJr,2020-11-20 20:37:18,Twitter Web App,412,3403
Today on Transgender Day of Remembrance we mourn at least 37 transgender or non-conforming Americans who had their lives taken this year. No one should be targeted for being who they are and it’s on all of us to stand against hate and bigotry. #TDoR2020,2020-11-20 15:11:25,Twitter Web App,1051,7130
By failing to implement consistent and thorough processes @Facebook is allowing disinformation about our election systems to be shared with millions of Americans. Today @CongressmanRaja and I wrote to Mark Zuckerberg directly about the urgent need for stronger enforcement. https://t.co/OCvvN1OwxY,2020-11-19 23:02:56,Twitter Web App,725,3303
For months @OversightDems have been urging the National Highway Traffic Safety Administration to crack down on unsafe booster seats. Yesterday @CongressmanRaja and I wrote to the head of @NHTSAgov demanding answers for why they’re still failing to protect our kids. https://t.co/PI80qR3ny5,2020-11-19 20:46:17,Twitter Web App,176,950
The American people deserve to know how their taxpayer dollars are being spent. There needs to be accountability that medical products are being produced at the best possible price and that wealthy corporations aren’t cutting corners to profit off the pandemic.,2020-11-19 19:00:32,Twitter Web App,346,2297
The federal government has awarded billions of taxpayer dollars to companies working to tackle COVID-19. Many of these taxpayer-funded contracts have details that have been kept secret so @SenWarren and I are calling on the Administration to release them. https://t.co/n4ed4h8Z5O,2020-11-19 19:00:31,Twitter Web App,1536,6253
As COVID cases surge in Orange County and across our state I’m thinking about the frontline healthcare workers who are fighting this pandemic. Our office has been collecting thank you notes for essential workers in our hospitals. Learn more and submit ⬇️ https://t.co/pb8wUwUUvc,2020-11-18 22:45:19,Twitter Web App,314,2169
As a consumer advocate and former professor I understand the burden that student loan debt places on our young people. I’m excited to join @NextGen_Policy @CRAdvocacy @theSBPC @YoungInvincible and @DebtCrisisOrg in conversation tomorrow about tackling this crisis.  More 👇 https://t.co/Tz1UIDsxTe,2020-11-18 20:41:19,Twitter Web App,133,1046
Congress should prioritize the needs of the American people not big corporations. As I told @SRuhle it’s critical we extend pandemic unemployment assistance and provide funding to our state and local governments—not give corporations immunity for not protecting their workers. https://t.co/UTr271ZsBU,2020-11-17 22:38:12,Twitter Web App,966,5017
Twelve years ago Congress mandated that insurance companies treat mental health care the same as physical care. Yet insurers continue to flout the law—so I introduced a bill to crack down on this abuse.  @Scott_Wiener and I explain why this matters ⤵️  https://t.co/tLFdhiNeGP,2020-11-17 19:35:47,Twitter Web App,823,5267
California census officials estimated that an incomplete count could cost our state ~$1000 per person annually. I'm thrilled to share that our district had the highest self-response rate in all of CA—a feat that will help ensure our community gets the resources we need. https://t.co/ULlwp3kKIp,2020-11-16 23:41:26,Twitter Web App,210,2415
As we celebrate #AmericanEducationWeek I’m thinking about the millions of teachers working tirelessly during this pandemic. We owe them not only our appreciation but also action. Schools need the federal government to step up and provide resources to keep teachers and kids safe.,2020-11-16 20:40:42,Twitter Web App,972,7553
Happy Diwali and Sal Mubarak to everyone celebrating! May you enjoy peace happiness and good health in the year ahead.,2020-11-14 20:50:21,Twitter for iPhone,159,2868
That’s why I introduced the Freedom from Price Gouging Act to protect patients from unreasonable price hikes. The House passed my bill along with other measures to reduce prescription drug prices *nearly a year ago* but the Senate refuses to act.,2020-11-14 18:01:03,Twitter Web App,620,4100
Too often Americans with diabetes have to ration their insulin due to skyrocketing costs. Big Pharma’s greed is putting lives at risk and it’s past time for the federal government to take meaningful action to reduce prescription drug prices. #WorldDiabetesDay,2020-11-14 18:01:02,Twitter Web App,1866,10971
So yesterday I followed up with @federalreserve Vice Chair Randy Quarles directly. Rather than being honest about purchasing debts of megabanks like @jpmorgan Mr. Quarles tried to hide behind a loophole.  Watch 👇 (5/5) https://t.co/mltkpGmHxe,2020-11-13 18:00:02,Twitter Web App,3757,15862
Back in October I wrote to the head of the Federal Reserve about this clear abuse of taxpayer dollars. I never got a response. (4/5)  https://t.co/rYRteVD96S,2020-11-13 17:59:52,Twitter Web App,2090,10061
Yet the Fed used COVID relief funding to purchase $1.3 billion of Exchange-Traded Funds (ETFs). ETFs are baskets of stocks similar to mutual funds and they contain billions of Wall Street's debt. (3/5)  https://t.co/q2vORsOE8A,2020-11-13 17:59:51,Twitter Web App,1788,7769
The Fed explicitly stated that COVID relief funds would not help “insured depository institutions”—aka banks. That makes sense since many of those banks have had record profits during the coronavirus pandemic. And we just bailed them out in 2008-2009. (2/5) https://t.co/VoUiR2wNsS,2020-11-13 17:59:51,Twitter Web App,1406,7759
In March Congress gave billions in COVID relief to the @federalreserve to help struggling businesses. The Fed pledged these taxpayer dollars would *not* bail out Wall Street banks. They went back on their word—to the tune of 2 billion dollars. So I'm calling them out. (THREAD),2020-11-13 17:59:51,Twitter Web App,16147,55469
I'm running for Deputy Chair of @USProgressives for the 117th Congress. Representing a Republican district I know firsthand that a bold progressive agenda is the right policy for America *and* a winning political message. https://t.co/YYyewMEb5X,2020-11-12 23:14:31,Twitter Web App,1033,8762
I’m excited to introduce Sasha who recently joined our team as our Veteran and Servicemember Liaison. Learn more about her work for our community’s veterans servicemembers and military families ⬇️ https://t.co/1c7BB207AP,2020-11-12 19:03:19,Twitter Media Studio,218,2496
It has been a pleasure to work with Tom who spent the first 10 years of his military career in the Navy before transferring to the Air Force. He now flies commercial planes and is based out of LAX. https://t.co/eFpWHUV6qj,2020-11-11 18:05:09,Twitter Web App,42,696
Our office has been proud to partner with Bobby who served in the U.S. Navy during the Vietnam War. A tireless advocate for veterans and small business owners Bobby is now President and Executive Director of the Black Chamber of Commerce of Orange County. https://t.co/emezUEyZ89,2020-11-11 18:05:08,Twitter Web App,38,704
Our district is home to nearly 30000 veterans including Martha—who served in the U.S. Marines Corps for seven years and the Reserves for five. She was the first woman to complete the Marine Corps Security Forces School and she now works with college students in our area. https://t.co/fGkREKOKWz,2020-11-11 18:05:06,Twitter Web App,18,219
This #VeteransDay we honor the millions of veterans and their families who have sacrificed so much in service to our country. Today I’m proud to highlight some of the veterans who are enriching our Orange County community.  I hope you’ll join me in thanking our veterans. 🧵⬇️,2020-11-11 18:05:05,Twitter Web App,169,1978
Childcare centers are facing immense pressure during this pandemic with many operating at reduced capacities to stay safe. I’m proud that Orange County has dedicated CARES Act funding to provide relief to local providers.  More info and how to apply 👇 https://t.co/EY0UBtJcN2,2020-11-10 21:32:44,Twitter Web App,125,1194
No American regardless of their political views is helped by having a disruptive transition of power. We are in the middle of a pandemic and a recession— we need stable leadership and an orderly transition to fight COVID-19 and get our economy back on a path to recovery.,2020-11-10 18:56:27,Twitter Web App,9816,57271
Women have disproportionately felt the economic burden of this pandemic with many working moms dropping out of the workforce or reducing their hours to care for their kids. It’s clear we must invest in childcare to get our economy back on track.  https://t.co/vk3QyZ7p3j,2020-11-09 19:49:51,Twitter Web App,483,3915
Not sure how to contact your representatives? Asher made a fantastic YouTube video tutorial detailing how to research legislation and get in touch with elected officials.  Watch ⤵️  https://t.co/OrXlc8YwCp,2020-11-02 18:03:52,Twitter Web App,135,729
Orange County families can always reach out to our office to share their thoughts about what’s going on in our community.  I recently heard from Asher who got in touch with me a few months ago at a local event. He’s passionate about fighting the climate crisis. https://t.co/UQNtuBCbhM,2020-11-02 18:03:51,Twitter Web App,248,2742
Reminder: Open enrollment begins TODAY in California. Now more than ever it’s crucial we all #GetCovered. I’m proud that our state has enhanced subsidies to help folks who can’t afford insurance. Learn more and sign up today at https://t.co/2NdvBEH8te.,2020-11-01 19:19:56,Twitter Web App,228,935
It’s imperative that the officials running the COVID vaccine development program are working in the public’s interest not their own. Yet the Administration’s top scientist won’t divest the millions he has in pharma companies.   @SenWarren and I are demanding an investigation ⬇️ https://t.co/TTrHIjE3YH,2020-10-31 01:43:53,Twitter Web App,1249,5256
REMINDER: Vote-by-mail deadlines differ from state to state. In California mail-in ballots must be postmarked on or before Election Day and received by your county elections office no later than 17 days after Election Day.,2020-10-30 21:19:44,Twitter Web App,74,533
On Tuesday I hosted a Twitter Live with FEC Commissioner @EllenLWeintraub. I couldn’t pass up the opportunity to ask her about mail-in voting.  Spoiler alert: voting by mail is a safe and secure way for Americans to have their voices heard—especially during a pandemic. https://t.co/GFdoaByU23,2020-10-30 21:19:33,Twitter Media Studio,212,1223
After two years of fighting for Michael’s safe return I was humbled to personally welcome him home. The Nguyen family has shown incredible strength and perseverance over the past 27 months and I am overjoyed they have finally been reunited. https://t.co/DXRrAHuYwN,2020-10-29 22:38:35,Twitter Web App,430,4491
My heart aches for the family of Gale Ballard who passed away last Friday after COVID-like symptoms. She worked for @ATT for two decades but was denied the same work-from-home options as many of her colleagues.  https://t.co/SmguwXNMtd,2020-10-29 18:50:08,Twitter Web App,171,939
Since March 150 Orange County workers have been urging @ATT to let them work from home. The company has yet to oblige—or even create a regular on-site testing program—despite a COVID-19 outbreak that’s led to 35 cases and one death.  I’m demanding answers from the CEO directly. https://t.co/ZaDT0L58gR,2020-10-29 18:50:08,Twitter Web App,446,2578
Yesterday FEC Commissioner @EllenLWeintraub and I discussed when we might find out the election results and what that means for our democracy.  Find her full answer at 24:03 ⬇️  https://t.co/xysq8mcMo5,2020-10-28 21:41:07,Twitter Web App,134,496
With less than a week until Election Day it’s important to remember that results aren’t always ready that night. It’s crucial our election officials work meticulously to make sure every American’s voice is heard. I know (from personal experience) that this may take a few days... https://t.co/pEtrljmfwl,2020-10-28 21:41:07,Twitter Web App,729,3843
I’m grateful for the first responders and firefighters who are working tirelessly to protect Orange County from the #SilveradoFire and #BlueRidgeFire. Climate change is an existential threat and we must take urgent action to protect our communities. #NationalFirstRespondersDay,2020-10-28 19:38:57,Twitter Web App,384,3245
I'm LIVE with with Federal Election Commissioner  @EllenLWeintraub to discuss how we get foreign and special interests out of our elections and put that power back in the hands of real people. Watch ⬇️ https://t.co/zGlB7nMD2Y,2020-10-27 22:10:00,Periscope,315,1336
TODAY: I’m hosting a Twitter Live with Federal Election Commissioner @EllenLWeintraub on fighting big money in politics reducing the influence of foreign and special interests in our elections and defending our democracy. Tune in at 3 PM PT! More details 👇 https://t.co/RdZij7juQ3,2020-10-27 16:48:39,Twitter Web App,266,1134
Due to the #SilveradoFire an evacuation warning has been issued for parts of Mission Viejo including the Painted Trails and Sky Ridge communities north of the 241 Toll Road. Orange County families can check the map for evacuation orders and warnings.  https://t.co/0ik9bbaydL,2020-10-27 15:40:54,Twitter Web App,158,616
I’m grateful for the service of these brave firefighters. Let’s all keep them and their families in our thoughts and hope for their speedy recoveries. https://t.co/HM6J811bjD,2020-10-26 22:21:35,Twitter Web App,481,4201
Our office is closely monitoring the #SilveradoFire. As we continue to learn more it's critical Orange County families remain vigilant and adhere to warnings from @OCFA_PIO @IrvinePolice and @OCSheriff. Thank you to our firefighters who are working tirelessly to keep us safe. https://t.co/4Er5cLcwuZ,2020-10-26 16:40:58,Twitter Web App,309,1449
Too often individuals experiencing a mental health crisis are entangled in our justice system rather than connected to care. Last week I introduced legislation to enable mental health professionals to be first on the scene when 911 is called for a mental health emergency. https://t.co/ta4bz3S4lp,2020-10-25 19:29:10,Twitter Web App,571,3721
The COVID-19 crisis is threatening both our physical and mental health. It’s more important than ever that we improve mental health care in our country and I have two bipartisan bills to do just that. https://t.co/CLCxUzPPGc,2020-10-24 20:20:21,Twitter Web App,920,5069
The lack of quality affordable childcare options has long burdened working families especially single parents. It’s essential we make meaningful investments in childcare to get our economy back on track. More ⬇️⬇️ https://t.co/x6z5Nisslf,2020-10-23 18:12:14,Twitter Web App,1306,8532
I’m committed to creating opportunities for reflective conversation with both Democrats and Republicans. Most of my colleagues and I came to Congress to solve the same problems. We may differ on the solutions but many of us share a sense of what America needs to stay strong. https://t.co/IrIHoE7Cdu,2020-10-22 17:20:29,Twitter Web App,264,2175
Today I wrote to the head of the @federalreserve demanding immediate safeguards against this clear conflict of interest. These taxpayer dollars should be helping the American people not wealthy corporate executives. https://t.co/tkyAUQlv8j,2020-10-21 20:36:03,Twitter Web App,1361,5183
As millions struggle to put food on the table @federalreserve is using billions of pandemic relief funds to purchase the debts of megabanks like @jpmorgan. This is shocking but not a surprise given that the Administration appointed a Wall Street CEO to administer the funds.,2020-10-21 20:36:02,Twitter Web App,4554,11109
Since July @SenKamalaHarris and I have been urging @BetsyDeVosED to provide our schools with comprehensive guidance based on science on how to reopen safely. Millions of students and teachers are in limbo because the Administration is failing to lead.  https://t.co/wiqZqRcIRC,2020-10-21 18:04:10,Twitter Web App,626,3504
Well it should be. If @BetsyDeVosED isn’t working to keep students and teachers safe during the COVID-19 crisis what is she spending her time doing? https://t.co/nSUrpJBj00,2020-10-21 18:04:10,Twitter Web App,3733,15576
Roughly one in four fatal police shootings end the life of an individual with mental illness. My bill which I introduced with @RepCardenas @RepPressley and @RepMGS would make our communities safer for all.   Read more 👇  https://t.co/iZKSLbRTBA,2020-10-20 19:25:29,Twitter Web App,422,2153
Having a mental illness is not a crime and we have to stop treating it like one. Today I introduced a bill that would enable local governments to send mental health professionals—not police—when 911 is called because someone is in a mental health crisis. https://t.co/FD0ZpZa92a,2020-10-20 19:25:29,Twitter Web App,4185,20352
Our young people have shown incredible tenacity and strength during this unprecedented time. Tonight I was honored to join @UCIrvine students for a virtual town hall to discuss my work in Congress. Thank you for inviting me @asuci! https://t.co/XfgnyKvCIE,2020-10-20 01:13:43,Twitter Web App,365,4436
I asked Mr. DeJoy directly if he’d step down if the independent nonpartisan inspector general found he committed misconduct by retaining *tens of millions worth of stock in a @USPS contractor* while serving as Postmaster General.  He declined. (2/2) https://t.co/ydHiPQvUN2,2020-10-19 19:27:38,Twitter Web App,1264,4082
For months Postmaster DeJoy refused to divest $30-40 million worth of stock he had in a major @USPS contractor. My colleagues and I pressed Mr. DeJoy about this clear conflict of interesting during an @OversightDems hearing but he was... less than forthcoming. (1/2) https://t.co/RpqDzGgrV0,2020-10-19 19:27:22,Twitter Web App,2550,7033
As we recognize Disability Awareness Month this October it’s essential we remember how crucial the Affordable Care Act is for the disability community. The law is not perfect—but it’s a lifeline for millions of Americans that we must fight to preserve.  https://t.co/7FON0m1xVx,2020-10-18 20:07:08,Twitter Web App,743,2607
Despite receiving millions in taxpayer dollars to keep workers on payroll Columbia Sussex appears to have laid off thousands of employees including several in Orange County. My colleagues and I are demanding @SBAJovita investigate immediately. More 👇  https://t.co/0BOZdX2Gmz,2020-10-17 22:51:23,Twitter Web App,665,2137
Today marks the beginning of the Hindu festival Navratri and I want to extend my warmest wishes to all those celebrating this joyous holiday in Orange County and across America. May these days usher in peace good health and opportunity for all.,2020-10-17 19:21:54,Twitter Web App,499,4589
In August @RepMGS and I wrote to @SocialSecurity urging them to simplify the repayment appeal process for Americans who received benefits in error. I’m proud SSA has since made some changes but more must be done to streamline the process—so @RepMGS and I are following up ⤵️ https://t.co/6aesLHc5pa,2020-10-16 20:48:08,Twitter Web App,178,918
Both @UnitedHealthGrp and @AnthemInc have reported 2nd quarter earnings that are *twice as high* as they were a year ago. Yet they’re taking away waivers that are helping patients afford care during a pandemic. @rosadelauro and I are calling them out 👇 (2/2) https://t.co/aTeWraWMGi,2020-10-16 17:07:34,Twitter Web App,252,889
