With #COVID19 cases on the rise it’s vital we redouble our efforts to #StopTheSpread and keep ourselves safe. The CDC has tips to protect yourself and others. Remember to practice the three Ws: Wash your hands Watch your social distance and #WearAMask. https://t.co/juFd4I0Edc,2020-11-28 20:33:01,Twitter Web App,5,14
Small Business Saturday is more important than ever this year! As you make your holiday gift lists be sure to #ShopSmall and support small business owners in our community and help make their season bright too. https://t.co/YinsnO9azS,2020-11-28 17:00:01,TweetDeck,1,6
If you are wondering if you should get tested for #COVID19 and how to get tested @CAPublicHealth has this helpful graphic to figure out what the best option is to keep you and our community safe. https://t.co/VK7AQlLBf1,2020-11-27 20:00:00,TweetDeck,2,9
It’s Open Enrollment season a chance for you to review the health care coverage options for you and your family and pick a plan so you can #GetCovered starting January 1 2021. More from @CoveredCA. https://t.co/XfWjon4zTr,2020-11-27 17:00:51,Twitter for iPhone,3,6
Janet and I wish you all a happy and safe Thanksgiving! Our celebrations might look different this year but we should still take a moment to be thankful. I am grateful for my and my family's health particularly right now and for the opportunity to serve CA05 in Congress https://t.co/AGGxSqrXSX,2020-11-26 14:00:03,TweetDeck,1,22
Have you signed up for my email newsletter yet? I send out important updates and information about my upcoming virtual events so be sure to sign up today. https://t.co/daJWe83HiE,2020-11-25 20:00:00,TweetDeck,2,5
I know we are all sick and tired of the pandemic but please take steps to keep you your family and our community safe even on Thanksgiving. We will get through this together.,2020-11-25 16:13:08,Twitter for iPhone,3,18
This @NorthBayNews article outlines why you can’t just rely on a negative #COVID19 test to be sure you won’t infect friends and family at the Thanksgiving table. https://t.co/Xpclpo2hj2,2020-11-25 16:13:08,Twitter for iPhone,1,11
During National Hospice Month let’s all take a moment to thank the incredible providers nurses aides and staff who provide compassionate and selfless care for hospice patients. https://t.co/rQWZbYtS1B,2020-11-24 20:00:01,TweetDeck,3,12
Stay home and don’t forget to wash your hands watch your social distance and #WearAMask.,2020-11-24 15:53:12,Twitter for iPhone,0,6
The @CAgovernor has issued a Stay at Home order through December 21 to help get rising #COVID19 cases under control. This is hard news for us all to hear around the holiday season but it’s really important that we all redouble our efforts to stay safe and #StopTheSurge. https://t.co/QzX0WkOn7P,2020-11-24 15:53:12,Twitter for iPhone,3,10
This is incredibly good news and is long overdue. Now the Biden Transition can begin its important work including preparing to combat the Coronavirus pandemic and being briefed on critical matters of national security. https://t.co/ec5WywLYzV,2020-11-23 23:39:34,Twitter for iPhone,2,17
Here’s another health expert warning of the risks of traveling and getting together with family during the Thanksgiving holiday. He’s staying home too to help combat the spread of #COVID19 and keep his family safe. https://t.co/7SWeNAi5y0,2020-11-23 20:00:01,TweetDeck,2,9
Even the steel bunny at Hall Winery knows to #WearAMask! https://t.co/pFZwFq1Jye,2020-11-23 15:45:26,TweetDeck,8,86
During my Virtual Town Hall this week our experts reminded us how important it is to #WearAMask to help combat #COVID19. Studies have shown they protect both the wearer and the people with whom you come in contact. Don’t forget to #MaskUp and help us get through this together! https://t.co/UkDPSOT7Dg,2020-11-22 20:00:00,TweetDeck,2,14
This is a critical tool for our local small family farmers whose crops were damaged by smoke from the fires. Learn more here: https://t.co/jwSlMLGuiG,2020-11-22 17:00:49,Twitter for iPhone,0,6
