Happy Thanksgiving!   This has been a challenging year but there is light at the end of the tunnel with the promising news of vaccine development. Let's stick together and take care of each other as we enter a holiday season where many of us are apart from our families.,2020-11-26 22:21:08,Twitter for Android,1,8
Today we honor those who have served and sacrificed for our country. To all our nation's Veterans thank you.,2020-11-11 23:43:56,Twitter for Android,2,4
#BidenHarris2020 #BuildBackBetter,2020-11-08 00:39:07,Twitter Web App,0,5
Congratulations to Joe Biden and Kamala Harris!  Now we can begin the hard work of healing this country beating COVID-19 and revitalizing our economy to work for everyone. With these difficult tasks ahead I believe president-elect Joe Biden is the right person for the job. https://t.co/DFhirT0z0i,2020-11-08 00:38:41,Twitter Web App,5,20
Thank you @DrPanMD https://t.co/U9aD5ikWXb,2020-11-04 22:37:52,Twitter for Android,2,11
A message from Dr. Bera #CA07 https://t.co/QZQ3TaDXo7,2020-11-04 09:17:50,Twitter Web App,2,11
#vote2020,2020-11-03 20:43:05,Twitter for Android,0,3
Today is the day. If you haven't already done so make sure you make your voice heard and vote! https://t.co/TbWkwbHT0S,2020-11-03 20:42:51,Twitter for Android,1,14
Let's do this https://t.co/FzTe2EeFSc,2020-11-03 16:57:11,Twitter for Android,0,4
#Vote2020,2020-10-31 20:17:55,Twitter for Android,1,2
4-day Vote Centers are now open in Sacramento County giving you even more locations to cast your vote! Drop off your ballot or vote at any location throughout the county. Visit the website below to find a Vote Center or Ballot Drop Box location near you https://t.co/0OiF9HLj3N,2020-10-31 20:17:45,Twitter for Android,3,4
#Vote2020,2020-10-30 00:22:07,Twitter for Android,0,2
I just voted by dropping off my ballot in one of the many Ballot Drop Box locations throughout Sacramento County. I urge you to join me and make your voice heard this election.  For information on voting in Sacramento County visit: https://t.co/D9Wt9sO4W9 https://t.co/0P0YVOcDHa,2020-10-30 00:21:32,Twitter for Android,1,8
A Republican ER doctor who rejects the science on COVID-19 is running against @Carolyn4GA7 in #GA07.  Over 150 Georgia doctors - including more than 40 infectious disease experts - are calling him out. Support Carolyn here: https://t.co/F14Cfka9Fo,2020-10-27 23:57:28,Twitter for Android,227,334
#BidenHarris2020,2020-10-17 23:30:02,Twitter for Android,0,2
I'm proud of my Indian heritage. #MyNameIs Amerish which has various meanings but most people call me Ami. As everyone knows this means 'Friend' in French...that's more than we can say for some Republican Senators. #IWillVote,2020-10-17 23:29:45,Twitter for Android,1,7
#BidenHarris2020,2020-10-08 21:37:36,Twitter for Android,0,3
It's clear from the debate last night that Senator Harris would be an excellent Vice President. Not only is she ready to work on the issues that matter but her compassion and empathy will help heal our nation.,2020-10-08 21:37:21,Twitter for Android,1,13
Extending my best wishes to President Trump and the First Lady for a quick recovery.,2020-10-02 23:16:56,Twitter for Android,1,2
#CaliforniaNativeAmericanDay,2020-09-25 21:31:54,Twitter for Android,0,0
Today is California Native American Day and we celebrate the culture and heritage of our country's first people.,2020-09-25 21:31:41,Twitter for Android,1,1
Our nation mourns the passing of Justice Ruth Bader Ginsburg. Her passion for equality will continue to inspire us and her impact on women's rights is unparalleled.  Thank you Justice Ginsburg; your legacy will endure.,2020-09-19 02:46:42,Twitter for Android,2,6
#NeverForget,2020-09-11 20:20:15,Twitter for Android,0,1
We remember those who lost their lives 19 years ago today. And to the incredible first responders during and in the aftermath of 9/11 your courage and sacrifice will never be forgotten. https://t.co/34atMb06kp,2020-09-11 20:19:57,Twitter for Android,2,1
We are now only 60 days away from the November election. Voting is integral to our democracy and can push the issues you care about to the forefront. For information on voting in Sacramento County visit https://t.co/vSp5QLhWfT.  Follow the link below https://t.co/ThqWTJWsue",2020-09-04 21:11:48,Twitter for iPhone,2,3
We must continue to be vigilant in our advocacy of equal voting rights.  #WomensEqualityDay2020,2020-08-27 20:08:21,Twitter for iPhone,0,0
On this year's Women's Equality day we celebrate the 100th anniversary of the adoption of the 19th Amendment. While the 19th Amendment afforded women suffrage it took several decades for the voting rights of women of color to be affirmed.,2020-08-27 20:08:02,Twitter for iPhone,1,2
Today we celebrate the 100th anniversary of the 19th Amendment's ratification. This historic occasion has impacted millions of women and allowed them to be more equal in American life. Still a century later the journey remains unfinished. https://t.co/r9smashdOn,2020-08-19 01:50:38,Twitter for iPhone,1,1
Go Team #BidenHarris!,2020-08-11 22:34:42,Twitter for Android,0,1
Congratulations to my friend and colleague @KamalaHarris my home state senator for being chosen as the VP candidate. I was honored to have her campaign with me in the past and believe she is an excellent choice to help move our country forward! https://t.co/2ZTW8hkjVF,2020-08-11 22:34:06,Twitter for Android,16,45
We must all do our part to help slow the spread of Covid-19 by social distancing and wearing masks in public. Together we will get through this. For the latest numbers on Covid-19 click the link below.  https://t.co/h8SbkyT5CR,2020-08-11 12:28:56,Twitter for iPhone,2,1
We have a chance to reinstate what was lost through legislation passed by the House of Representatives. Join me in demanding Mitch McConnell bring the John R. Lewis Voting Rights Act of 2020 to the Senate floor by signing the petition below.,2020-08-08 14:40:00,Twitter for iPhone,1,3
The landmark Voting Rights Act which was passed in 1965 effectively enfranchised millions of Americans. However through a recent Supreme Court ruling several key provisions were invalidated.  https://t.co/M9myUAgcsR,2020-08-08 14:39:34,Twitter for iPhone,2,2
Found an old photo with my family President Obama and First Lady Michelle Obama. The best birthday gift we can give him is to go out and vote! Happy birthday President Obama! https://t.co/w6MVTUZ6JG,2020-08-04 22:50:29,Twitter for iPhone,1,8
Voting is the most powerful nonviolent tool that we have and everybody must use it to make the world a better place. Rep John Lewis,2020-08-03 17:59:22,Twitter for iPhone,0,0
The act of voting is fundamental to our democracy; it allows our voices to be heard. If you are not registered to vote or are unsure of your voter registration status click the link below. https://t.co/KRyrpauPT8  or  https://t.co/yj8fiQ5UuG,2020-08-03 17:59:12,Twitter for iPhone,2,1
During this time many people cannot physically be with their friends and loved ones. Today on International Day of Friendship let's take time to celebrate our friendships no matter the distance. https://t.co/SVH5lDV1Bk,2020-07-30 22:10:43,Twitter for iPhone,0,5
The Americans with Disabilities Act was passed 30 years ago yesterday.   It has enabled millions of Americans to live with greater independence and accessibility. We should be proud of the progress we’ve made but moving forward need to have the same opportunities as everyone.,2020-07-28 03:44:14,Twitter for iPhone,2,2
We are feeling the loss of Georgia’s legendary hero Representative John Lewis. A civil rights icon and advocate who spent his life fighting for racial equality and justice. We will always be grateful that he dedicated his life in the pursuit of freedom for all. https://t.co/vqz5rKhapv,2020-07-18 21:33:38,Twitter for iPhone,4,6
We are saddened by the loss of another civil rights veteran C.T. Vivian. He marched alongside Dr. King and led sit-ins and demonstrations through some of Alabama's most segregated cities. Thank you for fighting for justice throughout your life you will not be forgotten. https://t.co/mNkVDglTWH,2020-07-18 21:32:08,Twitter for iPhone,2,1
With increasing numbers of COVID-19 related hospitalizations CA is taking statewide action to reduce the spread. We must all continue to do our part to by social distancing and wearing masks in public. Visit the website below for more information. https://t.co/tt9dFMAJde,2020-07-15 00:18:33,Twitter for iPhone,1,0
Now is not the time to withdraw from the WHO &amp; the international health community. While not perfect the WHO organizes international efforts and disseminate information in the face of crises like COVID-19. Our response can be vital in future pandemics.  https://t.co/lCUyAXMSTe,2020-07-08 23:54:46,Twitter for iPhone,2,3
Happy 4th of July! Have a safe holiday weekend. https://t.co/WpGTd6IkGQ,2020-07-05 00:10:59,Twitter for Android,1,1
As we continue to reopen we need to remember that we are still in the middle of a pandemic. Continue to wear your mask and social distance and use proper precautions in public. It’s necessary to help stop the spread of COVID-19 and protect the community.  https://t.co/lPc9va7Fkk,2020-06-22 23:38:37,Twitter for iPhone,1,1
Today we celebrate the 155th anniversary of the end of slavery in the United States. On this Juneteenth in particular we must pause and reflect. Progress continues to be made but there is so much more to accomplish. https://t.co/HBWnckG4r0,2020-06-20 00:17:00,Twitter for iPhone,1,2
As we celebrate Pride this month it’s important to recognize that the fight for justice and equality extends beyond one single movement. We must continue to fight against injustice wherever it exists. I'm proud to stand by our LGBTQ community. #PRIDE2020" https://t.co/EbtrEl3zjB,2020-06-09 23:52:33,Twitter for iPhone,1,3
We continue to mourn the senseless and unconscionable loss of Breonna Taylor on what would have been her 27th birthday. Breonna we will never forget the love you gave to this world and will honor your legacy by fighting for justice in your name. https://t.co/Ww0SB6gnye,2020-06-06 03:01:16,Twitter for iPhone,1,2
We must all demand justice. #BlackoutTuesday https://t.co/vp24hL8uvr,2020-06-02 17:47:13,Twitter for Android,1,1
#EidMubarak to our Muslim brothers and sisters. Wishing you health and safety during this time.,2020-05-24 02:20:11,Twitter for iPhone,1,2
Yesterday I voted in support of funding small businesses hospitals and to expand COVID-19 testing. Going forward it’s urgent that we create a national testing strategy while ensuring small businesses &amp; hospitals receive the relief and resources they need. https://t.co/bnhGovqd3E,2020-04-25 03:02:20,Twitter for iPhone,4,7
It's great to see small businesses stepping up at this time to help support our health care workers.   https://t.co/DiCZfCZHdZ,2020-04-15 23:37:46,Twitter for iPhone,1,2
It takes all of us coming together to get through this. If you're able here are some ways you can stay involved in your community: American Red Cross - To safely donate blood: https://t.co/EpcqCKbkYA  Direct Relief - https://t.co/rX06hi9GWw,2020-04-14 04:09:36,Twitter for iPhone,1,2
It takes all of us coming together to get through this. If you're able here are some ways you can stay involved in your community:  Sacramento Food Bank and Family Services - To volunteer or donate: https://t.co/LnJkfLPTKH,2020-04-14 04:09:06,Twitter for iPhone,1,2
It takes all of us coming together to get through this. If you're able here are some ways you can stay involved in your community:  California COVID-19 Volunteers -  https://t.co/X1Bo3UprSq,2020-04-14 04:08:09,Twitter for iPhone,1,2
Thank you @JJPfisterDC for retooling their distillery to produce hand sanitizer for our local community organizations medical staff and police and fire departments. It's great to see local businesses like this step up for our community in these times.  https://t.co/XdVQ524KEE,2020-04-11 03:16:49,Twitter for iPhone,1,2
The CDC has recommended everyone in public wear a mask to help slow the spread of COVID-19. If you're using a cloth mask make sure you're taking the time to clean it properly.   https://t.co/gO5jnj89US,2020-04-07 18:54:08,Twitter for iPhone,0,0
Expanding health care coverage has been a priority of mine in Congress. A special enrollment period during this pandemic would give the opportunity for millions of Americans to seek out coverage. It's time to put the American people above politics. https://t.co/rv4qcLyFUV,2020-04-02 01:54:57,Twitter for Android,4,2
Staying active while social distancing is important for one's mental and physical health. For some exercise you can do at home check out the article below.  https://t.co/bcUYKuXDKK,2020-03-27 22:42:39,Twitter for iPhone,1,2
The Affordable Care Act has given millions access to health care and protects coverage for those with pre-existing conditions. Now more than ever it's important that we continue to fight to protect and build on this landmark law. #ACA10 https://t.co/l2sYoFvQFv,2020-03-24 02:01:01,Twitter for Android,1,3
To stay safe remain at home unless you are going out for essential activities (i.e. getting groceries or medication etc). This time will be difficult for all of us but we will get through this if we work together and look after one another. https://t.co/3shCo7rXCN,2020-03-21 21:19:40,Twitter Web App,1,4
