This year Georgia 🍑 was won by a Democratic presidential ticket for the first time since 1992. If we keep up that same momentum we can elect Jon @Ossoff and @ReverendWarnock and finally take back control of the Senate -- and our future. Read more &gt;&gt; https://t.co/6jaPnpvulE https://t.co/r8kLH6Qbfy,2020-11-23 20:51:23,Gain Platform,2,3
2020 has been the most deadly year for trans and gender-nonconforming folks. Today Transgender Day of Remembrance we grieve for those we lost and recommit to protecting the community from all forms of violence. Remember their names &gt;&gt; https://t.co/bDkTrzVl0d https://t.co/CV29UFCJ0g,2020-11-20 17:00:39,Gain Platform,2,4
The results from 2 different COVID-19 vaccine clinical trials are showing overwhelmingly positive results. This is a great first step to building confidence with the public. Read more &gt;&gt; https://t.co/aZ0GM8xdFR https://t.co/7FiNMILeey,2020-11-19 17:00:37,Gain Platform,1,1
Colorado just like nearly every state across the nation is experiencing a surge of COVID-19 cases. Work from home if you are able. Go out in public as sparingly as possible wear your mask and practice social distancing. Read more &gt;&gt; https://t.co/eCGyUvL3PF https://t.co/X8nW1jh6YE,2020-11-18 17:00:14,Gain Platform,1,1
As chair of the House Energy and Commerce Oversight and Investigations Subcommittee Diana is ensuring that all safety and efficacy standards and precautions are being met. This is a huge milestone -- but there's still work to do before distribution. https://t.co/S1fXL1b2Q5 https://t.co/s4mkfiIPnO,2020-11-17 16:57:00,Gain Platform,1,1
Thank you @staceyabrams. Stacey is one of the many Black women who built an infrastructure in Georgia that allowed @JoeBiden to go toe-to-toe with Trump and @Ossoff and @RaphaelWarnock to head to runoffs for the U.S. Senate. Read more &gt;&gt;  https://t.co/xPXKrO9H42 https://t.co/soTUX2Tv3o,2020-11-13 17:00:06,Gain Platform,1,1
"While I may be the first woman in this office I will not be the last. Because every little girl watching tonight sees that this is a country of possibilities." Truly moving words from VP-elect @KamalaHarris. Watch her entire speech here &gt;&gt; https://t.co/R84S02KAWy https://t.co/Hvc2blL8BK,2020-11-12 17:00:37,Gain Platform,1,3
Thank you to all veterans across Colorado and the country who selflessly served this nation. I will not stop working to fulfill the promise made to you -- to provide medical care and mental health treatment job placement and the hard-earned benefits that you so deserve.,2020-11-11 17:00:38,Gain Platform,1,2
To each and every one of you who advocated organized and refused to allow hate and division to be this nation's north star — thank you. Read Diana's note here » https://t.co/wvzh4uRrDV https://t.co/o62aWOjLY9,2020-11-07 17:35:54,Gain Platform,2,3
I am honored and excited to get to work for the American people with President-Elect @JoeBiden and Vice President-Elect @KamalaHarris #copolitics #BidenHarris2020,2020-11-07 17:09:00,Twitter Web App,4,15
Congratulations to the new Speaker of the Colorado House of Representatives @AlecGarnett! #copolitics,2020-11-06 16:04:00,Twitter Web App,1,8
Election are about counting votes. It's really that simple. #RewardsForPatience,2020-11-06 15:44:07,Twitter Web App,1,12
We are delighted to have you on the team. Together we can do great things for Colorado. https://t.co/Fhuk7Gv6RX,2020-11-06 15:37:23,Twitter Web App,3,15
It is important that every vote is counted. We are in a great position to win this election for @JoeBiden. Patience is difficult but important. I'm feeling good about where we are this morning.,2020-11-04 16:26:03,Twitter Web App,2,15
Thank you to the voters of Congressional District one for entrusting me with another term. I feel confident that we will have a mandate in the House to work on important issues like climate change access to health care and increasing the minimum wage #copolitics,2020-11-04 02:33:00,Twitter Web App,5,73
