Our small businesses have been hit particularly hard this year.   This #SmallBizSat as you begin your holiday shopping remember to #ShopLocal and #ShopSafely -- wear a mask and social distance and consider making purchases online. https://t.co/ebKVzTFwqx,2020-11-28 16:34:00,TweetDeck,13,33
GREAT NEWS! Several organizations in @bouldercounty that serve our homeless populations have received federal funding through the #CARESAct -- including @attnhomes @BoulderShelter @bobridgehouse &amp; @FollowSPAN  https://t.co/QmR6zrtRnX,2020-11-27 17:09:00,TweetDeck,5,49
This Thanksgiving I’m thankful for our frontline healthcare workers.  Grateful for the opportunity to deliver some pumpkin pies this morning to the folks at our local hospital who are working around around the clock to save lives.  Have a safe and happy Thanksgiving. https://t.co/BLGhvZzAyb,2020-11-26 19:25:09,Twitter for iPhone,14,146
Wishing a safe healthy and socially distanced Thanksgiving to you and your family! https://t.co/q6geLtzUSR,2020-11-26 16:37:00,TweetDeck,5,106
Flynn pled guilty — twice — to lying to the FBI.    And in return?   He now gets a presidential pardon.   The President’s latest abuse of power may be unsurprising. But it cannot be normalized.    It is corrupt.   And it should shock the conscience of every American.,2020-11-25 22:19:24,Twitter for iPhone,252,1207
For months now firefighters in Colorado have worked diligently to protect our communities from devastating and relentless wildfires tackling immense challenges amidst the pandemic.    We are so grateful for their service and sacrifice. Thank you. https://t.co/da3olAORfZ,2020-11-25 18:04:00,TweetDeck,21,90
Americans pay more for prescription drugs than virtually anyone else in the world.  Why?  In part because of mergers and consolidations in the industry.  It is time for the @HouseJudiciary Antitrust Subcommittee to begin an investigation into Big Pharma. https://t.co/QvNTPtWwV1,2020-11-24 17:56:50,Twitter for iPhone,13,102
Open enrollment for Medicare is happening now through December 15th. Visit https://t.co/YYu7evTbm2 for more information on how to enroll and to get answers for questions you may have.,2020-11-24 17:26:38,TweetDeck,5,15
Proud to lead a bipartisan effort with my colleague @RepGarretGraves for supplemental funding for @USDA’s Emergency Watershed Protection Program to ensure adequate resources for communities recovering from wildfires hurricanes and other natural disasters. https://t.co/XaFLl7rpbX,2020-11-24 00:56:42,Twitter for iPhone,7,60
.@JohnKerry is a deeply respected leader on the world stage who negotiated and signed the Paris Climate Agreement on behalf of the U.S.   I look forward to working with him &amp; the Biden-Harris Administration to address the climate crisis &amp; build the future our children deserve. https://t.co/RED2Gk2LwQ,2020-11-23 20:34:40,TweetDeck,43,278
In a few short months we will:  ▶️ Rejoin the #ParisAgreement  ▶️ Invest in modernizing the grid &amp; expanding renewable energy jobs  ▶️ Reestablish U.S. leadership on the international stage  Grateful for the opportunity to discuss #ClimateAction w/@DrJasonJohnson on @amjoyshow. https://t.co/tBogxS0Yba,2020-11-23 14:25:03,Twitter for iPhone,49,299
As #COVID19 cases in Colorado continue to rise it's so important to stay vigilant. Don't let up on what we know works.  #WearAMask #WashYourHands #SocialDistance https://t.co/0QIcUob0aI,2020-11-21 16:36:00,TweetDeck,13,48
Today I voted to advance the National Apprenticeship Act of 2020 – a proposal to create 1 MILLION new apprenticeship opportunities to help Americans get back to work. This is critical to building back our workforce in the face of the pandemic. https://t.co/xPiczhPw7Z,2020-11-20 20:41:00,TweetDeck,13,90
After a cross-country trip from colorful Colorado the U.S. Capitol Christmas tree has arrived in Washington D.C!  It’s a 55-foot tall Engelman Spruce that’s been growing in the Grand Mesa Uncompahgre &amp; Gunnison National Forests on the Western Slope. https://t.co/cZnaY7Cfvc,2020-11-20 18:07:00,TweetDeck,4,47
Join us on Monday November 23rd at 5:00pm MST for a telephone town hall to hear updates on COVID-19 and the wildfires still burning in Colorado. Visit https://t.co/w915OV5tC5 for more information and to register. https://t.co/0OzRqTqi4K,2020-11-20 16:39:00,TweetDeck,4,14
I'm glad to see our proposal to help struggling small businesses earn bipartisan support in the Senate.   This legislation could save Colorado small businesses dealing with the impacts of COVID-19 up to $10000 in additional loan forgiveness. It is critical that we get this done. https://t.co/GeGGjU0QKI,2020-11-20 15:19:20,TweetDeck,5,28
Colorado has experienced a historic &amp; devastating wildfire season and it's crucial our state has adequate resources as we look to recovery.   Along w/ @RepGarretGraves I am calling for supplemental funds for the Emergency Watershed Protection Program to help our recovery. https://t.co/4ttvlQ8fdG,2020-11-20 14:14:39,TweetDeck,10,41
Today my district staff took part in Tour de Turkey and dropped off frozen turkeys to the Larimer Food Bank (@Food4LarimerCo)   Thank you so much to those who are giving their time and resources during this holiday season! https://t.co/IfZMd3G4uV,2020-11-19 22:32:19,TweetDeck,4,67
Starting tomorrow Boulder Broomfield Jefferson Clear Creek and Summit are moving into the level red severe risk category. Please be sure to follow public health guidelines in your area and wear a mask whenever not in your home. For more info visit https://t.co/nftdDgfN26,2020-11-19 21:10:00,TweetDeck,18,44
