Liberals are okay with massive gatherings as long as looting and  “peaceful protesting” are involved but not religious services.   Pretty telling. https://t.co/UotlfPODTP,2020-11-26 17:22:03,Twitter for iPhone,667,3066
Thanksgiving provides an annual opportunity for us to reflect on our blessings and to thank God.  This year will feel a bit different but nonetheless I am grateful to be a part our generous community.   Read my latest for the @GreeleyTribune. https://t.co/C2A6swp5M1,2020-11-25 15:58:31,Twitter for iPhone,3,11
Obama doesn’t get to tell Hispanic voters how they should vote. https://t.co/8uD6rVxroh,2020-11-25 15:06:43,Twitter for iPhone,46,130
My friend @DonaldJTrumpJr is absolutely right.  We need to support @PerdueSenate @KLoeffler in Georgia. They’re the last defense against socialism in America! https://t.co/owQOqA62Xh,2020-11-24 19:29:35,Twitter for iPhone,146,521
It’s easy to find common ground when taking on #BigTech and their blatant anticompetitive behavior.  cc: @davidcicilline  https://t.co/MDIC4wjh2l,2020-11-24 18:12:39,Twitter for iPhone,7,10
According to California The First Amendment protects strip clubs but not churches?  https://t.co/IzcQTmqnZB,2020-11-23 23:16:20,Twitter for iPhone,7,26
Our oil and gas workers keep the lights on for our state and it’s completely unacceptable for a state agency to be making fun of the hard-working people in this industry some of whom have lost their jobs.    https://t.co/hxwnA4171O,2020-11-23 21:01:50,Twitter for iPhone,2,5
Joe and Lilly dedicated their lives to making our state and country a better place for all. They will both be dearly missed. https://t.co/hKau70cJNv,2020-11-23 20:25:09,Twitter for iPhone,3,9
We cannot allow radical politicians like @ReverendWarnock (hosted Fidel Castro) or @ossoff (took money from CCP) in the U.S. Senate.   #HoldTheLine https://t.co/Yzq33mXdBh,2020-11-22 01:57:29,Twitter for iPhone,98,239
The unelected regulators in Colorado are openly mocking and attacking Oil and Gas workers.   I will never let them take these jobs away.  https://t.co/BI5EbrX6TS,2020-11-21 16:48:16,Twitter for iPhone,9,20
We need to #DefendTheSenate.  The Schumer/Pelosi Agenda would devastate America: ❌ Court Packing ❌ Green New Deal ❌ DC Statehood ❌ Tax Hikes  Chip in to help @Perduesenate and @KLoeffler hold the line! https://t.co/GGyNmw3yoG,2020-11-20 17:57:53,Twitter for iPhone,19,46
Members of ANTIFA are taking over our streets and destroying communities.   We cannot stand idly by as this kind of violence continues.   We need the BRICKS Act now.   https://t.co/TzRNYGTEZ5,2020-11-19 19:53:48,Twitter for iPhone,4,13
The regulators of Oil &amp; Gas are now openly mocking the industry which provides hundreds of thousands of jobs for Colorado.   Every member of the delegation should condemn this extreme bias and contempt. https://t.co/DwzMymU1mG,2020-11-19 16:07:24,Twitter for iPhone,46,45
“You can disguise your policies by not calling them “socialist” but voters will still eventually figure out what those policies mean in practice. They know the Green New Deal means more expensive energy and an end to fracking.” https://t.co/IlLhOqTdNL,2020-11-16 18:00:14,Twitter for iPhone,4,7
.@kristakafer is right: @CoryGardner was made for greater things.   Colorado needs great statesmen like him. https://t.co/ZlP5zkQ93q,2020-11-13 17:05:50,Twitter for iPhone,3,18
“Colorado needs legislators who are focused on being fiscally responsible responsive to the values and concerns of their district and transparent. I can offer no higher praise to Congressman Buck on meeting these qualifications.”  https://t.co/aTg1rlMM5s,2020-11-09 15:11:40,Twitter for iPhone,2,11
Flip the House in 2022. Retire Nancy. https://t.co/hvQmI0gM7t,2020-11-06 16:30:14,Twitter for iPhone,42,286
The Senate majority is still being decided.   We need to support @KLoeffler and @Perduesenate to stop court packing and the Green New Deal.   Support their efforts to stop the radical left agenda ⬇️  https://t.co/jv4ZKDgKy6  https://t.co/TIswPJQAwm,2020-11-06 16:17:19,Twitter for iPhone,7859,30590
Thank you to the wonderful people of #CO04 for re-electing me to represent you in Congress.  https://t.co/gEnfVWsVfg,2020-11-05 14:47:04,Twitter for iPhone,6,44
A bright spot in last night’s results “2020: The Year of the Republican Woman.”  Congrats to the female GOP House candidates replacing men this cycle:  @laurenboebert  @Kat_Cammack  @mtgreenee  @LisaForCongress  @FischbachMN7  @NancyMace  @DHarshbargerTN1  @Miller_Congress,2020-11-04 20:06:31,Twitter for iPhone,152,789
Congratulations @laurenboebert!   It will be great to have another freedom fighter from Colorado taking on the DC Swamp. https://t.co/qEpwLktRVy,2020-11-04 06:50:56,Twitter for iPhone,33,466
Thank you to the wonderful people of Colorado’s Fourth District! I look forward to continuing to represent you in Congress. https://t.co/9sq1bFLccJ,2020-11-04 03:24:20,Twitter for iPhone,48,260
It’s great to truly see democracy in action.   Alfonso recently became a U.S. citizen and he told me that he is excited to participate in his first U.S. election to create a safer and brighter future for our kids. https://t.co/EXbyV9mKrZ,2020-11-03 21:51:08,Twitter for iPhone,33,131
🚨 #CO04: Polls are OPEN.  Be sure to get your ballot in today! #VOTE  Use the link below to find your VSPC or drop off location ⤵️ https://t.co/0u5ug5fGz2 https://t.co/p9RiAW0niW,2020-11-03 16:02:58,Twitter for iPhone,3,4
Let’s get this done @CoryGardner. https://t.co/ze73Kmc8uZ,2020-11-03 15:58:33,Twitter for iPhone,6,32
#VOTE https://t.co/8ACfnnZksR,2020-11-03 15:16:08,Twitter for iPhone,1,9
It is so great to have the support of @VoteMarsha.   Join me by chipping in today 👇 https://t.co/Si0YYVFQs7 https://t.co/2NW5xe46tQ,2020-11-02 18:29:46,Twitter for iPhone,0,7
Joe Biden and his radical Democrat allies will launch an assault on your #2A rights.   I have just one message for them: Come and take it. https://t.co/A3b0TNr6BU,2020-11-02 16:09:45,Twitter for iPhone,53,213
Time is running out be sure to return your ballot by 7:00 PM tomorrow. https://t.co/Pa7qpRCjW6,2020-11-02 16:06:24,Twitter for iPhone,4,14
We need @SteveDaines back in the Senate. He has fought to protect conservative values for Montana. Make sure you support Steve and vote for him. https://t.co/VmVM3xrd5S,2020-10-31 16:12:33,Twitter for iPhone,4,8
You heard @VoteMarsha be sure to get your ballot in by November 3rd.   Thank you for the support Senator. https://t.co/8tCygj4WIu,2020-10-31 00:16:47,Twitter for iPhone,19,65
