Even with all of the unexpected challenges this year our community is stronger and the blessings are overwhelming. https://t.co/UgsxYwlCzR,2020-11-27 00:50:53,Twitter for iPhone,9,42
We have much to be thankful for right now. The SCOTUS ruling striking down these unconstitutional actions is so important for reinforcing religious liberty in the pandemic.  Justice Gorsuch: https://t.co/XK1Qh86XrP,2020-11-26 16:27:29,Twitter for iPhone,215,844
Lastly I am so thankful to be a part of this generous community. Even with all of the unexpected challenges this year our community is stronger and the blessings are overwhelming.,2020-11-26 15:19:20,Twitter for iPhone,0,12
I am especially grateful to Colorado’s energy workers whose work is often thankless as politicians have relentlessly pursued policies that undermine the oil and gas industry and threaten these vital jobs.,2020-11-26 15:19:19,Twitter for iPhone,1,18
To our military thank you for being willing to sacrifice to protect our freedoms. And a huge thank you to our law enforcement officers who protect our liberty and safety while being unfairly attacked by ungrateful mobs.,2020-11-26 15:19:19,Twitter for iPhone,0,7
I am thankful for our community’s kindness. Churches throughout the state are working overtime to meet the increased needs of Coloradans. And to everyone who works or volunteers at food banks thank you for for filling such an important need.,2020-11-26 15:19:19,Twitter for iPhone,1,3
As Americans we have so much to be thankful for – from our Constitution that protects our liberties to medical science innovations which have contributed to the speedy delivery of COVID-19 vaccines. I am thankful that healthcare workers are risking their lives to save ours.,2020-11-26 15:19:19,Twitter for iPhone,0,4
Happy Thanksgiving!   Today provides an annual opportunity for us to reflect on our blessings with family and thank God. Here are a few things I am thankful for this year: https://t.co/R74hhrwNgA,2020-11-26 15:19:18,Twitter for iPhone,17,112
The Biden Foreign Policy team gave pallets of cash to Iran and let ISIS run rampant through the Middle East.   No thanks. https://t.co/VyGTIVM4iU,2020-11-24 19:01:10,Twitter Web App,120,360
The answer is D all of the above.   That's how they view our energy sector employing 100000 Coloradans.   Take a listen:  https://t.co/qFQiNKXk7H,2020-11-24 16:58:05,Twitter Web App,5,14
The construction of the AVC is so important for rural residents of Southeast Colorado who need clean drinking water.  Thanks to @SenatorBennet @SenCoryGardner and @RepTipton for joining me in requesting continued support for the AVC in @Interior's FY2022 budget request. https://t.co/1yz7BjWLSZ,2020-11-24 16:50:47,Twitter Web App,4,15
.@Tim_Cook in July: “Forced labor is abhorrent. We would not tolerate it in Apple.”  Four months later Apple is lobbying against ending forced labor in China. https://t.co/7bE1rQ0YJI https://t.co/bzJW6etiqO,2020-11-23 19:31:24,Twitter Media Studio,564,618
Tim Cook told me under oath that he would support ending slave labor in China.   So why is @Apple now lobbying against ending slave labor?   Shameful. https://t.co/kuYaf8UBrD,2020-11-23 19:21:35,Twitter Web App,641,964
COGCC does not represent our values and doesn’t even respect the companies they regulate.   🚨 POLL: Which disparaging name did COGCC call Colorado oil and gas companies in an email sent out last week?,2020-11-23 16:52:49,Twitter Web App,9,26
COGCC is set to announce job-killing regulations of the oil &amp; gas industry today.   But Coloradans have repeatedly voted to reject these kinds of regulations.  My district knows the value of our oil &amp; gas industry one that employs thousands of people across the Eastern Plains.,2020-11-23 16:52:48,Twitter Web App,30,180
Our oil and gas workers keep the lights on for Colorado.  It’s completely unacceptable for state agency to be making fun of the hardworking people in this industry some of whom have lost their jobs because of this pandemic. https://t.co/E8VNfWEjn2 https://t.co/qFQiNKXk7H,2020-11-21 21:00:25,Twitter for iPhone,98,220
Two huge red flags.   1. Airbnb's “Chief Trust Officer” resigned over concerns about how the company shares data on millions of its users with the CCP.  2. Airbnb’s co-founder: “We’re not here to promote American values.”  https://t.co/46P9503rqg,2020-11-20 19:42:37,Twitter Web App,505,521
The riots we’ve seen take over cities across the country are truly un-American.   It’s clear that these riots not just the cost to physical property but to our political system as a whole. https://t.co/LJGUcRwm4Y,2020-11-20 19:20:54,Twitter for iPhone,46,143
