Happy #SmallBusinessSaturday!  This holiday season please support our small businesses during these difficult times.,2020-11-28 16:10:00,TweetDeck,1,0
The American people can’t wait any longer. We need more COVID relief. https://t.co/pI5NgLFQ4r,2020-11-27 17:09:00,TweetDeck,2,2
Wishing you and your family a happy safe and healthy #Thanksgiving https://t.co/byZqsfvWVi,2020-11-26 14:06:00,TweetDeck,1,9
This holiday season please stay safe and adhere to CDC guidelines. Remember the 3 Ws to: - Wear your mask. - Watch your distance stay 6 feet apart from others. - Wash your hands for a least 20 seconds.,2020-11-25 19:14:22,Twitter for iPhone,1,2
Thank you to all who have served. #VeteransDay https://t.co/CmGdT5lkPo,2020-11-11 23:00:31,Twitter for iPhone,1,1
The American people have spoken. Congratulations to President-elect Biden! I’m looking forward to working with him and his administration. It’s time for us to get to work unify the country and defeat this pandemic.,2020-11-07 16:59:01,Twitter Web App,4,16
President Trump is lying to the American people. This isn’t voter fraud or illegal. This is democracy at work.,2020-11-06 00:02:43,Twitter for iPhone,2,2
Counting every vote is what democracy is about. The Presidential election isn’t decided yet. Mail in ballots aren’t illegal.,2020-11-06 00:01:38,Twitter for iPhone,4,32
Be patient. We need to count every vote cast.,2020-11-04 23:27:43,Twitter for iPhone,1,7
Thank you to our volunteers for all of your hard work this campaign! https://t.co/f6SwGAGcZY,2020-11-04 18:06:00,TweetDeck,1,6
Thank you everyone for your support. I'm honored and humbled to be returning to DC to represent Connecticut's First District. https://t.co/3LWeFwh9g3,2020-11-04 17:43:13,Twitter Web App,5,27
Have you voted yet? Polls are open until 8 PM! If you are in line by 8 PM you can vote!  Need to register to vote? There's still time. More information here: https://t.co/yH5OIaw2VY,2020-11-03 23:34:37,Twitter Web App,2,2
Happy #ElectionDay! Today is the last day to put your voting plan into action. Polls are open from 6am-8pm. Find your polling location here: https://t.co/yK1hzAnRLT,2020-11-03 18:50:00,TweetDeck,1,6
Great seeing @AngelicoStetson today in Southington! Vote and vote blue! Not registered? CT has Election Day Registration. More here: https://t.co/yH5OIaw2VY https://t.co/uiJ3vj8jrz,2020-11-03 17:51:43,Twitter for iPhone,2,10
Who else is excited to vote? Polls are open until 8 PM! If you're in line by 8 PM you can vote! https://t.co/yKGNyHFksv,2020-11-03 17:45:59,Twitter for iPhone,6,17
#Bristol is working hard to get out the vote! Remember polls are open until 8 PM! https://t.co/W8ITRGRPYc,2020-11-03 17:03:47,Twitter for iPhone,0,1
Stopped by #NewHartford! Thanks to all our poll standers and volunteers who are working so hard today! #GOTV2020 https://t.co/qz7kcyR16E,2020-11-03 16:14:21,Twitter for iPhone,0,3
Get out and vote! Polls are open until 8 pm! Not registered? You can still register today (more information can be found here: https://t.co/05yheV9M1O) #GOTV2020 #VoteBlue https://t.co/mcGuWkAulB,2020-11-03 16:01:58,Twitter Web App,0,4
Together we can slow down climate change ensure access to affordable health care recover our economy get Americans back to work and mitigate the lasting impacts of the COVID-19 pandemic. Together we can create a brighter future #VoteBlue,2020-11-03 15:50:00,TweetDeck,1,1
Voted ✔️  Have you voted yet? https://t.co/8eiENLfxKO,2020-11-03 15:05:27,Twitter for iPhone,2,8
Have you voted yet? https://t.co/7VEQ87FBX2,2020-11-03 14:36:16,Twitter for iPhone,2,5
Today is the day we have been waiting for. If you haven't already today is the day to use your voice at the ballot box. Find where you can case your ballot here or if you voted by absentee check your status here: https://t.co/0JoZodHy9O,2020-11-03 14:14:03,Twitter Web App,2,5
Tomorrow is #ElectionDay and it's the final chance for you to vote in this year's election. Connecticut has same-day voter registration and you can find where you can cast your ballot here: https://t.co/0JoZodHy9O,2020-11-02 20:40:00,TweetDeck,2,4
Let's vote for candidates who believe in science tomorrow. https://t.co/U53BlsZcVN,2020-11-02 18:19:50,Twitter Web App,1,4
Whether you drop off your ballot in an official drop box (don't mail it!) or vote in person tomorrow get out there and vote! https://t.co/YUN1mf8hBz,2020-11-02 18:09:21,Twitter Web App,3,27
I #MaskUp to keep everyone in our communities safe. #MaskUpCT https://t.co/rVKHTxrUTK,2020-11-02 18:03:44,Twitter Web App,2,4
#VoteSafeCT https://t.co/MdfBPWX9FI,2020-11-02 17:01:00,TweetDeck,5,7
#GOTV Car Parade in East Hartford today for @JoeBiden! Make sure you VOTE! https://t.co/lha69gD87I,2020-11-01 22:19:10,Twitter for iPhone,1,12
Proud to serve Connecticut's 1st District! https://t.co/z9jr0n40Wi,2020-11-01 21:49:00,TweetDeck,1,11
Voting in-person is still safe. Remember to wear a mask! #VoteSafeCT #MaskUpCT https://t.co/yrHt68Ebgm,2020-11-01 19:00:01,TweetDeck,2,1
Berlin is fired up! Let’s get out the vote! #GOTV https://t.co/T1njUx3oLt,2020-11-01 17:37:38,Twitter for iPhone,2,9
Did you know curbside voting is available for those who need it? #VoteSafeCT https://t.co/6iN3UougIo,2020-10-31 18:59:00,TweetDeck,3,2
Good conversations with Dems in the Northwest Corner! Let’s get out the vote! https://t.co/w9ocrblpw1,2020-10-31 18:58:43,Twitter for iPhone,2,6
Spoke to West Hartford Democrats today who are working hard to get out the vote! https://t.co/BwFDj9EF2B,2020-10-31 18:15:56,Twitter for iPhone,2,1
Happy Halloween! 🎃 Halloween looks different this year but it’s important to #WearAMask and socially distance to protect our families and neighbors. Next week we can vote @JoeBiden into office contain COVID-19 and get back to our favorite traditions next year!,2020-10-31 18:03:00,TweetDeck,2,2
Exciting kick off to the last weekend before Election Day in Newington today! Let’s go Dems and GO VOTE! https://t.co/ZI562SrRNa,2020-10-31 15:54:08,Twitter for iPhone,2,1
Too often #StudentLoans prevent Americans from building a financially stable future. My plan would help those who serve and work for our country pay for college. Student debt isn't going anywhere and it's time we finally make college affordable.,2020-10-31 13:47:00,TweetDeck,1,4
Not registered to vote? Don't worry you can register on Election Day! Find your Election Day Registration location here: https://t.co/05yheUSaDe https://t.co/pfJAhcjuLs,2020-10-30 16:58:00,TweetDeck,1,1
Schools and our entire country could have had COVID-19 relief aid back in May if the Senate had passed the Heroes Act. https://t.co/v5lPMeCI5f,2020-10-30 14:45:00,TweetDeck,1,4
Voting absentee? To make sure your ballot is received in time drop it off at an official ballot dropbox or to your town clerk! #VoteSafeCT https://t.co/W48xUvQXRo,2020-10-29 22:34:40,Twitter Web App,2,5
#tbt to November 2019 at the unveiling of the Fallen Star Memorial in East Hartford. I am honored to have helped create this memorial and will continue to work everyday to provide our veterans with the resources and care they deserve. https://t.co/HuL1C6ErMA,2020-10-29 20:41:00,TweetDeck,1,4
Proud to have Selectwoman Bransfield's support! Looking continuing working with her for the people of Portland. https://t.co/gXpResZNUI,2020-10-29 17:43:00,TweetDeck,1,5
This is not immigration policy this is cruelty. We need new leadership and ensure this never happens again. https://t.co/VaunQAZDAR,2020-10-29 13:38:00,TweetDeck,1,2
Thank you Jim! Join #TeamLarson today! https://t.co/BaTGXMwPtr,2020-10-28 20:37:00,TweetDeck,1,6
Drop off your ballot if you haven't mailed it yet. https://t.co/6H5Hdn3Yro,2020-10-28 17:24:47,Twitter for iPhone,5,6
Leadership is on the ballot. Healthcare is on the ballot. The environment human rights economic recovery our democracy are all on the ballot this year. #Vote to make sure your voice is heard at the ballot box!,2020-10-28 14:35:00,TweetDeck,2,3
Thank you Tejal for your support! https://t.co/ea6S3BCNMl,2020-10-27 21:32:00,TweetDeck,1,2
Proud to have Pat's support! #TeamLarson https://t.co/lBmzAYDsU0,2020-10-27 18:34:00,TweetDeck,1,3
Great conversation last night with Democrats from Granby East Granby Windsor and Windsor Locks! https://t.co/Q09Mzr8HBo,2020-10-27 15:01:03,Twitter for iPhone,2,3
