Congratulations also to John Kerry on his appointment to help get us back on track to taking on climate change.,2020-11-24 16:19:17,Twitter for iPhone,34,546
I am honored to extend congratulations to @AliMayorkas @ABlinken Avril Haines Janet Yellen @LindaT_G and @jakejsullivan on their nominations to serve in the Biden Administration.  We are one step closer to getting on with the people’s business.  America’s back!,2020-11-24 16:19:17,Twitter for iPhone,67,756
Have you been impacted by COVID-19? You may be eligible for a relief grant through the @OrangeCoFL CARES Fund. The application portal will reopen Tues Nov. 24 at 8 a.m. for 15000 users. This is one of the last chances to apply.   For more info visit https://t.co/xvry6nV61i. https://t.co/fWxMr9aa6H,2020-11-23 16:07:02,Twitter for iPhone,31,63
This is not some mystery. Taking precautions against covid saves lives. Refusal to follow the science is the act of a cult. Use your brain and protect the people you love. https://t.co/c3zxz2tBAU,2020-11-20 19:56:22,Twitter Web App,94,410
Sometimes your side loses elections. That’s democracy. To throw around baseless claims of fraud with no evidence undermines our republic and threatens our most precious freedoms. It’s time for the GOP to find their backbones and rein in this reckless president.,2020-11-20 18:53:25,Twitter Web App,5144,33618
We need the GOP to come back to the negotiating table and pass real help for restaurants and other small businesses. Otherwise they may not survive the winter. https://t.co/3V8liE7byE,2020-11-20 18:46:28,Twitter Web App,47,246
Wishing a very happy birthday to President-elect Biden and to my sister Hazel. Birthdays are Blessings.,2020-11-20 18:04:34,Twitter for iPhone,92,1116
Proud of @MCO for being awarded the Global Biorisk Advisory Council (GBAC) STAR accreditation for cleaning protocols disinfection techniques and related efforts to combat COVID-19.,2020-11-20 17:50:01,Twitter Web App,12,104
Join us now for this important event on health care coverage for 2021 starting in just a few minutes. https://t.co/XjHzXiGPWV,2020-11-19 23:55:31,Twitter Web App,21,67
By refusing to pass federal covid relief GOP politicians have put local leaders in an impossible position. Individuals and businesses need federal support in order to limit the spread of the virus while still making ends meet. It’s not a luxury it’s required. https://t.co/oz1rp726ke,2020-11-19 22:44:53,Twitter Web App,117,370
FACTS:  President-elect Biden will be sworn in.  Trump throwing a tantrum will not change the result.  Trump officials refusing to coordinate with the transition will cause Americans to needlessly die.  GOP leaders allowing this to continue are complicit.,2020-11-19 18:16:18,Twitter Web App,633,2484
250000 Americans have died. We must take this virus seriously. https://t.co/KLdNudAdNR,2020-11-19 18:02:19,Twitter Web App,39,240
Bipartisan governors beg you: limit your Thanksgiving festivities this year. Protect your loved ones. https://t.co/fjUJzEnhO6,2020-11-19 18:02:12,Twitter Web App,22,125
America what is President Trump doing? He lost and is now trying to overturn the will of the people while the GOP does nothing.  History WILL remember those who did not have the courage to fight for our democracy.,2020-11-19 15:56:58,Twitter for iPhone,7622,42434
If you are at risk of eviction please see these FAQs from the @NHLP regarding the federal moratorium on evictions for renters at federally-backed properties. You have rights.  If you live in the 10th District please call my office. https://t.co/0j469VG84j,2020-11-18 21:33:00,Twitter Web App,95,189
Please remember the Medicare Enrollment Period for 2021 ends on December 7th.  For questions on this and other health care enrollment please join us for our tele-town hall this Thursday at 7:00pm. https://t.co/pBh1OSYodZ,2020-11-17 21:35:11,Twitter Web App,48,108
If you didn't receive the economic impact payment passed by Congress as part of the CARES Act you have until November 21st to apply. Use this tool to see if you're eligible: https://t.co/bqbfRYoE8j,2020-11-17 18:44:50,Twitter Web App,57,78
Happy Founders Day to the amazing men of @OfficialOPPF especially @OCFLMayor! https://t.co/hcM6gdb6BO,2020-11-17 18:35:51,Twitter for iPhone,14,76
