Establishment Republican promotes conspiracy theory re Russia.   Where have I seen this before? https://t.co/SvwvYuftd7,2020-11-28 22:10:09,Twitter for iPhone,462,2742
The weekend is the perfect time to catch up on our podcast! https://t.co/VsYtU0ELRn,2020-11-28 21:15:51,Twitter for iPhone,61,364
Nighttime @foxnews on the weekend is 🔥🔥🔥tho.   Catch me tonight on @judgejeanine and tomorrow with @stevehiltonx. https://t.co/R9k3eDnw1S,2020-11-28 20:21:57,Twitter for iPhone,200,1810
A Christmas gift for the favorite Firebrand in your life!   https://t.co/wjxjeaoc51,2020-11-28 15:55:23,Twitter for iPhone,80,684
Free humans. https://t.co/6dgdtkpLYx,2020-11-28 01:32:10,Twitter for iPhone,943,7290
Florida can count our ballots report the results and launch astronauts to the International Space Station in less time. https://t.co/85EHY3kXUm,2020-11-25 16:33:02,Twitter for iPhone,3392,16586
Big Tech wants to be the arbiter of truth and falsity.  I believe in an America strong enough to confront the false the uncomfortable and the odd. https://t.co/8B1AQCDAvv,2020-11-24 20:17:58,Twitter for iPhone,670,2725
New Episode Just Posted!  Did you know Airbnb has gone “China First?”   https://t.co/nVKHLJkgRf,2020-11-24 16:18:59,Twitter for iPhone,73,346
President Trump built the strongest economy in the world mobilized historic vaccine breakthroughs secured our border and refocused our foreign policy away from Forever Wars.  And the establishment wants to throw him in prison for it. https://t.co/XekJKxmczv,2020-11-24 15:38:54,Twitter for iPhone,707,3993
They’d be all over it if someone left a garage pull rope hanging down.  Or if Texans were driving on the interstate w Trump flags.   #DoJDoubleStandard https://t.co/p1sjZHLyEi,2020-11-23 23:42:51,Twitter for iPhone,559,2385
I support President Trump’s America First Foreign Policy!  https://t.co/SncxV8NNW7,2020-11-23 23:38:53,Twitter for iPhone,713,4557
Where is John Durham?  https://t.co/NO9LVhwtGZ,2020-11-23 19:16:06,Twitter for iPhone,195,1353
“Only Rep. Matt Gaetz (R-FL) unequivocally said he was opposed to keeping U.S. troops in Afghanistan.” https://t.co/g590Kcc63g,2020-11-23 17:02:29,Twitter for iPhone,331,1844
Salon does not like me.  But they think I’m running for President in 2024.   I think it bothers them.  https://t.co/ChBBAwU95E,2020-11-23 16:47:42,Twitter for iPhone,91,719
Who is this man?  And what congressional district does he live in? https://t.co/gyu5SofZYr,2020-11-22 17:17:05,Twitter for iPhone,6572,40729
Have a Blessed Sunday!,2020-11-22 16:04:11,Twitter for iPhone,729,14752
Thank you for making “Hot Takes with Matt Gaetz” a top 200 podcast on Apple.    I enjoy sharing my perspective on the news every weekday.  Listen and Subscribe today!  https://t.co/lkLb2SpXu2,2020-11-21 21:27:43,Twitter for iPhone,86,780
(2/2)  From Max Alvarez to Kim’s convention speech to the @GamebredFighter events we developed a message that inspired.  We also showed that the BLM/Antifa/Woketopia world was not appealing to working class Hispanics who believe in strong families strong churches &amp; a strong USA,2020-11-21 16:08:37,Twitter for iPhone,113,824
Marc gets a lot correct here about the Hispanic flight from the Democratic Party.  @aoc was warning dems about their Latino probs early.  @kimguilfoyle was the architect &amp; key messager behind this very blue-color anti-socialism pro-Hispanic strategy. (1/2) https://t.co/TYb66BG0nu,2020-11-21 16:08:36,Twitter for iPhone,342,2046
Who will be around to enforce the Left’s nutty lockdowns and curfews if they Defund the Police?  🤔,2020-11-21 15:26:15,Twitter for iPhone,3368,26618
Ventura County Sheriff for Governor! https://t.co/q9PM41muC2,2020-11-21 15:24:29,Twitter for iPhone,391,2440
I don’t take *any* federal PAC money.  The “sweet and kind” dems should join me. https://t.co/G7gJMGFsMh,2020-11-20 22:19:47,Twitter for iPhone,221,1495
This is something. Sheriffs are refusing the insane lockdown orders of governors.   Let freedom reign!  https://t.co/kc1ky7IFpK,2020-11-20 20:17:20,Twitter for iPhone,336,2997
A Great Christmas Gift!  https://t.co/wjxjeaFNtB,2020-11-20 04:34:41,Twitter for iPhone,912,5039
My constituents continue to overwhelmingly re-elect me.   You are a hack from Virginia.  #FloridaMan https://t.co/QdhUGdpGq7,2020-11-20 01:12:11,Twitter for iPhone,315,3009
New report: COVID19 Immunities could last years or even decades.  Listen &amp; Subscribe https://t.co/EHcdVDimyH,2020-11-18 22:28:32,Twitter for iPhone,95,535
Congrats Darren!  Great choice by @realdonaldtrump https://t.co/VuuVttosMj,2020-11-18 18:18:54,Twitter for iPhone,269,2733
Republicans are wrong on remote voting  https://t.co/uaKrKtK2vE,2020-11-18 15:29:10,Twitter for iPhone,113,569
Richard Burr stock tips come later in new member orientation. https://t.co/GmW7lCq1CH,2020-11-18 14:56:53,Twitter for iPhone,313,1724
This is now the Left’s goal - throw President Trump his administration officials his family and his supporters in prison.   This is where we are now. Disgusting. https://t.co/ryYHTjoBdr,2020-11-18 14:44:35,Twitter for iPhone,7007,23886
I can tell you.   80% of the vote in the primary.  65% in the general.  No gerrymandering. Just winning. https://t.co/h4Y1Exwwrv,2020-11-18 14:39:17,Twitter for iPhone,228,2465
How votes were manipulated in real time in Venezuela - and how it could happen here on today’s episode.  https://t.co/qiiKHDJtew,2020-11-17 20:10:01,Twitter for iPhone,325,1986
Jordan for Governor? https://t.co/TxiynVyaJP,2020-11-17 15:52:33,Twitter for iPhone,1683,12408
A great Christmas gift for your favorite Firebrand in your life!   https://t.co/wjxjeaFNtB,2020-11-17 15:20:35,Twitter for iPhone,46,365
We’ve gone from Boss Tweed to Boss Tweet.   https://t.co/jtYDD5YiQP,2020-11-16 23:01:54,Twitter for iPhone,368,1299
New Episode out.   Get the latest on Trump’s strongest China post-up yet!  https://t.co/EbdLuj85Ls,2020-11-16 22:11:45,Twitter for iPhone,64,410
Good luck enforcing rule #2 on that list Ohio... https://t.co/o46j9MAlLT,2020-11-16 17:10:34,Twitter for iPhone,622,4801
Have a great day!,2020-11-14 16:22:16,Twitter for iPhone,559,9168
I love Don’s consistent advocacy on this. Thanks my friend. https://t.co/zk8oKKpERB,2020-11-14 16:13:07,Twitter for iPhone,890,5962
I agree. Her boyfriend Michael is way cooler. https://t.co/78xRooSCRi,2020-11-13 23:35:59,Twitter for iPhone,226,3311
Such trash. This is what sexism looks like.  Advancing the proposition that the only basis a man would have to promote/encourage a woman is sex hurts &amp; degrades all women.  Reducing a congresswoman-elect to her sexual utility because I showed her kindness isn’t funny.  It’s gross https://t.co/WUGh12dIFb,2020-11-13 18:28:41,Twitter for iPhone,938,6542
The 90+ crowd in PA showed one helluva voter reg surge during a pandemic.  This is data-driven circumstantial evidence of ballot laundering.  US Attys in PA should be talking to these “new voters” to see if they intended to cast ballots and/or if ballots were voted w/o consent. https://t.co/CXwTxKkRns,2020-11-13 18:12:23,Twitter for iPhone,4944,12611
@ErinGaetz You’re good. I have the antibodies.,2020-11-13 18:05:23,Twitter for iPhone,2,20
Here for it! https://t.co/HZC3ktjJVS,2020-11-13 17:57:15,Twitter for iPhone,871,8963
