With rising cases come rising deaths. Keep wearing your masks washing your hands and staying home. We can beat this virus together.  https://t.co/BdtfZ6k7NO,2020-11-28 15:03:58,Twitter for iPhone,9,41
26 million Americans go hungry and all the Senate will do is buck precedent and cram through Trump's lame duck judges. Tell @SenateMajLdr McConnell to get back to DC and pass #COVID relief now! https://t.co/M7KP1kkSUi,2020-11-27 15:06:49,Twitter for iPhone,24,76
After four years of ignorance the #ClimateCrisis will finally be a focus of the White House with @JohnKerry serving as the first ever special presidential envoy for climate. Mother Earth couldn't wait a minute longer. https://t.co/zGUEFW22sR,2020-11-25 18:57:02,Twitter for iPhone,17,77
A @JoeBiden Administration will confront America's problems not retreat from challenges or the world stage. The president-elect has put forward a diverse experienced team of crisis-tested professionals ready to lead on day one.  https://t.co/SuAqJUp7eV,2020-11-24 21:31:16,Twitter for iPhone,9,38
Staying home for thanksgiving doesn't mean missing out on the turkey. There's still time for a quick safe grocery store run to stock up on the staples. Here's what experts advise: https://t.co/XXPYcCtZDp,2020-11-23 15:28:58,Twitter Web App,4,21
It was heartwarming to participate in yesterday’s Thanksgiving Holiday Drive-Thru Distribution hosted by the Community Enhancement Collaboration Inc. in Hollywood.  Thanks to the City of Hollywood and all the sponsors for helping to make the holiday a special one for so many. https://t.co/lCD1qoP7TI,2020-11-22 21:49:16,Twitter for iPhone,7,58
Trump judges just decided it's okay to electroshock kids for being LGBTQ. They struck down 2 local bans on "conversion therapy" in FL &amp; referred to this torture as "controversial speech." This is a radical depraved decision from the 11th Circuit &amp; must be overturned by SCOTUS. https://t.co/u9ZBgtYTam,2020-11-20 17:39:57,Twitter for iPhone,33,55
Wishing the happiest of birthdays to #PresidentElect @JoeBiden! https://t.co/WmjOOkvsiU,2020-11-20 14:39:29,Twitter for iPhone,20,136
New @NYTimes reporting shows that while #COVID is rising nationally the situation is dramatically better in states with basic restrictions like mask mandates. Data doesn't lie wear a mask. https://t.co/NM7Q8H4bm1,2020-11-19 17:28:42,Twitter for iPhone,9,21
An unspoken victim of our gun violence epidemic is in fact gun owners themselves. Suicides by guns are up ~25% in just 8 years and higher gun sales amid the pandemic doesn't bode well. When we talk about ending gun violence we're doing it for ALL victims.https://t.co/HT0sDjGYyY,2020-11-18 15:24:51,Twitter Web App,13,31
Trump is doing everything he can to ruin our environment on his way out of Washington. The latest: he’s auctioning off oil drilling rights in Alaska's Arctic National Wildlife Refuge to the highest bidder.  https://t.co/qYW0LOQj76,2020-11-17 14:27:59,Twitter Web App,18,42
11 Million #COVID cases is a national emergency. @realDonaldTrump needs to stop whining about the election and spend his last 65 days in office working to address the pandemic. https://t.co/UdS5W2NFD7,2020-11-16 21:43:11,Twitter for iPhone,6,36
Trump's refusal to concede isn't just a stain on US history it damages our nation's ability to confront #COVID. Like Dr. Fauci said if we want a successful vaccine rollout we need a "passing of the baton without stopping running.” https://t.co/25QGneiOTD,2020-11-16 17:02:49,Twitter Web App,10,42
Florida saw nearly 7000 new COVID cases on Friday. We need a mask mandate.   https://t.co/npJ8M2oYag,2020-11-15 17:51:08,Twitter for iPhone,75,286
#COVID deaths are skyrocketing and hospitals are more overwhelmed than ever. Meanwhile Trump chases a fantasy election win even Republicans acknowledge he lost. Inauguration Day can’t come soon enough. https://t.co/0u7QJ6RVLR,2020-11-14 22:01:56,Twitter for iPhone,13,54
