Local shops in #FL9 are open and ready for your business! As a long time small biz owner I know it takes the support of our local community to be a continued success  So let’s #ShopSmall and #ShopSafe on this #SmallBusinessSaturday https://t.co/omLz6wLYLv,2020-11-28 22:02:47,Twitter for iPhone,7,17
Hiked #TwinOaks in @OsceolaCountyFl today with Xena. With the #pandemic now is a great time to enjoy the outdoors safely. We must continue to preserve these environmental treasures for our community! #LWCF https://t.co/xOVCACDzCZ,2020-11-28 20:55:05,Twitter for iPhone,2,11
The #coronavirus has put millions of Americans in danger of losing their homes. Across the district the #CARESAct has provided thousands with emergency housing relief. In ⁦@OsceolaCountyFl we have a plan for an emergency rehousing center.  https://t.co/VXacEjIAGs,2020-11-28 14:52:18,Twitter for iPhone,8,10
We could have first #CovidVaccine out in late Dec. Healthcare workers &amp; nursing home residents 1st responders &amp; teachers seniors &amp; those with health conditions will be prioritized. It will be free &amp; ready for the general public by Apr. #UnitedWeStand https://t.co/6bdrodgSSe,2020-11-27 14:26:53,Twitter for iPhone,6,18
“On this Thanksgiving and in anticipation of all the Thanksgivings to come let’s dream again. Let’s commit ourselves to not only think of ourselves but others as well.” Well said Mr Pres-Elect. And a #HappyThanksgiving2020 to you all! https://t.co/BsciizGxJQ,2020-11-26 14:23:46,Twitter for iPhone,5,20
The @salvationarmy is giving away 250 turkeys to families in need today from 12-2pm in @OsceolaCountyFl for #Thanksgiving2020! Info below: https://t.co/wO66Ze9zsL,2020-11-25 17:05:30,Twitter for iPhone,5,15
Met with our District Environmental Advisory Committee tonight to discuss protecting Kissimmee River Everglades &amp; Great Florida Reef as well as Pres-Elect @JoeBiden #ClimateCrisis Transition Plan. #ActOnClimate https://t.co/Nd6q6rVI6X,2020-11-25 00:54:21,Twitter for iPhone,3,18
It was an honor to work with @hainescity’s favorite son @NFL star @DerwinJames &amp; his family to provide families in need with a meal for #Thanksgiving2020! 🦃🍽🍁 https://t.co/2cjwQYZvm3,2020-11-24 22:10:59,Twitter for iPhone,5,9
Science is making a comeback to the White House. President-elect Joe Biden and Vice President-elect Kamala Harris will ALWAYS listen to science and scientists when making safety and efficacy decisions. Americans deserve clear consistent and evidence-based guidance! https://t.co/YxTuAH8w8J,2020-11-24 18:47:47,Twitter Web App,4,18
#TeamSoto was proud to present Kissimmee Mayor @BrokerJose2 with a Certificate of Congressional Recognition in honor of his invaluable service and contributions to our community.  We look forward to seeing his continued leadership in Kissimmee and beyond! https://t.co/O409iFqiW4,2020-11-24 16:14:22,Twitter for iPhone,4,24
It’s about time! @USGSA green lights #BidenTransition to begin. This is in the best interest of our country security &amp; democracy. 🇺🇸 🦅 ☀️ https://t.co/uEPbUuZTnl,2020-11-23 23:22:39,Twitter for iPhone,2,21
Felicidades to @AliMayorkas for making history as the first Latino @DHSgov Secretary! https://t.co/yGxRd5DVNE,2020-11-23 22:38:55,Twitter for iPhone,17,58
.@ABlinken is a crisis-tested leader who will help restore America's place in the world strengthen relationships with our allies keep us safe &amp; keep our adversaries in check. There is no one better to renew our global leadership! https://t.co/uHx7tRqIsn,2020-11-23 22:09:24,Twitter for iPhone,1,8
Honored to receive the #HarveyMilk Breakfast &amp; LGBT+ Center Diversity Award in person today. We remain committed to advocating for full equality for our entire #LGBTQ Community! 🇺🇸 🏳️‍🌈 https://t.co/SiE1PWz0KG,2020-11-23 21:01:49,Twitter for iPhone,6,31
INDIVIDUAL &amp; FAMILY ASSISTANCE NOTICE: Orange County Residents can apply for another round of one-time $1000 checks TOMORROW starting at 8 AM!   These are your federal #CARESAct dollars at work in our community: https://t.co/0E9gm66Ybz https://t.co/xr77cob8Rt,2020-11-23 20:11:01,Twitter for iPhone,2,5
Time for ⁦@GSAEmily⁩ to approve the transition for Pres-Elect ⁦@JoeBiden⁩. Her failure to do so violates the law hurts our democracy &amp; creates a national security risk. ⁦@USGSA⁩  https://t.co/JBzETCJssU,2020-11-23 17:49:04,Twitter for iPhone,10,24
Americans in #PuertoRico voted for statehood. The time to act is now! 2 US Senators &amp; 4 US Reps would help the economy disaster relief PROMESA reform &amp; COVID-19 response. Let’s write a new chapter in American equality &amp; democracy! 🇺🇸 🇵🇷 #PRStatehoodNOW https://t.co/CeVrpihtCd,2020-11-22 15:14:03,Twitter for iPhone,145,484
I concur @LeaderHoyer. False accusations of massive voter fraud pressuring state legislators to overturn the popular vote &amp; refusal to begin a transition of power as a whole may have already crossed that line. #ProtectOurVotes #SaveAmerica https://t.co/fNwDCQEqu1,2020-11-21 21:22:18,Twitter for iPhone,17,63
