Happy Thanksgiving! I know this year has been incredibly difficult and our celebration is a little different but we still have so much to be thankful for. I am so grateful for YOU!   I hope you have a safe and healthy holiday.,2020-11-26 15:47:43,Twitter Web App,142,1571
Women’s health care is one of my top priorities. I can’t wait to work with our nation’s first female Vice President to ensure all women get the care they deserve.  https://t.co/pSCIjtMxao,2020-11-21 19:53:52,Twitter Web App,881,5906
On this Transgender Day of Remembrance we honor those we have lost and recommit to putting an end to the violence against the trans community.,2020-11-20 20:27:13,Twitter Web App,348,2354
Happy #Diwali to those who celebrate in our community! May this new year bring you light and prosperity.,2020-11-14 21:19:01,TweetDeck,185,1545
From day one we’ve tried to be reformers -- and I’m proud of how effective we’ve been. We’ll continue to do that in the 117th Congress. https://t.co/fH9jsPEVh8,2020-11-13 17:02:36,Twitter Media Studio,566,3282
To all the voters who entrusted me with your vote and to those of you who voted for my opponent: I hear you I see you and I am here to serve you. There's a lot of work ahead but I know we can do it -- together. https://t.co/WHfWSAOa71,2020-11-12 21:52:37,Twitter Media Studio,1672,19321
It’s official -- we won! I’m so honored to continue to represent our community’s values in Congress. Thank you for all of your support. https://t.co/ArOPb0hBRu,2020-11-12 20:50:33,Twitter Web App,5475,71501
Today we thank our veterans for the sacrifices they've made for the safety and security of our nation.,2020-11-11 17:52:21,Twitter Web App,198,1804
We had so much fun saying hi to Team Underwood volunteers and supporters yesterday! Thank you so much for all of your hard work. https://t.co/hsqFsPdW8G,2020-11-08 20:27:53,Twitter Media Studio,597,4811
We knew that when every voice was heard @JoeBiden and @KamalaHarris would come out on top. Congratulations Mr. President-elect and Madam VP-elect! Let's get to work. 🇺🇸,2020-11-07 17:10:52,Twitter Web App,558,4958
More votes are being counted every day -- and we're working hard to make sure every voice will be heard! https://t.co/3CjaEYlo2R,2020-11-06 03:42:02,Twitter Media Studio,1216,9590
Friends - thousands of votes are still being counted in our race and it is too close to call. So far we’ve seen record-breaking turnout in our community and we commend our election officials for making sure every vote is counted and every voice is heard.,2020-11-04 18:16:35,Twitter Web App,665,7126
I wouldn’t be here if not for the amazing work that Team Underwood has done. To all of our supporters thank you from the bottom of my heart. https://t.co/fBsYm0JTd7,2020-11-04 02:14:52,Twitter Media Studio,64,825
Our virtual election night party is starting! Join us along with special guests @TammyForIL @petebuttigieg and more! https://t.co/bPwZ0l7bmg https://t.co/T6JFau4lI9,2020-11-04 01:35:31,TweetDeck,37,312
If you’re still in line to vote STAY IN LINE. If you’re in line you can still cast your ballot.,2020-11-04 00:45:24,TweetDeck,223,997
If you’re worried about your vote being counted call our voter protection hotline (224) 990-2200 in case of emergencies. Make sure your vote is counted! https://t.co/oNwaQBe0fW,2020-11-03 16:58:21,TweetDeck,44,114
Polls are open across #IL14 and across our nation. Make your voice heard: https://t.co/pA765vztvw,2020-11-03 12:00:01,TweetDeck,58,284
We've been putting some MILES on the GOTVan friends! Let Ashley give you the rundown: https://t.co/yU630wpJdT,2020-11-02 23:23:13,TweetDeck,32,186
Whether you're 18 or 80 there are so many options for you to cast your ballot safely (like Maxx did!) today or tomorrow - find out how at https://t.co/11nNNlOv5o! https://t.co/rKMtp1XJ6h,2020-11-02 21:54:29,TweetDeck,46,176
It's never too late to put up a yard sign! https://t.co/oXz6A23DiJ,2020-11-02 20:54:16,Twitter Web App,281,2586
At @JHUNursing and @UMichNursing I was taught to value health more than disease and unity rather than division. Eternally grateful to the nursing leaders who made me who I am today: https://t.co/SXl0MaUlM8,2020-11-02 14:32:39,TweetDeck,83,397
The last weekend of an election is always a rollercoaster -- here are the tunes that are getting us through: https://t.co/VICD7SUmTX https://t.co/bh8R1zwtzr,2020-11-01 22:55:06,TweetDeck,24,85
If you haven’t seen it yet @SurgeTheMovie is now available on Amazon! Watch our team make history in 2018 then sign up for a shift to help us make history again at https://t.co/eRr3g6mpJt,2020-11-01 20:52:02,TweetDeck,28,81
Every day I’m inspired by the work our neighbors have been doing to create change during this campaign. But I want to know what inspires YOU -- comment what motivates you to take action and I’ll share some of my favorites:,2020-11-01 14:37:56,TweetDeck,40,251
Your vote is your voice -- make sure to use it. 👉🏿 https://t.co/11nNNlOv5o https://t.co/7o0Ks70QTK,2020-10-31 22:16:23,TweetDeck,97,414
🎃 Happy Halloween! 🎃 We all need to celebrate safely this year -- but that doesn’t mean we can’t still have a little fun. https://t.co/ZqDcGlorQr,2020-10-31 18:12:00,TweetDeck,86,267
Friends you helped us make history in 2018 -- and now we need your help again. Can I count on you to take a shift before time runs out? ➡️https://t.co/eRr3g6mpJt⬅️ https://t.co/aikXkJ9gXc,2020-10-31 14:53:15,TweetDeck,77,217
Don't worry Team Underwood -- we're putting together a special virtual election night party for you! Join us online or with the YouTube app on your TV. More details to come! 💪🏿 https://t.co/m5UoAk8UXI,2020-10-31 00:38:19,TweetDeck,43,298
Small businesses are continuing to struggle during this pandemic and it's important that we look out for each other. I checked in with Bocaditos Cafe in Batavia to discuss how our community is coming together during this tough time.   I'm proud to carry their voice to Congress. https://t.co/BIZjv9idUh,2020-10-30 21:32:38,Twitter Media Studio,52,242
Had so much fun at our drive-through “trunk or treat” tonight! Thanks to everyone who came out! https://t.co/ZEalVb1lhT,2020-10-30 01:04:15,TweetDeck,66,491
We need leaders who will listen to public health experts - and on Tuesday we can elect them:  https://t.co/Dhncn9x99x,2020-10-29 15:43:11,TweetDeck,132,495
The veterans suicide epidemic requires immediate action. My bill -- just signed into law -- will help us deliver the high-quality mental health services our veterans deserve: https://t.co/34XXars56U,2020-10-28 23:02:00,TweetDeck,201,824
📺 New ad! We’ve got just one more week to go friends -- and I’ll always keep fighting for our shared values. https://t.co/Q2rtoa87n8,2020-10-27 21:37:20,Twitter Media Studio,110,356
On this edition of "Local with Lauren" I sit down with local farmers to discuss the impacts that COVID is having on our farming community: https://t.co/hSze0Te0HR,2020-10-27 16:56:05,Twitter Media Studio,45,175
My opponent doesn’t stop at distorting my views -- when independent fact-checkers ruled that his attack ad was flatly FALSE he cut another ad to attack THEM! We deserve representatives who won’t lie to us for their own gain. Help us fight back: https://t.co/uuTDPl6xq0,2020-10-26 20:06:13,TweetDeck,167,446
I had a chance to answer some hard-hitting questions from a constituent the other day -- thanks Tala! 💛 https://t.co/DkV3wxmEQ4,2020-10-23 21:56:56,Twitter Web App,130,657
To end the veterans suicide crisis we need to ensure veterans have access to high quality mental health and suicide prevention services. I’m so proud my bipartisan Veterans’ Care Quality Transparency Act was signed into law.,2020-10-22 22:08:00,TweetDeck,115,429
We shouldn’t be surprised that Donald Trump endorsed my opponent. Since #IL14 was carried by the GOP in 2016 we need to be ready to fight back.   We have the momentum but can you donate a few dollars to help us in this final push? https://t.co/EkdQUYNwKV,2020-10-21 21:50:17,Twitter Web App,87,187
I’m SO fired up after our drive-in rally yesterday! We’ve got 2 weeks left folks -- can I count on you to help our team finish strong? https://t.co/uokdQ7PZJl https://t.co/TlkcmfIpiW,2020-10-21 01:22:01,Twitter Web App,166,824
Join us LIVE from St. Charles IL for a special Drive-In GOTV event!   https://t.co/bPwZ0l7bmg https://t.co/bTWhD6fC1i,2020-10-19 22:52:18,Twitter Web App,29,73
Keep your eyes out #IL14! We’re so excited to be hitting the road over the next 15 days to remind folks what’s at stake in this election and to #vote by November 3rd! 🚐 https://t.co/ko9muJMRg0,2020-10-19 19:47:10,TweetDeck,293,1320
Now is the time to stand up for our reproductive freedom - I’m proud that @PPAct and @NARAL have my back in this fight. https://t.co/Etr6Fpsbfw,2020-10-17 19:54:48,TweetDeck,111,406
With COVID-19 causing more and more Illinoisans to develop pre-existing conditions a Supreme Court repeal of the Affordable Care Act would devastate our community. Health care is on the ballot - and the choice is clear. #Election2020  https://t.co/YFpJwGo3aH,2020-10-16 22:52:53,TweetDeck,58,109
Today is the LAST DAY that you can fill out the Census! Call 844-330-2020 or visit https://t.co/j5tFUT0YHS to make sure you’re counted. It’s quick it’s easy and it makes real change in our communities.,2020-10-15 23:23:50,TweetDeck,52,91
We’re just 20 days away from the FINAL day of voting in this election. With over 700000 ballots already cast in Illinois make sure your voice is heard - make a plan to vote at https://t.co/pA765vR4U6! https://t.co/X8oUXmlEpm,2020-10-14 20:30:13,TweetDeck,67,199
I was so happy to chat with my alma mater’s newspaper the @MichiganDaily about @SurgetheMovie and my history-making 2018 campaign. Go Blue!  https://t.co/f4qz66LJqe,2020-10-13 20:04:33,TweetDeck,39,140
Have you made a plan to #vote? I did!   Use https://t.co/pA765vR4U6 to find the safest &amp; most secure way to cast a ballot in your community. #Election2020 https://t.co/GeCj1BWxDj,2020-10-12 22:44:58,TweetDeck,75,314
@LaurenCoat Miss you!,2020-10-11 22:37:12,TweetDeck,0,21
It’s #InternationalDayofTheGirl so this weekend my team and I visited ‘Women: Waves of Change’ at the @NaperSettlement.  It’s so humbling to be included alongside those who started this fight for equality -- and I can’t wait to meet the next wave of history-making women! https://t.co/UIDrSydbs0,2020-10-11 22:02:49,Twitter Web App,150,887
Today is #WorldMentalHealthDay -- as the coronavirus pandemic rages on be sure to check up on your friends and loved ones. Many in our community need extra support during this tough time.,2020-10-10 17:58:12,TweetDeck,92,272
Whether it’s a mug for your cocoa or a sweatshirt for the morning frosts the Team Underwood store’s got you covered. The pre-November order deadline is right around the corner!  https://t.co/V5PNixqdqt,2020-10-09 21:18:22,TweetDeck,16,62
Black voters continue to be targeted by disinformation intended to cause confusion and suppress voting -- it's unacceptable. I’m calling on Facebook Twitter and YouTube to tell us how exactly they’re working to prevent voter suppression.  https://t.co/72bgfGYobn,2020-10-08 21:19:29,TweetDeck,305,693
Wishing my soror @KamalaHarris the best in the VP debate tonight! 💕💚💪🏿,2020-10-07 20:58:50,TweetDeck,1314,14396
.@JonBowzerBauman and @SSWorks are incredible partners in our fight to protect the earned benefits our Illinois seniors have worked hard for. I won’t let this Administration destroy Social Security – thanks for having my back Jon! https://t.co/5Z3K7Q3bLP,2020-10-06 20:58:36,TweetDeck,42,110
The @ChicagoTribune. The @NWHerald. The @DailyHerald. The Chicago @SunTimes. Team Underwood is huge friends -- and we’re just getting started. Honored to have the support of all four papers serving our community. https://t.co/0EJGQhQK7d,2020-10-06 16:26:23,TweetDeck,63,243
Friends the election isn't just on November 3rd -- it's right now. I was so excited to join some first time voters and cast my ballot today at a secure drop box. Be sure to make a plan to vote (like I did!) at https://t.co/pA765vR4U6. https://t.co/zkpdXQg65j,2020-10-05 15:57:59,Twitter Web App,108,416
I voted today! Don't wait to cast your vote -- visit https://t.co/pA765vR4U6 for more info on how to vote safely and securely. https://t.co/tzyZrsuN6t,2020-10-04 22:06:26,TweetDeck,217,808
Since we can't celebrate in person this year my team surprised me this morning with this video of Team Underwood wishing me a happy birthday. Thanks for all the warm wishes! https://t.co/OYdDdDgXzr,2020-10-04 16:35:45,Twitter Web App,106,577
Now is the time to unite as a community. I want to wish the President the First Lady and those around them a swift and comfortable recovery from COVID-19. This is a difficult time for all of us: let's all work together to stop the spread.,2020-10-03 21:01:10,TweetDeck,31,334
Domestic terrorism is an increasing threat to our workplaces schools &amp; places of worship. Our suburban &amp; rural communities often don't have the resources they need to protect themselves. I wrote the Safe Communities Act to fix this imbalance - it passed unanimously yesterday.,2020-10-01 21:55:07,TweetDeck,95,379
I am forever grateful for my #IL14 community for entrusting me w/ the opportunity to bring northern Illinois values to Washington. I'll keep up my hard work for our community.  https://t.co/SSQn5hBG5f,2020-09-30 21:38:54,TweetDeck,136,566
Being a representative is about showing up listening to your neighbors and getting results for your community. That's what I've been doing in Congress and our work has earned the endorsement of the @chicagotribune!   https://t.co/9L5r48FvCG https://t.co/es9udjg1Gh,2020-09-30 13:25:32,Twitter Web App,130,403
I helped implement the Affordable Care Act -- I know exactly what works and what needs to change.  My opponent? He wants to repeal hard-fought protections for those of us with pre-existing conditions. We've heard this plan before and we rejected it.  https://t.co/1uojkFEihC,2020-09-29 22:16:15,TweetDeck,164,532
Last week we crossed a line we hoped we never would: 200000 Americans have died from COVID-19. This didn’t have to happen. A competent administration would not have let it happen. And now families across our state &amp; country have a hole in their hearts that can never be filled.,2020-09-29 17:08:39,TweetDeck,56,192
So happy to talk with Johns Hopkins Magazine about how I'm using my public health training in Congress.   https://t.co/6PdYQpac47,2020-09-28 20:04:24,TweetDeck,377,1612
I’m getting my first gavel friends! I’m thrilled to be named Chair of the House Homeland Security Committee - Subcommittee on Cybersecurity Infrastructure Protection and Innovation.   We have important work to do -- and I’m honored to be leading it.   https://t.co/3MxjzChMKg,2020-09-25 19:35:26,Twitter Web App,2262,16412
Friends I’m THRILLED to announce that @JoeBiden is back on #TeamUnderwood. Mr. Vice President -- let’s win this. https://t.co/aNHHhjSa3L,2020-09-24 20:56:58,Twitter Web App,842,4581
Early voting is here -- and we are so grateful for the endorsement of the @nwherald! My responsibility is to represent everyone in our community and the bipartisan legislation I've worked on helps all of our neighbors.  https://t.co/whm1RvXDCe https://t.co/HF7CkJGdhj,2020-09-24 15:38:33,Twitter Web App,63,203
I’m so proud of the bipartisan legislation I’ve helped pass into law but there’s more to do -- thank you to the @SunTimes for their support as we continue to work toward progress in our communities: https://t.co/jWCY1wYwk6 https://t.co/bIjop1RKde,2020-09-23 00:41:16,Twitter Web App,62,310
We started the Black Maternal Health Caucus to lower our unacceptably high maternal mortality rate and save moms' lives.   Join us as we discuss this critical issue the #Momniubs and the path forward at the @CBCFInc #VirtualALC by registering here: https://t.co/uRLoTWbmBU https://t.co/QlhxoGmOFm,2020-09-22 23:10:32,Twitter Web App,33,96
Get your crew together and make a plan to vote! 👉🏿 https://t.co/pA765vR4U6   #NationalVoterRegistrationDay https://t.co/QGQYlL03i1,2020-09-22 21:43:54,Twitter Web App,89,250
