Yesterday 😉 https://t.co/viaGELZ4u2,2020-11-26 21:27:33,Twitter for iPhone,3,36
Locking in the flavor real good here as we get ready for our two-people party tonight. 🦃  How do you prepare your turkey? #Thanksgiving https://t.co/ntzr9CMA8n,2020-11-26 21:26:57,Twitter for iPhone,1,14
Evelyn y yo siempre celebramos Thanksgiving con nuestros hijos y nietos. Sin embargo este año será diferente porque amar a nuestras familias significa hacer todo lo posible para que estén sanos y salvos.   Les deseamos un feliz y seguro Día de Acción de Gracias. https://t.co/chvxCuooBq,2020-11-26 16:46:07,Twitter for iPhone,3,21
One of my favorite pictures. https://t.co/o748lHoFIV,2020-11-25 20:30:40,Twitter for iPhone,7,80
We should have a conversation soon on this and other important topics. 😉 https://t.co/4EZcJvfI4f,2020-11-25 20:28:45,Twitter for iPhone,1,4
Every Thanksgiving I celebrate surrounded by my children and grandchildren. However this year will be different. It has to be different. Along with @DraCoquiMD I encourage you to celebrate with those in your household only to stop the spread of the virus. https://t.co/9gzLMFirpZ,2020-11-25 19:50:15,Twitter for iPhone,3,15
Diego Armando Maradona trascendió su profesión y el mundo del deporte. Su talento y amor por el juego unió a pueblos alrededor del mundo y hoy su partida deja un vacío colectivo. Recordaremos su pasión en la cancha y su amor por América Latina. Descanse en paz El Pibe de Oro. 🇦🇷 https://t.co/eR4kf2L4Xw,2020-11-25 19:15:16,Twitter for iPhone,8,29
Donate 👇 https://t.co/fAzrZKxFwG https://t.co/GiFeR1dgm5,2020-11-25 02:40:52,Twitter for iPhone,1,11
Shout out to the unions and grassroots activists who have always advocated for workers! Let’s keep fighting together for fair contracts livable wages and safe working conditions. https://t.co/JdcLWoqDin,2020-11-24 16:54:50,Twitter for iPhone,1,10
Todo mi apoyo a los trabajadores de asilos que hoy se fueron a huelga para exigir mejores salarios y condiciones laborales. @SEIUhciimk https://t.co/Tgx8V2naEA,2020-11-23 17:33:43,Twitter for iPhone,1,5
I stand with @SEIUhciimk and all nursing home workers because it’s not enough to call them “heroes” and praise them verbally. They need to be provided with dignified wages and safe working conditions. #StrikeForOurLives https://t.co/HLwtqBzzya,2020-11-23 17:29:05,Twitter for iPhone,4,12
We must also commit to addressing this epidemic in our everyday lives and by demanding stronger government actions that truly protect trans people. #TransDayOfRemembrance,2020-11-20 18:56:34,Twitter for iPhone,2,11
Trans and non-binary people face hate discrimination and death for being who they are. On #TransDayOfRemembrance we remember those killed by the epidemic of violence against trans people—specifically Black trans people.,2020-11-20 18:56:07,Twitter for iPhone,13,32
Set up a plan to urgently reunite the children and parents separated at the border. https://t.co/VZLGKGNQPi,2020-11-18 18:39:01,Twitter for iPhone,49,418
This is a global pandemic and the next months are crucial. U.S.-sanctioned countries must not be left out of COVID-19 aid. https://t.co/TBgqXSArEd,2020-11-18 18:15:57,Twitter for iPhone,3,11
Don Lupillo was my neighbor. My heart goes out to his family. COVID-19 is serious and is affecting us all. Let’s do our part because in doing so we’re saving lives. https://t.co/r9rcxz03qY,2020-11-17 17:18:15,Twitter for iPhone,1,11
|TURKEY GIVEAWAY 🦃   November 24 || 6 PM  As we reimagine Thanksgiving this year safely come pick up a turkey at Realty Of Chicago’s 8th Annual Turkey Giveaway.   Locations: 👉5700 W Belmont Ave 👉6535 Cermak Rd 👉1504 W 18th St 👉3958 W 63rd St https://t.co/4wekGxW5hc|,2020-11-17 16:42:59,Twitter for iPhone,3,4
💯 https://t.co/3MTcSNLc37,2020-11-14 17:32:02,Twitter for iPhone,5,58
Congratulations @LaurenUnderwood! https://t.co/8TR6Emgn5b,2020-11-12 21:06:50,Twitter for iPhone,14,81
Mitch McConnell has shown he’ll obstruct anything that helps Americans. Any chance at protecting our healthcare passing a strong COVID relief package and enacting progressive legislation depends on the outcome of the Georgia runoff elections. https://t.co/LqKDPy1hAI,2020-11-12 20:18:34,Twitter for iPhone,15,46
Yes. It can be done. https://t.co/u5lT9MVGlU,2020-11-12 17:33:09,Twitter for iPhone,5,26
Celebrating #VeteransDay is honoring the men and women who have sacrificed so much for our country beyond words. It’s actively fighting for them in Congress assuring they have what they need to live a comfortable life from healthcare &amp; housing to education &amp; job opportunities.,2020-11-11 16:33:19,Twitter for iPhone,1,13
Gracias @AispuroDurango. Un abrazo a toda mi gente de Durango. Espero volver pronto y disfrutar un juego de los @GeneralesdDgo y comer unas gorditas. 😉 https://t.co/ZC18aEnYVJ,2020-11-08 16:08:04,Twitter for iPhone,13,91
She’s speaking!,2020-11-08 01:28:36,Twitter for iPhone,4,56
