Today is #SmallBusinessSaturday! I encourage you to safely shop at your favorite Hoosier small businesses and start the holiday season off right. #shopsmall,2020-11-28 17:03:36,Twitter for iPhone,5,28
#HappyThanksgiving! Even in these tough times we all have so much to be grateful for. Today and every day let’s count our blessings and be a blessing to others. https://t.co/z4MS9HRq3C,2020-11-26 14:45:10,Twitter for iPhone,3,46
Congrats to Reema Dodin on this well-deserved post in the Biden Administration! It’s hard to think of anyone more qualified to help the White House work well with Congress. She literally wrote the book on it! https://t.co/LqZV2223zh,2020-11-24 18:08:23,Twitter for iPhone,5,25
#OpenEnrollment is happening now! Until December 15th you and your family can sign up for a health insurance plan under the #AffordableCareAct and receive coverage beginning next year. Visit https://t.co/1fNkJqS3xK to learn more and to shop for affordable plans.,2020-11-23 18:57:27,Twitter Web App,8,16
Pres. Trump's refusal to concede and allow a transition harms every American. It hampers national security efforts our fight against #COVID19 and more.  Since Pres. Trump won't accept the truth my GOP colleagues need to publicly make it clear: Joe Biden is President-Elect.,2020-11-23 17:10:50,Twitter Web App,11,67
It's unreal that @senatemajldr is wasting precious time confirming more Trump judges while Americans suffer from a growing #COVID19 threat. The House passed additional relief months ago &amp; the Senate needs to make this priority #1. Congress works for Americans not the President.,2020-11-19 20:38:58,Twitter Web App,124,483
I will always protect Democracy wherever it is threatened. That's why I'm calling on Congress the White House and the international community to work to end the political unrest and growing violence in Ethiopia. Peace and justice must prevail.  https://t.co/YQLh4AmJqt,2020-11-19 20:27:35,Twitter Web App,3,16
If you would like to request a ticket or read more information please go to: https://t.co/DQgZB0ofAs,2020-11-17 17:58:54,Twitter Web App,1,5
Historically the @JCCIC provides a limited number of Presidential Inauguration tickets to Congressional offices. My office hopes to provide a limited number of tickets to residents of the 7th District which will be allocated through a lottery system.,2020-11-17 17:58:54,Twitter Web App,3,17
Sending you my best wishes and prayers. Get well soon! https://t.co/fpz2QIkWSm,2020-11-16 20:23:22,Twitter for iPhone,3,8
COVID-19 continues to ravage our state our nation and the entire world. I know this has been a tough year and we're all tired. But we can't let up our fight against this virus. In fact as cases rise to record levels we must fight harder than ever. Stay strong! #WearAMask!,2020-11-16 16:46:26,Twitter Web App,10,48
Our entire community mourns the loss of this brave public servant. Rest In Peace. https://t.co/uWc2uSDFaB,2020-11-16 15:29:10,Twitter for iPhone,8,54
Happy #Diwali to everybody celebrating in the Hoosier State and across the world! This year especially we could all use more light.,2020-11-14 18:23:35,Twitter for iPhone,9,64
President Trump needs to accept the will of the voters and ensure a smooth transition of power. The games he’s playing are dangerous. https://t.co/Mwo4AGSzga,2020-11-13 16:01:26,Twitter for iPhone,20,139
