If you haven't already NOW is the time to go VOTE for the conservative outsider ready to redeploy to Congress.   Polls close at 7pm and if you're in line before then you can still vote!   #KS02 #ksleg,2020-08-04 21:46:57,Twitter for iPhone,4,12
Just cast my ballot 🗳 and I'd encourage you to do the same! This race is about a lifetime of service versus a lifetime of selfservice.  I am the conservative outsider who will never stop fighting for you and I am ready to redeploy!   #ksleg #ks02 https://t.co/UEMT7C0zhp,2020-08-04 17:35:04,Twitter for iPhone,5,17
Thanks to the Topeka 9/12 for inviting me to speak on this election day eve.   They know I'm the conservative outsider who will always have their six. I am honored to have your vote tomorrow.  #ksleg #ks02 https://t.co/W4yBRoj4zM,2020-08-04 00:07:07,Twitter for iPhone,3,19
In Lawrence knocking doors.   At all my stops one thing is clear: Kansans are desperate for a release from career politicians raising their taxes stealing their land and lying about the truth.   They’re ready for outsiders and Trump &amp; I will deliver this November!  #ksleg #ks02 https://t.co/hhF73xYZII,2020-08-02 23:23:30,Twitter for iPhone,4,18
Spent the afternoon in Valley Falls meeting voters throughout the community! The @NFIB endorsed me because they know I am the best candidate in the #KS02 race to help our small businesses recover.   #ksleg https://t.co/4mUtHHbZzs,2020-08-01 23:56:29,Twitter for iPhone,4,7
Quick stop at Old Eagle Mercantile in Lecompton on the way out of town. Great to see so many energized Republicans ready to re-elect a political outsider!   #KS02 #ksleg https://t.co/kwnvLqk4oH,2020-08-01 20:58:46,Twitter for iPhone,4,13
An INCREDIBLE night  Thanks to @TreyTaylorMusic for coming out to #TopCity to support my campaign.  #KS02 #ksleg https://t.co/na433Umnwa,2020-08-01 17:27:07,Twitter for iPhone,5,11
Second stop today was at the Territorial Capitol Museum in historic Lecompton. It was my pleasure to speak to precinct committee leaders about how I am the only nationally endorsed pro-life candidate in the race.  #ksleg #ks02 https://t.co/rZvgS0WQ7K,2020-08-01 17:17:39,Twitter for iPhone,3,8
Great start to the morning at Jefferson County GOP's Eggs &amp; Issues. I stand for Trump. I stand for Republican Unity. I am ready to re-depoly.  #KS02 #ksleg https://t.co/TgzOuOfKPk,2020-08-01 14:33:15,Twitter for iPhone,4,14
Join @TreyTaylorMusic and I for a concert in Topeka this upcoming Friday!  Get your tickets here while they last!  https://t.co/PZqIEuhKVq  #KS02 #ksleg,2020-07-25 17:58:05,Twitter for iPhone,4,10
Watkins Warriors were out in Paola yesterday walking in the Miami County Parade.   I am humbled to have your support!  #KS02 #ksleg https://t.co/QqAYJi3uSj,2020-07-23 20:08:49,Twitter for iPhone,3,9
Great to see so many familiar faces at the Osage County GOP Candidate Forum &amp; Potluck!   I am the conservative outsider you can trust to fight along side @realDonaldTrump   #ksleg #ks02 https://t.co/I7a0zzmkbY,2020-07-20 00:21:44,Twitter for iPhone,6,15
Great end of the day seeing so many 2nd district athletes at the Annual #ShrineBowl   #ksleg #ks02 https://t.co/UtonXrZqpo,2020-07-19 01:25:56,Twitter for iPhone,5,19
Had a blast with volunteers at the Topeka Gun Show today! Got to talk to people from all over the district about my @NRA endorsement and work as Trump campaign co-chair!  #ksleg #ks02 https://t.co/BONDh3mqae,2020-07-18 23:16:25,Twitter for iPhone,5,16
Watkins Warriors out at Erie walking in the parade!  #KS02 #ksleg https://t.co/QLrIzICMrY,2020-07-18 20:31:15,Twitter for iPhone,6,21
I was happy to meet with @KansasTARS today to talk about my re-election campaign  and the future of our country. The whole crew is ready to #MAGA  #ksleg #ks02 https://t.co/nG8bbbtbIg,2020-07-17 22:20:20,Twitter for iPhone,3,12
Great start to the day in Yates Center!  I am the pro-gun pro-life pro-Trump conservative outsider who will never stop fighting for you.   #ksleg #ks02 https://t.co/1wT2P9qtka,2020-07-17 16:36:05,Twitter for iPhone,5,11
All of the coincidences surrounding this blatant political witch hunt point to one inevitable conclusion: LaTurner colluded with a corrupt prosecutor to win an election he’s losing by more than 20 points. Kansans deserve answers.,2020-07-17 14:16:08,Twitter Web App,4,3
Payoffs. Collusion. Corruption. With each passing day Jake LaTurner’s story changes &amp; more questions go unanswered about his ties to the corrupt Shawnee County DA. #ks02 #ksleg https://t.co/cV6Fo9abRL,2020-07-17 14:16:08,Twitter Web App,8,10
Great end to the day in Anderson county at their GOP forum.   While the career politician hides behind his swamp tactics I am proud to be out on the trail talking with grassroots voters.   #ks02 #ksleg https://t.co/8XIPN23EWR,2020-07-17 01:53:36,Twitter for iPhone,5,10
Last stop of the day is in Atchison for a meet and greet. Thank you to all the supporters for showing up in force.   #KS02 needs a war fighter not a ladder climber. Thank you for having my 6.  #ksleg https://t.co/nhIObLEnq3,2020-07-16 00:31:57,Twitter for iPhone,4,15
Great turnout in Muscotah for the grand reopening of the Muscotah Cafe. Also got to see the world's biggest baseball!   All of these folks are ready to see @realDonaldTrump and me back in office come November!  #KS02 #ksleg https://t.co/352fIREiCa,2020-07-15 21:19:33,Twitter for iPhone,4,9
Second stop of the day was in Everest talking to community leaders and business owners about my campaign my work as co-chair of @realDonaldTrump re-election and my endorsement from the @NRA  #ksleg #KS02 https://t.co/aBvWkotxzh,2020-07-15 18:23:26,Twitter for iPhone,4,6
First stop in Seneca this morning.   Kansans are sick and tired of career politicians and their swamp tactics and hit jobs. Folks are excited to send a fighter and outsider to DC.   #ksleg #ks02 https://t.co/AG6lZnJKeP,2020-07-15 15:54:11,Twitter for iPhone,5,14
https://t.co/JqA2QE1oDE,2020-07-15 00:45:27,Twitter for iPhone,11,24
Tune in tonight at 6:30pm for a live-televised debate to learn more about my conservative pro-Trump record endorsed by @NRA @NRLC @kansansforlife &amp; @NFIB  📺 @KSNTNews 💻 https://t.co/TqL2GmNLXg 📱 @Steve4Kansas  #KS02 #ksleg,2020-07-14 21:00:01,TweetDeck,10,19
Watkins Warriors were out knocking doors and delivering signs yesterday.   Momentum continues to grow!   #ksleg #ks02 #WinWithWatkins https://t.co/j4We59Jj3W,2020-07-14 19:17:00,Twitter for iPhone,4,10
Met with the Franklin County GOP last night to talk about my 96% voting record with @realdonaldtrump and work as Honorary Chairman to the Kansas @TeamTrump re-election campaign.  #ksleg #ks02 https://t.co/cGL8sTWfK3,2020-07-14 16:55:29,Twitter for iPhone,3,10
Osage County Farm Bureau candidate forum was great.    Amazing support from all the folks eager to redeploy me to Washington.    #KS02 #ksleg https://t.co/tlLKniB5H9,2020-07-11 21:49:58,Twitter for iPhone,4,9
Great crowd in Parsons to hear about my campaign and how we are going to #KeepAmericaGreat  #ksleg #ks02 https://t.co/9Bvjb0WZKY,2020-07-11 19:58:57,Twitter for iPhone,4,14
Had a blast at the Coffeyville Summer Celebration with the Montgomery county GOP!  #Watkins2020 #Trump2020  #ksleg #ks02 https://t.co/G726zxuEy6,2020-07-11 17:47:38,Twitter for iPhone,4,6
Watkins Warriors were knocking doors in Osage City and walking in the Osage County Fair Parade today!   These Warriors are working like we are 26 points behind!   #ksleg #ks02 #WinWithWatkins https://t.co/GlcT0dPDm3,2020-07-11 01:28:23,Twitter for iPhone,6,11
Montgomery county forum tonight.   Talking about a life of service versus a life of selfservice. I've spent my life fighting for our country - and I'm ready to redeploy to Washington.   #ksleg #ks02 https://t.co/DojVqUjLVI,2020-07-11 01:18:53,Twitter for iPhone,3,7
Second stop of the day in Pittsburg at El Charro discussing my endorsements from @NFIB and award from @USChamber for my dedication towards small businesses.   I always love interacting with our #SEKS community leaders and businesses that make our state thrive.   #ksleg #ks02 https://t.co/sWZqH7KZ01,2020-07-10 22:38:02,Twitter for iPhone,4,9
First stop of the day at the Nu Grill in Ft. Scott.   Great talking to leaders of Bourbon County about my recent @NRA endorsement and my work as co-chair of @realDonaldTrump re-election campaign in KS!   #ksleg #ks02 https://t.co/1PeYb4mzgJ,2020-07-10 18:44:28,Twitter for iPhone,2,8
New 4x8s are in and #WatkinsWarriors are on the move!   Get a sign: https://t.co/rPtNJzNxG7  Volunteer: https://t.co/QjCq95qSgs  #KS02 #ksleg #WinWithWatkins https://t.co/JYOmkpLM98,2020-07-10 00:19:51,Twitter for iPhone,6,13
Excited to speak at the grand opening of the new Leavenworth County GOP headquarters! Lots of folks ready to re-elect @realDonaldTrump!  #ksleg #ks02 https://t.co/CzCymwIUXJ,2020-07-10 00:13:54,Twitter for iPhone,4,10
My friend @DanCrenshawTX has a new book "Fortitude: American Resilience in the Era of Outrage." A great read about Dan's service to our country as a Navy SEAL &amp; Congressman. He's signing 50 copies of his new book for my top supporters -- get yours now ⬇️ https://t.co/pX7mEc9IYs https://t.co/7TP8XXXs7H,2020-07-08 15:38:39,TweetDeck,6,16
Another stop on the trail in Douglas county talking about the need for a conservative warrior in Congress who will stand with @realDonaldTrump   Thanks again for having me!  #ks02 #ksleg https://t.co/LToJycpZiM,2020-07-08 00:47:48,Twitter for iPhone,3,11
Last night in Leavenworth I loved listening to what you want in your Congressman: a conservative outsider that fights for you.   I'm battle tested and endorsed by the @NRA @nrlc @kansansforlife &amp; @NFIB.   #KS02 #ksleg https://t.co/t1wyVB4LvE,2020-07-07 19:15:50,Twitter for iPhone,3,8
Great speaking with Topeka's 9/12 about the conservative values I'm fighting for in Washington.   I'm ready to redeploy.   Learn more: https://t.co/Mn00zmjGvt  #KS02 #ksleg https://t.co/B6gyi2Y3KP,2020-07-07 14:31:23,Twitter for iPhone,5,12
Watkins Warriors were working hard all throughout the district this weekend! Join the team and sign up to volunteer today!  https://t.co/1v5Xasgc3Z  #ksleg #KS02 https://t.co/bpCdT9MQ0M,2020-07-06 21:55:14,Twitter for iPhone,7,11
Great time at the Lyndon 4th of July parade over the weekend!   #ksleg #KS02 https://t.co/AgRFmrlV4e,2020-07-06 20:12:41,Twitter for iPhone,4,12
