Kansas small businesses need our support more than ever in these tough times. Remember to #ShopSmall and support our local economy and jobs on this Small Business Saturday.,2020-11-28 15:20:18,Twitter Web App,37,268
The evidence is clear: wearing masks can help save lives.   Please do your part and wear one.  https://t.co/bmP17lxF8b,2020-11-27 22:42:48,Twitter Web App,41,199
The folks at United Prayer Movement didn’t prepare their usual meals for the community this year but they did pass out bags of groceries to make sure ppl could still enjoy a warm meal today. Though your celebrations may look different we wish everyone a safe &amp; peaceful holiday. https://t.co/lQ6GamWMUZ,2020-11-26 17:16:16,Twitter for iPhone,22,165
With major relief measures set to expire we need leadership in both parties to come together and get a bipartisan relief package done. People in #KS03 and across the country depend on it. https://t.co/qwIs7aJ3Iw,2020-11-24 19:21:42,Twitter Media Studio,47,270
Black and Native babies in Kansas die at twice the rate as white infants in their first year of life. It's outrageous and it must change.   As a member of the @BMHCaucus I've worked to address these inequities and help keep our mothers &amp; children healthy.https://t.co/nmObRBpwzQ,2020-11-24 14:48:36,Twitter Web App,139,431
Wearing masks social distancing and limiting gatherings are among the best tools we have to stop the spread of this virus before vaccines are distributed. Thank you for your continued leadership @GovLauraKelly in helping keep our communities safe.  https://t.co/4vBJj4acBB,2020-11-18 22:38:28,Twitter Web App,45,292
.@RepDebHaaland has been a warrior for Native peoples for decades and profoundly understands the consequences of the federal gov on tribal communities.   There is no one more qualified and prepared to lead the Department of the Interior during this crisis. https://t.co/qXk88li63B https://t.co/p7EftfyiRB,2020-11-18 18:19:45,Twitter Web App,199,1247
The 346 victims of the Boeing 737 MAX crashes &amp; their families deserve Congress to act to make sure the mistakes that led to those tragedies never happen again. Yesterday the House passed a bill to improve aviation safety &amp; now  the Senate must do the same.https://t.co/nzSULaA8Id,2020-11-18 17:34:32,Twitter Web App,11,57
There is still an opportunity for business owners impacted by COVID to apply financial assistance through the JoCo CARES Small Business Grant Program distributed by the Enterprise Center of Johnson County: https://t.co/9RNdf4G18A,2020-11-17 22:50:55,Twitter Web App,16,37
We know so many folks are struggling with rent payments because of the pandemic. The Kansas Eviction Prevention Program (KEPP) provides rental assistance to households that have missed one or more rent payments as a result of COVID: https://t.co/e3hGm0NLTU,2020-11-12 16:19:53,Twitter Web App,54,140
My mom served in the Army for 20 yrs. I learned so much about service sacrifice &amp; dedication to country from her. On Veteran's Day we thank and honor all those who have served America in our Armed Forces. https://t.co/47WBOsRfcg,2020-11-11 15:10:53,Twitter Web App,22,220
Instead of gutting health care in the midst of a pandemic we need to protect stabilize and improve on the Affordable Care Act - so we can lower costs protect people with pre-existing conditions and expand access to care. https://t.co/7EmNQ7Zew5,2020-11-10 16:37:56,Twitter Web App,41,231
A group of community health partners recently held an event in Wyandotte County to provide flu shots COVID tests and groceries to those in need. If you still need your flu shot you can find more information here: https://t.co/nQpissWTfO https://t.co/kUNIzlwf3O,2020-11-10 13:11:22,Twitter for iPhone,17,102
We're not Democrats or Republicans first. We’re all Americans first. This has to be a time to heal find common ground whenever we can &amp; make government work for the people.  Please see our new email update for resources &amp; services for you &amp; your family: https://t.co/zgXCTo0Of5,2020-11-07 19:31:34,Twitter Web App,29,234
The Overland Park CDBG Small Business Economic Recovery Program is accepting applications for grants up to $5000 through November 9. More information is available here: https://t.co/DcMktyWt44,2020-11-06 14:20:33,Twitter Web App,17,51
Today is Election Day. No matter how you choose to vote here's nonpartisan voting information so you can exercise your voting rights. Click to confirm your polling place and registration information with the Kansas Secretary of State: https://t.co/nLyJs7fRkK,2020-11-03 14:34:42,Twitter Web App,32,136
My job is to serve all in #KS03 to the best of my ability. It doesn’t matter whether we agree on everything. Every person &amp; every corner of our district deserves a government that works for them.  We're here to Make a Difference For Kansas: https://t.co/oBJBfWVW93 https://t.co/xXj1fecBGU,2020-11-02 22:37:18,Twitter Web App,26,164
Last week I was glad to have a chance to check in with local childcare providers. Childcare providers are on the front lines of this pandemic and we have to provide them with emergency relief so they can operate more safely and help families in this critical time. https://t.co/1lcxCORB55,2020-11-02 18:55:28,Twitter Web App,9,51
✔️ Strong public schools. ✔️ Make college more affordable. ✔️ Support Kansas small businesses. ✔️ Equal pay paid family leave &amp; affordable child care.  We can lay a foundation for a stronger middle class. See our latest special email update: https://t.co/vEIFwJNkkF https://t.co/oSSn086ISy,2020-11-01 19:18:57,Twitter Web App,19,97
Masks work. Please wear one.  https://t.co/xrV6VKNh46,2020-11-01 16:53:03,Twitter Web App,44,215
I voted for the Lower Drug Costs Now Act to bring down the cost of prescription drugs. Nonpartisan experts found this bill would save patients and taxpayers hundreds of billions of dollars a year.  Learn more in our special email update on health care: https://t.co/JUGoxrCDe0 https://t.co/GUFOMmovY3,2020-10-31 20:11:08,Twitter Web App,14,41
We need to be pragmatic – not repeal or gut the Affordable Care Act in the middle of a pandemic. That's why I am working to protect stabilize and improve the law.   Learn more in our next special email update on how we're making a difference.  https://t.co/NTTUVs8a0L,2020-10-31 15:30:42,Twitter Web App,23,88
Our next special email update is on an issue that’s near and dear to me: Rebuilding our infrastructure.  Revitalizing that infrastructure is an incredible economic opportunity. It means more good paying jobs and a more modern economy.  Check it out here: https://t.co/Hu5dxfKCvS https://t.co/rcnf25vYtU,2020-10-30 22:35:17,Twitter Web App,15,67
Infrastructure issues are near &amp; dear to me. I specialized in infrastructure as a White House fellow. Now I serve on the Transportation and Infrastructure Committee.  See how we're working to rebuild roads invest in clean energy and create jobs:  https://t.co/Hu5dxfKCvS https://t.co/SzGTZp6Wnk,2020-10-30 19:40:04,Twitter Web App,10,68
The first bill I cosponsored was the For the People Act. The whole point of this bill is to put power back in the hands of people — not politicians big money or corporate interests.  See how I'm bringing change to Washington in our special update: https://t.co/w2SYMOLFpR https://t.co/dbpnL5PZFj,2020-10-30 15:18:27,Twitter Web App,14,61
The evidence is clear: masks work. Please do your part and wear one.  https://t.co/uucdeOLwyK,2020-10-30 01:10:12,Twitter Web App,45,273
Kansans are pragmatic. They expect their representatives to work together regardless of party.   And with all the challenges facing our country we can’t afford to remain divided just for the sake of partisan politics. https://t.co/M0yuFzeive,2020-10-29 21:14:22,Twitter Web App,17,101
The Paycheck Protection Program helped protect more than 154000 jobs in #KS03 according to the Small Business Administration and data reviewed by the Small Business Committee.  See my new special email update for more: https://t.co/798GpfLBQQ https://t.co/BeAssDoxqZ,2020-10-29 15:06:29,Twitter Web App,6,35
We're accepting new internship applications! We need hardworking people who are interested in public service. This is a chance to gain invaluable work experience. The deadline is tomorrow October 30th.  https://t.co/xalXlGPWW6,2020-10-29 13:46:33,Twitter Web App,16,28
I was proud to join Governor Laura Kelly and KDOT Secretary Julie Lorenz at the Turner Diagonal Ribbon Cutting Ceremony in Kansas City Kansas. The new interchange will allow for easier access and safer travel through this key corridor. https://t.co/v1KxzjTTPY,2020-10-29 12:55:24,Twitter for iPhone,14,179
Our hearts are heavy to learn that Kansas has reached the grim milestone of 1000 lives lost to COVID-19. My deepest sympathies go to everyone who has lost a loved one to this virus. As numbers continue to rise in KS please do your part to stay safe.  https://t.co/61XpITLI2v,2020-10-28 18:43:30,Twitter for iPhone,19,91
Help for small businesses in this crisis should actually go to small businesses not big corporations with deep pockets.  I'm glad the Admin relented to pressure to release info about the loans they distributed but we have a lot of work to do to ensure our recovery works for all https://t.co/L53KwVkevm,2020-10-28 15:24:34,Twitter Web App,9,42
I just sent a special email update on what my team &amp; I are doing to address the health &amp; economic crisis.   We have to do everything we can to control this virus. That includes more testing and protective equipment.   If you missed it you can see it here: https://t.co/798Gpfu0sg https://t.co/jhocY8Oevx,2020-10-27 21:50:13,Twitter Web App,9,93
We need to get this virus under control to save lives and our economy. I've been glad to support bipartisan legislation to do just that but our work is far from done.  You can count on me to keep doing everything I can to make a difference for Kansas families. https://t.co/AKCODIK2s5,2020-10-26 15:09:15,Twitter Web App,21,87
Our team is here to connect you with all the resources and help that we can.   Do you need a test for COVID-19?   Click to find where you can get one in the Kansas Third District and feel free to share this link: https://t.co/N0wFiqKdJh,2020-10-26 01:06:43,Twitter Web App,29,81
The coronavirus situation in Kansas right now is very concerning. But we all can do something about it. Please wear a mask.  Find public health resources: https://t.co/U3r1KIlGYp https://t.co/G37dsNpC5V,2020-10-24 20:17:12,Twitter Web App,25,100
I don’t know if it’s summer or winter or maybe still fall here in Kansas. But I do know that we are fortunate to have so many great outdoor places to enjoy in #KS03. So bundle up (at least today!) and stay safe folks! https://t.co/jfsuNg4RTG,2020-10-21 00:06:35,Twitter for iPhone,13,140
Coronavirus cases have increased by 22% in Kansas over our average from two weeks ago.   If you aren't already please wear a mask.   Help save lives and our economy.   https://t.co/DdrOjRnXBN,2020-10-19 20:59:13,Twitter Web App,53,140
Remember to get your flu shot! Both flu and coronavirus cases could continue to climb this fall and winter straining our frontline health care workers at a critical time. Find out where to get yours on our website: https://t.co/rMcCMRJFR6,2020-10-18 18:55:44,Twitter Web App,20,94
Make sure to get your flu shot! I got mine at at the Wyandotte County Public Health Dept.  Flu &amp; COVID-19 cases could continue to climb this fall &amp; winter straining our health care system at a crucial time.  Do your part. See where you can get yours: https://t.co/rMcCMRJFR6 https://t.co/BBlZOB1VUi,2020-10-17 14:54:47,Twitter Web App,24,110
The census deadline is today! Fill out yours now: https://t.co/60pqB8kFYv  Without a full count Kansas could lose out on crucial investments for years to come. That's everything from health care to education to infrastructure.  Take it now if you haven't already!,2020-10-15 15:15:39,Twitter Web App,39,60
