I'm proud to join Kentucky's Congressional Delegation to announce the Kentucky Air National Guard’s 123rd Airlift Wing was 1 of 4 units selected by the U.S. Air Force to receive a squadron of 8 new C-130J aircraft replacing its current fleet. Details: https://t.co/X8aVkKwAua https://t.co/xBCiJ70RVF,2020-11-25 17:13:26,Twitter Web App,1,6
ICYMI: https://t.co/ldlknoCRHa,2020-11-13 14:54:03,Twitter Web App,1,3
Happy Birthday to the United States Marine Corps! We humbly thank you for your incredible service and sacrifice. https://t.co/kg1X24oVBj,2020-11-10 17:39:32,Twitter Web App,2,9
@realDonaldTrump's allegations of election fraud must be investigated to ensure the election is conducted fairly for the American people. https://t.co/FxgP2iYawq,2020-11-06 18:03:42,Twitter Web App,12,33
@senatemajldr &amp; I are pleased to announce $5.5 million in POWER grants from @ARCgov for southeastern Ky. The grants will expand opioid recovery programs spur workforce development improve STEM resources &amp; build a new NICU in the region. Details @ https://t.co/hBSOgBkDMq,2020-11-02 18:53:03,Twitter Web App,1,4
Congratulations to Colby Hall the new Executive Director of @SOAR_EKY! Learn more at https://t.co/X8aVkKwAua https://t.co/igOGcbsffK,2020-10-29 20:35:44,Twitter Web App,7,54
@GovAndyBeshear &amp; I announced $8 million in AML Pilot grants at the @SOAR_EKY Summit today.  ✅ $4.27 Million for the @pmcpikeville cancer center ✅ $4 million for King's Daughters Health System to expand - creating 250 new jobs. Learn more at https://t.co/X8aVkKwAua,2020-10-29 20:32:43,Twitter Web App,0,2
High performance broadband is expanding to Beattyville Buckhorn &amp; Livingston thanks to a $5 million investment from @usdaRD for Peoples Rural Cooperative to increase service to nearly 650 households. Congratulations! https://t.co/EFCmujMABV,2020-10-28 19:49:20,Twitter Web App,2,9
This is a historic day in Kentucky as we celebrate the grand opening of @AppHarvest’s first expansive 60-acre AgTech greenhouse in Morehead Ky! I’m also pleased to announce the additional investment of $4.55 million from @usdaRD to purchase equipment for this operation. https://t.co/1G7wlrF0Yf,2020-10-21 15:32:19,Twitter for iPhone,11,45
We’re advancing water resources in Morgan &amp; Elliott counties thanks to over $5 million from @usdaRD. The funding will repair &amp; replace waterlines in West Liberty + build a new water treatment plant in Sandy Hook. https://t.co/EybloBHKhW,2020-10-21 14:25:51,Twitter for iPhone,1,2
Thank you for celebrating with us @DepSecMac! https://t.co/lliI1X1gWK,2020-10-15 14:44:21,Twitter Web App,3,8
We are celebrating a historic day in southern Kentucky as the Mill Springs Battlefield National Monument becomes the 421st unit of the National Park System!   Watch live at https://t.co/2NLuFHl11X https://t.co/o9BRx5AdKT,2020-10-14 15:18:22,Twitter for iPhone,4,7
@senatemajldr &amp; I wrapped up the afternoon in Bell County at Pineville Community Hospital &amp; the @KctcsSoutheast Middlesboro campus. We have worked hard to keep the doors open at both facilities to ensure local folks in Appalachia Ky have access to healthcare &amp; higher education. https://t.co/1RNRk6uQMb,2020-10-13 20:04:48,Twitter for iPhone,2,2
It was great to be in Barbourville today with my friend @senatemajldr Mitch McConnell. Barbourville ARH Union College Grace Community Health and other small businesses received millions in COVID-relief funding thanks to the CARES Act. https://t.co/xjvAhvRsnS,2020-10-13 18:39:42,Twitter for iPhone,12,24
Honored to join @senatemajldr Mitch McConnell in Corbin today to announce a $15 million BUILD Grant for the City of Corbin. Federal funding will be used to improve 2 miles of U.S. 25W between KY-727 &amp; KY-3041. The project will add four lanes medians and improve traffic flow. https://t.co/ID6oKejPbz,2020-10-13 15:57:16,Twitter for iPhone,15,43
Great news for students in Southern Kentucky! Proud to join @senatemajldr to announce a $2.2 million grant for @SomersetCC65 to be distributed over 5 years from U.S. Dept. of Education’s Strengthening Institutions Program. Learn about new opportunities @ https://t.co/X8aVkKwAua https://t.co/SWLghYZYPl,2020-10-05 20:48:00,Twitter Web App,6,22
President Trump and the First Lady are in my thoughts and prayers this morning. It is my hope that they recover quickly from COVID-19 so they can continue their critical work for the American people.,2020-10-02 13:22:48,Twitter for iPhone,6,21
I applaud @realDonaldTrump’s nomination of Judge Amy Coney Barrett as the 9th member of the Supreme Court. He described her as having “towering intellect sterling credentials and unyielding loyalty to the Constitution.” I strongly support her confirmation to our high court. https://t.co/fJLnmrUiXR,2020-09-26 21:52:22,Twitter for iPhone,5,12
We are extremely proud of @BBaileyWKYT in Eastern Kentucky! Best wishes in retirement. https://t.co/tCFwj7xBZ1,2020-09-25 18:06:36,Twitter for iPhone,5,14
I was proud to introduce legislation with my Kentucky colleagues today to give the Cumberland Parkway an interstate designation between Somerset and Bowling Green Ky. Learn more at https://t.co/X8aVkKwAua https://t.co/X8atT6caaU,2020-09-24 20:32:50,Twitter Web App,3,4
Tonight I voted for the bipartisan short-term funding bill to avoid a government shutdown &amp; to ensure important federal programs continue through this pandemic including an extension of nutrition assistance for low-income families. Learn more @ https://t.co/4DHfOKpPUU,2020-09-23 02:18:41,Twitter Web App,3,7
The Mill Springs Battlefield National Monument in So.Kentucky is officially part of the @NatlParkService. I was honored to participate in the ceremonial signing today in the U.S. Capitol with @Interior Sec. David Bernhardt &amp; @senatemajldr. Great work @msba1862! https://t.co/qnCNl6E4rT,2020-09-22 21:25:52,Twitter Web App,3,14
Ruth Bader Ginsburg was a bold pioneer who stood unswervingly on the principles that guided her life and the pursuit of justice. Her confidence and determination were inspiring and her legacy will undoubtedly influence future generations. https://t.co/IgVXzSnGQl,2020-09-19 02:00:33,Twitter for iPhone,3,15
Great news for Southern and Eastern Kentucky: @centertech has been awarded a $7.8 million federal competitive grant to help expand broadband access in Southern and Eastern Kentucky. Learn more at https://t.co/X8aVkKwAua,2020-08-27 17:44:54,Twitter Web App,3,8
I commend the President for facilitating this historic peace deal. This diplomatic breakthrough clears the way for expanded security cooperation increased economic integration &amp; a more peaceful Middle East. I salute Israel &amp; the UAE for charting this new path. https://t.co/R22WNJzWEp,2020-08-13 20:40:26,Twitter for iPhone,81,281
Thank you @GovAndyBeshear for hosting us today in Frankfort to celebrate new jobs &amp; opportunities for Eastern Kentucky! https://t.co/jZahnfqYMM,2020-08-13 20:14:24,Twitter for iPhone,2,12
GREAT NEWS FOR SOUTHEAST KY:  The House just passed WRDA 2020 including an additional $40M for the USACE 531 Program to improve water &amp; wastewater resources in our rural region - it's the largest single increase since 1996. Learn more@ https://t.co/hdJpNd5SeM https://t.co/mvE3plpvDA,2020-07-29 21:47:53,Twitter Web App,3,10
Happy Birthday to @RepAndyBarr!Have a great day my friend! https://t.co/nCuofjI5wD,2020-07-24 20:25:40,Twitter for iPhone,3,14
The House just passed the FY21 NDAA.  The legislation is far from perfect but visit https://t.co/X8aVkKwAua to learn why I voted for the bill. https://t.co/aWVuwnjLUp,2020-07-21 21:58:38,Twitter Web App,0,1
His historic march for civil rights justice &amp; equality started long before his voice thundered through Capitol Hill. While this nation mourns the loss of such a spirited champion for unity &amp; equality his storied life will continue to resonate in the victories yet to come. (2/2),2020-07-18 21:42:47,Twitter for iPhone,3,10
I’ve had the distinct honor of serving in Congress with some incredible leaders but Congressman John Lewis set a higher standard for courage perseverance and compassion when he was elected to the U.S. House of Representatives in 1986. (1/2)  https://t.co/bjwaqWfkjK,2020-07-18 21:42:47,Twitter for iPhone,8,20
The Paycheck Protection Program has been extended through August 8th! Learn more at https://t.co/jaCmO2LowU https://t.co/9BoEeqwbuf,2020-07-06 21:19:37,Twitter Web App,25,50
Happy Independence Day! The signing of the Declaration of Independence in 1776 was a testament to the spirit of this great nation. May we be reminded of the founding principles that propelled our nation to rise in… https://t.co/iL2vNpLaQW,2020-07-04 13:40:47,Instagram,2,7
