Thank you @SecArmy! https://t.co/buFMTihmlB,2020-11-17 21:22:20,Twitter for iPhone,2,7
These Soldiers Sailors Airmen Marines and Coast Guardsman have resisted fear and summoned courage through the most strenuous of circumstances.   God bless our Veterans. Thank you for your service.,2020-11-11 17:36:42,Twitter for iPhone,1,6
On this Veterans Day we honor the selfless service of the many who have worn our nation’s uniform.  From the inception of our great country brave men and women have answered the call of America to defend against terrorism destroy naziism and dismantle the bonds of communism. https://t.co/ntL7RGKRwJ,2020-11-11 17:36:42,Twitter for iPhone,5,17
.@realDonaldTrump is right - all job creation is local and the federal government can and should create an atmosphere for businesses to thrive.  @POTUS plan for Michigan will continue to work for Michiganders - and lift all Americans!  Check it out ⤵️ https://t.co/2ixqNautow,2020-10-29 17:40:59,Twitter for iPhone,49,142
https://t.co/CLIUP65ljL,2020-10-08 18:02:54,Twitter for iPhone,8,21
Today I announced USDA Rural Development Grants for Houghton Gogebic Antrim Grand Traverse Manistee and Benzie Counties.  Read more here -&gt; https://t.co/OtRTXyQlto,2020-10-07 20:50:38,Twitter for iPhone,1,5
Cindy and I join with all the constituents of the First District in prayer and wish @POTUS and @FLOTUS a complete and speedy recovery.,2020-10-02 12:31:20,Twitter for iPhone,5,27
Proud to be named a @WeArePREVENTS National Ambassador.   Want to learn more about #SuicidePrevention?   Follow @WeArePREVENTS and #REACHnow to see how you can get involved.https://t.co/WwAXOQSrDj,2020-09-23 13:18:53,Twitter for iPhone,1,4
Nineteen years ago today we saw the worst of humanity in the cowardly terrorists who attacked our nation and we saw the best of humanity in the extraordinary heroism of the First Responders.   We honor the sacrifice. We remember the lives lost. We promise - we will never forget https://t.co/T1XhIElZUA,2020-09-11 19:20:44,Twitter for iPhone,6,16
One of the incredible parts of serving in Congress is having the opportunity to meet so many young men and women who are taking a stand and growing into our next generation of leaders.  Great way to start the day in Petoskey! https://t.co/xBdYamDvmu,2020-09-01 14:02:59,Twitter for iPhone,6,14
.@SpeakerPelosi bring S.785 to a vote ASAP. Our Veterans can’t wait.   It passed the Senate unanimously and would easily pass the House. I know because 250+ U.S. Reps cosponsored the same policy in my legislation the IMPROVE Act which lies at the heart of this critical bill. https://t.co/k6FVEmxG89,2020-08-27 15:36:21,Twitter for iPhone,5,10
Steve is right - this dangerous rhetoric by the Speaker is unacceptable. https://t.co/Vw4vXFqTQi,2020-08-25 02:41:27,Twitter for iPhone,2915,5219
