From my family to yours Happy Thanksgiving! Today and every day I am thankful for my wonderful family great friends and our kindhearted communities in Michigan. Even though Thanksgiving is different this year I hope you get a chance to reflect on what you are thankful for. https://t.co/YVOcEx9UAr,2020-11-26 16:19:10,Twitter Web App,2,25
It's not too late to shop for quality affordable health care. Right now through December 15 individuals &amp; families have the opportunity to shop at https://t.co/PTWTSVwRmc. Making sure you and your family have insurance can protect against unexpected accidents or illness. https://t.co/g8BnstSfiN,2020-11-25 23:53:18,Twitter Web App,4,6
With coronavirus cases increasing to record breaking numbers—please follow the CDC guidelines for this holiday season wear a mask and practice social distancing. This pandemic is not over. We must work together to keep our neighbors safe and prevent the spread of this virus. https://t.co/PdUmeURNyY,2020-11-25 17:48:00,Twitter Web App,1,9
I'm proud to sponsor the Arrowood family through the @Voice4_Adoption Family Portrait Project on this #MichiganAdoptionDay. Their adoption journey is inspirational full of love and support. If you are considering adoption visit https://t.co/Hk2oXAJm9l for more information. https://t.co/Et96XBlhxz,2020-11-24 23:23:51,Twitter Web App,2,8
Joining the @FlintandGenesee Chamber of Commerce to update our community on the latest COVID-19 relief I’m pushing in Congress for families seniors and small businesses.  Watch live: https://t.co/96IQwHSMIp,2020-11-24 19:01:56,Twitter Web App,1,13
After weeks of unnecessary and dangerous delay I'm thankful @GSA is starting the transition for President-elect Biden's incoming administration. The American people have spoken—it's time to move forward and focus on defeating this virus and rebuilding our economy. https://t.co/rWJWVFLDei,2020-11-24 00:20:17,Twitter Web App,11,57
Thankfully the State Board of Canvassers did their job to certify Michigan’s election results honoring the will of the people. This process was transparent &amp; there's no evidence of fraud. It's time we come together &amp; support President-elect Biden and his incoming administration. https://t.co/uhEPc9tuCb,2020-11-23 21:57:51,Twitter Web App,4,46
Happiest of birthdays to my good friend @RepDebDingell! Michiganders are grateful to have someone like you in their corner—fighting for fair wages cleaning up PFAS and protecting our Great Lakes. https://t.co/uLXDcJTW7B,2020-11-23 20:16:11,Twitter Web App,5,36
No Michigander should have to worry about losing their home during a pandemic especially as winter starts to come. Residents in Genesee County who have fallen behind on their rent because of the pandemic can now apply for assistance through December 15. Learn how to apply below: https://t.co/Xt4vjUd1nU,2020-11-23 17:19:13,Twitter Web App,10,24
Unless the Senate acts before Christmas unemployed Michiganders through no fault of their own due to the pandemic will lose federal unemployment benefits. People are struggling to pay bills &amp; put food on the table. Congress must come together &amp; pass additional relief now! https://t.co/it78TZknxC,2020-11-20 16:58:34,Twitter Web App,14,54
Happy birthday President-elect Joe Biden! Now more than ever America needs your steady and strong leadership. I look forward to working with you to defeat this virus ensure access to clean drinking water for all and #BuildBackBetter. https://t.co/ka4SIi1AnT,2020-11-20 15:42:39,Twitter Web App,3,82
The @usairforce must make sure those exposed to harmful chemicals have access to the health care they need.   I have introduced the Care for Veterans Act to provide health benefits to veterans who were exposed to VOC chemicals at military bases like Wurtsmith. https://t.co/SRKQ1thCh7,2020-11-20 14:40:04,TweetDeck,1,12
.@RepPaulMitchell &amp; @RepSlotkin are right: "This election has seen a number of completely baseless claims about its fairness a number of them focused on Michigan. If candidates cannot furnish proof of their claims they must do the right thing &amp; concede." https://t.co/NbhHDovUZd,2020-11-20 13:54:47,TweetDeck,16,49
The votes have been counted and Joe Biden will be the next President of the United States. But @realDonaldTrump is spreading lies &amp; conspiracy theories to undermine our democracy and overturn this election.  We cannot get complacent. Every American should be speaking out. https://t.co/dPY5N6raXY,2020-11-20 13:45:12,TweetDeck,8,35
History will judge @LeeChatfield and @SenMikeShirkey on whether they choose to acknowledge the results of the election and defend our democracy or simply be loyal to one man. https://t.co/qsbSYZgRTL,2020-11-20 13:35:49,TweetDeck,11,44
Setting aside the fact that Rudy has lost his marbles this is not the way democracy works.  You don't get to take out the ballots of people who voted for your opponent. GOP attempts to throw out ballots from predominantly African American communities is racist and despicable. https://t.co/bpKn8RzEyx,2020-11-19 18:19:17,TweetDeck,1098,4167
President Trump is actively trying to overturn the will of the American people and steal this election. We cannot get complacent.    It is shameful that my Republicans colleagues are enabling this President's behavior. Their silence is deafening.,2020-11-19 18:11:43,TweetDeck,83,291
.@LeeChatfield and @SenMikeShirkey have failed to put forward any plan to defeat COVID-19.   Instead of doing their jobs to protect you they're flying to DC at Trump's beck and call willingly participating in the President's desperate attempt to overturn the election results. https://t.co/IbaZdwNRvY,2020-11-19 17:26:12,TweetDeck,15,37
Flint families deserve our continued support and we owe it to other communities to learn the lessons of this crisis so it never happens elsewhere. For updates on the settlement visit: https://t.co/tkH6kWjA0C,2020-11-18 22:17:35,Twitter Web App,1,9
Ultimately justice for Flint families will take many forms. Including holding those state officials accountable for what they did and making sure families have access to critical resources like the Flint Registry that can continue to help mitigate the effects of lead exposure.,2020-11-18 22:17:35,Twitter Web App,2,14
There will never be an amount of money that adequately recognizes the harm done to Flint families but this settlement is an acknowledgment of the massive failures during this man-made crisis.  https://t.co/4PP8bxiZp1,2020-11-18 22:17:35,Twitter Web App,6,15
President-elect Joe Biden must be granted access to the information his administration needs to ensure Americans get the resources they need to protect themselves.,2020-11-18 20:33:21,Twitter Web App,2,29
More than a week ago Joe Biden secured enough votes to be our next President. Yet President Trump &amp; @USGSA refuse to accept the results. If this continues we could see:  💉 Delay in vaccine roll-out 💵 Delay in relief for families &amp; small businesses 😷 Delay in PPE distribution,2020-11-18 20:33:21,Twitter Web App,7,43
Proud of my friend @RepKClark who will help lead our House Democratic Caucus as Assistant Speaker! https://t.co/xPPOrmzyIl,2020-11-18 18:29:41,TweetDeck,2,5
Congrats to @SpeakerPelosi @LeaderHoyer and @WhipClyburn on your re-elections to lead our Democratic majority in the House!   As Chief Deputy Whip I look forward to working with you on defeating this virus rebuilding our economy and lowering the cost of health care &amp; Rx drugs.,2020-11-18 18:27:31,TweetDeck,6,45
More lies from the President of the United States. The county election results were just certified after great public backlash to the political gamesmanship of the Wayne County Board of Canvassers.  64 days @realDonaldTrump. The will of the voters will not be overturned. https://t.co/DeLQLLcjuR,2020-11-18 02:30:45,Twitter for iPhone,45,234
This pandemic is far from over. I've heard from thousands of constituents who are still struggling to pay their bills put food on the table &amp; pay rent. Congress must put politics aside negotiate &amp; pass coronavirus emergency relief to help the American people. Watch my remarks: https://t.co/J405dfQwqD,2020-11-17 23:02:33,Twitter Web App,6,36
This pandemic is not over. We must continue to do our part to slow the spread by wearing a mask practice social distancing and regularly wash our hands.,2020-11-16 20:07:37,Twitter Web App,3,21
With cases on the rise in Michigan families seniors &amp; small businesses need our support. I voted for additional economic relief packages—both await action in the Senate. As Congress resumes this week I'll continue to press Republicans &amp; Democrats to pass a bipartisan relief. https://t.co/WZidsLtxqG,2020-11-16 20:07:37,Twitter Web App,4,50
Happy #VeteransDay! Today is a day for all of us to recognize and honor those who have bravely served our country. As the son of a Navy Veteran I am thankful for our veterans and the sacrifices they have made to protect our democracy. https://t.co/hztRdWDEo6,2020-11-11 17:56:00,Twitter Web App,3,21
Wishing the @USMC a happy 245th birthday! To all the men and women serving in our Marine Corps thank you for your commitment and sacrifice. Semper fidelis 🇺🇸 https://t.co/AtyNXXLbhk,2020-11-11 02:31:59,Twitter Web App,5,24
If you receive a text message asking for your bank information to receive your stimulus check—this is a scam! The #IRS will never send unsolicited texts to you.  To report a scam email the date/time/timezone that you received the message &amp; their phone number to phishing@irs.gov. https://t.co/DtRNTQLwSY,2020-11-10 23:09:00,Twitter Web App,10,12
What the Affordable Care Act means for Michiganders:  - 4.1 million Michiganders with pre-existing conditions protected - Seniors save $1307 on average on prescription drugs - Women cannot be charged more than men for the same care  Health care is a human right. #SaveTheACA,2020-11-10 18:30:00,Twitter Web App,5,41
I will continue to work in Congress to expand and improve the Affordable Care Act—not eliminate it. @HouseDemocrats have passed bipartisan bills to lower health care premiums and the cost of prescription drugs and ensure everyone has access to affordable quality health care.,2020-11-10 17:53:03,Twitter Web App,2,24
Today Republicans are at the Supreme Court pursuing their decade-long crusade to take health care away from millions of Americans—leaving thousands of Michiganders with pre-existing conditions without protection. This action during a global pandemic is cruel &amp; wrong. #SaveTheACA https://t.co/soGsZaUNJb,2020-11-10 17:53:03,Twitter Web App,7,25
As coronavirus cases top 10 million in the United States we must work together to stop the spread of this virus. By wearing a mask and practicing social distancing we can stop the spread of this pandemic and protect our neighbors. #WearAMask https://t.co/D17Ia1MABb,2020-11-09 23:12:00,Twitter Web App,5,38
As member of the @WaysMeansCmte I will work with the new administration to end this pandemic and rebuild our economy.,2020-11-09 17:01:51,Twitter Web App,4,33
Just days after being elected President-Elect Biden and Vice President-Elect Harris have announced a new coronavirus task force to help defeat this virus. Their leadership could not come at a more important time as cases spike across the U.S. https://t.co/QOuIOajMRq,2020-11-09 17:01:51,Twitter Web App,6,40
Congratulations to President-elect Joe Biden and Vice President-elect Kamala Harris! I know that you will be strong decent and empathetic leaders that America deserves. https://t.co/B0lODqCf1c,2020-11-07 17:02:00,Twitter Web App,6,63
Voting is a sacred right in America. People have died for our right to cast a ballot and choose our leaders.  Our electoral process is working. Votes are being counted then a winner will be declared. Republican attacks on the integrity of our electoral system are shameful.,2020-11-05 22:22:13,Twitter for iPhone,45,202
The President can’t have it both ways. You can’t try to speed up counting in states where you’re behind while at the same time trying to shut down counting in states where you’re ahead. That’s not how it works in a democracy.   Every vote must be counted.,2020-11-05 22:07:34,Twitter for iPhone,10,94
Reminder: Polls close in one hour in Michigan. You have the right to vote if you are in line by 8 p.m. ET.  You can make sure your ballot has been received and find your polling place at https://t.co/t4dmXSIccV.  Every. #Vote. Counts. https://t.co/cJxCBY3JPr,2020-11-04 00:00:00,Twitter Web App,9,15
Received an absentee ballot and have not returned it? Make sure to return your completed ballot to your local drop-box or to your local city and township clerk's office before 8 p.m. ET TODAY—do not mail it.  Find your local clerk's office by visiting https://t.co/t4dmXSIccV. https://t.co/98t6nXxNzM,2020-11-03 20:17:00,Twitter Media Studio,12,38
Flint residents please see an important message from Michigan Attorney General Dana Nessel below.  It is FALSE that #ElectionDay polls are open tomorrow. You can only vote today from now until 8 p.m. ET. https://t.co/ljmYoiQ1J4,2020-11-03 15:58:04,TweetDeck,23,35
Michigan allows for same-day voter registration. You can register to vote and vote in person today at your local clerk's office. You'll need proof of residency. Find your clerk's office here: https://t.co/t4dmXSZNBv https://t.co/iNw0JMMWaS,2020-11-03 14:27:57,Twitter Web App,26,48
It’s #ElectionDay! Polls are open from 7 a.m. to 8 p.m. ET. You have the right to vote if you are in line by 8 p.m. ET. If you are voting in person know your polling location wear a mask &amp; practice social distancing.  Find your polling place here: https://t.co/t4dmXSZNBv https://t.co/rINgxnpoGC,2020-11-03 14:07:58,Twitter Web App,14,24
Great stopping by Flint neighborhood parks to hear from residents on work being done to clean up and turn abandoned properties into welcoming neighborhood green spaces residents can meet in and enjoy—made possible by federal investments I've secured in Congress. https://t.co/NzoyaNv2HV,2020-11-02 21:10:49,Twitter Web App,7,30
Don't wait until the last day! Return your absentee ballot TODAY to your secure drop box or local clerk’s office.   Find your clerk’s locations and hours at https://t.co/t4dmXSZNBv. #MIPlan2Vote https://t.co/1ZbDf4aFAQ,2020-11-02 14:21:31,TweetDeck,4,9
I am proud to announce this federal funding to Au Sable to improve water and wastewater infrastructure. When we invest in our critical water infrastructure we ensure families have access to clean safe drinking water and help protect our Great Lakes.  https://t.co/DzLYz8sQfu,2020-11-01 15:00:02,Twitter Web App,2,19
We all stand on the shoulders of giants. It’s up to each and every one of us to continue the fight for justice and equality for all.  Love #Flint and this new powerful mural in our community. https://t.co/XYfucXyVZN,2020-10-31 22:00:01,Twitter Web App,8,44
Happy #Halloween! Even though this Halloween is different this year I hope you still get a chance to celebrate with sweets and fun today. Please remember to follow your local health officials’ recommendations for this holiday wear a mask and practice social distancing. https://t.co/2pRZ5HFaY1,2020-10-31 18:41:00,Twitter Web App,3,10
https://t.co/OV9t0fCuBc,2020-10-30 13:57:14,Twitter Web App,0,7
I'm pleased the Paycheck Protection Program helped 100000+ workers keep their jobs in the 5th District during this pandemic. But we've got more work to do to help small businesses especially mom-and-pop shops. @SenateGOP must pass my bipartisan #RELIEFforMainStreet Act now.,2020-10-30 13:57:14,Twitter Web App,3,20
Joining @America_Forward right now for a live #wholelearner chat on the importance of ensuring every child in Michigan regardless of the zip code they were born into has the resources they need to succeed in school. Watch live:  https://t.co/2tifi7OQis,2020-10-27 15:00:40,Twitter Web App,2,5
You can vote now before Election Day in Michigan. To vote early in-person by absentee ballot visit your local clerk's office. Find your local clerk's office and hours at https://t.co/OzO9Iz4KE6. https://t.co/tEo4yrIeGq,2020-10-27 12:45:00,Twitter Web App,12,22
When it comes to passing an economic relief package to help families through this pandemic Senate Republicans have refused to act for MONTHS.  Yet when a Supreme Court vacancy happens they drop everything to rush an appointment.  Shameful.,2020-10-27 00:16:09,Twitter Web App,45,152
In the richest country in the world every American deserves access to quality affordable health care. @HouseDemocrats are working to expand health care coverage and lower costs for families seniors and workers. #ForThePeople https://t.co/EyMDtekQ0z,2020-10-26 16:32:31,Twitter Web App,8,16
President Trump &amp; Republicans are asking the Supreme Court to eliminate health coverage for those with pre-existing conditions. During a recent @WaysMeansCmte hearing I discussed why repealing the Affordable Care Act is wrong: https://t.co/1yGdeFh2pb,2020-10-26 16:30:33,Twitter Media Studio,5,6
This pandemic is not over—Michigan is seeing an increase in the daily number of COVID-19 cases.  Let's listen to the science wear a mask and practice social distancing to help save lives. https://t.co/nXyjPwRNQV,2020-10-25 15:59:00,Twitter Web App,10,70
As our mid-Michigan students and teachers begin returning to in-person classes they shouldn't have to worry about risking their own health. That's why I'm a proud co-sponsor of the #PPEforSafeSchools Act - ensuring our schools are protected and provided with the funds they need. https://t.co/jHu0HDZ8sx,2020-10-24 22:27:00,Twitter Web App,4,15
Afterschool programs play a significant role in supporting our students families and communities across Michigan. In Congress I supported bipartisan emergency relief to increase afterschool childcare options during this pandemic and make sure we keep the #LightsOnAfterschool. https://t.co/B5BSYgXuZk,2020-10-23 00:06:47,Twitter Web App,6,25
Stopped by @GenHealthSystem's Mobile Testing Unit in Flint to thank our frontline health care workers. This pandemic is not over—we must ensure free coronavirus testing is available in every community. https://t.co/g81t16ZUy0,2020-10-22 23:00:01,Twitter Web App,2,6
Investing in housing counseling services &amp; resources ensures safety &amp; financial security for millions of Michigan families and seniors. I am proud to announce these federal grants to provide these vital services to renters &amp; homeowners across Michigan.  https://t.co/q1GA2Z17pl,2020-10-22 21:18:00,Twitter Web App,6,11
President Trump and Republicans have no plan and want to kick millions off their health care—in the middle of a pandemic. https://t.co/Hp5rjupRgs,2020-10-22 17:38:06,Twitter for iPhone,17,56
Joining Communities First for their virtual Georgia Manor groundbreaking ceremony to provide quality affordable housing in Flint. When we invest in affordable housing we build strong neighborhoods &amp; give families greater economic opportunity. Watch live: https://t.co/gSez3RisPR,2020-10-22 16:14:54,Twitter Web App,1,4
.@MayorNeeley will host a virtual event today at 6:30 p.m. ET inviting residents to join the discussion on the future of I-475 in Flint—including ideas to reconnect downtown and nearby neighborhoods. You can join the conversation here: https://t.co/jQ89whXJHM https://t.co/5zb6Yme7kf,2020-10-21 15:52:26,Twitter Web App,2,3
Under Michigan law every Michigander has the right to vote safely and securely by absentee ballot. To vote absentee:  1. Request an absentee ballot: https://t.co/5ymqYWlHaz   2. Complete and return ballot to local clerk's office or drop box ASAP.  https://t.co/NAkqv9rryY,2020-10-20 15:40:34,Twitter Web App,13,21
Happiest of birthdays @RepLawrence! The constituents of Michigan’s 14th District are grateful to have you as their representative fighting for justice and equality for all. I’m very grateful to serve alongside you in Congress. https://t.co/GONDj8CB0V,2020-10-18 22:49:15,Twitter Web App,7,45
.@DonofrioJeff has been a champion for working families and small businesses across Michigan. I am excited to start working with you in your new role at @BusLeadersforMI as we work to create Michigan jobs and grow our economy. https://t.co/Jq6nCp19J9,2020-10-16 22:30:00,Twitter Web App,4,10
Congratulations to Dorothy Zehnder on being inducted into the Michigan Women's Hall of Fame! Your remarkable career &amp; mentorship has inspired so many young women in business and around Michigan. https://t.co/zfT5VY6RIP,2020-10-16 21:54:00,Twitter Web App,5,16
Where is the empathy from @senatemajldr and @SenateGOP?  Michiganders and small businesses are struggling during this pandemic and they are suggesting families wait even longer until after he installs a new Supreme Court justice. The American people need help now! https://t.co/Ji1xq5tvfb,2020-10-16 19:32:00,Twitter Web App,13,19
This pandemic is not over. Michigan families workers and seniors are still struggling to pay their bills put food on the table &amp; pay rent. The House passed the #HeroesAct to help Americans most in need.  @senatemajldr Michiganders cannot wait. They need help NOW. https://t.co/9Cuh5oPqF4,2020-10-15 20:38:16,Twitter Web App,8,27
@paulgmattern @MTAflint Thanks Paul! It was great to get an update on @MTAFlint's operations and discuss money we've been able to secure to maintain &amp; improve public transit. Appreciate you reaching out!,2020-10-15 13:50:20,TweetDeck,0,3
Excited to have seen ongoing restoration efforts on the Flint River—made possible by the $335 million I secured for the #GreatLakes Restoration Initiative.  In Congress I always work to protect Michigan’s natural resources for future generations. https://t.co/k7gI0iHgfn,2020-10-14 21:34:39,Twitter Web App,8,26
Join me for a live discussion happening now on the work I am doing in Congress to protect firefighters and servicemembers from harmful PFAS chemicals.  Watch our virtual discussion here: https://t.co/dgbiFxbOyc,2020-10-13 21:32:13,Twitter Web App,3,3
I'm very saddened to learn of Dr. Ali Hekmati’s passing. Ali was a local community leader professor at @MottCollege &amp; father of four including Amir Hekmati.  Jennifer and I extend our deepest sympathies to his wife Behnaz and the entire Hekmati family. https://t.co/FCymRw5tfN https://t.co/iftiSg5uwi,2020-10-11 15:11:25,TweetDeck,6,22
Last night I spoke with @northflintnac and constituents who expressed the importance of investing in our communities families and small businesses. In Congress I will continue to work to bring home federal resources to help build a stronger and prosperous mid-Michigan. https://t.co/BGxBQGNOBD,2020-10-09 16:15:27,Twitter Web App,4,9
LGBTQ+ rights matter. In Congress I will keep fighting to ensure full equality for all Americans. I am honored to receive a perfect score from @HRC on their Congressional Scorecard for the 116th Congress. https://t.co/ySFzxKCb43,2020-10-09 14:16:00,Twitter Web App,1,16
Glad I had the chance to tour Shiawassee National Wildlife Refuge in Saginaw to see local conservation efforts funded by the Great Lakes Restoration Initiative. I’m proud to have secured $335 billion to help protect our water from pollution runoff and invasive species. https://t.co/3ZUTK2Ru6X,2020-10-08 21:30:00,Twitter Web App,7,21
Conspiracy to kidnap @GovWhitmer &amp; terrorize our state is shocking. I'm glad our governor &amp; her family are safe. Those who participated in this plot should be prosecuted to the fullest extent of the law. Thanks to state &amp; federal law enforcement who thwarted this horrific attack. https://t.co/5cW9Fc8p5m,2020-10-08 18:18:51,Twitter Web App,23,97
Michigan families seniors &amp; small businesses are still struggling to pay their bills during this pandemic. @ComsumersEnergy has committed to providing $12 million to help Michiganders &amp; small businesses with their energy bills. To learn more call: 211 or (800) 477-5050. https://t.co/FRYCiGNoqF,2020-10-08 17:19:00,Twitter Web App,3,8
Proud to announce federal grants to Hampton Charter Township and Clio to invest in new fire medical &amp; public works vehicles. Supporting our first responders and investing in new public safety equipment for our community helps keep our neighborhoods safe.  https://t.co/0lkUO911Yk,2020-10-08 14:01:42,Twitter Web App,4,8
Toured Port Fisher Terminals in Bay City this week to see the shipments of new wind turbines to help power mid-Michigan's economy.  I'm proud the House passed the Moving Forward Act which includes my bipartisan legislation to create jobs by investing in green energy tax credits. https://t.co/sMcVpFSzdR,2020-10-07 15:03:02,Twitter Web App,7,18
I disagree with ending #stimulus talks—families small businesses &amp; frontline workers still need help. @HouseDemocrats have already passed emergency relief to get much-needed aid to workers &amp; families. @realDonaldTrump American people want both parties to negotiate &amp; compromise. https://t.co/acqwHKk4K2,2020-10-06 21:01:11,Twitter Web App,21,80
Honored to present the Firefighter of the Year Award in Saginaw. To all of our first responders—thank you for what you do to protect our community and keep us safe.  Watch the ceremony live:  https://t.co/K4FW2JEh9B,2020-10-06 14:45:17,Twitter Web App,4,8
.@realDonaldTrump paid $750 in federal taxes for government-run health care. All while he's suing to take away insurance for those with pre-existing conditions.  Now the President tells everyone else not to let the virus "dominate" you when 210000 Americans are dead.  Shameful. https://t.co/8TMHtoILgQ,2020-10-06 00:18:49,TweetDeck,16,45
Small businesses &amp; their workers have been hit hard by this pandemic. We must get them additional support.  The House passed my bipartisan bill the #RELIEFforMainStreet Act to provide $15 billion in support to the smallest businesses that need it most.  https://t.co/eoObU3ff07,2020-10-05 22:27:03,Twitter Web App,2,7
