Thank you to the men and women of the @139AW for your service. We’re all so thankful to see you all return home! https://t.co/v3FIUg2Mi2,2020-11-20 21:00:00,TweetDeck,1,4
More funding is on the way for the East Locust Creek Reservoir Project. This is huge news for North Central Missouri. https://t.co/GAHwIVIbuV,2020-11-20 19:36:12,TweetDeck,1,2
FEMA should be helping disaster victims not harassing them because of mistakes the agency made. My bill holds FEMA accountable and returns the agency to its original mission. https://t.co/QwALq03dN1,2020-11-19 22:58:56,TweetDeck,1,4
Thank you to all the frontline healthcare professionals working tirelessly through this pandemic to keep our rural communities healthy. Happy National Rural Health Day! https://t.co/lUd8dD5UDR,2020-11-19 17:03:32,TweetDeck,2,7
When FEMA makes a mistake they need to own up to it.    They shouldn’t be harassing haranguing and sending debt collectors after innocent disaster victims who are just trying to put their lives back together.   My bill ensures this doesn't happen again. https://t.co/bShVj4z6iX,2020-11-18 19:15:38,TweetDeck,1,2
Disaster victims shouldn't be hit again with unexpected bills when FEMA makes a mistake. My bill stops the revictimization of disaster victims and holds FEMA accountable for the mistakes they make. https://t.co/9vyWZxw7il,2020-11-17 23:48:42,Twitter for Android,3,6
Thank you to all the military families that sacrifice so much as their fathers mothers sons and daughters serve our country. https://t.co/jn89Xac1Wa,2020-11-13 17:38:43,TweetDeck,1,3
Thank you to all veterans of our Armed Forces that have served sacrificed fought and bled for this country and our freedom. https://t.co/Kdrd8skhCi,2020-11-11 14:30:00,TweetDeck,2,6
Eligible small businesses and nonprofits can still apply for Economic Injury Disaster Loans. You can learn more and apply here: https://t.co/gCB2bZwJgf,2020-11-10 21:00:00,TweetDeck,1,0
Thank you to each and every Marine Corps veteran past and present that has served sacrificed and fought for this country so that we might be free. Happy 245th birthday to the United States Marines Corps! https://t.co/iIfKtby8bA,2020-11-10 19:04:56,TweetDeck,2,9
This is worth watching. Thank you to all our veterans for their service and happy Military Family Appreciation Month! https://t.co/UO6gg14596,2020-11-10 19:00:00,TweetDeck,1,3
Incredible news!    This is a huge step forward in getting an effective and safe COVID-19 vaccine to the American people and reopening our country.   This would not have been possible without @realDonaldTrump’s leadership of Operation Warp Speed. https://t.co/6JJO82DbUk,2020-11-09 18:28:06,TweetDeck,3,9
The integrity of our elections matters.   I stand with President Trump. Every legal vote must be counted in complete transparency.  The American people deserve free and fair elections.,2020-11-06 18:00:49,TweetDeck,575,1891
The @HealthyLivingMo is conducting free COVID-19 community testing in conjunction with local health departments and the @Missouri_NG.  More here: https://t.co/SG2wyj1Ct7,2020-11-05 23:04:54,TweetDeck,4,6
What an honor. The Missouri National Guard Hall of Fame has chosen Kirksville as its new home! https://t.co/BDqNXF7Y2G,2020-10-30 21:01:11,TweetDeck,3,8
The Mississippi River is an enormous resource for North Missouri and the entire Midwest. Ensuring it remains navigable and that barge traffic can flow efficiently up and down the river is a major priority. https://t.co/6ciatRfkp7,2020-10-29 16:58:31,TweetDeck,1,6
This is a long time coming. The approval of the Little Otter Creek project will help provide clean reliable drinking water to Caldwell County and the surrounding areas while helping with flood control. https://t.co/jOkODMcaK8,2020-10-28 17:17:27,TweetDeck,2,3
Congratulations to Justice Amy Coney Barrett on being confirmed to the Supreme Court!,2020-10-27 00:07:26,TweetDeck,11,59
Politics shouldn’t get in the way of fixing potholes. We need bipartisan solutions to fix America’s infrastructure today and maintain our infrastructure into the future. https://t.co/DYCCWf2nBz,2020-10-26 17:40:17,TweetDeck,45,77
BREAKING: This morning Sudan became the THIRD Arab country to sign a peace deal with Israel in the last few weeks. Before 2020 only two such deals had been agreed to in the last 72 years!,2020-10-23 18:36:30,TweetDeck,819,2565
This month we celebrate the hundreds of thousands of Americans—friends family members neighbors and loved ones—living with Down syndrome. https://t.co/zCAEwCGdWb,2020-10-22 18:00:01,TweetDeck,5,6
Congratulations to Judge Amy Coney Barrett on having her nomination unanimously approved by the Senate Judiciary Committee this morning. She is exceptionally qualified and I know she will serve our nation well on the Supreme Court.,2020-10-22 16:29:09,TweetDeck,1023,4199
Happy Missouri Day!  For the last 105 years Missourians have celebrated our rich and vibrant history on the 3rd Wednesday in October.  I’m so proud to call Missouri my home. https://t.co/uVbdPYqVQM,2020-10-21 18:19:01,TweetDeck,3,14
There’s still $138 million left in the Paycheck Protection Program.   It’s time for Speaker Pelosi to stop playing politics with the future of American small businesses and bring up bipartisan legislation to reauthorize it.,2020-10-20 19:00:00,TweetDeck,2,9
If we learned anything from last week’s hearings it’s that Judge Amy Coney Barrett is poised under pressure committed to interpreting our laws and Constitution as originally intended and supremely qualified to serve on our nation’s highest court. https://t.co/pUm6FXYCNm,2020-10-20 16:47:29,TweetDeck,3,8
This is a great step in the right direction modernizing our water infrastructure and ensuring all Americans have access to clean safe and reliable water. https://t.co/3IxT9xRj4Q,2020-10-19 17:07:05,TweetDeck,2,7
Judge Amy Coney Barrett is extraordinarily qualified to serve on our nation’s highest court. We need her on the Supreme Court. https://t.co/cOyHJCfCLl,2020-10-16 19:28:16,TweetDeck,2,10
We must protect our communities from future flooding and ensure barges can make it up and down the Missouri River for generations to come. The future of North Missouri and the entire Midwest depends on it. https://t.co/R23COZviGl,2020-10-12 18:00:00,TweetDeck,6,10
Judge Amy Coney Barrett will uphold the Constitution and the laws of our nation as intended by our Founding Fathers. We need her on the Supreme Court. #ConfirmACB https://t.co/TRoWklo4Nl,2020-10-12 16:44:26,TweetDeck,48,110
I helped secure funding for the Rocheport Bridge replacement on I-70 east of Columbia last year.  That federal funding unlocked more money to jumpstart @GovParsonMO's Focus on Bridges program including the replacement of these 4 bridges west of Maryville. https://t.co/957QY5wxz3,2020-10-09 16:26:32,TweetDeck,8,18
On the heels of 4 straight months of record-smashing job growth American employers added back another 661000 jobs last month. With the exception of the past few months that’s the greatest one month total since the Reagan Administration. https://t.co/TlqpfiivY6,2020-10-06 20:00:00,TweetDeck,14,15
My simple bill to fast track airport improvement projects passed the House last week. When it comes to infrastructure projects time is money and my bill will help save both. https://t.co/jfujDuHvN3,2020-10-06 18:00:01,TweetDeck,2,5
Many small businesses are still suffering and more will close their doors if they don’t get the relief they need.   It’s long past time for Speaker Pelosi to stop playing political games and start working to get American small businesses the help they need.,2020-10-05 16:25:48,Twitter Web App,3,5
Following months of record-setting job growth American employers added another 661000 jobs in September.    However there's still more work to be done. https://t.co/adfvnzYOxO,2020-10-05 16:25:33,Twitter Web App,14,32
The Paycheck Protection Program was highly successful supporting over 51 million American jobs during this pandemic. It’s time for the Speaker to stop playing politics and get American small businesses the help they need. https://t.co/IWwOdkYktf,2020-10-02 18:00:01,TweetDeck,1,2
My bill to help expedite airport construction projects while saving taxpayer money passed the House of Representatives today.   The Expedited Delivery of Airport Infrastructure Act allows airports to use a portion of AIP funds to expedite the completion of airport projects. https://t.co/OBdaLGgbIZ,2020-10-01 21:58:46,TweetDeck,12,13
This bridge replacement is part of @GovParsonMO's Focus on Bridges Program that was made possible by the federal grant I helped secure for the Rocheport Bridge project on I-70.,2020-09-30 21:05:01,Twitter Web App,1,1
Good news for Harrison County: The old Coal Creek Bridge on Highway V North of Cainsville is scheduled for replacement   Work will begin on the replacement of the 63-year-old structurally deficient bridge on Monday October 5.,2020-09-30 21:05:01,Twitter Web App,0,2
We have to keep our rivers navigable.   We have to invest in flood control to protect our communities.   The future of North Missouri depends on it.,2020-09-30 18:00:02,TweetDeck,2,18
The ports in Kansas City and St. Joseph are big economic drivers.    Industries large and small depend on the river to get raw materials to factories and ship their products around the globe.   We have to ensure the Missouri River remains navigable. https://t.co/oHuLUQXfK5,2020-09-30 15:17:53,TweetDeck,2,2
Congratulations to @BSSDSPE in Blue Springs for being named a 2020 Blue Ribbon School by the @usedgov! https://t.co/xLtHqOXonx,2020-09-29 18:00:01,TweetDeck,1,4
The sun is setting but there’s still plenty of work to be done. It’s dry enough to run so we’ll be out here late into the night. https://t.co/5nEUrA4DsA,2020-09-29 01:30:39,Twitter for iPhone,2,21
As we start this harvest season please remember to be safe and slow down when you encountering slow-moving machinery on our roadways! https://t.co/KElXS8dSKf,2020-09-28 20:00:01,TweetDeck,2,1
Amy Coney Barrett is a constitutional conservative who will uphold the original intent of the law and our founding documents. I applaud President Trump for nominating Judge Barrett and encourage the Senate to swiftly confirm her nomination to the Supreme Court. https://t.co/uc4hYKYc4a,2020-09-28 18:00:01,TweetDeck,101,358
Harvest 2020 is underway. We started shelling corn today and it’s going great! https://t.co/8QDDnZcuFP,2020-09-28 17:46:17,TweetDeck,2,7
This hits the nail on the head.   We can't continue wasting millions on supersized science experiments if we can't even adequately fund the basic maintenance it takes to keep the Missouri River navigable and protect our communities from flooding. https://t.co/OZdwV4aBqm,2020-09-28 16:06:36,TweetDeck,2,12
I applaud President Trump for nominating Judge Amy Coney Barrett a Constitutional conservative who will be steadfast in her pursuit of the original intent of our founding documents and the law. I encourage the Senate to swiftly confirm her. https://t.co/SJol6FBiVn,2020-09-26 22:12:28,Twitter for iPhone,9,23
To fix America’s infrastructure we have to start by cutting through the masses of red tape that halt and delay needed infrastructure projects. https://t.co/mNHRcOuHZC,2020-09-25 21:00:01,TweetDeck,4,9
Yesterday I met with pilots and WWII veterans preparing for the Arsenal of Democracy flyover. I had the distinct honor of presenting WWII veterans with flags flown over the United States Capitol. https://t.co/g1CmsG8EJH,2020-09-25 19:24:14,TweetDeck,4,11
Congratulations @Ambotanicals on being named an Exporter of the Year by @ExImBankUS.  Based in Eolia American Botanicals employs 130 workers and with the help of the Export Import Bank has exported more than $7.7 million worth of goods since 2014.,2020-09-23 18:00:00,TweetDeck,0,2
I’m proud to announce Kansas City will be receiving a federal BUILD grant to look at ways to improve the I-29 I-35 and US 169 corridors. Finding ways to improve the flow of traffic in through these corridors is crucial for the continued growth of the Northland.,2020-09-22 20:00:01,TweetDeck,6,47
Main Street America has taken a beating during the COVID-19 pandemic.   Here are some things we can do this Small Business Week and every week to keep our favorite local Small Businesses afloat. https://t.co/5gAXSzha1s,2020-09-22 18:02:32,TweetDeck,0,0
Several important SBA low-interest disaster loan deadlines are set for October 19 2020.   You can learn more below or by visiting https://t.co/vp3TtUN076.  If you have any questions or difficulties please do not hesitate to contact my office at (816) 792-3976. https://t.co/XqOGnXnlS1,2020-09-22 17:10:48,TweetDeck,0,0
In a time when law enforcement officers are facing unprecedented hate and violence I want one thing to be clear: I will always support the brave men and women that risk their lives to protect our communities. https://t.co/0VB4nr2Etl,2020-09-21 16:03:23,TweetDeck,3,16
My thoughts and prayers are with Justice Ruth Bader Ginsburg's family during this difficult time. Her life was devoted to public service and the law. May she rest in peace.,2020-09-19 01:32:01,Twitter for Android,5,28
Thank you to all the Air Force veterans who have served and sacrificed over the past 73 years! https://t.co/UDFKfeub19,2020-09-18 15:45:55,TweetDeck,0,4
President Trump brokered two historic peace deals with Israel in just 29 days. Before this year only 2 such deals have been negotiated in the last 72 years. https://t.co/VRmjYLWqJt,2020-09-17 17:52:19,TweetDeck,1,4
Yesterday was a truly historic moment for our country and world peace. https://t.co/DQcbftlXgK,2020-09-16 20:00:01,TweetDeck,3,10
You might not have heard it on the news but we witnessed history yesterday as President Trump brokered the signing of the Abraham Accords.   These historic peace deals are a real step towards a new lasting peace in the Middle East. https://t.co/Jk2vxpntHr,2020-09-16 18:00:01,TweetDeck,5,12
I’m proud of all who have worked to bring the old Tarkio College campus full circle and create the new Tarkio Technology Institute. https://t.co/Qxgqm0NM0E,2020-09-16 15:53:47,TweetDeck,1,2
The Port of St. Joseph isn’t just important for the City of St. Joseph it’s an important economic driver for the entire region. That’s why we have to ensure navigation is a top priority on the Missouri River when it isn’t we all suffer. https://t.co/y6PCwo6XSj,2020-09-15 19:50:30,TweetDeck,2,4
✅ISIS Defeated ✅Two Historic Israel peace deals in less than a month   @realDonaldTrump is delivering big on his promises to get deals done and bring lasting peace to the Middle East.,2020-09-15 17:57:14,TweetDeck,3,10
HAPPENING NOW: President Trump is brokering two landmark peace deals between Israel and two nations the United Arab Emirates and Bahrain.   Only two such deals have been signed over the last 72 years. https://t.co/d4NRJ450wm,2020-09-15 17:02:09,TweetDeck,118,294
Proud to be at the White House today for the signing of the historic Abraham Accords and even more proud of our President for keeping his promise to get deals done to secure peace in the Middle East! https://t.co/WQTDTh5FEx,2020-09-15 17:00:22,TweetDeck,5,9
When it comes to managing our rivers nothing is more important than flood control and navigation. We have to protect families and the jobs that depend on river traffic. https://t.co/LZK71fmQiC,2020-09-14 20:00:00,TweetDeck,2,8
These changes are long overdue. https://t.co/s0JQsuMoJ4,2020-09-11 18:00:00,TweetDeck,0,1
Never Forget. https://t.co/9Wd8A3KrOq,2020-09-11 12:00:01,TweetDeck,129,344
In Kirksville I met with businesses healthcare and university officials about the COVID-19 pandemic how together we can reopen and rebuild our economy safely. https://t.co/QGUwBgWKko,2020-09-10 20:00:00,TweetDeck,2,5
In St. Joseph @MOFarmBureau President Blake Hurst and I met with our fellow farmers from all around Northwest Missouri to discuss the challenges we’ve all been facing. https://t.co/VxpeDHSuNa,2020-09-10 18:10:09,TweetDeck,5,5
We put a lot on the shoulders of our teachers but they shouldn’t have to bear the burden of buying classroom supplies.   I stopped by United Way in St. Joe to deliver some school supplies and I’ve introduced the Teacher Tax Deduction Enhancement Act to lift some of that burden. https://t.co/vlquWyL87Q,2020-09-09 20:00:00,TweetDeck,22,29
We crushed expert predictions again and added back 1.4 million American jobs in August dropping the unemployment rate to 8.4 percent!,2020-09-08 22:00:01,TweetDeck,231,803
The Port of St. Joseph is a huge economic engine for St. Joseph farmers up and down the river depend on it to get grain to market and fertilizer products to their fields.  We absolutely have to ensure navigation and barge traffic can continue along the Missouri River. https://t.co/Tx1f8iRk8R,2020-09-08 20:00:00,TweetDeck,3,18
I stopped in Kirksville last week to talk to businesses healthcare and university officials about how the COVID-19 pandemic has impacted Kirksville. The good news is that we’re on track to reopen safely and get more and more folks back to work. https://t.co/1PCX6BG8OC,2020-09-08 18:05:01,Twitter for iPhone,2,2
This week I met with officials from levee districts along the Mississippi River in Hannibal to discuss WRDA 2020 and learn more about the issues our levee districts are facing in Northeast Missouri. https://t.co/k71QjFrlkK,2020-09-04 20:00:01,TweetDeck,3,3
I met with some of our levee district officials in Hannibal to discuss changes that are on the way with WRDA 2020 and hear their thoughts on how we can better support them in their mission to protect our communities from flooding. https://t.co/g6h0DUOaVE,2020-09-04 18:30:00,TweetDeck,2,1
I stopped by the St. Joseph Law Enforcement Center to thank the St. Joseph Police Department and Buchanan County Sheriff’s Office for all the work they do to keep our community safe. https://t.co/QAM2XekzkQ,2020-09-04 16:58:30,TweetDeck,3,6
