@realDonaldTrump Mississippi Shrimpers for Trump! https://t.co/h8dgWjwQPw,2020-10-28 21:13:56,Twitter for iPhone,1,2
ICYMI! https://t.co/imtLrV8Lu5,2020-10-19 14:49:24,Twitter Web App,2,2
Yep!  Pretty mush sums it up for the majority of Americans. https://t.co/2eZyIUVeuX,2020-09-29 15:11:53,Twitter for iPhone,1,1
We can win this.  See my friend Dan’s message. https://t.co/KPkzz1ZCbG,2020-09-25 18:38:46,Twitter for iPhone,1,4
Scary! https://t.co/VuRcDQQu1x,2020-09-15 21:55:43,Twitter Web App,3,4
And how much will it cost the American taxpayer for this political ruse? https://t.co/jQ9QydwlHK,2020-08-22 03:53:17,Twitter for iPhone,1,2
Yep. https://t.co/0yT7KwkQLC,2020-08-03 01:50:19,Twitter for iPhone,2,2
Those ignorant of the past are doomed to repeat it.  Thank you @GOPLeader https://t.co/YwHltfnRR1,2020-07-16 14:02:30,Twitter for iPhone,5,7
ICYMI! https://t.co/4lBOTqSnvE,2020-07-13 00:15:30,Twitter for iPhone,2,2
This is what mob rule looks like. https://t.co/pZOjC1K3YR,2020-07-10 21:28:31,Twitter Web App,5,3
Speaker Pelosi is caving to mob rule. https://t.co/J2RJuE6eOw,2020-07-10 21:23:19,Twitter Web App,3,1
Accountability matters. https://t.co/5I256UTptl,2020-07-10 16:35:24,Twitter for iPhone,4,2
Thank you @realDonaldTrump and @stevenmnuchin1 . https://t.co/IXa5MIysZ5,2020-03-20 16:25:53,TweetDeck,1,5
This is good news.  Now they need to push back the filing date to stop the person to person contact @stevenmnuchin1 https://t.co/JvxPheIscs,2020-03-18 22:15:16,TweetDeck,1,5
We can beat this.  Follow CDC guidelines and use common sense. https://t.co/RqfsBoaQE9,2020-03-18 03:07:47,Twitter for iPhone,4,8
Not on my watch Joe. https://t.co/wBi0AulCU9,2020-03-12 05:13:50,Twitter for iPhone,2,8
Proud dad moment.  My son Bear @PalazzoBear cast his 1st ever vote for President Trump @realDonaldTrump and his second vote for me.  Trump2020!!! https://t.co/boSCb1Gl46,2020-03-10 20:21:03,Twitter for iPhone,10,41
Thank you President Trump for your support.  It has been an honor fighting alongside you the past three years rebuilding our military strengthening law and order on our border and growing the economy to record levels. Let's keep America Great! #Trump2020 #VoteMarch10 https://t.co/PKztoO86Qf,2020-03-09 21:39:16,Twitter for iPhone,62,115
Thank you Mr. President for your leadership.  @realDonaldTrump https://t.co/48t57zfPcm,2020-02-09 03:36:54,Twitter for iPhone,20,47
Democrats continue their campaign to undermine our military and as always President Trump. https://t.co/ohllu3ZINt,2020-01-30 15:48:05,Twitter for iPhone,6,13
