Happy #Thanksgiving! I'm grateful to God for our freedoms and for so many great supporters of my campaign.  Thank you and I pray you and your families have a gratitude-filled day. https://t.co/zeNawZArig,2020-11-26 19:04:18,Twitter for iPhone,1,2
Thank you to all who have served our nation in the Armed Forces.  Happy Veterans Day from a grateful nation! #VeteransDay #ncpol https://t.co/hfSXv6W4Ry,2020-11-11 18:26:14,Twitter for iPhone,1,5
Congrats @ThomTillis on your hard fought victory! #ncsen,2020-11-11 03:03:49,Twitter for iPhone,2,8
Working the polls in Burke County this morning! Polls close at 7:30pm.   If you still need to vote go to https://t.co/0ovUf2kwEt for all the information you will need to go and cast your vote today! #TeamFoxx #ncpol https://t.co/OFyIOaLW2v,2020-11-03 16:15:17,Constant Contact - Social Posts,1,3
It was an honor to welcome you to the High Country this morning @Mike_Pence ! I was pleased to worship with the VP and the congregation of Alliance Bible Fellowship and a special thanks to Pastor Andrews for a wonderful sermon! https://t.co/6CzRcADOPn,2020-11-01 22:16:13,Twitter Web App,2,1
I am pleased to have received a "Conservative" grade on @FRCAction Voter Guide! You can see the rating for everyone on your ballot by texting your zip code to 53445. #TeamFoxx #ncpol https://t.co/txAIl4lEt0,2020-10-30 20:55:00,Constant Contact - Social Posts,1,4
Today is the last day to request an absentee-ballot! If you are planning on voting absentee you have until 5:00 PM to request your ballot. Click this link and follow the instructions to request your ballot --&gt; https://t.co/PWjmdpIMyg',2020-10-27 16:37:24,Constant Contact - Social Posts,0,0
My approach to serving in Congress is straight-forward: fight for common-sense solutions that solve the problems my constituents face.  Here's a summary of my record on some of the issues many conservatives are concerned about. I hope I can count on your vote. #TeamFoxx #ncpol https://t.co/XCqSRf3Mjf,2020-10-27 00:41:57,Twitter for iPhone,0,5
My friend Congresswoman @DebbieLesko is a tough courageous woman who escaped domestic violence. The fact the media is attacking her because of the trauma caused by her abuser decades ago is utterly disgraceful and should NEVER happen.,2020-10-25 21:43:27,Twitter Web App,1,3
Looking forward to welcoming @POTUS @realDonaldTrump to Gastonia this evening! #TeamFoxx #ncpol  https://t.co/pGYJ0XIU8Q,2020-10-21 15:57:40,Twitter Web App,4,4
I have been working the early voting locations across the 5th district and have been encouraged by the turnout and enthusiasm so far! Early voting is happening now through October 31st. You can find your early voting locations here: https://t.co/CLFJaKFbP6 #TeamFoxx #ncpol https://t.co/t9U9vdn8Ge,2020-10-19 16:49:46,Constant Contact - Social Posts,1,2
Today is the first day of early voting in North Carolina! I voted this morning in Foscoe. When do you plan on voting early?   Early voting runs through October 31st. Click this link to find your early voting location https://t.co/CLFJaKFbP6 #TeamFoxx #ncpol https://t.co/XYZXZphR6K,2020-10-15 13:43:58,Constant Contact - Social Posts,1,0
Today marks 3 weeks until #ElectionDay. Early voting starts this Thursday October 15.   Do you have a plan to vote? Follow the link below to make your plan and ensure your vote is counted! #TeamFoxx #ncpol   https://t.co/ehSVNps67S,2020-10-13 17:12:43,Constant Contact - Social Posts,2,0
Grateful for the endorsement of the @NRA. I will always fight for our 2nd Amendment rights! #TeamFoxx #ncpol  https://t.co/dVfXSdphST https://t.co/kDpDwVIkb0,2020-10-09 13:21:21,Constant Contact - Social Posts,4,1
Tonight is the first presidential debate! I'm looking forward to hearing President Trump lay out his bold vision for a brighter American future and calling out the Democrats for their out-of-touch policies #TeamFoxx https://t.co/rBM4Vecj3E,2020-09-29 23:30:01,Constant Contact - Social Posts,2,4
