#MakeAmazonPay https://t.co/5YnpOENXVX,2020-11-27 16:09:29,Twitter for iPhone,3,11
@OurRevolution Amazon workers have been among those keeping our economy moving.  It’s dangerous work during a pandemic and they’ve earned Hazard pay.  #MakeAmazonPay https://t.co/tuen2YJbWm,2020-11-27 16:08:46,Twitter for iPhone,0,1
In the midst of it all we have many blessings for which to be thankful. We isolate this Thanksgiving so we can gather for the next.   Wishing you all a safe and happy Thanksgiving.,2020-11-26 17:03:00,Twitter Web App,1,28
What an incredible choice to represent the United States! Linda Thomas-Greenfield will serve as our Ambassador to the United Nations. https://t.co/k2VEh7hvxX,2020-11-25 20:56:54,Twitter Web App,8,43
Congratulations to Shuwanza Goff on being named Pres-Elect @JoeBiden's Deputy Director for Legislative Affairs. Ms. Goff was the first black woman to serve as House Floor Director and is a supreme talent. Looking forward to working with her in the new Congress. https://t.co/k3oTMlUW9O,2020-11-25 18:50:41,Twitter Web App,8,28
@LBower32390965 We're not here to penalize small businesses but to give them the resources to pay their employees hazard pay.  https://t.co/XmN06dNT9f https://t.co/qHwgsnIATl,2020-11-25 16:51:19,Twitter Web App,0,0
Jeff Bezos has increased his wealth by $70.7 Billion.  Don't tell me Amazon can't give its 800K workers hazard pay.   The Walton family has seen their wealth increase by $25 Billion in the last year. They can give their 1.5M workers hazard pay too.   https://t.co/xxdeLs5ap1,2020-11-25 16:40:59,Twitter Web App,10,39
Dave Dinkins was Trenton strong. We were all so proud of him. Rest in Peace Mr. Mayor. https://t.co/TjTxMwpWx2,2020-11-25 00:46:01,Twitter Web App,5,24
This year GetCoveredNJ is your place to sign up for health insurance.  Its New Jersey's version of https://t.co/UCCQt2DWJj.  Go to https://t.co/kRPgUkkeSo https://t.co/3hSTXHixaq,2020-11-24 22:41:38,Twitter Web App,21,27
Meanwhile big business is lobbying for legal immunity if you get sick on the job.  They don't want to acknowledge risk by paying hazard pay... but they damn sure don't want to be held liable should you get sick b/c they haven't offered protections.  https://t.co/wJOow76tkf,2020-11-24 22:24:30,Twitter Web App,10,37
https://t.co/PtzZdeIxFQ,2020-11-24 22:06:33,Twitter Web App,9,34
We're in the second wave of the Coronavirus but many employers have been doing away with hazard pay they paid earlier in they year.   The hazard hasn't gone away neither should the pay.  https://t.co/mvgjD0E6t0,2020-11-24 22:06:32,Twitter Web App,4,14
Incredibly employers are cutting back on hazard pay. We ought to pass the Essential Pay for Essential Workers Act to compensate our essential workers for the increased risk their work now carries...  https://t.co/ja17DijyKz,2020-11-24 22:06:32,Twitter Web App,32,150
After 6 years of serving on the Committee On Homeland Security I'm excited by the prospect of working with a @DHSgov Sec who understands both the importance of keeping our country secure AND the plight of refugees seeking help.  @HomelandDems https://t.co/xuWKlnqcwo,2020-11-23 20:05:45,Twitter Web App,8,25
Open Enrollment has started.   Covid has shown life can be unpredictable and how important it is to be sure you're covered.   Through @GetCoveredNJ 8 in 10 people qualify for financial help to lower their premium costs.  https://t.co/kRPgUkkeSo https://t.co/sn2jVzsAqG,2020-11-20 21:50:52,Twitter Web App,4,11
2020 is already the deadliest year for the transgender community since the  @HRC  began monitoring the statistics in 2013.   The hate must stop. The violence must stop. #TransDayOfRemembrance   Read the names of the victims here: https://t.co/zhJkM8owFH https://t.co/uTgKYjDkgb,2020-11-20 21:40:59,Twitter Web App,1,9
Every mainstream medical organization has said "conversion therapy" is dangerous and harmful to children.   Trump's appointed judges refuse to protect our LGBTQ youth.   The harm this decision will cause to them can not be overstated. https://t.co/BUsSVlMdxh,2020-11-20 21:39:34,Twitter Web App,8,18
Healthcare workers are catching Covid-19 across the country compounding the struggle to contain the virus. #WearAMaskSaveANurse,2020-11-20 14:21:31,Twitter for iPhone,3,14
Over 250000 Americans have passed from COVID-19 with over 11.5 million infections.  We have to pass REAL relief for people so they can protect their families and weather this storm.,2020-11-19 20:39:50,Twitter Web App,2,10
Congratulations to Myles Powell: Trenton native and the newest member of the Knicks!!! https://t.co/0EPckoQ6Ae,2020-11-19 20:03:55,Twitter Web App,1,14
Martin Kane immigrated to the United States from Ireland in 1915 and served his new home bravely. Sadly due to the 1918 Influenza pandemic his sacrifice went unrecognized for over 100 years.   No longer.   Read this amazing story here: https://t.co/5Y9uHq2hJU,2020-11-18 19:26:32,Twitter Web App,1,7
We must remain vigilant. Keep wearing your mask WASH YOUR HANDS and social distance.   Thanksgiving plans may need to be scaled back but doing so can help guarantee more Thanksgivings in the years to come. https://t.co/QG4shwAN7k,2020-11-16 18:59:12,Twitter Web App,9,19
Happy #Diwali to all celebrating this week!!! https://t.co/kpEY0yQUL8,2020-11-13 21:38:35,Twitter Web App,5,17
@MondaireJones Welcome Congressman,2020-11-13 03:07:49,Twitter for iPhone,3,85
I want to thank all our veterans today men and women who bravely served our country and kept our democracy safe.   Take a moment today to thank a veteran in your life.   #VeteransDay2020,2020-11-11 21:24:39,Twitter Web App,3,26
“This is the first time in our history that health professionals will be the default responders to mental health emergencies..."  This should be the model across the country. Mental health crisis should be handled by mental health professionals. https://t.co/f3PXijqx7y,2020-11-10 20:30:35,Twitter Web App,5,33
@BillPascrell The transition to Pompeo’s standup career not going so great.,2020-11-10 18:56:59,Twitter for iPhone,1,25
Mike Pompeo continues to think he’s a funny guy. https://t.co/DDT3WT8pkZ,2020-11-10 18:50:22,Twitter for iPhone,2,45
The six highest daily totals of reported new cases have come in the last six days. Our priority should be tackling the crisis.  The last thing we should be doing is risking the loss of health insurance for over 20 million people. https://t.co/YRDH1xtq0H,2020-11-10 16:55:37,Twitter Web App,2,7
This is how the GOP is spending its Tuesday as cases spike yet again.  Not promoting mask usage or finding a way to help states with costs... Nope they're trying to end the Affordable Care Act. https://t.co/FsPUFwWBgB,2020-11-10 16:55:36,Twitter Web App,9,14
We're in the 3rd wave of coronavirus.  We need a smooth transition of power. This nonsense has to stop.  https://t.co/jQJX6nKQ1p,2020-11-10 14:44:59,Twitter Web App,6,44
It’s time to end the use of for-profit prisons.   https://t.co/EY1wGkf9FU,2020-11-10 14:11:11,Twitter for iPhone,1,26
Good. https://t.co/VGVxLVWQxo,2020-11-10 14:11:11,Twitter for iPhone,21,195
