Reminder! Hunterdon &amp; Somerset Counties are invited to join Tom for a Zoom session on Monday November 30th to discuss the issues that matter to you.   RSVP here: https://t.co/4y46rVKjgd. https://t.co/0hG56XQMEn,2020-11-27 14:55:39,Twitter Web App,5,11
Though this year’s holiday may be spent away from loved ones there is always a reason to #GiveThanks. Happy Thanksgiving! https://t.co/bEUoNmS1EL,2020-11-26 15:26:25,Twitter Web App,4,19
Congratulations to Lillian Ngo Usadi of Basking Ridge who has been selected as the Naval Academy’s 53rd Rhodes Scholar! Usadi is a Ridge High School graduate currently majoring in electrical engineering at the @NavalAcademy.  https://t.co/BL1o735yIo,2020-11-25 14:50:41,Twitter Web App,3,16
When you wear a mask you help protect those around you. Wear a mask that covers your nose and mouth to protect your loved ones and slow the spread of COVID-19. #WearAMask https://t.co/O9uxaUQgQL,2020-11-24 16:43:43,Twitter Web App,5,13
The proposals in this report fall well short of what’s needed and possible under a Biden Administration. New Jersey commuters need a new tunnel – nothing less. And it must be built without significant service disruptions for New Jersey Transit and Amtrak riders -TM https://t.co/CY6HatPhRZ,2020-11-24 15:25:27,Twitter Web App,1,11
December's Congress In Your Kitchen dates are up! This series of Zoom sessions is a great way to connect with Tom on the issues that matter most to you. RSVP by county here: https://t.co/zFNkaTXoTu. https://t.co/IKcslbC47q,2020-11-23 18:43:17,Twitter Web App,2,5
A peaceful transition of presidential power is essential to our democracy.  “It's an expression of the most deeply rooted of our patriotic American values — allegiance to the republic and the system of self-governance that has guided us for 244 years.” https://t.co/3EgAhivzuK,2020-11-23 17:08:22,Twitter Web App,3,15
American families are relying on Congress to provide broad economic relief as COVID-19 cases continue to rise dramatically. It’s long past time for Congress to come together and pass a comprehensive stimulus bill.  https://t.co/9ysHx3tqdz,2020-11-23 16:13:59,Twitter Web App,4,13
In 2020 at least 37 transgender and gender-nonconforming people were killed by violence.  This #TransgenderDayofRemembrance we honor those who were taken from us too soon and reaffirm our commitment to equality and acceptance. https://t.co/CBXXGpESvA,2020-11-20 20:11:06,Twitter Web App,1,13
Today the House passed the National Apprenticeship Act of 2020 to help Americans get back to work. The bill creates 1 MILLION registered apprenticeship opportunities to connect workers with stable good-paying jobs and accelerate our economic recovery. https://t.co/nlUrGZzOAq,2020-11-20 17:36:00,Twitter Web App,5,17
The deadline to apply for Tom’s 2020-2021 Youth Advisory Council is Wednesday November 25th! For details on how to apply visit https://t.co/DkG3PLFJUE. https://t.co/OLiZM0QP75,2020-11-20 14:37:36,Twitter Web App,4,9
Reminder! The ACA open enrollment period in New Jersey runs through Jan 31 2021.   Visit https://t.co/tnmh1kenAa for more information and to enroll. https://t.co/tfYTekae2H,2020-11-19 16:26:22,Twitter Web App,6,14
The U.S. has now lost over 250k lives to COVID-19. As we enter the holiday season this grim milestone is a reminder that we must continue to prioritize the health and safety of our loved ones. For guidance on how to celebrate responsibly visit: https://t.co/JYYtYEx7p7.,2020-11-19 15:31:22,Twitter Web App,5,8
@Mc1gamer @Malinowski Thank you for reaching out. Please fill out the form in the link below with details of your case- and a member of our staff will be in touch.  https://t.co/T36i7Vbu8p,2020-11-18 15:48:54,Twitter Web App,0,1
This week we celebrate #TransgenderAwarenessWeek. As a member of @LGBTEqCaucus Tom is working to promote legislation that will save the lives of transgender Americans who experience disproportionate rates of violence and hate. https://t.co/ISyZvn2jie,2020-11-17 18:11:05,Twitter Web App,5,26
The @HunterdonHealth COVID-19 hotline is now live to answer your questions. Call (908)-788-6440 Monday-Friday 8AM-4PM to ask your questions about COVID-19 in our community.  https://t.co/AerP27Cp8Z,2020-11-16 16:58:20,Twitter Web App,2,5
Happy #Diwali to all those who celebrate! May we always bring light wherever we go. https://t.co/XXlexlRT5S,2020-11-14 15:09:10,Twitter Web App,6,27
Today VFW Kenilworth Post 2230 held a ceremony to remember WWII pilot Lt. Roger Allcroft who was killed in action 75 years ago. Tom was honored to present a flag flown over the Capitol to Lt. Allcroft's family. #VeteransDay https://t.co/3imsIoiTIZ,2020-11-11 18:22:33,Twitter Web App,2,20
This morning Tom joined members of the New Jersey Veterans Network to thank them for their service at home and abroad. The NJVN provides vital assistance to our community’s veterans and their families to help them live a better life. Thank you for all you do! #VeteransDay https://t.co/Bb1ESTGzg9,2020-11-11 16:19:54,Twitter Web App,5,22
Happy 245th Birthday to @USMC. Thank you for your service and sacrifice. https://t.co/KnZKrpUI20,2020-11-10 16:10:40,Twitter Web App,1,8
Today #SCOTUS will begin hearing oral arguments in the Admin’s latest attempt to dismantle the Affordable Care Act. Millions of Americans with pre-existing conditions rely on ACA protections to receive affordable care. We must #SaveTheACA. https://t.co/Nyxmupovdp,2020-11-10 15:15:41,Twitter Web App,2,16
This week we say thank you to the brave men and women who have sworn to defend our country and the values it stands for. If you are an active or retired servicemember visit https://t.co/2Ts7EUKvnw to learn more about your earned benefits.,2020-11-09 17:57:18,Twitter Web App,3,9
With recent spikes in #COVID19 cases across the United States including in New Jersey we must all do our part to stop the spread. Remember to wear a mask wash your hands and social distance. Stay informed at https://t.co/Funo3E0VGH.,2020-11-06 20:18:56,Twitter Web App,4,12
This #VeteransSmallBusinessWeek we recognize the contributions the 2.5 million veteran-owned businesses make to our local economies and communities every day. If you are a veteran click here for more information on how you can start your own business: https://t.co/ailw4cpCrx. https://t.co/sbR5wsRf1f,2020-11-06 15:58:04,Twitter Web App,2,3
The ACA open enrollment period is now open and runs through Jan 31 2021. Visit https://t.co/tnmh1kenAa for more information and to enroll. https://t.co/6RLDILDn1u,2020-11-02 15:17:26,Twitter Web App,2,3
If you are a NJ-07 resident and are struggling to resolve an issue with a federal agency our office may be able to help. Visit https://t.co/lZQNs1jmz9 for more information. https://t.co/OVVEhYk8CI,2020-11-01 16:25:34,Twitter Web App,5,8
Happy Halloween! Visit https://t.co/3YAip850le for guidance on how you and your family can celebrate safely and responsibly. https://t.co/Gxya8cQkG9,2020-10-31 17:44:36,Twitter Web App,5,8
Since Tom was first sworn into Congress he has been committed to serving the constituents of the 7th District. Get an update on his work here: https://t.co/ewxPvw69Ea. https://t.co/iy6p2bkrgy,2020-10-31 15:03:42,Twitter Web App,6,8
Be a part of protecting your community and slowing the spread of COVID-19 by downloading the COVID Alert NJ app for free in the App Store and on Google Play Store. Learn more at https://t.co/xaiWcdcueC. https://t.co/UmWhoF1zu2,2020-10-30 17:40:56,Twitter Web App,4,11
#SuperstormSandy struck 8 years ago today but recovery has been slow for many due to an ineffective flood protection program. That’s why Tom is a cosponsor of the #NFIPRe Act which will rebuild the program so homeowners across NJ are better protected in case of flooding.,2020-10-29 15:49:10,Twitter Web App,5,13
Just under a week left to cast your ballot. NJ ballot drop boxes are open 24 hours a day monitored by security cameras and ballots are collected daily by election officials. Ballots MUST be dropped off by 8pm Nov. 3rd. Find your nearest drop box below.  https://t.co/jw1LWtktmq,2020-10-28 13:25:25,Twitter Web App,11,20
Tom and his staff are working around the clock to serve constituents through these challenging times. If you are a resident of NJ-07 and need assistance with your unemployment benefits or with a federal agency visit https://t.co/lZQNs1jmz9. https://t.co/w3iyuRxzW7,2020-10-27 19:08:47,Twitter Web App,5,7
Tom and his staff are working around the clock to serve constituents through these challenging times. If you are a resident of NJ-07 and need assistance with your unemployment benefits or with a federal agency visit https://t.co/lZQNs1jmz9. https://t.co/fAHbaPdHlu,2020-10-26 19:27:34,Twitter Web App,7,14
Reminder! Small business owners eligible for the latest round of the Small Business Emergency Assistance Grant Program must pre-register by TOMORROW October 27th. Visit https://t.co/ViIKULcewD for more information and to pre-register today. https://t.co/LvOjP1Kbvi,2020-10-26 14:13:00,Twitter Web App,5,5
If you are a NJ-07 resident and are struggling to resolve an issue with a federal agency our office may be able to help. Visit https://t.co/lZQNs1jmz9 for more information. https://t.co/C1RNjeUDbZ,2020-10-24 17:37:36,Twitter Web App,5,7
One year ago today the House passed the #SHIELDAct to combat foreign interference in our elections but the Senate has refused to do its job and hold a vote. Read more about Tom's efforts to protect our democracy here: https://t.co/r2Z4PEjsHI. https://t.co/OzyfKgNNyj,2020-10-23 17:23:45,Twitter Web App,11,14
Tomorrow is National Prescription Drug Take Back Day. Collection sites will be available at police departments across New Jersey to safely and anonymously dispose of unused prescription drugs. Learn more and find a collection site near you by visiting: https://t.co/FeSNRc5yi0. https://t.co/BxbZ4uLi5U,2020-10-23 17:06:49,Twitter Web App,3,6
This week we celebrate 48 years since the #CleanWaterAct became law. Tom is a proud cosponsor of the Clean Water For All Act which would repeal the Dirty Water Rule &amp; uphold crucial protections for New Jersey families.,2020-10-22 21:39:18,Twitter Web App,5,10
Since Tom was first sworn into Congress he has been committed to serving the constituents of the 7th District.   Get an update on his work here: https://t.co/ewxPvw69Ea. https://t.co/rCQZIlpJ2z,2020-10-22 21:00:43,Twitter Web App,3,8
Reminder! Union &amp; Essex Counties are invited to join Tom for a Zoom session on Thursday October 22nd to discuss the issues that matter to you.   RSVP here: https://t.co/O0OJj5Qeci. https://t.co/m5WWdd0fsE,2020-10-21 12:57:26,Twitter Web App,5,5
Today Tom and @RepAnnaEshoo introduced legislation to hold large social media platforms accountable for their algorithmic amplification of harmful radicalizing content that leads to offline violence.  https://t.co/lwXxkBTfxD,2020-10-20 16:33:59,Twitter Web App,12,31
New Jersey ballot drop boxes are open 24 hours a day monitored by security cameras and ballots are collected daily by county election officials. To find your nearest drop box visit https://t.co/jw1LWtktmq,2020-10-20 13:12:15,Twitter Web App,24,44
Over 5 million Americans feel they will face eviction in the next two months. If you are struggling to pay rent you may qualify for eviction protection. Visit https://t.co/xIZZQceoxg to view your rights and what assistance programs are available in New Jersey. #KnowYourRights https://t.co/Qm8PiH2i7T,2020-10-19 20:03:59,Twitter Web App,7,9
For months we have been blocked from doing our job to ensure that USPS is ready for this election. Today’s continued refusal is unacceptable and Postmaster DeJoy must be held accountable for his repeated attempts to disrupt mail-in-voting-TM @BillPascrell https://t.co/D1jWRds7Lv,2020-10-19 19:43:32,Twitter Web App,179,266
.@NewJerseyEDA has opened pre-registration for its latest round of the Small Business Emergency Assistance Grant Program funded with $70 million from CARES Act funding.   Interested business owners must pre-register at https://t.co/ViIKULcewD before Tuesday October 27th. https://t.co/3Rw9MSk0ez,2020-10-19 15:53:41,Twitter Web App,2,6
TODAY is the final day to submit your app to the Congressional App Challenge! High school and middle school students within NJ-07 must complete their registration by end of the day in order to qualify.  Visit: https://t.co/OSE8HohfzU https://t.co/MrBAToODz2,2020-10-19 15:05:25,Twitter Web App,2,4
Reminder! Morris &amp; Warren Counties are invited to join Tom for a Zoom session on Tuesday October 20th to discuss the issues that matter to you. RSVP here: https://t.co/4bwB9BB5Kg. https://t.co/9TP2G33aZQ,2020-10-17 15:53:11,Twitter Web App,5,6
Thank you to all who joined Tom’s virtual forum Understanding the Spread of Extremism Online. Special thank you to @NeuSummits and @RepRiggleman for sharing their expertise on this critical issue. https://t.co/2Nj31gSPxs,2020-10-16 19:52:03,Twitter Web App,4,25
Medicare open enrollment has begun! Compare plans and get covered by visiting https://t.co/1aEob7ea90. Open enrollment period ends December 7th. https://t.co/tjqiY25LmO,2020-10-16 19:22:10,Twitter Web App,2,7
Excited to announce @RepRiggleman will be joining Tom tomorrow for a virtual forum on understanding the spread of extremism online. RSVP here: https://t.co/LUdRsViIeZ https://t.co/2jBbGgWFVg,2020-10-15 18:17:02,Twitter Web App,2,9
TODAY is the final day to complete the #2020Census. Ensure you and your family are counted by responding at https://t.co/XeOL3muxP2,2020-10-15 14:40:37,Twitter Web App,8,17
This morning Tom joined NPR's @1a to discuss his Resolution condemning the conspiracy movement QAnon and what is he is doing in Congress to fight back against the spread of extremism online. https://t.co/A99B7N6UqM,2020-10-14 16:26:59,Twitter Media Studio,15,29
Reminder! Join Tom this Friday for a virtual forum on understanding the spread of extremism online. RSVP here: https://t.co/LUdRsViIeZ https://t.co/wdOEVNSRep,2020-10-14 15:11:34,Twitter Web App,4,7
Thank you to the Hunterdon and Somerset County residents who tuned in to Congress In Your Kitchen this afternoon! Tom answered questions ranging from the status of the 2020 Census in New Jersey to how he is fighting in Congress for a new COVID relief package. https://t.co/SYamaT3Ebh,2020-10-13 21:38:47,Twitter Web App,7,24
Today Tom joined @GovMurphy @SenatorMenendez and local leaders at Flounder Brewing in Hillsborough to announce $100 million in CARES Act funding to support small businesses and families in New Jersey. Watch his remarks below. https://t.co/L7Y17R4Kmx,2020-10-13 21:20:38,Twitter Media Studio,24,121
Today is the FINAL day to register to vote in New Jersey! Make sure you are registered by visiting https://t.co/AY4tBLj2Ll,2020-10-13 13:21:32,Twitter Web App,6,16
Reminder! Hunterdon &amp; Somerset Counties are invited to join Tom for a Zoom session on Tuesday October 13th to discuss the issues that matter to you.   RSVP here: https://t.co/fKfjuemwDo. https://t.co/g10XLaqtkE,2020-10-11 14:13:09,Twitter Web App,5,7
The deadline to submit this year’s Service Academy Nomination Application is 10/16. Our district office will be hosting drop-off application hours: Wednesday 10/14 5PM-7PM &amp; Friday 10/16 1PM-5PM. Visit https://t.co/N77IjHNlv0 for additional information. https://t.co/9pCuIxH1qO,2020-10-10 15:33:43,Twitter Web App,4,8
Join Tom for a virtual forum on understanding the spread of extremism online. RSVP here: https://t.co/LUdRsViIeZ https://t.co/NPfVRH51rk,2020-10-09 19:42:42,Twitter Web App,7,12
The COVID crisis has created a range of new opportunities for fraud. There are victims of all ages but our seniors are at higher risk. Visit the link below for ways to protect yourself and your loved ones. https://t.co/TliOzh6V2K,2020-10-09 17:48:35,Twitter Web App,5,9
“The problem is the algorithms that are designed to feed us increasingly fearful versions of what we already fear and increasingly hateful versions of what we already hate” said Malinowski. https://t.co/rgBHmN93Nd,2020-10-08 20:52:54,Twitter Web App,17,26
Tom has received a perfect score on the @HRC Congressional Scorecard! Scores were based on the Member's support for pro-equality legislation that would significantly impact the LGBTQ community. View this year's #CongressionalScorecard below. https://t.co/N8WhDnXjYz,2020-10-08 14:40:10,Twitter Web App,15,33
Reminder! The deadline for NJ-07 students to submit their applications to the #CongressionalAppChallenge is October 19th. Visit https://t.co/OSE8HohfzU to register and learn more about this year’s challenge.,2020-10-07 19:05:06,Twitter Web App,2,4
Still missing your stimulus check? Non-filers now have until November 21st to provide the IRS with the information necessary to receive their economic impact payment. Use the Non Filers: Enter Payment Info Here app by visiting the link below. https://t.co/UHq9rzsg6d,2020-10-07 18:36:23,Twitter Web App,7,8
The deadline to register to vote in New Jersey is one week away on October 13th. To register check your status and learn important voter information visit https://t.co/gdeVHqrwI4.,2020-10-06 17:11:07,Twitter Web App,5,6
Join Tom for a virtual information session for students and parents interested in learning more about the 2020-2021 NJ-07 Congressional Youth Advisory Council.   RSVP here: https://t.co/5YPXex9ISS https://t.co/vf9lLErOO6,2020-10-06 15:50:54,Twitter Web App,3,9
October's Congress In Your Kitchen dates are up! This series of Zoom sessions is a great way to connect with Tom on the issues that matter most to you. RSVP by county here: https://t.co/zFNkaTXoTu. https://t.co/HqBzQXierq,2020-10-05 20:21:02,Twitter Web App,3,2
Wear a mask that covers your nose and mouth to help protect others and slow the spread of #COVID19. #WearAMask https://t.co/EW9KxBorZH,2020-10-05 17:21:44,Twitter Web App,4,16
Tom and his staff are working around the clock to serve constituents through these challenging times. If you are a resident of NJ-07 and need assistance with your unemployment benefits or with a federal agency visit https://t.co/lZQNs1jmz9 https://t.co/V4NFumLAmN,2020-10-05 16:50:59,Twitter Web App,12,26
Today the House passed Tom’s bipartisan resolution condemning the conspiracy movement QAnon. Hear his remarks in support of the bill below. https://t.co/uFzesWGsPk,2020-10-02 18:38:18,Twitter Media Studio,44,96
Conspiracy theories that falsely blame secret cabals or marginalized groups for society’s ills have long fueled prejudice violence and terrorism. Today the House came together across party lines to say that QAnon has no place in our political discourse-TM https://t.co/YB5x3yeTah,2020-10-02 17:22:53,Twitter Web App,36,92
Residents of NJ-7 seeking assistance with their unemployment insurance claim or economic impact payment are invited to request a virtual meeting with Tom. Learn more by clicking on the link below.  https://t.co/GSA5WubYkT,2020-09-30 22:00:57,Twitter Web App,3,8
Tom joined members of the NJ delegation in a letter to Postmaster General DeJoy demanding information on USPS’ ability to carry out the state’s vote-by-mail election. Thank you @BillPascrell for leading this effort to ensure a safe and secure 2020 election. https://t.co/1XDYoMG51k,2020-09-30 21:03:35,Twitter Web App,4,21
The House has passed over 340 bipartisan bills to lower health care costs and expand coverage raise wages clean up corruption &amp; strengthen our democracy. All of them are stuck in the Senate. #ForThePeople https://t.co/UKifybTtGc,2020-09-30 17:22:29,Twitter Web App,5,14
For more information on how Tom's office may be able to help you visit https://t.co/lZQNs1jmz9. https://t.co/MILyGlupJr,2020-09-29 21:04:03,Twitter Web App,4,8
Tom and his staff are working around the clock to serve constituents through these challenging times. If you are a resident of NJ-07 and need assistance with your unemployment benefits or with a federal agency visit https://t.co/lZQNs1jmz9 https://t.co/BksNmoEO9o,2020-09-29 17:55:54,Twitter Web App,7,20
To all those observing Yom Kippur we hope you had an easy and meaningful fast. G’mar Chatimah Tovah. https://t.co/nsLsCb1U42,2020-09-28 22:57:03,Twitter Web App,1,14
