Congratulations to @Sen_MimiStewart and @bgamckenna on their elections to the New Mexico Senate Democrats leadership team!  Senator-elect McKenna and Senator Stewart were among the 34 candidates I endorsed who won their elections this year. Check out the full list ⤵️⤵️ https://t.co/vuFLezcKq4,2020-11-28 17:52:26,Twitter for iPhone,3,8
Today is Native American Heritage Day a time to celebrate Native culture and history.  For too long Native communities have not received the respect and support they deserve. In the Senate it will be my honor to uplift Native voices and continue fighting for Native families.,2020-11-27 19:40:28,Twitter for iPhone,18,115
Thanksgiving looks a little different this year but I'm grateful for the new ways we've found to come together safely.  Wishing everyone a happy and healthy Thanksgiving. Thank you so much for doing your part to keep our communities safe this holiday season. https://t.co/FogtifQixw,2020-11-26 22:10:29,Twitter for iPhone,3,35
Happy Thanksgiving! I hope you and your family are having a wonderful holiday.  This has been a challenging year — but I’m so grateful for the strength resilience and togetherness that our communities have shown. https://t.co/VNjvFIxqYH,2020-11-26 17:15:24,Twitter Web App,4,33
New Mexico: If you are looking for a warm meal this week many organizations are providing to-go options for people in need.   Find sites below or visit https://t.co/DNobH1irAP for @RoadrunnerFdBnk food distribution sites across the state.  https://t.co/OWTQLJCoJd,2020-11-25 18:11:47,Twitter Web App,11,21
I’m glad to hear that the Trump administration is finally beginning the presidential transition after weeks of delay. @JoeBiden won the 2020 election with a clear margin of victory and the American people deserve a smooth transition of power. https://t.co/PmApdUc0sI,2020-11-24 03:45:12,Twitter for iPhone,6,78
Reminder: Despite President Trump's false claims Republican and Democratic elections officials across the country agree that there were no systemic issues with voter fraud in this election.  Your ballot is safe and secure — and every vote counts. https://t.co/CFhiotGSEe,2020-11-22 21:39:23,Twitter Web App,15,58
I ran for Senate because I was sick and tired of watching the Senate GOP fight to make life harder for working people.  COVID-19 has shown how important it is for every family to have high-quality affordable health care. When I'm in the Senate that will be my priority on Day 1.,2020-11-21 21:45:26,Twitter Web App,9,118
Let me be clear: New Mexico's elections were safe and secure thanks to the efforts of elections officials &amp; poll workers.  Efforts to cast doubt on our elections are baseless &amp; wrong — and they distract from the smooth transfer of power Americans deserve.  https://t.co/mlgdo6lvOC,2020-11-20 22:51:58,Twitter Web App,11,68
Happy Birthday @JoeBiden! Thank you for your lifetime of service to our country and your commitment to unifying our nation and building a strong future for all our families. https://t.co/zmMJ3Mno6r,2020-11-20 19:33:34,Twitter Web App,5,58
As COVID-19 cases rise we all must work to keep our communities safe.  I'm glad to have secured more than $15.5 million to fund PPE and critical medical supplies &amp; increase medical staffing. As this pandemic continues I'll keep fighting for the federal COVID-19 relief we need. https://t.co/5FKdVWgN3N,2020-11-19 20:39:57,Twitter Web App,8,19
Glad to see that New Mexico has been chosen as one of 4 states for a #COVID19 vaccine pilot.  This pilot will help NM prepare to deliver vaccines quickly and efficiently to families across our state &amp; begin the path to rebuild and recover from the virus. https://t.co/XBfeL16j6p,2020-11-19 02:49:54,Twitter Web App,6,31
Across America Native voters played a key role in winning close races and electing @JoeBiden.  The Native vote is powerful — and the Senate has a clear mandate to strengthen tribal sovereignty and build a better future for all working families.  https://t.co/gpamSXjqiu,2020-11-18 20:56:20,Twitter Web App,3,24
New Mexicans should not have to live in fear that their health care will be stripped away during a pandemic.  Republicans must stop their destructive efforts to damage the ACA and come to the table for common-sense progress on health care — now.  https://t.co/JYT8SUSC0W,2020-11-17 23:15:35,Twitter Web App,5,29
As President Trump endangers national security by denying @JoeBiden critical transition resources we need to fight even hard to flip the Senate.  @Ossoff &amp; @ReverendWarnock are surging in the final races that will decide control of the Senate. Chip in: https://t.co/5Ny15z1AXe,2020-11-16 16:16:32,Twitter Web App,6,26
In these challenging times mental health care is more important than ever.  I'm proud to have secured $2.4 million to expand mental health services in New Mexico schools — and I'm ready to keep delivering for our students and families in the Senate.  https://t.co/ECMYu5hky6,2020-11-15 23:19:35,Twitter Web App,18,82
We've slept we've celebrated and we've mourned our losses — now it's time to get to work again!  Sign up to volunteer with @NMDEMS to build the long-term infrastructure we need to elect champions for New Mexico's working families in elections to come ⤵️ https://t.co/OCR0usqiLv,2020-11-14 17:28:56,Twitter for iPhone,13,37
Reminder: Joe Biden won because of unprecedented voter turnout in New Mexico and across the US.  Before the next election YOU can play a powerful role in expanding the electorate by texting 3 friends and reminding them to register to vote. Who's in? ⤵️⤵️ https://t.co/ldJqHyi2fZ,2020-11-13 17:30:35,Twitter Web App,5,39
Join us! ⬇️⬇️ https://t.co/AQVXNpL0Tx,2020-11-12 15:33:06,Twitter for iPhone,10,42
Today we honor the veterans and military families who fought and sacrificed to protect our freedoms.  I'm deeply grateful to the veterans who shared their stories with me during our campaign and it will be a privilege to keep fighting for New Mexico's veterans in the Senate. https://t.co/HwNn3TpUvx,2020-11-11 17:05:34,Twitter Web App,5,43
@Deb4CongressNM Thank you my friend! I'm looking forward to continuing to work with you in our fight to build a bright future for New Mexico's working families.,2020-11-10 20:06:18,TweetDeck,4,20
HUGE congratulations to the 33 candidates I endorsed this election cycle who won their races!  Each of these strong leaders will be a champion for New Mexico and I'm excited to work side-by-side with them to deliver for working families. https://t.co/qZlyFuj7FN,2020-11-10 18:22:47,Twitter Web App,5,44
As NM's first Hispanic senator in 40+ years and the fifth in the Senate I'm humbled to walk in the footsteps of giants like Dennis Chávez &amp; Manuel Lujan.  Time after time New Mexicans have shown the power of our diverse electorate. When we vote we win! https://t.co/aCjwt2pda0,2020-11-09 22:33:07,Twitter Web App,45,300
Joe Biden has a mandate for action. It's up to us to make sure he has the Senate behind him.  @Ossoff &amp; @ReverendWarnock are in the runoffs that will decide control of the Senate. We know GA can flip blue — now chip in to help them win a Senate majority! https://t.co/2v7yrBXsXK,2020-11-08 23:00:00,TweetDeck,25,83
As we celebrate Native American Heritage Month I want to recognize the tribal organizers and fellows who poured their hearts into this election.  Our win was possible because of tribal turnout &amp; I'm so grateful to be able to continue my work for tribal communities in the Senate. https://t.co/3g4L2UAeve,2020-11-08 19:05:48,Twitter Web App,36,206
This election Americans voted for hope and decency over fear.  We voted for a president and vice president who will wake up every morning thinking of working families not themselves.  We voted for @JoeBiden &amp; @KamalaHarris to unite our country and lead us to a bright future. https://t.co/BNPNv9tuyF,2020-11-08 02:10:03,Twitter Web App,18,135
Congrats to @JoeBiden and @KamalaHarris on a decisive victory! This country will be better stronger and more united with your leadership.   New Mexico is ready to get to work so that we can rebuild our economy and create a brighter future together ¡Adelante! https://t.co/XHmzvrA8MP,2020-11-07 17:02:59,Twitter Web App,12,120
Joe Biden will be a president for all Americans.  That's why he won New Mexico — and it's why he will win the presidency. https://t.co/jh1n0Mnwga,2020-11-07 04:09:38,Twitter Web App,41,540
@DickDurbin Thank you so much senator! I'm excited to work with you in the Senate to build a better future for working families.,2020-11-05 22:25:41,TweetDeck,0,3
