Small businesses are the lifeblood of New Mexico's economy.   If you're able to please #shopsmall and #shoplocal on this #SmallBusinessSaturday to support New Mexico's small business owners and entrepreneurs.,2020-11-28 20:55:01,Twitter Web App,7,34
Congratulations to First Sgt. Manuel Armijo Chief Warrant Officer Richard J. Quigley and Col. Robert L. Sands on their induction to the New Mexico National Guard Hall of Honor! I’m thankful for their distinguished service to New Mexico and our country. https://t.co/mtk1pwtZxG,2020-11-28 18:53:20,Twitter for iPhone,4,10
Though we're celebrating from afar this year the holidays always have a way of bringing us closer together.   From my family to yours Happy Thanksgiving! https://t.co/ijLVxr8A92,2020-11-26 22:24:52,Twitter Web App,2,25
As New Mexicans prepare for Thanksgiving I want to wish everyone a safe and healthy holiday. Today #StayHome and celebrate with members of your own household. By staying apart we can ensure that future holidays can be spent together. https://t.co/gwbWMpeRP0,2020-11-26 17:05:59,Twitter for iPhone,4,24
Michael Flynn joins Joe Arpaio and Roger Stone on the list of convicted criminals who have received a presidential pardon under this administration. President Trump is once again demonstrating that he believes he and his friends are above the law. https://t.co/aRMcnokvfD,2020-11-25 23:07:55,Twitter Web App,10,71
The $300 million in CARES Act funding allocated by the New Mexico legislature and signed into law by @GovMLG  will support New Mexicans and struggling businesses. Now is not the time to take our foot off the gas; the @SenateGOP should work with us to pass additional relief.,2020-11-25 20:22:12,Twitter Web App,10,45
El periodo de inscripción abierta ya está aquí. Es hora de que los nuevomexicanos se inscriban para obtener cobertura antes del 15 de diciembre.   Para inscribirte en un plan de seguro médico o para conocer más visita https://t.co/uwQawfasJF https://t.co/5lqOnXXJ9w,2020-11-25 19:31:44,Twitter for iPhone,3,4
#OpenEnrollment is here and it’s time for New Mexicans to #GetCovered before the December 15 deadline.   To enroll in a health insurance plan or for more information visit https://t.co/uwQawfasJF. https://t.co/Fa5s1d1CpJ,2020-11-25 19:31:13,Twitter for iPhone,8,7
COVID-19 cases are spiking across the state and it’s crucial that we #StayHome as much as possible to curb the spread.  New Mexicans will get through this crisis if we take precautions. If you need a COVID-19 test or the flu shot please visit https://t.co/LPrCTRHtH2.,2020-11-24 21:16:29,Twitter Web App,6,21
President-elect Biden knows that climate change poses an existential threat. As Special Presidential Envoy for Climate @JohnKerry one of America’s most respected diplomats will help reassert our global leadership on climate.,2020-11-23 23:06:55,Twitter Web App,10,58
