#OnlyInDistrictOne was made more exciting more vibrant and more of a community by the vision and generosity of Tony Hsieh. What a terrible loss for his family and friends.,2020-11-28 23:07:39,Twitter for iPhone,2,47
Small business owners are bearing the brunt of this pandemic. This #SmallBusinessSaturday I encourage Southern Nevadans to #ShopSmall and show your support for neighborhood retailers and restaurants. https://t.co/yPzpvFWbY1,2020-11-28 17:07:23,Twitter for iPhone,12,35
Please wear a mask practice social distancing and wash your hands frequently. Together we can help stop the spread of the virus save lives and get our economy back on track.,2020-11-27 22:07:17,Twitter for iPhone,10,53
Today we honor the legacy of Harvey Milk one of the first openly LGBTQ elected officials in the nation. We must continue the fight to protect and expand the civil rights of the LGBTQ community today and everyday. https://t.co/YBX7IcmAkL,2020-11-27 20:00:14,Twitter for iPhone,19,91
Our community has faced many challenges this year. Today I'm especially grateful for the organizations that have helped families in Southern Nevada get through this pandemic and for the volunteers who make that possible.   I wish everyone a safe and happy Thanksgiving! https://t.co/pWeTLWuK0M,2020-11-26 16:30:00,TweetDeck,7,36
There has never been a more important time to make sure you and your family have health insurance. Open enrollment is happening now through January 15. You can find affordable options by visiting @NVHealthLink at https://t.co/WrmuzBTdVH. https://t.co/EbWcphhOrG,2020-11-25 22:00:01,TweetDeck,8,18
Today is the @UN International Day to End Violence Against Women. As countries implemented stay-at-home measures to slow the spread of COVID-19 violence against women intensified. We must recommit to preventing violence against women around the world. #OrangeTheWorld https://t.co/f5EsfppwzZ,2020-11-25 20:32:25,Twitter for iPhone,7,10
Today we remember the 9th Guru of the Sikh religion Guru Tegh Bahadur Ji on his Martyrdom Day. https://t.co/MdMinQ2Y75,2020-11-24 21:23:47,TweetDeck,3,11
Free COVID-19 testing options are available in Southern Nevada. To find a testing site near you visit the website below: https://t.co/eiaGCecPyo,2020-11-24 19:52:56,Twitter for iPhone,2,5
Thank you public health workers in @ClarkCountyNV and across the country who are working on the frontlines during this crisis. We must do more to provide hospitals and health care facilities with the resources they need to treat coronavirus patients. #PublicHealthThankYouDay,2020-11-24 03:09:06,Twitter for iPhone,3,15
While it shouldn’t have taken so long I’m pleased that @GSAEmily has allowed the transition to proceed. President-elect Biden announced outstanding national security nominations &amp; appointments today. His team will now have the resources and information they need to keep us safe.,2020-11-23 23:29:19,Twitter for iPhone,7,61
People in Southern Nevada and across the country are struggling to make ends meet through no fault of their own this holiday season. It is shameful that Senator McConnell is not doing everything he can to help them.,2020-11-23 22:00:00,TweetDeck,100,595
These apprenticeships will provide workers access to paid on-the-job learning opportunities for careers in hospitality and tourism. At a time when so many in Las Vegas are struggling my proposal will offer new pathways to the middle class. https://t.co/NPt0JOM9TP,2020-11-23 19:30:00,TweetDeck,3,18
Beginning Tuesday November 24 @GovSisolak will impose new regulations to minimize the spread of COVID-19. Together we can bridge the gap to the vaccine and help stop this virus. Read more about these new protocols below. https://t.co/i3TlGJW0uJ,2020-11-23 16:02:17,Twitter for iPhone,4,10
#OnlyInDistrict1 https://t.co/hqYLNnBEoY,2020-11-23 00:46:27,Twitter for iPhone,1,7
By wearing a mask you protect yourself your loved ones and those around us. Please #MaskUpNV and help to stop the spread of COVID-19. https://t.co/5DgbJ13Pmu,2020-11-22 17:34:45,Twitter for iPhone,5,14
Suicide is the 8th leading cause of death in Nevada. If you are grieving the loss of a loved one due to suicide please know that you are not alone. You can dial 988 or visit the link below for resources. https://t.co/oJ88yxT88r,2020-11-21 18:31:49,TweetDeck,15,24
On World #PancreaticCancer Day I'm wearing purple to honor the lives of Justice Ruth Bader Ginsburg Rep. John Lewis Alex Trebek and many others we’ve lost to this disease. I am proud to work with @PanCANNevada to support innovative research and better patient outcomes. https://t.co/Vh3cYXZSR2,2020-11-20 23:45:22,Twitter for iPhone,8,84
We need to pass a relief package that will provide hazard pay to essential workers who are putting themselves and their families at risk. Senate Republicans continue to stall efforts by @HouseDemocrats to compensate these individuals fairly. https://t.co/YwLZ6mVn4a,2020-11-20 22:57:08,TweetDeck,7,16
There are more Nevadans hospitalized for COVID-19 right now than ever. It is crucial that we adhere to CDC guidelines including wearing a mask social distancing and washing our hands frequently. Please #MaskUpNV. https://t.co/33dow6t719,2020-11-20 20:42:30,TweetDeck,4,15
On Transgender Day of Remembrance we honor those in the transgender community who we’ve lost due to bigotry and violence.   We must recommit to calling out discrimination and hatred in all its ugly forms. #TDOR https://t.co/GVykSZOCMr,2020-11-20 18:10:18,Twitter for iPhone,7,22
About 12 million Americans will lose unemployment assistance at the end of the year if the Senate chooses to block @HouseDemocrats’ efforts to pass a relief package. There is no time to waste. https://t.co/ckdS2y8fQW,2020-11-19 22:00:01,TweetDeck,2,15
Active duty military members and their families have sacrificed so much for our country. It’s not enough to praise them; we have to reward them.  Today is the first anniversary of the House passing legislation to raise the pay of military families by 3.1%.,2020-11-19 18:30:00,TweetDeck,3,15
On this day in 1863 President Abraham Lincoln called for a government "of the people by the people for the people.” Those words have echoed throughout the history of this nation and we must fight to build a more just and democratic society that serves all people. https://t.co/coKZGH0gNg,2020-11-19 16:30:00,TweetDeck,5,15
It is great to see the new Gateway Arches completed. What a beautiful way to welcome visitors to downtown Las Vegas! #OnlyinDistrict1 https://t.co/R9JSdfZjW4,2020-11-19 00:42:27,Twitter for iPhone,9,73
In 2018 Nevada made history as the first state in the country to have a female majority legislature. In 2020 we expanded that majority. Women truly are the change agents in today’s political world. https://t.co/7OKghYbllG,2020-11-18 21:00:00,TweetDeck,6,52
Nevadans can sign up for new health insurance plans or re-enroll now through January 15 with @NVHealthLink. Visit  https://t.co/gKAstWVuZ8 to learn more. https://t.co/7gpWCjAb60,2020-11-18 18:28:05,TweetDeck,3,3
Over 549000 Americans are homeless on a typical night. The coronavirus pandemic has only exacerbated these circumstances for many struggling families. During Hunger and Homelessness Awareness Week we must work to ensure no one is left without a roof over their head. https://t.co/gNu7iC1odo,2020-11-18 16:58:04,Twitter for iPhone,5,14
The @NVTreasurer's office launched a new website to help Nevadans plan for save for and pay for higher education. Visit https://t.co/87JXIrg64U for more information.,2020-11-17 19:00:01,TweetDeck,3,5
The hospitality and tourism industry is a vital creator of jobs and economic growth in Southern Nevada and across the country. Today I received support from the House Rules Committee for my amendment to create apprenticeships and new job opportunities in this critical industry. https://t.co/rBlmpQHBgE,2020-11-17 17:14:43,Twitter Media Studio,2,23
In Nevada we treasure our public lands and we know they must be protected for future generations to enjoy. On National Take a Hike Day take some time to appreciate our unique landscapes. #FindYourPark https://t.co/DNg8lUWNvS,2020-11-17 17:00:00,TweetDeck,4,20
On this day 220 years ago Congress convened for the first time in Washington D.C.   I am honored to represent the heart of the Las Vegas Valley and serve the people of District One. https://t.co/m7rKaULTmy,2020-11-17 16:00:02,TweetDeck,3,43
