Si Se Puede. Yes You Can ! #KamalaHarrisVP https://t.co/014TleYjnS,2020-11-07 22:56:32,Twitter for iPhone,1,11
Get him out ! https://t.co/r1jDpFOttx,2020-11-07 20:24:45,Twitter for iPhone,2,11
Extending my most heartfelt congratulations to President-elect Joe Biden and Vice President-elect Kamala Harris.   This is a new day in America - one filled with hope promise and opportunity. #BidenHarris2020 #wedidit https://t.co/X5buhD7ILo,2020-11-07 19:20:52,Twitter for iPhone,2,13
We did it ! https://t.co/JJNyhRlOfc,2020-11-07 17:51:33,Twitter for iPhone,2,13
Councilmember @BillPerkinsNYC and I greeting our essential poll workers in Harlem #ElectionDay2020 https://t.co/AzZXuLZgXV,2020-11-03 18:08:35,Twitter for iPhone,4,10
Proud to be a New Yorker ! #EarlyVoting #BidenHarris2020 https://t.co/XZ4kslzFpa,2020-11-02 02:38:55,Twitter for iPhone,4,7
Trump calls New York a “ghost town”. Well! We are showing him an early Halloween parade showing up at the voting polling sites early! #earlyvotingnyc #Elections2020 #BidenHarris2020 #EspaillatNY13 https://t.co/9Dq0y7omx2,2020-10-30 02:56:23,Twitter for iPhone,2,9
New York’s voting early. It’s past 4:00pm and the lines still long. You Take that Donald Trump #newyorkers #VoteHimOut2020 https://t.co/VNQaHQtayM,2020-10-24 20:30:43,Twitter for iPhone,5,18
The change starts now. Vote early #VoteEarlyDay #VoteHimOut2020 #BidenHarris2020 https://t.co/9jxCtLnFdM,2020-10-24 19:59:52,Twitter for iPhone,2,2
Trump called NY a ghost town it must be Halloween today because an Unprecedented amount of ghosts have come out to vote today! Guess what?  New Yorkers are doing their part to vote you out. Florida and Pennsylvania we are counting on you. #VoteHimOut #BidenHarris2020 #espaillat,2020-10-24 19:14:48,Twitter for iPhone,4,17
Debates 2020: Trump and Biden face off in final debate ahead of Election Day #Debates2020 https://t.co/rLCIu4maCd,2020-10-23 01:07:44,Twitter for iPhone,2,1
Thank you @HRC for supporting my re-election. Equal rights are on the ballot this year so make sure you vote early October 24th through November 1st or on Election Day itself November 3rd. https://t.co/Q13Q3Hjt2p,2020-10-14 18:26:09,Twitter Web App,1,4
Rest In Peace Ms. Joyce Dinkins the wife of former NYC Mayor Dinkins and first black woman to serve as the First Lady of the City. My deepest condolences to the Mayor and the Dinkins family. https://t.co/Ww8wNjjgxo,2020-10-13 01:06:17,Twitter for iPhone,3,4
Vote !!! https://t.co/kMmzftN18N,2020-10-13 01:03:50,Twitter for iPhone,1,4
Congratulations/ Felicidades  to @KingJames https://t.co/Cr1ASRSGjR,2020-10-12 16:25:36,Twitter for iPhone,1,2
CONGRESSMEMBER ADRIANO ESPAILLAT ENDORSES COMPTROLLER SCOTT STRINGER FOR MAYOR #scottstringer #adrianoespaillat #nyc #nycmayor #nextnycmayor #nycmayor2021 https://t.co/XX3ySMV1R8,2020-10-07 15:33:57,Twitter for iPhone,6,21
“Wear a mask keep social distancing and wash your hands.” If anyone tells you otherwise that’s fake news. https://t.co/eCgnaCRYan,2020-10-02 17:44:41,Twitter for iPhone,1,14
One of the most consequential elections of our lifetime is only 32 days away! I stand with @32BJSEIU members and all essential workers for @JoeBiden. If you’re not registered to vote do it now! 👉 https://t.co/TEVRiuUsxi,2020-10-02 15:56:05,Twitter for iPhone,9,11
#PresidentialDebate2020 #1 The debate was a national embarrassment that will go down in history. 45 looked unpresidential vindictive and childish. https://t.co/USx8DvEKNy,2020-09-30 03:52:22,Twitter for iPhone,1,10
I urge voters in the NY-15th Congressional District to vote for Ydanis Rodriguez on Tuesday June 23rd.   Insto a los votantes en el Distrito Congresual NY-15 a votar por Ydanis Rodríguez el martes 23 de Junio.,2020-06-21 22:15:36,Twitter Web App,10,15
I’ve always believed in an America that is inclusive &amp; that protects the rights of all its citizens. I’m proud to receive the endorsement of NYC’s historic @SDNYC &amp; look forward to fighting for that vision of our country at your side.  https://t.co/pHPrad6PIa https://t.co/G61DNIWwxi,2020-04-23 20:54:17,Twitter Web App,1,6
Congrats to my grandson Ulises for his selection as student of the month. Felicidades a mi nieto Ulises por su seleccion como estudiante del mes. https://t.co/VchZpV9CEi,2020-03-07 04:16:53,Twitter for iPhone,1,10
@Ibrahim_Khan Hello 👋 it’s all about the feet 🦶,2020-03-05 15:47:21,Twitter for iPhone,1,6
Thanks to all members of Broadway Democrats who endorsed my reelection to the US Congress #13. I am privileged to have gained the support of some of the most progressive Democrats in the city. #NY13 #endorsement #politicalclub #progressivedemocrats https://t.co/wqS4khXE9T,2020-02-14 04:24:08,Twitter for iPhone,1,8
