Congressman Engel believes fiercely in the right to vote win or lose. Anyone in line as of 9 pm #NY16 should stay in line. We know it's a difficult year. But voting is the basis for our democracy. #StayInLine #Vote,2020-06-24 01:20:28,Sprout Social,10,47
Great to see so many #TeamEngel volunteers out working hard! #NY16 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 https://t.co/48zEuSVS7R,2020-06-24 00:50:01,Sprout Social,2,13
Planned Parenthood Action Fund (@PPact) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #PPact #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/t93y4fChqx,2020-06-24 00:45:02,Sprout Social,1,4
Naral Pro Choice America (@NARAL) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NARAL #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/qHifjCFXZu,2020-06-24 00:35:01,Sprout Social,1,6
Clean Water Action (@cleanh2oaction) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #CWA #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/GZERxrGA4B,2020-06-24 00:30:03,Sprout Social,2,5
The Alliance For Retired Americans (@ActiveRetirees)  gave Congressman Eliot Engel an A-Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #AFRA #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/1yy04tEaHA,2020-06-24 00:25:01,Sprout Social,1,3
The @NAACP gave Congressman Eliot Engel an A-Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NAACP #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/6rUOhqimfD,2020-06-24 00:20:01,Sprout Social,1,5
Demand Universal #Healthcare #DUH endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/Rvnjuj6abG,2020-06-24 00:15:02,Sprout Social,0,1
End Citizens United (@StopBigMoney) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #ECU #EngelForCongress #TeamEngel #NY16 #vote2020 https://t.co/lChMSsaLVV,2020-06-24 00:10:02,Sprout Social,1,2
Teamsters Local 456 (@TeamstersJC16  endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #Teamsters #EngelForCongress #TeamEngel #NY16 #vote2020 @Teamsters https://t.co/OtcV537Fni,2020-06-24 00:05:01,Sprout Social,1,1
Yonkers Fire Fighters Local 682 (@YonkersFire628) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #FireFighter #EngelForCongress #TeamEngel #NY16 #vote2020 https://t.co/XGrUsutMNp,2020-06-24 00:00:06,Sprout Social,1,2
The American Nurses Association (@ANANursingWorld) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #Nurses #Nursing #EngelForCongress #TeamEngel #NY16 #vote2020 https://t.co/hsO4VYlfOz,2020-06-23 23:55:02,Sprout Social,1,4
The Jewish Democratic Council of America #JDCA (@USJewishDems) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #EngelForCongress #TeamEngel #NY16 #vote2020 https://t.co/GmhA2FebaS,2020-06-23 23:50:02,Sprout Social,0,2
The Sierra Club (@SierraClub) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #SIERRACLUB #teamengel #ny16 #vote2020 https://t.co/wbmEqLIfvy,2020-06-23 23:45:02,Sprout Social,2,4
The New York State AFL-CIO (@NYSAFLCIO) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #AFLCIO @AFLCIO #NYSAFLCIO #teamengel #ny16 #vote2020 https://t.co/vhAtrENQlO,2020-06-23 23:40:01,Sprout Social,3,4
Planned Parenthood Action Fund (@PPact)  endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #PPact #PlannedParenthood #teamengel #ny16 #vote2020 https://t.co/lSy9l7Ambf,2020-06-23 23:35:01,Sprout Social,3,3
Stonewall Democrats of #NYC (@SDNYC) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #Stonewall #LGBTQPride #Pride2020 #LGBTQ #teamengel #ny16 #vote2020 https://t.co/Vyv0WUxF1U,2020-06-23 23:25:01,Sprout Social,2,1
The New York State AFL-CIO (@NYSAFLCIO) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #AFLCIO @AFLCIO #NYSAFLCIO #teamengel #ny16 #vote2020 https://t.co/ml6hIr0KpR,2020-06-23 23:20:02,Sprout Social,0,2
Planned Parenthood Action Fund (@PPact)  endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #PPact #PlannedParenthood #teamengel #ny16 #vote2020 https://t.co/nBmbeRYyTh,2020-06-23 23:15:03,Sprout Social,0,0
New York State United Teachers(@nysut) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NYSUT #Teachers #TeachersRock #teamengel #ny16 #vote2020 https://t.co/LPWNn89R9o,2020-06-23 23:10:02,Sprout Social,0,0
The National Organization for Women PAC (@NationalNOWPAC) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NOWPAC ##ElectFeministsNOW #teamengel #ny16 #vote2020 https://t.co/sIyWReYmXx,2020-06-23 23:05:02,Sprout Social,3,2
CWA (@CWAUnion) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #CWA #teamengel #ny16 #vote2020 #BlueWave https://t.co/ixbZIug9kd,2020-06-23 23:00:09,Sprout Social,1,1
32BJ SEIU (@32BJSEIU) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #32BJSEIU #teamengel #ny16 #vote2020 #BlueWave https://t.co/qLgT3VZcds,2020-06-23 22:55:02,Sprout Social,1,7
NARAL (@NARAL) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NARAL #ProChoiceAmerica #teamengel #ny16 #vote2020 #BlueWave https://t.co/XfmxdJX8ib,2020-06-23 22:50:02,Sprout Social,2,1
Brady (@bradybuzz) endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #bradybuzz  #EndGunViolence #teamengel #ny16 #vote2020 https://t.co/wC2PwGvunN,2020-06-23 22:45:02,Sprout Social,1,2
The Congressional Black Caucus PAC (@CBCPAC) endorses Congressman Eliot Engel for Re-Election!  👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈   #cbcpac #teamengel #ny16 #vote2020 #bluewave https://t.co/q3NdW2fp33,2020-06-23 22:40:01,Sprout Social,4,5
Great to see so many #TeamEngel volunteers out working hard! #NY16 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 https://t.co/JAa937VX9N,2020-06-23 22:05:02,Sprout Social,2,10
Great to see so many #TeamEngel volunteers out working hard! #NY16 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 https://t.co/q9ehDTGZ5n,2020-06-23 21:50:02,Sprout Social,2,15
Great to see so many #TeamEngel volunteers out working hard! #NY16 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 https://t.co/grMXZWqdRk,2020-06-23 21:35:02,Sprout Social,1,3
The National Parks Action Fund (@ActForParks) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NPAF #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/UOLYQ2D6gN,2020-06-23 21:30:04,Sprout Social,0,0
The League of Conservation Voters (@LCVoters) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/USUmzLEara,2020-06-23 21:25:02,Sprout Social,0,2
Great to see so many #TeamEngel volunteers out working hard! #NY16 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 https://t.co/Rs0XCZyiHr,2020-06-23 21:20:02,Sprout Social,1,14
The NRA gave Congressman Eliot Engel an "F" Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/88Ho5P4utN,2020-06-23 21:11:02,Sprout Social,2,15
Planned Parenthood Action Fund (@PPact) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #PPact #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/oc32U6Vsh8,2020-06-23 20:59:33,Sprout Social,0,4
👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈  Vote for Congressman Eliot today in the primary! #NY16 #Votenow https://t.co/QNFtbP6dWO,2020-06-23 20:55:01,Sprout Social,0,5
Naral Pro Choice America (@NARAL) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NARAL #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/EySbDUCy7z,2020-06-23 20:45:02,Sprout Social,1,4
Get out and vote! Don't forget your mask! Thank you @NYGovCuomo for your support and endorsement! #Vote2020 #NY16 https://t.co/1ngvaXyyNt,2020-06-23 20:40:01,Sprout Social,0,2
Clean Water Action (@cleanh2oaction) gave Congressman Eliot Engel a 100% Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #CWA #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/eD54NRHS1t,2020-06-23 20:35:01,Sprout Social,0,1
The Alliance For Retired Americans (@ActiveRetirees)  gave Congressman Eliot Engel an A-Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #AFRA #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/TfNWExF9Dw,2020-06-23 20:30:04,Sprout Social,0,1
Lets go #TeamEngel thank you for your support! #NY16 #VoteNow https://t.co/XXX4dvdLA9,2020-06-23 20:25:01,Sprout Social,1,5
The @NAACP gave Congressman Eliot Engel an A-Rating! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NAACP #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/pRsrimzHiE,2020-06-23 20:15:02,Sprout Social,3,4
Congressman Engel doing his civic duty at home in #NewYork!  👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #NY16 #Vote2020 https://t.co/K0Di4KJ399,2020-06-23 20:13:49,Sprout Social,2,12
We appreciate the support and kind words. #NY16 #Vote2020 https://t.co/P83Y6fVznK,2020-06-23 20:10:01,Sprout Social,0,0
Demand Universal #Healthcare #DUH endorses Congressman Eliot Engel for Re-Election! 👉 👉 🇺🇸 Vote Today! 🇺🇸 👈 👈 #engelforcongress #teamengel #ny16 #vote2020 #BlueWave https://t.co/w3U0RupfTq,2020-06-23 20:05:46,Sprout Social,2,3
Your support is greatly appreciated. #NYprimary #NY16 #Vote2020 https://t.co/A9a0vBp369,2020-06-23 19:55:01,Sprout Social,1,7
