Here’s an article from Newsday on my win. After press time we found out that I am up by over 30000 votes. I only won by 19000 in 2016.  The margin will continue to increase as the Boards of Elections in all three counties count today! Thanks everyone!  https://t.co/snsiuTgGe6,2020-11-18 18:25:48,Twitter Web App,9,29
Press Statement from Congressman Tom Suozzi: Suozzi Wins! https://t.co/IbSBYnQzCz,2020-11-17 18:36:44,Twitter Web App,11,87
Tom takes the lead! https://t.co/DTENYNFU1o,2020-11-16 17:19:41,Twitter Web App,7,69
Press conference starting shortly! Watch on FB live! https://t.co/wYuJqAJ96b,2020-11-16 16:35:45,Twitter for iPhone,2,2
5 Minutes Warning! Tom has taken the lead! Tune in to Facebook Live at 11:30 AM as Tom updates the press and his supporters on the vote count in his race. https://t.co/4fuwoL0d4e,2020-11-16 16:25:00,Twitter Web App,1,4
Don't forget to tune in to my Facebook Live at 11:30 as I updates the press and my supporters on the vote count in my race. Sneak Preview: "I've taken the lead",2020-11-16 16:00:00,Twitter Web App,2,12
🚨🚨 Tom has taken the lead in his re-election campaign! Please tune in to his Facebook Live at 11:30 AM as Tom updates the press and his supporters on the vote count in his race. 🚨🚨,2020-11-16 15:00:01,Twitter Web App,1,20
Tom has taken the lead in his re-election campaign! Please tune in to his Facebook Live at 11:30 AM as Tom updates the press and his supporters on the vote count in his race.,2020-11-16 12:00:01,Twitter Web App,6,27
President-elect Biden has a plan to address COVID. He has convened a COVID task force of expert scientists and drs. We need to reduce the spread to save American lives. For our part we need to wear masks. As our President-elect says "small acts add up to enormous achievement.",2020-11-09 18:06:23,Twitter Web App,2,7
Congratulations President-elect @JoeBiden. You are the President we need to try to bring our country together. I pray for your success and I look forward to working with you to take on the big problems our country and my constituents face. https://t.co/JLWqIc7tnB,2020-11-07 16:39:02,Twitter Web App,4,33
I feel good. We will win. Be patient. It will take two weeks. That is the process and it will lead to victory!  https://t.co/Zs3ILkMZ2x,2020-11-05 12:00:00,Twitter Web App,2,30
Democrats hold a 3-1 advantage in the nearly 90k absentee votes yet to be counted and we expect Tom’s margin of victory to be over 20k votes."    Kim Devlin senior advisor Suozzi for Congress,2020-11-04 06:14:43,Twitter Web App,0,22
Suozzi Campaign Advisor: "We are confident of victory!"    Glen Cove NY - “As we await the final tally of all votes we are confident of Congressman Tom Suozzi’s victory. It is clear that Tom will win re-election by a substantial margin.,2020-11-04 06:14:43,Twitter Web App,1,27
I feel great! Plus the overwhelming majority of absentee ballots are from registered Democrats! Let’s go!,2020-11-04 04:07:11,Twitter Web App,0,18
Looking good! We are winning in Nassau Suffolk and Queens! There have been over 350000 total votes cast but the final results will take a while.  Later tonight we will have all of the Election Day votes and all of the early votes but not the absentee ballot votes.,2020-11-04 04:07:11,Twitter Web App,2,38
Helene Joe and I voted in Glen Cove at the Gribbin School this morning! Caroline is working in California and voted absentee and Michael gets to vote next year! Go to https://t.co/eNM3F13CXR to find out where you vote. https://t.co/tCX0is83fn,2020-11-03 17:33:57,Twitter for iPhone,1,13
Another great endorsement - thank you! RSVP for our GOTV Zoom Rally at: https://t.co/evnNAVodzg https://t.co/RhKIOuZSV5,2020-10-27 21:13:29,Twitter Web App,2,8
Never forget the Vet! https://t.co/8jg2qT3pBN,2020-10-26 16:25:36,Twitter Web App,2,5
I am happy to endorse @Ngoroff - “A Scientist with Solutions!” Here are three good reasons to support Nancy - Trump SALT and climate.,2020-10-26 11:59:08,Twitter for iPhone,6,31
Another endorsement! The Northport Observer joins Newsday The Island Now and The Queens Courier. Thanks all! Read the full endorsement here: https://t.co/KQ60kYNQKV https://t.co/Zr5rMFEi4D,2020-10-25 16:55:27,Twitter Web App,2,9
Early Vote begins on Saturday Oct 24! To find your Early Vote location please visit https://t.co/zhes1rGB3g https://t.co/summkE6sEC,2020-10-21 14:00:01,Twitter Web App,2,8
Please join me tonight at 6PM for a Zoom and phone bank to help make sure Joe Biden wins Pennsylvania...a must win state to elect him our next President!   RSVP to Steven@SuozziforCongress.com to get the Zoom link. https://t.co/1SqoTwH8iZ,2020-10-15 15:57:24,Twitter Web App,4,6
L'Shanah Tovah!  I want to send my best to everyone celebrating the Jewish New Year and the High Holy Days.  As it has many times throughout history this New Year finds the world in a state of turbulence. Always I hope for peace your good health and abundant blessings. https://t.co/zT41kXLjee,2020-09-18 21:20:22,Twitter Web App,2,7
“From Long Island to Luzerne: Suozzi for Congress Phone Bank for Biden”  Join us on Monday at 6:30 PM for a ZOOM to launch our efforts to win Luzerne County Pennsylvania for Joe Biden!! Details in the flyer.   Register here: https://t.co/UCEIJfNdTS  #TeamJoe #BidenHarris https://t.co/2NEqTjdsmr,2020-09-16 14:39:56,Twitter Web App,3,8
This Labor Day Let’s Honor the Dignity of Work  Suozzi Labor Day Message https://t.co/mvA79EVgnE via @YouTube,2020-09-07 03:08:10,Twitter Web App,1,6
Joe Biden will lower the heat by bringing all sides to the same table so we can work together. That’s Joe Biden’s America.  #BidenHarris #TeamJoe,2020-08-31 19:13:57,Twitter Web App,3,6
Biden also pledged his support for the many good men and women in law enforcement. He is right!   The President will continue to stoke division and play on fear. That is Donald Trump’s America.,2020-08-31 19:13:57,Twitter Web App,1,3
He also made the point that “(Trump) doesn’t want to shed light he wants to generate heat and he is stoking violence in our cities....fires are burning and we have a president who fans the flames rather than fighting the flames.”,2020-08-31 19:13:57,Twitter Web App,0,0
Joe said “rioting is not protesting looting is not protesting setting fires is not protesting….its lawlessness plain and simple. And those who do it should be prosecuted.",2020-08-31 19:13:57,Twitter Web App,0,0
Joe Biden just gave an important speech about the violence happening in “Donald Trump’s America” today.  https://t.co/tfrFCBBPan  #BidenHarris #TeamJoe,2020-08-31 19:13:56,Twitter Web App,1,4
Check out this new ad from #BidenHarris. If you agree with me that this is what America is looking for in our next President then please share! #AUnitedAmerica #TeamJoC https://t.co/EUpvgj2DeA via @YouTube,2020-08-25 16:46:17,Twitter Web App,2,5
I believe in @JoeBiden his empathy his compassion his experience his integrity. I will do everything I can to help him become the next President of the United States! Let’s Go!!!  #BidenHarris #TeamJoe #DemConvention,2020-08-21 03:47:23,Twitter Web App,2,11
@JoeBiden absolutely crushed it! Awesome speech!! A great speech a great man who will be the next President of the United States!! #BidenHarris #TeamJoe #DemConvention,2020-08-21 03:47:23,Twitter Web App,2,14
The Boss gets it. #DemConvention #BidenHarris #TeamJoe https://t.co/oDp9OmVwkn,2020-08-18 01:59:51,Twitter Web App,4,20
Kristin Urquiza who lost her father to Corinavirus “Enough is enough. President Trump did not cause Coronavirus but he made it worse.” https://t.co/K5WGeS4sM3,2020-08-18 01:55:51,Twitter Web App,3,6
... Leadership Matters ... Government Matters ... Joe Biden can restore the soul of America. #DemConvention #BidenHarris #TeamJoe,2020-08-18 01:53:02,Twitter Web App,3,8
Our Governor @NYGovCuomo talking about the importance of leadership to defeat the Coronavirus. “How vulnerable we are when we are divided ... American will rise to their call ... love wins ...,2020-08-18 01:53:02,Twitter Web App,3,15
My colleague Majority Whip Jim Clyburn (@ClyburnSC06) talking about racial justice “We know Joe and more important Joe knows us.” #DemConvention #BidenHarris #TeamJoe,2020-08-18 01:47:21,Twitter Web App,5,16
Real stories from real people throughout America. Small business teenager farmer school nurse. We are all in this together! Better days ahead! We the People!! #DemConvention #BidenHarris #TeamJoe,2020-08-18 01:18:08,Twitter Web App,7,17
Great opening of night 1 of the #DemConvention. Kids from all 50 states and US territories singing the national anthem and the Biden grandchildren reciting the Pledge of Allegiance. This is America! #BidenHarris #TeamJoe,2020-08-18 01:11:36,Twitter Web App,2,24
Let’s go Joe!! Please share.   #DemConvention #BidenHarris #TeamJoe   https://t.co/pWOBEb97tM,2020-08-17 22:46:05,Twitter Web App,22,31
@JoeBiden and @KamalaHarris have the vision and leadership to unify the country and bring us out of these dark times and our virtual convention will highlight that. Please commit to watch each night of the convention from 9pm-11pm and check out various ways you can view below.,2020-08-17 22:46:05,Twitter Web App,9,23
Hey everyone today is the first day of the Democratic Convention!! This will be unlike any convention the Democrats have had before. No huge crowds no post-nightly speeches parties no balloons and streamers or colorful signs. But the stakes are the same….even higher.,2020-08-17 22:46:04,Twitter Web App,8,20
Also participating in this great event were my colleagues Speaker @TeamPelosi Congresswomen @rosadelauro and @RepBonamici Congressman @davidcicilline Mayor of Los Angeles @ericgarcetti and my good friend Secretary Leon Panetta. https://t.co/7J0PqjRsLh,2020-08-16 22:14:53,Twitter Web App,1,4
Dr. Jill Giacoppa Biden will be the first Italian American First Lady of the United States of America!     This afternoon I was honored to join the Italian American Leadership Council as we honored and celebrated @DrBiden. #BidenHarris #TeamJoe https://t.co/ixfLEutT4O,2020-08-16 22:14:35,Twitter Web App,3,15
New York is one of the centers of a Jewish life in America and in the world. NY electeds should learn as much about Israel as is possible.,2020-08-14 16:35:15,Twitter Web App,4,22
