Small businesses are critical to the fabric of our community.  As we combat #COVIDー19 together I’m shopping small to support our local economy and fighting for the Senate GOP to pass the #HeroesAct so small biz owners receive the relief they deserve. #SmallBusinessSaturday,2020-11-28 18:53:20,Twitter for iPhone,9,17
This Native American Heritage Day I reaffirm my commitment to uplifting the indigenous community by honoring their history celebrating their ancestors and ensuring they are protected by our government.   Words cannot express my gratitude for their contributions and sacrifices.,2020-11-27 22:39:06,Twitter for iPhone,4,29
Happy #Thanksgiving! Today I’m especially grateful for our essential workers who have sacrificed their livelihood in order to make our community better and stronger each day. 🙏🏾,2020-11-26 16:41:29,Twitter for iPhone,4,34
We have lost another giant. My thoughts and prayers go out to the Dinkins family as we remember the Mayor’s great legacy in New York. https://t.co/y1BnZdCqcz,2020-11-24 05:32:18,Twitter for iPhone,540,2402
#Throwback to 14-year-old me in honor of my birthday 🥳 I’m spending the day social distancing and enjoying virtual celebrations with loved ones. Thank you for all of the well wishes for a prosperous year. https://t.co/NpywHN9ztn,2020-11-21 22:50:01,Twitter for iPhone,9,115
@CBCInstitute Thank you for the well wishes! 🙏🏾,2020-11-21 20:21:00,Twitter for iPhone,0,1
@LeaderHoyer @EnergyCommerce Thank you for the birthday wishes my friend! I’m appreciative of your support over the years. 🙏🏾,2020-11-21 20:20:15,Twitter for iPhone,0,5
On #TransDayOfRemembrance we must recommit to making the world a better place for trans/non-binary folks.  In 2020 we’ve lost at least 37 trans lives to violence and majority of the victims were Black/Latinx trans women. This must end.  Trans rights are human rights period.,2020-11-20 20:22:21,Twitter for iPhone,4,20
Pancreatic cancer is the 3rd leading cause of cancer-related deaths in the U.S. On World Pancreatic Cancer Day we raise awareness and push for progress. Join me and @PanCAN to support innovative research and improved patient outcomes. #PanCANforProgress #WPCD,2020-11-19 18:38:51,Twitter for iPhone,7,25
As co-Chair of the #SmartCitiesCaucus I’m pleased @FCC voted unanimously to modernize the 5.9GHz band. More spectrum will support the cities of the future. https://t.co/8Mpq0giPyj,2020-11-18 18:29:04,Twitter Web App,10,11
Today I send love light and prosperity to everyone celebrating #Diwali  the Festival of Lights. This holiday celebrates the victory of good over evil and light over darkness a message we could all learn from and use to carry us through our days.,2020-11-14 18:16:22,Twitter for iPhone,5,23
Throughout the year military families across the country and the globe make hard sacrifices.     Throughout the #COVID19 pandemic these sacrifices have been harder.     But know this: these sacrifices have not gone – nor will they not go – unnoticed.     #MilitaryFamilyMonth,2020-11-11 23:19:05,Twitter for iPhone,6,26
Today we celebrate all the brave Black Hispanic #LGBTQ Asian and Native veterans who fought for the ideals of what this country stands for even when our country wasn't living up to those ideals.     We thank them for their service and sacrifice.     #VeteransDay,2020-11-11 16:31:39,Twitter for iPhone,8,46
In the midst of a pandemic 45 is attempting to destroy the #ACA by going through the courts. Today the SCOTUS will hear this lawsuit and possibly dismantle the pre-existing conditions benefit. I stand firmly against this Administration’s attempt to take away our healthcare.,2020-11-10 15:34:12,Twitter for iPhone,21,55
I’m proud to witness the resilience of Brooklyn’s small businesses each and every day. @QahwahHouse is our community’s newest Yemeni-owned establishment that will bring rich culture and delicious coffee to our borough.   Welcome! #BrooklynStandUp https://t.co/xRJRKahKGa,2020-11-09 18:22:47,Twitter for iPhone,4,35
Congratulations to President-Elect @JoeBiden and Vice President-Elect @KamalaHarris.   This historic victory is a reaffirmation of our liberty and determination to maintain our precious democracy. 🇺🇸,2020-11-07 17:54:12,Twitter for iPhone,21,121
When you don’t know how a democracy works: https://t.co/0SWj02xcHr,2020-11-05 17:02:40,Twitter for iPhone,10,82
#OnThisDay 52 years ago the iconic Shirley Chisholm became the first Black woman elected to Congress.  Each and every day I stand proud to be her successor. #BrooklynStandUp https://t.co/0SNnK5MFeO,2020-11-05 16:43:49,Twitter for iPhone,48,211
The American people deserve a President who works #ForthePeople.  The American people deserve a President who abides by our Constitution and who doesn’t try to steal elections.  Simply put the American people deserve much more than Donald Trump. https://t.co/Kul3QmA7tR,2020-11-04 21:00:38,Twitter for iPhone,12,60
EVERY vote must be counted. That’s just how our democracy works.  45’s claims of victory are baseless arrogant and dangerous.,2020-11-04 14:59:54,Twitter for iPhone,12,86
“The right to vote is precious almost sacred. It is the most powerful nonviolent tool or instrument we have in a democratic society. We must use it.” -The Honorable John Lewis  Click ⬇️ to find your nearest polling site: https://t.co/pKoxQwXqnX   #ElectionDay,2020-11-03 16:00:31,Twitter for iPhone,2,19
Today’s court decision confirms what we already knew: targeting the most vulnerable immigrants goes against who we strive to be as Americans.   Tomorrow we will show this again by voting this administration out of office. https://t.co/kT6HPynapK,2020-11-02 23:29:54,Twitter for iPhone,7,31
We must build back with resilience.   We must build back with equity.   We must build back with justice.   The lessons we learned from #SuperstormSandy 8 years ago are just as essential today as we put our nation on a path to recovery.,2020-10-29 17:47:27,Twitter for iPhone,8,29
👀 TOMORROW and FRIDAY at 5:30 p.m. join the Brooklyn Black Elected Officials Coalition for our Webinar Education Symposium where we’ll discuss ways to support our community in the age of virtual learning and working. https://t.co/X2e9hc1nwx,2020-10-27 22:57:21,Twitter for iPhone,3,8
How many times are we willing to stand by idly as our brothers and sisters are killed in their homes cars and on the streets? The officers responsible for the death of Walter Wallace Jr. must be held accountable. We cannot and will not stand for this.,2020-10-27 19:05:50,Twitter for iPhone,9,41
Today the Trump @FCC will attempt to repeal Obama era #NetNeutrality rules as millions of Americans lack access to affordable and reliable broadband while working from home. I will continue to fight #ForThePeople to ensure that we have access to this much needed right. https://t.co/QtiV3qS9z1,2020-10-27 15:27:24,Twitter for iPhone,11,24
Next week we vote to take back our government.   Then the fight begins to protect the ACA and a woman’s right to choose.  Make no mistake we will not forget the hypocrisy and moral relativism that brought us here.  This is not the end this is the beginning. Be ready. https://t.co/tyL2W6xArK,2020-10-27 00:48:36,Twitter for iPhone,11,57
