Thank you Affordable Care Act. https://t.co/vR1CM2rm1d,2020-11-28 17:31:16,Twitter for iPhone,6,22
Help determine the winners of my #PowerOfOne Social Media Challenge. Vote for your favorite photo(s). Voting ends 11:59PM December 1st. VOTE NOW!  https://t.co/qZcCbMX2kg,2020-11-28 16:02:12,Twitter Web App,3,4
2 million new COVID-19 cases in 2 weeks.   13 million total cases.  260000+ total deaths.  60000 more Americans could die in next 3 weeks.   30 million Americans at risk of losing home.  50+ million Americans facing food insecurity.  AMERICANS NEEDS HELP NOW!,2020-11-28 14:28:45,Twitter for iPhone,69,215
Maybe the recount wasn’t a good idea. #LOL  https://t.co/HoQK21tQB3,2020-11-28 04:45:31,Twitter for iPhone,11,136
“Charges of unfairness are serious. But calling an election unfair does not make it so. Charges require specific allegations and then proof. We have neither here.” (2 of 2),2020-11-27 20:36:38,Twitter for iPhone,18,78
BREAKING: PA appeals court rejects Trump election challenge: “Free fair elections are the lifeblood of our democracy” Judge Bibas a Trump appointee wrote. (1 of 2),2020-11-27 20:36:38,Twitter for iPhone,32,200
The @jointcenter America's Black Think Tank celebrates its 50th anniversary this year from December 7-9. Join our celebration of past present and future ​here​ with #JointCenterat50. ​Hope to see you there! https://t.co/xeouOJ1veK,2020-11-27 20:12:36,Twitter for iPhone,3,6
Donor dollars hard at work.   https://t.co/ggPZq42XCJ,2020-11-27 17:44:21,Twitter for iPhone,66,108
LAST DAY (Nov. 27th) to submit photo to my #PowerOfOne Challenge! Get info now.   https://t.co/hVASoguctN,2020-11-27 15:19:49,Twitter for iPhone,3,4
Happy Thanksgiving! 🦃 https://t.co/lcs7gsB6au,2020-11-26 14:47:15,Twitter for iPhone,4,51
@RepSusieLee Dear colleague and friend I am sorry to learn of your mother's passing. My thoughts and prayers are with you. I lost my mom this time last year. Remember on days of sadness-- hold on dearly to all the memories and times she held you. Stay Safe take care and be well soon.,2020-11-26 04:36:42,Twitter for iPhone,0,30
No one is above the law. 🇺🇸,2020-11-25 21:27:31,Twitter for iPhone,19,212
Can ONLY imagine what would be happening if this was any other President BEFORE Donald J. Trump. Next thing you know he’ll attempt to pardon himself and the entire family. #DeviousDonald https://t.co/V6GJkggIzf,2020-11-25 21:22:33,Twitter for iPhone,6,23
I’m extremely thankful for the healthcare professionals custodial personnel grocery and postal workers educators and everyone working on the front lines in the fight against COVID-19. #ThankYou,2020-11-25 19:27:39,Twitter for iPhone,9,58
Ohio hospitals are nearing their breaking point! Help do your part. #InThisTogetherOhio  1️⃣ Wash your hands often. 🧼 2️⃣ Stay home unless emergency. 🏠  3️⃣ Wear a mask. 😷  4️⃣ Practice 6 ft. social distance. 🙅🏾‍♀️  https://t.co/pn1ujbQhpp,2020-11-25 18:04:09,Twitter for iPhone,11,28
