I agree @GOPLeader! https://t.co/G3eeMfwAaj,2020-11-05 22:24:43,TweetDeck,21,44
I am humbled to have earned 213251 votes yesterday. Thanks to record turnout this is the most votes a candidate for the First District has ever received.,2020-11-04 17:54:01,Twitter for iPhone,6,34
HUGE win in OKC tonight for @stephaniebice - congratulations on an incredible campaign and a well-deserved victory!,2020-11-04 04:41:49,Twitter for iPhone,3,22
Just got a call from my opponent conceding the election. I want to congratulate him on a hard fought campaign. Thank you to the people of the First District for putting your faith in me again! Let’s get back to work.,2020-11-04 03:17:49,Twitter for iPhone,5,48
Congrats to my friend @inhofeforsenate on his victory! Big win! https://t.co/T1lTfkl4LV,2020-11-04 01:26:28,Twitter for iPhone,7,26
Don’t forget to #vote today! https://t.co/YRt8e1wkf1,2020-11-03 14:55:41,Twitter for iPhone,2,10
I went out to see the lines at ONEOK Field yesterday and was blown away by how many Tulsans showed up to vote early braving the rain and cold. The line wrapped around the field 3 times! Early voting is open today &amp; tomorrow - don’t forget to #vote,2020-10-30 15:22:25,Twitter for iPhone,3,13
Sleepy Joe checking to see if it’s bedtime yet https://t.co/01orkwC802,2020-10-23 02:36:22,Twitter for iPhone,4,15
If we can get this election right we'll get this country right. #HernWorks https://t.co/QQK7Ym351r,2020-10-20 14:11:38,Twitter Web App,3,8
It’s sure nice to have the power to get your hair done at a hair salon that’s been closed since March but how do you explain that to the constituents who can’t do the same?,2020-09-02 20:15:27,Twitter Web App,24,17
This is a prime example of why I can’t stand the politics of DC. Career politicians like Pelosi the leader of the radical Democratic Party expect the American people to abide by rules they have no intention of following. https://t.co/qt6VehVkfp,2020-09-02 20:15:27,Twitter Web App,6,9
Had a great conversation with @realdonaldtrump on Air Force One today. Looking forward to working for Oklahomans with President Trump for #4MoreYears! https://t.co/zXkEmpnRdY,2020-06-21 00:03:13,Twitter Web App,50,103
There's no better place for @realdonaldtrump to re-launch his energetic campaign rallies than right here in Tulsa. I look forward to welcoming the President to the First District next week!,2020-06-10 21:57:54,Twitter Web App,49,74
For months the Democrats have torn our country apart with their phony investigations and #ImpeachmentScam. Now it has finally come to an end with the Senate's acquittal of President Trump. https://t.co/IL48Zatbox,2020-02-05 21:50:08,joe.sentry,17,30
@SBAList recently released its Congressional ratings and I am honored to receive their highest rating of "A" for my pro-life voting record. https://t.co/yjMFvPa9dl,2020-01-27 17:00:05,joe.sentry,7,15
Today we celebrate the life and legacy of one of our nation's most enduring civil rights icons. Let us never forget his immortal advice that "The time is always right to do what is right." Happy #MLKDay! https://t.co/nWCIZKuttF,2020-01-20 16:00:05,joe.sentry,11,15
