Today the House passed a bipartisan bill to create 1 million apprenticeships which means jobs for people in #PA17 including those who lost a job due to #COVID19. The bill included my amendment to ensure veterans can also take advantage of apprenticeships. https://t.co/VF1KkUt5Bb https://t.co/59kZSPneVk,2020-11-20 20:01:17,TweetDeck,7,44
COVID cases are surging and we are taking it seriously. We all need to do our part to help limit the spread.  My #PA17 offices will be closed for a few weeks but we will still be just a phone call away. https://t.co/k3B0m1irhc https://t.co/8C0miS7KLA,2020-11-18 21:20:59,TweetDeck,4,23
Join me today in honoring &amp; thanking our veterans here in #PA17 &amp; across the country. Read my #VeteransDay message to learn about the bipartisan work I’m doing in Washington to meet the needs &amp; challenges of veterans: https://t.co/ZrL2QwfdaQ https://t.co/A17Pahfx6V,2020-11-11 16:39:18,Twitter for iPhone,10,74
Our office is open today.  A little spray paint isn’t going to keep us from being there for you. #PA17 https://t.co/pb7IvljYRG,2020-11-02 14:00:06,TweetDeck,28,253
DEADLINE APPROACHING:   Applications are due by 5pm on Saturday 10/31 for qualified students in #PA17 who seek a nomination to one of the United States Service Academies.  For more information check out my Military Academy Nomination FAQ page: https://t.co/9LTgpL61IL,2020-10-28 17:55:52,TweetDeck,1,11
Remembering today we are all #StrongerThanHate. https://t.co/bVwQ1YqNGM,2020-10-27 14:11:18,Twitter Web App,9,62
Medicare open enrollment period has begun &amp; ends on Monday 12/7. Check out my latest newsletter for resources available to support #PA17 Medicare beneficiaries w/ decisions about coverage options: https://t.co/1q7aLLu3Ez,2020-10-26 15:10:30,Twitter for iPhone,4,14
Our region is home to the world’s leading tech companies &amp; today @astrobotic opened the doors to its global headquarters. I look forward to working together to foster &amp; retain STEM talent in western PA. #PA17 https://t.co/yBKjhdXt26,2020-10-19 21:31:09,Twitter for iPhone,10,47
Every day police officers across #PA17 work to make our communities safe. We need to continue to make investments – like this new Police Station in Robinson Township – that give our officers the tools they need to do their jobs. https://t.co/a7IIZG3yqj,2020-10-19 18:29:48,Twitter for iPhone,4,34
Tomorrow is the voter registration deadline in PA for the general election. Visit https://t.co/UwSSlFdQOq to register or update your current registration. You can also check your status at https://t.co/bTROtPgJfn. #PA17,2020-10-18 15:31:42,Twitter for iPhone,11,20
