A quick note — while we can't all be together this year Dwight and Team Evans are so grateful for your support and activism. #HappyThanksgiving https://t.co/LcB96lpPWf,2020-11-26 14:00:30,Gain Platform,10,15
👇🏿👇🏿👇🏿This is what we're fighting for in #Georgia https://t.co/RUuCDle2Yl,2020-11-25 01:21:42,Twitter Web App,21,41
Dwight is sounding the alarm and is fighting for more targeted relief without further delay in order to address immediate economic and medical needs for hardworking families NOW. https://t.co/pJe7OaHFoN https://t.co/jR5yS9QAXY,2020-11-24 18:46:36,Gain Platform,104,345
History shows us that crises create opportunities for change and the COVID-19 crisis is no different. With President-elect Biden and Vice President-elect Harris leading our country forward it's time we fight this virus head on and Build Back Better. https://t.co/5SAlMoeCx9 https://t.co/5UoiA8qG4K,2020-11-24 14:30:18,Gain Platform,4,7
Striking down the ACA could put the health of over 130 million Americans with pre-existing conditions at risk — in the middle of a pandemic. It's clear we need access to affordable health care more than ever before. https://t.co/QmkI9OU9kE https://t.co/vNSbbQkyIF,2020-11-23 21:00:24,Gain Platform,1,2
The testing and administration of the COVID-19 vaccine can establish new standards of how disadvantaged communities and the health care and research communities interact and work together. We must rebuild trust. https://t.co/LSInhRSOL0 https://t.co/hpFXwCPkEQ,2020-11-21 23:44:02,Gain Platform,1,2
As we honor the transgender community members we have lost this past year let's remember that we aren't free until we're ALL free. I won't stop fighting for justice for all until our country fulfills its promise to the American people. #TransgenderDayOfRemembrance https://t.co/N8Au36I4v9,2020-11-20 15:30:24,Gain Platform,15,42
The only way out of this health and economic crisis is forward. Cases are rising across the country. Trump must concede without further delay so the Biden administration can begin to rebuild. https://t.co/tHjdbH1Ojg https://t.co/modvWmWLDv,2020-11-19 17:50:30,Gain Platform,4,4
Rest up and get well soon @RepHarris.  https://t.co/xo3Mjb9idf,2020-11-18 17:17:52,Twitter Web App,3,6
Say it a little bit louder Senator for those in the back!! https://t.co/RaX6Ms63fA,2020-11-18 15:34:27,Twitter Web App,4,7
Thank you @billy_penn for waiting until ALL votes were counted to write a story on Philly turnout. Wish others would show patience like this. https://t.co/KLyCNkHwOx,2020-11-18 14:25:37,Twitter Web App,73,235
Security officials have stated that this year's election was the most secure in American history -- with officials reviewing and double checking the entire process. This is what democracy looks like. https://t.co/cO9ii45Rjz https://t.co/EXCszjzNUB,2020-11-15 18:00:19,Gain Platform,3,3
The MOVE bombing is part of Philadelphia's history that is rarely taught in schools. Glad to see there is an effort towards reconciliation and healing. https://t.co/gfPoSDdo1p https://t.co/PDr9twJxaw,2020-11-14 15:00:53,Gain Platform,5,7
His actions reek of desperation. https://t.co/SRcATXj7WG https://t.co/pmHHnpCTX4,2020-11-13 15:00:56,Gain Platform,2,6
Cases are increasing across the country and hospital beds are running out. This tool developed by researchers at GA Tech is critical to help people grasp the risks associated with gatherings of different sizings. https://t.co/svXUiU9cun https://t.co/IBCaphlXb5,2020-11-12 20:43:47,Gain Platform,3,6
It's not over yet but we owe a great deal to Stacey Abrahms for what she's accomplished -- Georgia could not have happened without her effort. https://t.co/bZnBI9c1jP https://t.co/K7T1DRzGjs,2020-11-11 02:36:37,Gain Platform,7,28
