While this is good news the fact remains that this delay caused unnecessary risk to our national security and public health. We must put country over party as we move forward during these difficult times.   https://t.co/NAhrszqozP,2020-11-23 23:20:47,Twitter for iPhone,3,24
I spoke with @kasie today about what it takes to win purple places like Chester County where we're 40% Democrat 40% Republican and 20% Independent.   My message: we need pragmatic bipartisan representatives committed to delivering results for Pennsylvanians. https://t.co/9wwH2qNKZy,2020-11-23 19:31:35,Twitter Web App,8,52
A concession is not just about the candidate; it’s about the country. It is a sign that the American democracy still stands after a chaotic election. It reminds us that we all may come together and share the same truth. Because truth and decency matter. https://t.co/oZZmNoGxTu,2020-11-22 23:33:49,Twitter for iPhone,2,29
President Trump even on #VeteransDay was placing his own interests above those of the country possibly risking lives and our national security. As a veteran who wore the uniform and served our country I'm concerned. We all should be.   I talked to @JoyAnnReid about why: https://t.co/n0tHYMklfh,2020-11-12 16:23:22,Twitter Web App,10,33
Today and every day we honor those who've served this country. As a third generation veteran I want to take this #VeteransDay to  thank all those who've served. May this day be the start of a healing process for this nation as we seek to move forward in unity.,2020-11-11 14:42:19,Twitter Web App,5,34
Over 300000 Pennsylvanians have health care because of the Affordable Care Act. To try and strike down this lifesaving law during a pandemic is unconscionable.  https://t.co/BMkFO2ZPEo,2020-11-10 13:56:06,Twitter for iPhone,5,24
Hello science my old friend. https://t.co/uX7TzLEqTv,2020-11-09 12:46:44,Twitter for iPhone,6,147
Civility and decency won.   President-elect Joe Biden.   Vice President-elect Kamala Harris.  🇺🇸🇺🇸🇺🇸,2020-11-07 16:31:00,Twitter for iPhone,16,103
A wise man and legend. It’s our job to carry the promise. https://t.co/WAl3CfiEOq,2020-11-06 19:03:34,Twitter for iPhone,15,69
Good morning Pennsylvania!,2020-11-06 14:02:28,Twitter for iPhone,32,434
Whether you supported this campaign or not please know that we are in this together. I will serve and stand up for each and every one of you here at home and in Washington. 5/5,2020-11-04 21:24:23,Twitter Web App,0,49
The opportunity to again serve you the people of Pennsylvania’s 6th Congressional District in Congress is the privilege and honor of a lifetime. /4,2020-11-04 21:24:23,Twitter Web App,0,41
I’d also like to thank my opponent Mr. John Emmons and his family for stepping up to run. I know firsthand particularly during this divided time what a sacrifice that is and what a true service it is. /3,2020-11-04 21:24:23,Twitter Web App,0,10
Together we ran a campaign based on the fundamental values of civility and decency and that message once again resonated throughout our community. /2,2020-11-04 21:24:22,Twitter Web App,0,17
I want to thank my team and the people of our community who together powered my campaign. I am inspired by your spirit faith and commitment. /1 https://t.co/nEMBHSer21,2020-11-04 21:24:22,Twitter Web App,21,280
I want to thank everyone who came out yesterday who made their voice heard who volunteered and more.   Now as hard as it is we must exercise patience as the votes are counted. Every eligible vote must be counted. We're in this together.,2020-11-04 15:22:03,Twitter Web App,6,108
Stay in line. https://t.co/i2b9Qoq66J,2020-11-04 00:36:28,Twitter for iPhone,4,29
Polls are open till 8pm tonight in our Pennsylvania. If you haven't gotten out to vote yet there's still time. As long as you're in line by 8 you can vote. Plus you'll get treated to this incredible sunset. https://t.co/6UQc3k00Tx,2020-11-03 22:40:54,Twitter Web App,10,49
I'm grateful to the Pennsylvanians who volunteered today. These are unprecedented times but in their determination to ensure a safe and fair election I see the American spirit.   Glad I got to thank them in person w/ @kmuthPAsenate44 &amp; @PaulFrielforPA.   Stop #9 - Spring City https://t.co/uoc2kvzYH5,2020-11-03 21:51:45,Twitter Web App,2,28
Democracy in action. Mayor Moran and I know that our voice is our vote and we want everyone in Reading to use their voice today!  Stop #8 - Reading https://t.co/lEGJGfYIz3,2020-11-03 21:25:15,Twitter Web App,4,34
It's all hands on deck in Pennsylvania. The energy has been incredible! Ran into @Marian4ChesCo @maxwelljosh and Mayor Dague.   Stop #7 - Downingtown https://t.co/BhgDAIKIbc,2020-11-03 20:27:10,Twitter Web App,12,60
Happy to run into @RepDanWilliams in Coatesville today!  Stop #6 - Coatesville https://t.co/1gDY1qu57o,2020-11-03 19:08:59,Twitter Web App,2,22
Getting to connect with members of our community is one of the greatest privileges of serving in Congress.   Stop #5 - Kennett Square https://t.co/MpNjzANBBB,2020-11-03 18:15:58,Twitter Web App,2,30
Just met this first time voter in Thorndale and her superhero son. 🦸🦸‍♀️  Stop #4 - Thorndale https://t.co/6Pdxsb6i0b,2020-11-03 17:52:30,Twitter Web App,5,48
Stop #3 - Hillsdale Elementary School in West Chester  Masks don't lie: VOTE https://t.co/8LyFdUAElQ,2020-11-03 17:11:15,Twitter Web App,3,31
Pennsylvania is ready to send Joe Biden to the White House. And so is Libby. 🐶  Stop #2 - West Chester https://t.co/FpkkQd95hq,2020-11-03 14:27:14,Twitter Web App,12,90
Looking forward to seeing you at the polls today across our community of Chester and Berks counties.   Democracy is on the ballot.   Stop #1 - Devon PA https://t.co/ZxWKDiRQhV,2020-11-03 14:03:02,Twitter Web App,1,29
Your voice is your vote.  Let’s do this PA! #VOTE,2020-11-03 12:41:00,Twitter for iPhone,10,36
Our intrepid service members are bravely risking their lives to serve our country. Anyone attempting to disenfranchise this group of voters clearly has no appreciation for the sacrifice so many have made to preserve and protect this very foundational right. https://t.co/RDlsFIOCmf,2020-11-03 03:32:43,Twitter for iPhone,27,76
Just joined Senator (and future Vice President) @KamalaHarris to help get the vote out in our Coatesville community. All eyes are on Chester County as we head into tomorrow. Let's send a resounding message to the country: PA is with Joe Biden and Kamala Harris! https://t.co/UGYjvhS64U,2020-11-02 20:16:01,Twitter Web App,9,53
Great to be with @JoshShapiroPA and @PaulFrielforPA this weekend to get out the vote for democrats in PA. We're working to elect democrats up and down the ballot.   ONE DAY! 💪 https://t.co/dtfWugQYTC,2020-11-02 18:46:21,Twitter Web App,5,18
What has been clear from the beginning of Joe Biden's campaign is an unwavering commitment to the American people and addressing the most pressing issues of our time. It stands in stark contrast to President Trump and it's why we're going to deliver PA to Joe Biden.   One day. https://t.co/88l0nPASRd,2020-11-02 15:55:25,Twitter Web App,7,40
Make sure your vote is counted.   2 days.   #BidenHarris2020 https://t.co/XojKuufoAl,2020-11-01 13:05:50,Twitter for iPhone,6,19
3 days 👻 https://t.co/8HUZFLqUDU,2020-10-31 20:39:28,Twitter for iPhone,7,39
Make sure your voice is heard. Our democracy is at its strongest when we all partake. https://t.co/thlUT88vcS,2020-10-30 22:04:13,Twitter for iPhone,9,24
