Today is #SmallBusinessSaturday! NEPA’s homegrown businesses make us unique and they need our help now more than ever. Support small businesses and shop local this holiday weekend. https://t.co/ZuepGQQL9Q,2020-11-28 14:30:00,Twitter Web App,4,7
Marion and I would like to wish everyone a safe and healthy #Thanksgiving. This year we are especially grateful for the brave Americans who are on the frontlines fighting this virus including our first responders and health care workers. https://t.co/YzFip7uG23,2020-11-26 14:30:01,Twitter Web App,3,29
#COVID19 vaccines will be on their way soon but the time it will take to distribute and administer means we are still a way off from pre-pandemic normal. Hang onto those masks don't let your guard down and we will get through this. https://t.co/1myG51Efuf,2020-11-25 21:30:00,Twitter Web App,2,4
Preparing a turkey this #Thanksgiving? Safely thawing it is one of the most important preparation steps. Here are 3 ways to safely thaw your bird from @USDAFoodSafety #FoodSafeThanksgiving https://t.co/VEdujC3QQQ,2020-11-25 19:15:00,Twitter Web App,1,3
All the work that Friends of the Poor Scranton &amp; volunteers are doing this week shows the compassion Northeastern Pennsylvanians have for each other. Thanks to everyone who is supporting these generous efforts around #Thanksgiving. https://t.co/Kp08PFumSl,2020-11-25 17:35:39,Twitter Web App,1,5
It's stories like these that remind us why we need to continue taking the precautions that we know reduce the spread of #COVID19 -- and they remind me why I'm fighting for hazard pay for frontline workers who are risking their own health to as they care for these patients. https://t.co/HrMZV4w7e2,2020-11-24 20:59:01,Twitter Web App,6,11
While #COVID19 surges the risk of large gatherings remains high. With #Thanksgiving approaching here are some recommendations on how you can keep yourself and your loved ones healthy. https://t.co/cS4KjFxtTz,2020-11-23 19:31:39,Twitter Web App,3,9
We all want to be able to gather with our extended family &amp; friends for #Thanksgiving but right now we are experiencing the biggest surge in #COVID19 since the pandemic began. Please consider alternative plans to keep your loved ones safe and healthy during this holiday season. https://t.co/cpVsZ1HMr9,2020-11-21 15:30:00,Twitter Web App,3,7
Wishing a very happy birthday to my dear friend @JoeBiden!    Joe has always remained true to his Scranton roots and been a champion for hardworking Americans throughout his career in public service. I’m looking forward to our work together in the coming years. https://t.co/4puNQrVK5i,2020-11-20 19:34:01,Twitter Web App,2,27
Nearly everyone who finishes a registered apprenticeship is employed upon completion earning an average starting wage of more than $70000/year. That’s why I voted to expand apprenticeships and connect workers with stable good-paying jobs and accelerate our economic recovery. https://t.co/gTyidtW7J2,2020-11-20 17:23:41,Twitter Web App,2,11
This #AmericanEducationWeek I’m thinking of all of the parents and educators in NEPA who have risen to the challenge of continuing our children's learning during this difficult year. I thank you and I recommit to providing the resources to help our students succeed. https://t.co/vW0qmrYAls,2020-11-20 16:15:06,Twitter Web App,1,3
Registered apprenticeships provide hundreds of thousands of workers each year access to paid on-the-job training and a pathway to the middle class. I’ll be voting this week to create 1 million new apprenticeship opportunities to get people back to work in good-paying jobs. https://t.co/1eYDz3I6pm,2020-11-19 20:00:01,Twitter Web App,1,1
Thank you to my colleagues for re-electing me as co-chair of @HouseDPCC!  I am eager to continue the work of shaping and delivering the message of the @HouseDemocrats agenda to lift up all Americans in the 117th Congress. https://t.co/AL1xi4IA8E,2020-11-19 16:52:30,Twitter Web App,5,31
The #COVID19 test positivity rate has risen sharply in the past week in Lackawanna County. If you have been exposed please get tested and isolate while you wait for your results. Testing at this site will be free to all patients. 👇 https://t.co/gpGQYjzhVO,2020-11-18 20:01:34,Twitter Web App,4,20
It’s encouraging to see that we are making progress on vaccines to fight #COVID19. We still have a way to go so right now we need to stay vigilant about mask-wearing and distancing and make plans to vaccinate Americans fairly when we're ready. https://t.co/hTmChnFqYJ,2020-11-17 15:00:04,Twitter Web App,2,9
Public health experts are telling us that the surge in #COVID19 cases and hospitalizations is being driven largely by indoor gatherings as the weather has been getting cooler in NEPA. Please #WearAMask &amp; keep distance from others outside your household. https://t.co/kwprLivHe9,2020-11-13 20:09:55,Twitter Web App,4,5
Today we honor every servicemember who has sworn to defend our country and the values we stand for. I'm always grateful to take part in that tradition at Courthouse Square in Scranton on #VeteransDay.  Please join me in thanking a veteran today. https://t.co/idEYMChksd,2020-11-11 21:27:18,Twitter Web App,5,24
If this dangerous GOP legal challenge is successful: 🩺 No more pre-existing condition protections 🤒 No more Medicaid expansion to support rural hospitals 💊 Higher drug prices for seniors 👭 Women will be charged more for care #SaveTheACA https://t.co/UN35387WSE,2020-11-10 15:30:17,Twitter Web App,6,16
As veterans you made tremendous sacrifices for your country and your fellow Americans. Now it is our turn to do our part for you. Honored to be a part of Pocono Lions Club’s dedication ahead of #VeteransDay https://t.co/WCzkjy65bU,2020-11-07 19:27:22,Twitter for iPhone,4,26
Today is your last chance to cast your ballot. Make sure you get out and vote!,2020-11-03 16:42:18,Twitter Web App,5,42
$14.6 million for health centers to respond to COVID-19. $10 million to expand medical training programs. $1.2 million to increase access to substance abuse &amp; mental health services.  A few examples of how federal funding for health initiatives we fought for is working in NEPA. https://t.co/ywByfzETVU,2020-10-30 19:31:24,Twitter Web App,7,17
With #COVID19 on the rise again in NEPA we all need to do our part to slow the spread but we also need another relief bill with more funding for mass testing and contact tracing so that health care workers have the tools they need to keep us and our loved ones healthy.,2020-10-29 16:00:07,Twitter Web App,2,9
This little machine at Scranton Primary Health Center may not look like much at first but it processes #COVID19 tests in about 10 minutes. I was proud to help them get $1 million+ in federal funding to boost testing capacity &amp; update air filtration to keep patients &amp; staff safe. https://t.co/nFqIbJaGLL,2020-10-29 16:00:06,Twitter Web App,9,32
Right now Dr. Decker Dr. Ollar and I are talking about how flu season is coinciding with the ongoing coronavirus pandemic. Tune in below ⬇️ https://t.co/PIZ1YeTurp,2020-10-27 22:02:39,Twitter for iPhone,3,10
STARTING SOON: I'm going live on Facebook with infectious disease experts to discuss the latest spike in #COVID19 cases in NEPA. Watch here. https://t.co/rxakrNsS6g https://t.co/Ect4BfYEX6,2020-10-27 21:15:00,Twitter Web App,5,6
The way the Social Security Cost of Living Adjustment is calculated simply does not keep it in line with the costs seniors are facing right now. #COVID19 has only made the problem worse. I'm working to pass legislation to fix COLAs for 2021 and beyond. https://t.co/qkFfKh98xH,2020-10-27 18:47:37,Twitter Web App,4,10
Tomorrow @ 5:30 p.m. ET two infectious disease experts will join me live on Facebook to discuss the recent wave of #COVID19 cases in NEPA and how we can keep ourselves and others safe. Tune in here. https://t.co/rxakrNsS6g https://t.co/zLRXvZnkUc,2020-10-26 16:30:15,Twitter Web App,3,7
In NEPA we help our neighbors out in tough times. Shout out to @AmericanLegion Post 328 for putting on this generous event! https://t.co/AbBpq695lO,2020-10-26 15:58:00,Twitter Web App,5,5
Each Congress I work to bring back federal funding for programs like Head Start. They ensure everyone has the chance to succeed and help us develop a skilled workforce that makes companies want to invest more in NEPA and create jobs. https://t.co/KbbHYtqLbW,2020-10-23 20:05:00,Twitter Web App,6,23
$10 million to modernize Hazleton's bus transit center. $4.2 million to update sewer systems in Wayne County. $900K to expand freight rail in NEPA.  A few examples of how the federal funding we've brought back for infrastructure over the past 2 years has been put to work in NEPA. https://t.co/xbThz0AiI2,2020-10-22 17:09:17,Twitter Web App,3,10
In the past two years I worked to bring over $200 million in federal funding to Northeastern Pennsylvania to support our communities’ health and our economic recovery. Going forward I will continue to make bringing federal resources back to our area a top priority. https://t.co/bDhVVP9tGW,2020-10-21 15:05:03,Twitter Web App,4,15
The need for a national #COVID19 testing strategy is more important than ever. There's still $9 billion available to implement widespread testing from what Congress has already authorized -- the time is now for HHS to use it and request more when needed. https://t.co/OiJw0hYR0C,2020-10-19 17:43:19,Twitter Web App,6,10
I'm proud to have support from our manufacturers for my MAKE PPE Act to bolster American industry and our pandemic preparedness. https://t.co/bZKjDMPMYn,2020-10-15 18:35:12,Twitter Web App,15,20
This week the Supreme Court ruled to cut the #2020Census short - meaning today is your LAST CHANCE to complete it. Don’t let this decision leave our NEPA communities without their fair share of federal resources &amp; representation. Fill out yours today at https://t.co/pPv0W7xSVm https://t.co/aZHWdDcCAg,2020-10-15 17:49:48,Twitter Web App,8,11
Thank you to Friends of the Upper Delaware for a great discussion this morning about developments in the region. The Upper Delaware Watershed is a crown jewel of NEPA and I will continue to fight for federal funding to ensure its protection for generations to come. https://t.co/pWlGT4g0pl,2020-10-14 21:30:00,Twitter Web App,3,9
Community leaders in Wayne County not only saved SCI-Waymart from closure they put forward a vision to grow it and help those battling addiction recover and get back to work. I'm proud to help advance their efforts to build this recovery-to-work program. https://t.co/7xdNZMHpxM,2020-10-14 18:29:10,Twitter Web App,15,16
The application for Luzerne County's #CARESAct grant program for our smallest businesses and nonprofits hurt by #COVID19 closes after tomorrow October 14. Find out how to apply here: https://t.co/rZm1cbmRTE https://t.co/1DwsvdYXHk,2020-10-13 12:59:18,Twitter Web App,16,18
Domestic violence often takes place in the shadows. If you are experiencing it in your household know that you are not alone. You can call 1-800-799-7233 for help or find more Resources in PA here: #DomesticViolenceAwarenessMonth  https://t.co/xadAJbiSWo  https://t.co/DAHcFHweVN,2020-10-12 16:01:00,Twitter Web App,27,25
