Happy #SmallBusinessSaturday! I am grateful for America's small businesses and small business owners and encourage you to #ShopSmall. https://t.co/6ABrg6uzGr,2020-11-28 15:31:00,Twitter Web App,2,9
This is great news for Americans thank you @realDonaldTrump  for leading our country on the path to recovery! @BreitbartNews  https://t.co/enk0x4SVA8,2020-11-27 16:30:00,Twitter Web App,4,10
Happy Thanksgiving from me and my family to you and yours. I am always thankful for my family friends and the chance to serve the amazing citizens of #SC02.,2020-11-26 14:26:00,Twitter Web App,3,25
November is National U.S. Navy #AircraftCarrierMonth. Join me in celebrating those who serve aboard these great ships and the thousands of essential men and women across the country that supply build and maintain our nation’s carriers. @ACIBC,2020-11-25 15:44:00,Twitter Web App,2,10
I'm LIVE with @KevenCohen now. Listen here ➡️  https://t.co/5b8BIUINUP,2020-11-24 22:35:46,Twitter Web App,2,5
Due to COVID-19 the NPRC has had to reduce services that provide veterans with records needed to qualify for benefits. Many veterans have been waiting for months to receive records.   So I sent a letter calling on the NRPC to immediately fix this issue ➡️https://t.co/O7VdSPC2Y4,2020-11-24 18:30:00,Twitter Web App,4,6
I and my colleagues in Congress have continued to fight against the Corps' actions maintaining that the Corps has acted against the clear intent of the language of the WIIN Act requiring that the pool be maintained at 114.5 feet.,2020-11-24 16:07:30,Twitter Web App,0,2
It is great to see that the Army Corps is now permanently enjoined from entering into any plan that would not ‘maintain the pool’ that was in existence on the date of enactment of the 2016 'Water Infrastructure Improvements for the Nation Act.’ https://t.co/ZqcTNEc3mC,2020-11-24 16:07:29,Twitter Web App,2,3
I am thankful to be able to help the people of #SC02 with constituent services. This year alone our office closed out over 1000 casework cases.  If you need help with a federal agency please contact my office ➡️ https://t.co/5b9ETa76Jr,2020-11-23 19:13:07,Twitter Web App,2,3
Last month's jobs report showed that we added 638K jobs in October and the unemployment rate fell to 6.9 percent.  These numbers speak for themselves and I am grateful to @realDonaldTrump for putting our country on the fast track to economic recovery. https://t.co/ToZMt1hkpR,2020-11-22 16:33:00,Twitter Web App,3,5
Exciting news coming from the #CSRA region. As jobs continue to increase at the Savannah River Site it is critical that we have strong pipelines like this to ensure a strong workforce. @SRSNews @wachfox  https://t.co/4hfb8Cb9SQ,2020-11-20 21:04:00,Twitter Web App,3,5
Ending tomorrow November 21 there's an #IRS registration tool for people who haven't received an Economic Impact Payment and don’t normally file a tax return. @IRSnews Find more info here ➡️ https://t.co/9hhjYFNYoE,2020-11-20 18:30:00,Twitter Web App,3,2
Small businesses are still struggling due to the coronavirus pandemic.   Unfortunately it has been 100+ days and House Dems are still holding $138B in unused #PPP funds hostage. It's time to put partisan politics aside and do what is best for our country. #LetsWork https://t.co/8ErkGALYVS,2020-11-20 15:03:00,Twitter Web App,63,175
It was great running into Former SC Governor David Beasley this morning. David serves as Executive Director of the World Food Programme which recently received the #NobelPeacePrize. I was grateful for the chance to congratulate him in person today. @WFPChief https://t.co/LO2RoS4XMA,2020-11-19 20:03:00,Twitter Web App,1,5
Thank you @SteveScalise for this delicious delivery in recognition of the House passing two bipartisan bills I authored HR 5408 and HR 4802. https://t.co/J8tHY4csF7,2020-11-19 17:05:03,Twitter for iPhone,16,67
I am thankful to serve another year on the #NDAA Conference Committee. I will continue to promote peace through strength and work to champion legislation that benefits SC.   I look forward to working with the entire conference committee to advance this bipartisan legislation.,2020-11-18 23:20:41,Twitter Web App,1,7
Passing a sanctions bill is one thing enforcement is another.   Better information=better enforcement.  Better enforcement=better results.   HR 4802 will further strengthen the integrity of US &amp; UN sanctions &amp; make it harder for these rogue regimes to skirt our sanctions laws.,2020-11-18 21:59:28,Twitter Web App,5,7
.@BASSAMVA's case highlighted that we needed to develop a mechanism that allows informants to come forward with actionable information about serious violations of US and UN sanctions by some of the world’s most nefarious regimes. This is exactly what HR 4802 will do.,2020-11-18 21:59:28,Twitter Web App,9,9
HR 4802 was inspired by @BASSAMVA a courageous Syrian patriot who worked at the Syrian embassy in DC and provided anti-regime activists with passports before his defection.,2020-11-18 21:59:28,Twitter Web App,8,10
HR 4802 is a crucial bill that will expand the State Department’s Rewards for Justice program to incentivize informants coming forward with intelligence about evasion of US and UN sanctions.,2020-11-18 21:59:27,Twitter Web App,3,5
HR 5408 holds Putin accountable for these crimes by requiring the State Dept to consider these violations of religious liberty in Ukraine during its annual review of religious freedom in Russia. This unanimous passage today sends a message to the Kremlin that the US is watching.,2020-11-18 21:59:27,Twitter Web App,2,3
Russia has presided over an unprecedented assault of religious freedom in Ukraine persecuting Christians Muslims and other religious groups. They have tortured arrested and kidnapped people just because of their religion.,2020-11-18 21:59:27,Twitter Web App,3,6
HR 5408 The Ukraine Religious Freedom Support Act will finally hold Russia accountable for its egregious violations of religious liberty in the areas of Ukraine it is illegally occupying.,2020-11-18 21:59:26,Twitter Web App,6,10
Grateful that the House passed TWO bipartisan bills I authored with my Democratic colleagues HR 5408 and HR 4802. (THREAD),2020-11-18 21:59:26,Twitter Web App,6,16
This morning I spoke on the House floor on #OperationWarpSpeed. Just this week Moderna announced COVID-19 vaccine success. I am grateful that we are closer to defeating this virus returning to our way of life and restoring our economy. https://t.co/afIGqUIn83,2020-11-17 20:32:24,Twitter Web App,2,8
While his statement on Obamacare for illegal aliens was in fact untrue I apologized that night for the interruption to White House Chief of Staff Rahm Emmanuel. The type of rhetoric President Obama only serves to divide our country not unite it. (2/2),2020-11-16 22:36:14,Twitter Web App,6,24
Sunday Former President Barack Obama interviewed with "CBS This Morning" where he acknowledged that he wanted to "smack" me during his joint address to Congress in 2009. Former President Obama should know better than to advocate for violence over a disagreement. (1/2),2020-11-16 22:36:13,Twitter Web App,8,26
This is great news! Thank you @realDonaldTrump for #OperationWarpSpeed which is bringing us closer to defeating the coronavirus every day. https://t.co/Xx19PKCBIn,2020-11-16 19:03:39,TweetDeck,103,393
November is #MilitaryFamilyAppreciation Month. I am so grateful for our military families and for the opportunity to represent them in Congress. https://t.co/Y5PeSnA2cR,2020-11-14 16:20:14,Twitter for iPhone,2,10
Millions of Americans are back at work and House Democrats still do not want to do their job. Voting by text is irresponsible not secure and unconstitutional. This should not be allowed in Congress. https://t.co/hG79Oprm5y,2020-11-13 16:38:53,Twitter Web App,664,1456
This week I joined my South Carolina Republican House colleagues to share upcoming efforts to address irregularities in federal elections that have occurred in select states across the country during the 2020 Presidential Election.   Read more ➡️   https://t.co/eTNxCc4QkT,2020-11-12 15:46:03,Twitter for iPhone,4,21
Pneumonia is the biggest infectious killer of children globally responsible for 800000 deaths annually. But it's easily prevented by a vaccine. This #WorldPneumoniaDay success depends on continued strong U.S. support for global immunization efforts. #ChildHealthWeek,2020-11-12 15:37:12,Twitter for iPhone,3,8
Today is #VeteranDay. I am so grateful for the men and women who sacrifice so much for our freedom. As a veteran a military father and Senior Member of the House Armed Service Committee I will continue fighting in Congress to promote efforts that help and protect our veterans https://t.co/UhvDld9CxZ,2020-11-11 14:32:00,Twitter Web App,3,17
Happy 245th Birthday to the United States Marine Corps! Thank you for your dedicated service. #marinecorpsbirthday https://t.co/cwc4GkdMO3,2020-11-10 21:46:00,Twitter Web App,2,13
Thank you to everyone who attended today's press conference. I was grateful for this opportunity to join my colleagues to answer your questions.  Our election system is integral to our way of life and it is important that irregularities be addressed. https://t.co/X6bLbqjrpK,2020-11-10 20:03:11,Twitter Web App,6,19
Today I will be joining my South Carolina Republican House colleagues for a press conference on upcoming efforts to address irregularities in federal elections. Watch live on Facebook here at 2 p.m. ➡️ https://t.co/XB2pG9RCQG,2020-11-10 16:30:57,Twitter Web App,89,248
Congratulations to Christopher C. Miller for being nominated as the Acting Secretary of Defense. I am grateful to @realDonaldTrump for choosing such a qualified defense leader. https://t.co/m1VPJDE3ns,2020-11-09 19:08:40,Twitter Web App,9,29
Today is the 31st anniversary of the fall of the Berlin Wall. This important day marks a turning point in world history.   I am so grateful for the opportunity to have worked for President Reagan the day he tore down that symbol of totalitarianism. https://t.co/xqnbJq0gz4,2020-11-09 17:50:54,Twitter Web App,5,30
The 2020 Presidential Election isn’t over until every legal ballot is counted. I have faith in our judicial system and look forward to seeing this election carried out in full.,2020-11-07 18:18:14,Twitter for iPhone,311,858
Free coronavirus testing in Barnwell November 9-13. Find more details below ➡️ https://t.co/WmXfvxOayF,2020-11-07 15:30:00,Twitter Web App,1,3
.@realDonaldTrump has shown that under his leadership we are on our way once again to having the best economy our country has ever seen. With 689K jobs added just last month and unemployment down to 6.9% it is clear that we are on the path to recovery. https://t.co/O8e3EoaUfN,2020-11-06 17:12:48,Twitter Web App,9,18
This week is #NationalVeteransSmallBusinessWeek. I am grateful for this opportunity to honor our Nation’s heroes.   @SBAgov is hosting a webinar today at 1 pm ET for veteran small business owners. Register here ➡️ https://t.co/as6Ej4salx,2020-11-05 17:39:27,Twitter Web App,1,3
I am always humbled and inspired by the people of South Carolina's Second District and am so grateful for the opportunity to represent you in Congress.,2020-11-04 16:24:34,Twitter Web App,10,107
From over 30 years in the military to Rotary to the State Senate and now in Congress I am wholly committed to the people of SC. I have fought for jobs our military and veterans and families during my time in Congress and am so grateful to serve.  https://t.co/Bc4xHsZSZS,2020-11-03 16:09:21,TweetDeck,1,24
The office of South Carolina's Second District is here for you. #SC02 residents can contact me for assistance in dealing with federal agencies find more information on my website ➡️ https://t.co/5b9ETa76Jr,2020-11-02 21:36:00,TweetDeck,0,9
Thank you to Edie Smith and Maggie McCloud two Gold Star Wives who worked tirelessly to #AxeWidowsTax and to all Gold Star Spouses affected by this harmful offset for their support.  I am so grateful that last year's NDAA included my legislation to finally #AXEWidowsTax. https://t.co/YktZgmcGJb,2020-11-02 18:31:00,TweetDeck,2,15
Grateful to cosponsor the Commitment to American Security Act. As part of the Republican #CommitmentToAmerica this bill works to keep our country and families safe. https://t.co/MyhYANG9Ij,2020-11-02 16:02:52,TweetDeck,1,6
I am so grateful to MOAA for this honor and for the opportunity to fight for our military families in Congress. @aikenstandard @MilitaryOfficer https://t.co/cBDx8YnFWR,2020-10-31 14:54:15,Twitter for iPhone,7,10
#LoujainAlHathloul is on hunger strike demanding that she be allowed weekly visits and phone calls with her family while imprisoned in Saudi Arabia. I strongly urge Saudi officials to permit her to have weekly contact with her family while detained awaiting her next trial date.,2020-10-30 17:00:02,Twitter Web App,5,7
I have devoted my life to serving and representing the great people of South Carolina and am humbled and inspired by them every day. Read about my work in Congress for #SC02 and the successes we've seen over the years ➡️ https://t.co/hfWDTbIeHc,2020-10-30 14:31:00,Twitter Web App,2,22
This is the #GreatAmericanComeback. Under @realDonaldTrump our economy was the best it's ever been and he will get it to that point once again. https://t.co/tU6T7ktjjW,2020-10-29 14:42:56,Twitter Web App,7,9
Congrats to Lauren Svensen a local family nurse practitioner for opening Spirit Primary Care in Irmo. I was grateful to join her and the rest of the Spirit Primary Care family for this morning's ribbon cutting.   I wish you all the very best in this exciting new chapter! https://t.co/BrxR33gWn6,2020-10-28 17:48:00,Twitter Web App,1,7
Yesterday MOAA awarded me the Marix Award for my work in Congress for our military families.    I am so grateful for our nation's military and will continue working in Congress for our men and women in uniform.  @MilitaryOfficer https://t.co/xXSlhI0sD0,2020-10-28 14:53:15,Twitter Web App,2,15
Yesterday I visited Project Victory Gardens in Aiken. Project Victory Gardens is an agritherapy program designed to cultivate resiliency among our veterans.  I am thankful for the work they are doing to help our veterans and enjoyed learning more about this innovative project. https://t.co/jgGmKLhehJ,2020-10-27 18:01:00,Twitter Web App,3,10
Grateful to be named a Guardian of Small Business which is awarded to members of Congress who vote with small business on related legislation.   Small businesses are the backbone of our economy and I am grateful to work for small businesses in South Carolina. #smallbizguardian https://t.co/zJ5F6uMHc0,2020-10-27 14:43:46,Twitter Web App,2,7
Tonight the Senate confirmed Judge Amy Coney Barrett as the newest U.S. Supreme Court Justice. I commend @realDonaldTrump for nominating such a qualified and experienced judge for this important role. https://t.co/9RTUm0u8ee,2020-10-27 01:14:52,Twitter for iPhone,2,30
Today is National Day of the Deployed a day for all Americans to especially recognize those who are currently serving or have served our country. https://t.co/XUNTrcH5LV,2020-10-26 17:08:35,Twitter for iPhone,2,6
Tonight the Senate is expected to confirm Judge Amy Coney Barrett as the newest United States Justice. #FilltheSeat https://t.co/zA62Lu0e6s,2020-10-26 14:30:05,Twitter Web App,53,258
Just weeks after the historic agreement b/w Israel the UAE &amp; Bahrain @realDonaldTrump has brokered another peace agreement. The State of Israel and the Republic of Sudan have agreed to peace &amp; I am grateful for this important step toward peace in the Middle East.,2020-10-23 19:00:06,TweetDeck,31,93
I am thankful to @realDonaldTrump for launching #OperationWarpSpeed to develop a vaccine faster than in the history of any virus to keep our families healthy and safe.  https://t.co/jrLPwN2izI,2020-10-23 15:19:06,Twitter Web App,7,16
There is a reason that Abbas Ibrahim is the only person mentioned in legislation I introduced The Hezbollah Money Laundering Prevention Act. Read more from @joshrogin ➡️ https://t.co/TOzDgXZKYR,2020-10-21 22:09:13,Twitter Web App,22,24
I was inspired by the students today while visiting Midlands Middle College. With a unique partnership through Midlands Technical College these students are able to enroll in dual credit courses and engage in programs that lead to college and career readiness. https://t.co/jzOoiEmktt,2020-10-21 16:51:49,Twitter Web App,0,6
Today is #NationalSupportYourLocalChamberofCommerceDay. I am thankful for all of the Chambers of Commerce in #SC02 and everything they do for our local businesses and community! #chamberstrong,2020-10-21 14:46:00,Twitter Web App,2,6
Enough is enough. House Democrats have continuously prevented commonsense legislation that would help American families and small businesses opting to put partisan politics before the best interest of our country. The American people deserve better. https://t.co/ZVWSzyoAmY,2020-10-20 14:15:00,Twitter Web App,101,156
Today is the last day to submit your app in the Congressional App Challenge! I look forward to seeing what the talented high school and middle school students of #SC02 have come up with this year. Find more information and enter here ➡️ https://t.co/6rSaDx8aGE,2020-10-19 16:52:58,Twitter Web App,2,2
Grateful to be with Colonel Jason Kelly Colonel Daniel Hibner @RepRickAllen Representative Bill Hixon Mayor Bob Pettit &amp; Mayor Hardie Davis at the New Savannah Bluff Lock and Dam this morning. https://t.co/FPTOGx8BV7,2020-10-16 18:59:19,Twitter Web App,1,6
This month marks the 70th anniversary of the SRS. The site has accomplished a remarkable amount of essential national defense missions to safeguard our nation and looking ahead the future continues to look bright. Read my piece in @aikenstandard ➡️ https://t.co/Q5j09Fg4eq,2020-10-16 14:33:42,Twitter Web App,4,16
Thank you to @scdhec for hosting today's meeting with @CDCgov Director Dr. Redfield in Columbia. Grateful to be a part of this discussion with our national and state leaders and to discuss the current and future impacts of COVID-19 on the public health of our communities. https://t.co/kdPfV10ih1,2020-10-15 20:35:52,Twitter Web App,3,10
Yesterday afternoon I spoke with Boy Scout Troop 115 in Aiken. It was great to have the opportunity to help this troop earn their Merit Badges by discussing with them what it means to be a good American citizen. 🇺🇸 https://t.co/7agmbSKrY7,2020-10-14 14:26:06,Twitter Web App,1,4
Happy 245th birthday to the @USNavy thank you for your service! #NavyBirthday #Navy245 https://t.co/CYAy9jfy56,2020-10-13 17:03:00,Twitter Web App,4,13
Less than one week to enter your app in the Congressional App Challenge! Find more information and apply here ➡️ https://t.co/6rSaDx8aGE,2020-10-13 14:52:27,Twitter Web App,1,2
Grateful to introduce the Parris Island Protection Act that ensures that Parris Island will not be closed by barring the use of federal funds to close or realign the base. #ProtectParrisIsland   Read more from @WashTimes ➡️ https://t.co/2DH1sQ7T4u,2020-10-12 15:58:26,Twitter for iPhone,5,4
I would like to commend Former SC Governor David Beasley for his organization the World Food Programme being awarded the #NobelPeacePrize. I am inspired by all of David’s humanitarian efforts congratulations to him and his program for this historic honor.,2020-10-09 19:15:00,TweetDeck,3,13
