No no there would not. https://t.co/ame5QOdKlz,2020-11-28 22:37:54,Twitter for iPhone,1,14
It’s all you Brother. https://t.co/SBNyuGIPj1,2020-11-28 22:35:45,Twitter for iPhone,2,25
Welcome back. https://t.co/fW3AaUMdqT,2020-11-28 19:57:14,Twitter for iPhone,5,85
My boy “Turkey” has a book out on Amazon. https://t.co/GrsNKVnuel,2020-11-28 17:11:04,Twitter for iPhone,3,18
I just did. https://t.co/PTOGP9Ep1L,2020-11-28 15:07:12,Twitter for iPhone,2,7
Somewhere a journalism professor is weeping. https://t.co/QfLiPItPgz,2020-11-28 13:21:31,Twitter for iPhone,59,271
Good memories Cub good memories. https://t.co/TnwFMZs1jF,2020-11-28 04:21:17,Twitter for iPhone,2,7
Are these native to East Tennessee or should I call someone? https://t.co/uBs4qW85S3,2020-11-28 00:26:36,Twitter for iPhone,18,462
Yes yes it is. https://t.co/m1yeu5VRUv,2020-11-27 23:50:08,Twitter for iPhone,2,8
So I’m treating my family to a traditional Italian meal at @SUBWAY and all they wanna know is about Big Sexy @radiomanmic nothing about me or my legislation.,2020-11-27 23:01:40,Twitter for iPhone,2,34
Excellent point. https://t.co/oXHI5rWJ9K,2020-11-27 21:35:00,Twitter for iPhone,1,6
Boom! https://t.co/BuSZcEsGDs,2020-11-27 21:01:46,Twitter for iPhone,6,35
Well now that you mention it Amy I passed the original film incentive legislation in Tennessee when I was in the State Senate. https://t.co/sYk1cA6C0Q,2020-11-27 19:53:06,Twitter for iPhone,2,59
Tell them the dial is full of other stations. Your a good dude Brandon. https://t.co/38ZHapbjbe,2020-11-27 19:49:51,Twitter for iPhone,3,28
I didn’t save it. It was a random insult of me that I thought was funny. https://t.co/mtNefhFd9K,2020-11-27 16:04:14,Twitter for iPhone,2,5
It’s interesting that Republican legislators put tax incentives in place for Hollywood to come to Georgia. Now the Democrat stars want to turn Georgia into being more like Hollywood. https://t.co/9iM9xikNq7,2020-11-27 15:38:03,Twitter for iPhone,10,86
We are so proud of you Billy and Bekah. https://t.co/p89uOv9wnO,2020-11-27 15:24:45,Twitter for iPhone,1,11
Thank you sir. I hope you had and are having a great one. https://t.co/A6mSpPGTEF,2020-11-26 23:58:14,Twitter for iPhone,3,7
You should start a pizza restaurant. https://t.co/vDV2QtyYdG,2020-11-26 23:22:38,Twitter for iPhone,2,8
I would. https://t.co/60YZmrIr1i,2020-11-26 22:58:46,Twitter for iPhone,3,28
I know he never ceases to disappoint me. https://t.co/3F7XTeoF6y,2020-11-25 20:51:53,Twitter for iPhone,1,6
You were there in the seat beside me. https://t.co/vqWn9AzSwU,2020-11-25 17:35:52,Twitter for iPhone,1,20
I stand to differ with my colleague from Texas. Obviously you never had my sweet Mommas cranberry sauce and your ignorance is forgiven. https://t.co/0PN7TzkJHv,2020-11-25 13:57:23,Twitter for iPhone,1,23
Ribs are always good. https://t.co/cGPnLbHeWs,2020-11-25 13:53:01,Twitter for iPhone,2,12
Congratulations. https://t.co/zlMSN63Uvm,2020-11-25 13:11:09,Twitter for iPhone,2,15
I’m pretty sure @SecretService would frown upon that. https://t.co/bznF8xYZRh,2020-11-25 03:04:02,Twitter for iPhone,3,17
Prayer Upbringing Intuition https://t.co/twydaJISyr,2020-11-24 22:00:32,Twitter for iPhone,8,116
It’s all agenda driven. If I watch any it’s local news. https://t.co/59pYydxbHA,2020-11-24 21:11:50,Twitter for iPhone,1,34
I don’t watch any of it. https://t.co/c61GFp4uAP,2020-11-24 20:40:39,Twitter for iPhone,8,205
You make another one. https://t.co/76lsE2A42H,2020-11-24 20:38:27,Twitter for iPhone,2,7
No one. https://t.co/UX7C7aVCiF,2020-11-24 16:48:03,Twitter for iPhone,1,59
I wouldn’t even try. https://t.co/MZKKqKl7o8,2020-11-24 14:41:21,Twitter for iPhone,3,4
I think this captures the mood around the Burchett house. https://t.co/Bs3UXUtMx1,2020-11-24 14:38:45,Twitter for iPhone,3,44
Timely words from my friend. https://t.co/Vq5sr9Erfp,2020-11-24 14:27:40,Twitter for iPhone,3,15
Yes and I love it. https://t.co/Q5FYj70TAQ,2020-11-24 13:32:33,Twitter for iPhone,3,11
Mine told me not to tell Mom when I fell out of the suicide door of a @fiat when we were about to get on the interstate. https://t.co/uZhfmOS7vq,2020-11-24 01:09:49,Twitter for iPhone,1,18
When you have to replace your windshield wiper switch it’s a whole lot easier when you have the boss helping you. https://t.co/B2QACCRBuj,2020-11-24 00:47:10,Twitter for iPhone,4,212
But that Ethiopian Prince seems legit. https://t.co/bRd8Hgr1Ww,2020-11-23 18:36:09,Twitter for iPhone,1,17
Yeah I knowhe is an idiot. https://t.co/eGi3npCe9p,2020-11-23 18:34:53,Twitter for iPhone,2,28
Thank you for including me Brother. https://t.co/8PN2Nwtm9W,2020-11-23 18:33:28,Twitter for iPhone,2,43
She should contact the Georgia Sec. of State immediately. https://t.co/Q0MTpNhx6q,2020-11-23 16:09:34,Twitter for iPhone,46,188
I think if the economy fails and the dollar is worthless we will trade with toilet paper. https://t.co/BKrEueMpIe,2020-11-22 16:22:47,Twitter for iPhone,6,120
Thank you Tom. https://t.co/3Dmu7K2CF8,2020-11-22 15:22:05,Twitter for iPhone,1,30
You can’t wear a top coat. Unless of course you are a senior member or in leadership. https://t.co/uunsO3BWau,2020-11-22 00:03:15,Twitter for iPhone,1,12
Me too. https://t.co/mtxHJoeBqA,2020-11-22 00:01:45,Twitter for iPhone,1,9
He’s crafty like that. https://t.co/XxZzWTGrHp,2020-11-21 19:02:57,Twitter for iPhone,1,69
