Today is #SmallBusinessSaturday Small businesses need our support now more than ever. Don’t forget to shop at a local business this holiday season! https://t.co/VMaXQeARjO,2020-11-28 18:42:22,Twitter for iPhone,4,12
Thanksgiving may look a little different this year but blessings like these – family freedom and more – will remain from year to year and for that we can be thankful. #HappyThanksgiving! 🦃 https://t.co/l7FELLjljz,2020-11-26 14:18:30,Twitter for iPhone,1,21
#DYK? The National Thanksgiving Turkey Pardoning Ceremony has been a tradition since 1989 when George H.W. Bush officially granted the turkey a Presidential pardon. Have you met this year’s candidates? ⬇️ https://t.co/6kgytvYQNA,2020-11-24 16:35:43,Twitter for iPhone,2,5
Great news: Vaccines are expected to be distributed in #Texas as early as next month! They will go to healthcare workers front line workers &amp; vulnerable populations first which will help slow the spread overall.   Read more: https://t.co/f2cZOQO3Cx,2020-11-24 15:27:28,Twitter Web App,7,20
Celebrating the passage of my two bills the Plastics Act (HR 4636) and the Support of the American Values &amp; Security in Int’l Athletics Act (HR 8405). Thanks @SteveScalise for the cookie cake! https://t.co/K77VqO0oWi,2020-11-19 21:31:03,Twitter for iPhone,2,25
I am honored to serve as an #NDAA Conferee again. My priority is to ensure the men &amp; women who risk their lives to defend our country have the tools they need to confront the challenges they face around the world—including the growing threat of the #CCP. https://t.co/uGNlwFBRfq,2020-11-19 14:18:57,Twitter Web App,477,466
Great running into @SecAzar! Thank you for your unwavering dedication to protect Americans during COVID-19 including overseeing #OperationWarpSpeed to quickly develop and approve a safe and effective vaccine! https://t.co/EEUzE4lKSG,2020-11-18 13:46:39,Twitter for iPhone,3,10
Our homeland has become more secure thanks to an American-Japanese tech partnership. This test marks the first time a ship-launched missile has been able to intercept a target ICBM. I look forward to seeing more great innovation that protects our nation &amp; allies in coming years! https://t.co/jfS9a1aROm,2020-11-17 20:43:09,Twitter Web App,1,9
Great news!! https://t.co/exvoIdQSAa,2020-11-16 15:54:26,Twitter for iPhone,37,134
I was sad to learn that one of Texas’ own was killed in this tragic accident. Captain Seth Vandekamp was from Katy TX and his family still lives there today. I want the Vandekamps to know the Katy community is with you during this difficult time. https://t.co/xoBGXXMW6f,2020-11-15 21:12:30,Twitter Web App,37,161
https://t.co/4CHQVjwNHO,2020-11-13 14:41:21,Twitter Web App,3,18
https://t.co/5LdVrZ4aJC,2020-11-12 22:22:31,Twitter Web App,5,21
On this day I often mention my own father who served as a bombardier on a B-17 and participated in the air campaign on D-Day. His service is what inspired me to work for my country as a U.S. Representative. #VeteransDay,2020-11-11 13:27:18,Twitter Web App,2,17
Happy Veterans Day to all who have served in our military! We can never thank you enough for your service to protect our nation and promote freedom around the world. https://t.co/gcAzgXwIr5,2020-11-11 13:27:18,Twitter Web App,5,29
Happy birthday to the U.S. Marine Corps! Thank you to all those #Marines who have served and continue to bravely serve our nation! https://t.co/JsymIdYxA9,2020-11-10 15:22:06,Twitter Web App,8,34
