“Our veterans have never been indifferent.  They volunteered rolled up their sleeves and helped make a better world.  We have all been the beneficiaries.  Let’s do more than thank and honor them this year.  Let’s all try to be more like them."   https://t.co/4JpcajgdIP https://t.co/UeCcT5SomA,2020-11-11 15:37:56,Twitter for iPhone,1,5
Supporting our democratic institutions and process is more important than any party person or interests.,2020-11-07 19:29:33,Twitter for iPhone,7,45
While the courts work their way through legal challenges this is a time for each American to put the best interests of the nation first.  This country is closely divided and we have to find a way to come together.,2020-11-07 19:29:30,Twitter for iPhone,28,204
Placing politics over substance guarantees lasting damage to our military and our country as a whole.  We need to pass bipartisan legislation that moves the country forward. https://t.co/hkIVCyQGar.,2020-07-31 17:06:20,Twitter Web App,1,5
Our national security and military are not bargaining chips.  Speaker Pelosi and House Democrats have once again pushed partisan legislation adding unrelated provisions and using political games to prevent necessary funds from reaching our servicemembers and their families.,2020-07-31 17:06:20,Twitter Web App,62,140
Congress owes that support to the brave men and women who risk their lives to protect our nation.  Even in today’s partisan times I hope we will continue to stand together to support national security and our servicemembers. https://t.co/wuhek7N3G0,2020-07-21 18:31:17,Twitter Web App,0,5
When it comes to National Defense there are no Republicans or Democrats there are only Americans.  Whether you are a soldier on a hill in Afghanistan or on a ship out in the middle of the Pacific you need to know that the whole country is behind you.,2020-07-21 18:31:16,Twitter Web App,4,11
It has been and continues to be my great privilege to work for the 13th District for members of our military and their families and for our country. https://t.co/blkQsgqrRp,2020-07-02 12:56:23,Twitter Web App,5,9
I am very grateful to serve on the House Armed Services Committee and I know that it has only been possible because the people of the 13th Congressional District of Texas elected me to be their voice in Washington.,2020-07-02 12:56:22,Twitter Web App,7,34
Thank you to all the reporters who have stuck with us through long markups year after year.  We are in the home stretch and the RipIts are available in the hearing room!,2020-07-02 00:06:52,Twitter Web App,9,55
The Markup of NDAA for FY21 is underway. Follow along here: https://t.co/DAOp7qNKFp,2020-07-01 13:59:32,Twitter Web App,3,5
Note: The appearance of U.S. Department of Defense (DoD) visual information does not imply or constitute DoD endorsement.,2020-06-29 14:38:52,Twitter Web App,1,3
NDAA is one of the only examples of traditional legislating that still occurs today  going all the way through subcommittee committee and the House and Senate floor.  The 60th consecutive NDAA remains necessary in “providing for the common defense.” https://t.co/6McmuemK8y,2020-06-29 14:38:52,Twitter Web App,2,5
Every single year since 1961 Congress and Presidents of both parties have worked together to enact a National Defense Authorization Act (NDAA) that provides authorization for everything related to the military.  The,2020-06-29 14:38:51,Twitter Web App,3,6
And thank you for your thoughtful heartfelt video about race in the military and in the country.  Every American should watch it.,2020-06-10 12:51:59,Twitter for iPhone,3,7
Congratulations to General Charles Q. Brown Jr. a distinguished Texas Tech graduate who was confirmed by the Senate yesterday as the new Chief of Staff of the Air Force by a vote of 98 to 0.,2020-06-10 12:51:59,Twitter for iPhone,4,11
Each of us has the right of free expression under the First Amendment but there is no excuse for burning looting or destroying property.  The country is facing some very difficult challenges right now. At every level we can do better and we can be better.,2020-06-01 18:15:16,Twitter for iPhone,1,3
The death of George Floyd in Minneapolis was a crime and should not have happened.  I am grateful to all of those who ensured that the demonstrations in our area have remained peaceful.,2020-06-01 18:15:16,Twitter for iPhone,4,6
Listen to my floor speech in honor of the former Texas member the Honorable Sam Johnson. https://t.co/rkOa6G1sOM,2020-05-28 23:16:55,Twitter for iPhone,4,5
Sam Johnson was a true American hero and it was a privilege for me to serve with him in Congress for more than 20 years. https://t.co/uqgWNLVuhH,2020-05-28 00:35:20,Twitter for iPhone,3,8
Read my statement on the China Strategy Report recently released by the White House. https://t.co/4lEbwWiPAS,2020-05-21 19:03:05,Twitter for iPhone,3,4
"It is politics not substance and the country needs substance to control this virus and to get the country open again." https://t.co/GLnpUAKwUd,2020-05-16 01:43:47,Twitter for iPhone,3,3
Watch my floor speech on partisan COVID-19 legislation. https://t.co/KW64wro1ld,2020-05-15 19:32:32,Twitter for iPhone,3,5
Read my column on “COVID-19 and the Defense Industrial Base.”  https://t.co/XfQHEKrH37,2020-05-13 13:45:40,Twitter for iPhone,2,2
Read my statement on the CDC being sent to the panhandle. https://t.co/V7X11H5grv,2020-05-04 19:04:32,Twitter for iPhone,2,3
Recently Governor Abbott announced that the stay-at-home order for Texans will end Thursday. Below is some helpful guidance on the Governor’s plan below to ensure that we continue to be #TexansHelpingTexans. https://t.co/D739vkFvl9,2020-04-28 14:36:58,Twitter for iPhone,3,3
Read my statement after the House passed H.R 266 the “Paycheck Protection Program and Heath Care Enhancement Act.” https://t.co/uWRE9kVg82,2020-04-23 22:28:20,Twitter for iPhone,2,1
Instead they are holding it hostage for other spending.  If ever there were a time to agree wherever we can and leave differences for later it is now.,2020-04-21 00:11:21,Twitter for iPhone,3,7
The Paycheck Protection Program (PPP) so vital to saving small businesses and keeping their employees on the payroll  has run out of money.  Democratic leaders in Congress just need to say “yes” in order to keep the program working.,2020-04-21 00:11:20,Twitter for iPhone,4,8
Watch my video supporting the third Coronavirus (COVID-19) relief package.   https://t.co/70QlkaRBw2,2020-03-27 20:00:34,Twitter for iPhone,4,3
Read my statement on the status of negotiations for the third Coronavirus (COVID-19) economic relief package.  https://t.co/tBjxVMnWHV,2020-03-23 19:47:17,Twitter Web App,6,6
Today Treasury Secretary Steven Mnuchin announced that the IRS will move the tax filing deadline to July 15th this year providing important relief to taxpayers. Congress is also continuing to work on a bill to further assist taxpayers and the economy.,2020-03-20 19:15:53,Twitter for iPhone,2,3
I appreciate the President acting quickly to sign this bill into law. It will help workers and businesses as well as remove financial obstacles to testing. It is also important to see that children and other vulnerable populations are able to get meals. https://t.co/KyzU8XpxA3,2020-03-19 18:07:50,Twitter for iPhone,2,3
Yesterday President Trump released new guidance on the Coronavirus (COVID-19).  It is important that we continue to do our part to slow the spread by practicing social distancing.  I have included the President’s guidance on Coronavirus below. https://t.co/mCKXsbH0Xn,2020-03-17 15:44:19,Twitter for iPhone,1,5
Congratulations to the Gruver girls basketball team for their win at the 2-A state championships last week!,2020-03-16 15:40:42,Twitter for iPhone,2,3
Listen to my thoughts on the Coronavirus (COVID-19) outbreak.  https://t.co/r2gGTIHNxi,2020-03-13 21:21:15,Twitter Web App,0,0
The U.S. economy continued its trend of strong job growth. Employers added 273000 new jobs during the month of February while the unemployment rate was 3.5% matching its lowest level in more than 50 years.  https://t.co/xgGZGSEKj8,2020-03-06 15:58:01,Twitter Web App,3,4
Happy Texas Independence Day! https://t.co/7qFb4AlvCK,2020-03-02 14:35:23,Twitter for iPhone,6,11
Congratulations to Mr. J. Rod McCutcheon of Lake Kiowa Texas for receiving the @NSCsafety  2020 Robert F. Borkenstein Award. Thanks for your continued leadership in alcohol and drug-related traffic safety and important contributions to making the roads of Texas a safer place.,2020-02-19 15:07:39,Twitter Web App,3,3
Watch me break down the budget.  https://t.co/lVCAoOdtkq,2020-02-12 18:41:00,Twitter Web App,2,1
Those who make our freedom and way of life possible certainly deserve to have a say in choosing our government. I am proud to be an original cosponsor of the Counting All Military Votes Act with @RodneyDavis and @HouseAdmnGOP.  https://t.co/W1otJNIbOw,2020-02-11 15:37:01,Twitter Web App,6,9
This helpful graph displays defense spending as a percent of gross domestic product. https://t.co/hwrT3yZiZq,2020-02-10 14:53:48,Twitter Web App,7,10
Starting the new decade with a strong U.S. jobs report.   Employers added 225000 jobs to the economy in January with the average hourly earnings rising to 3.1%. https://t.co/qIEn5A5rg0,2020-02-07 16:25:21,Twitter Web App,2,1
Read my statement after the Senate voted 48-52 on article I and 47-53 on article II to acquit the President on both counts of impeachment. https://t.co/1Ie0DfljuP,2020-02-05 21:56:17,Twitter Web App,5,6
Watch my video below as I discuss the history of the State of the Union and the 2020 address.https://t.co/u9zbZBsvhz,2020-02-04 23:23:11,Twitter for iPhone,4,3
Congratulations to HASC team member Pete Villano for being the recipient of a Federal 100 Award! https://t.co/2Qlx2qe9Rb,2020-02-04 20:48:44,Twitter Web App,5,3
Watch my interview ahead of the 2020 State of the Union.   https://t.co/1xIrYDeRjC,2020-02-04 17:41:46,Twitter Web App,3,6
