Our local West Texas small businesses need us now more than ever. This weekend is a great opportunity to support those who depend on the retail and service industry. #SmallBusinessSaturday https://t.co/ovV8UP0lA8,2020-11-28 18:38:56,Twitter for iPhone,2,5
Lifting up @ChuckGrassley a fellow champion of agriculture in prayer for a full and speedy recovery.,2020-11-18 03:29:37,Twitter for iPhone,7,18
From the @WSJopinion editorial:   “The socialist charge worked because in its policy essence it was true. @HouseDemocrats turned sharply leftward in the last two years as they indulged progressive priorities across the policy spectrum.”,2020-11-16 16:28:54,Twitter for iPhone,0,0
America rejected socialism and the expansion of government control that comes with it. https://t.co/Ssvab80rKx,2020-11-16 16:28:53,Twitter for iPhone,1,1
Thank you and may God bless all those who have served our country.  #VeteransDay2020 https://t.co/yyPwqsbCjx,2020-11-11 15:34:42,Twitter for iPhone,2,12
Texas backs Trump! https://t.co/exGTtiXGz7 https://t.co/y1B2j9g2dc,2020-11-04 05:02:00,Twitter for iPhone,2,15
Regardless of the final outcome of the Presidential election my commitment to you remains the same: I will fight for West Texas and our conservative values to reign in the federal government and to restore freedom and power back to We the People where it belongs.,2020-11-04 02:49:29,Twitter for iPhone,3,14
and fight the radical left and their socialist policies that threaten West Texas our traditional American values and way of life.,2020-11-04 02:49:29,Twitter for iPhone,2,8
unleash the full potential of American enterprise through lower taxes and less regulation; champion policies that support agricultural energy and rural America;,2020-11-04 02:49:28,Twitter for iPhone,0,2
As I return to Washington I will continue to deliver the following results: strengthen our nation’s military secure the border and keep our promises to our veterans; negotiate better and fairer trade deals for our farmers manufacturers and American workers;,2020-11-04 02:49:28,Twitter for iPhone,1,3
It is a privilege I am passionate about and take very seriously; and on behalf of my family and from the very bottom of our hearts we thank you.,2020-11-04 02:49:28,Twitter for iPhone,1,4
I am immensely honored and grateful that so many of my fellow West Texans have once again placed their confidence in me to serve and represent them in our nation’s capital. https://t.co/S1bQ2zoMnw,2020-11-04 02:49:27,Twitter for iPhone,5,60
There’s still time to #GOTV Texas!  If you missed my interview with Wade Wilkes on @am580radio this morning you can listen here.  https://t.co/dxah75srMI https://t.co/pgm36lv5Ja,2020-11-03 23:12:51,Twitter for iPhone,0,2
Do Democrat policies really help the poor and working families?   My final answer on energy. https://t.co/ES0ok1lpWB,2020-11-03 21:40:29,Twitter for iPhone,0,1
Playing for the name on the front of the jersey! #AmericaFirst Vote Republican and continue returning power and freedom back to We the People! https://t.co/gnpRxMysyt https://t.co/TlN2hE3KYB,2020-11-03 19:21:10,Twitter for iPhone,2,6
No matter what happens God is in control.   If you haven’t already get out to the polls today and #vote for Republicans up and down the ballot to #KAG.  Find your polling place here: https://t.co/he1LfWdJnn https://t.co/gEQh4qClVW,2020-11-03 18:10:02,Twitter for iPhone,3,4
Do Democrat policies really help the poor and working families?   Watch my answer on healthcare. https://t.co/QJOk8ZCC0S,2020-11-02 21:09:16,Twitter for iPhone,0,3
