Small business and free enterprise are keys to American exceptionalism. In the face of government shutdowns and economic turmoil they need our support now more than ever.   This #SmallBusinessSaturday let’s support our WTX communities and #ShopLocal. https://t.co/TuGkOtXssk,2020-11-28 18:09:36,Twitter for iPhone,39,131
I am thankful for that perspective and I’m thankful for the many blessings in my life that flow from my Heavenly Father who loves me unconditionally is sovereign in the affairs of man and has a great purpose for each of his children.  My thoughts on this Thanksgiving: https://t.co/KGKD3xKdOj,2020-11-26 16:23:20,Twitter for iPhone,7,29
I love our country and respect the Presidency and will do what I can to work with whomever occupies the Oval Office regardless of the outcome.    God Bless America Go West Texas!  (5/5),2020-11-21 16:47:50,Twitter for iPhone,0,21
To speak to the outcome as if it’s definitive at this point would be premature unwise and only fuel more doubt among many Americans.    (4/5),2020-11-21 16:47:49,Twitter for iPhone,0,14
It’s now in the hands of our judicial branch to decide if there is sufficient evidence regarding claims of systemic fraud and error.    It will be resolved soon enough but we must get it right in order for our country to move forward.   (3/5),2020-11-21 16:47:49,Twitter for iPhone,0,10
In a constitutional republic rule of law - not the media not politicians nor anyone else with an opinion - is what matters in a contested election.    Thank God we have a system where any American who has claims of being wronged can seek remedy in a court of law.   (2/5),2020-11-21 16:47:49,Twitter for iPhone,0,10
Jody  First of all cool name.    There is recent precedent (Bush v Gore) for resolving election disputes before certifying votes and declaring the winner.   (1/5) https://t.co/cgSyZoZwPd,2020-11-21 16:47:49,Twitter for iPhone,3,26
As a co-chair of the Rural &amp; Underserved Task Force I'll continue to champion policies that increase access to emerging tele-health tech reduce costs to both patients &amp; taxpayers &amp; strengthen the health &amp; well-being of families living in America’s breadbasket &amp; energy basin.,2020-11-19 18:03:31,Twitter Web App,0,3
Today I'm proud to recognize National Rural Health Day with a heightened sense of energy and appreciation.  Ultimately rural health is American health.  Our nation’s ability to maintain a safe affordable &amp; abundant supply of food and energy relies on a healthy rural America.,2020-11-19 18:03:31,Twitter Web App,0,3
Over the last eight months Americans everywhere including those living in rural communities have a renewed appreciation for their healthcare providers and the importance of access to critical care. https://t.co/J0nCXW1z3d,2020-11-19 18:03:30,Twitter Web App,4,9
Dr. Varma’s experience in medical education combined with his years of public service will make him a valuable member of the @HRSAgov's Council on Graduate Medical Education.  Read more here: https://t.co/F7HoXvaXVP,2020-11-17 20:42:53,Twitter Web App,1,4
Hispanics rejected the radical policies of the left.   They don't want open borders they want safe neighborhoods &amp; economic opportunity.  There's no people in the US with a stronger work ethic faith &amp; family orientation than Hispanics.  https://t.co/GVOhcJTAX4,2020-11-17 19:44:01,Twitter Web App,1,8
No @POTUS has done more to enforce immigration laws and stop illegal border crossings than @realDonaldTrump.  The people of this great country ought to expect that we will protect our sovereignty and put the safety of American citizens first.  Watch my interview with @newsmax: https://t.co/z5y4kLD9In,2020-11-17 18:10:30,Twitter for iPhone,8,16
TUNE IN - At 12:10 ET/11:10 CT I'll be joining @newsmax with @JohnFBachman to discuss the importance of having a secure border and more.  Watch here: https://t.co/QmD2ojsqSN https://t.co/vak5GYw8SW,2020-11-17 16:36:30,Twitter for iPhone,1,5
Today marks the beginning of #NationalRuralHealthWeek.   America’s energy independence and food security depend on our producers having reliable access to healthcare in our nation’s breadbasket and energy basin. https://t.co/UaOr8tphIh,2020-11-16 23:22:28,Twitter for iPhone,4,12
(Perspective: it took five years to develop a vaccine for H1N1).,2020-11-16 13:36:53,Twitter for iPhone,4,17
GREAT NEWS!   @realDonaldTrump admin’s public-private partnership is paying off.  “Operation Warp Speed” delivers vaccine w/ 95% effectiveness in preventing COVID19... &amp; doesn’t need super cold storage.  Bio-Tech company Moderna says 20 mil doses on the way by end of the year. https://t.co/Fkk4906QSh,2020-11-16 13:36:53,Twitter for iPhone,5,27
Senator Manchin I believe you. But the Democrat Party has abandoned West Virginia values and working families in the Mountain State.   I want to formally invite you to be a common sense conservative member of the Republican Party. https://t.co/2kejgdPCwd,2020-11-12 21:17:13,Twitter for iPhone,21,96
The ‘experts’ advocating these policies need to maintain six feet from anyone who makes important decisions.    (2/2),2020-11-12 19:08:19,Twitter for iPhone,8,31
If we shutdown our entire economy in the name of managing the spread we will unleash economic and public health hell on our citizens.    More of our fellow Americans will die from suicide overdose and deferred treatment than Covid related symptoms. (1/2) https://t.co/2CPi1qyCdc,2020-11-12 19:03:38,Twitter for iPhone,41,70
This is a harbinger of what’s to come: more federal mandates from folks who will keep their jobs regardless of what happens to yours. (2/2) https://t.co/tuA8sELRHr,2020-11-12 02:25:01,Twitter for iPhone,16,38
Biden’s COVID advisor recommends a shutdown of our entire country.   That’s the most disconnected and absurd idea I’ve heard since the Democrat Leadership opposed travel restrictions from China. (1/2) https://t.co/tuA8sELRHr,2020-11-12 02:24:09,Twitter for iPhone,10,31
Our way of life comes at a price &amp; we take today to pay tribute to living memorials the very best of our nation’s values our veterans.  They are people of immense character &amp; courage who have made this experiment in liberty &amp; democracy persist for almost two &amp; a half centuries. https://t.co/sGXkcrlEgV,2020-11-11 14:02:31,Twitter Web App,0,17
One of our country’s greatest treasures is our veterans.   The monuments we have erected in Washington DC and across the country to remind us of their sacrifices for our freedoms and American ideals are a small and simply unequal token to the honor and reverence they deserve. https://t.co/nR43kDBFbx,2020-11-11 14:00:47,Twitter Media Studio,23,174
Your tireless efforts and hard-fought battles resulted in record achievements for our beloved country and truly Made America Great Again!  On behalf of West Texas Keep the faith!,2020-11-09 19:09:01,Twitter for iPhone,5,43
Mr. President @realDonaldTrump  As the election process continues to play out (far from over) I just want you to know that I’m proud to serve with a man and a leader who fights for all Americans always puts our country first and makes good on his promises.,2020-11-09 19:09:01,Twitter for iPhone,9,63
This election was a referendum on the radical Left.  TX is the largest ag &amp; energy state &amp; the Green New Disaster didn't resonate w/ moderate Dems &amp; Inds.  Further WTX gained 2 great neighbors @Yvette4congress &amp; @stephaniebice in the iron triangle of fossil energy production. https://t.co/tXJtTQqQGe,2020-11-09 18:09:23,Twitter for iPhone,5,18
Thanks to President @realdonaldtrump’s quick action forging historic public-private partnerships the development and distribution of this vaccine will save countless lives.  This is a critical step on road to fully recovering as a nation. https://t.co/IORGkZxkhF,2020-11-09 14:24:55,Twitter for iPhone,6,16
