Wishing you and your family a safe and happy Thanksgiving! https://t.co/EBuDJqm0j0,2020-11-26 16:54:19,Twitter for Android,3,92
Congratulations to President-Elect @JoeBiden and Vice President-Elect @KamalaHarris!,2020-11-07 16:31:27,Twitter for iPhone,61,366
For people who are wondering why the mail ballot count is mostly favoring Democrats — it’s because Donald Trump demonized mail voting and told his supporters to vote in person.   Plus more Democrats have been concerned about catching COVID-19 by voting in person. #Biden2020,2020-11-05 21:13:34,Twitter for iPhone,83,442
Thank you San Antonio for re-electing me to represent our incredible city in the U.S. House of Representatives!   I will keep working to make sure everyone in our city has a chance to chase their American Dream.,2020-11-04 01:23:45,Twitter for iPhone,582,7069
Polls close at 7pm San Antonio! If you are in line by 7pm THEY HAVE TO LET YOU VOTE. https://t.co/nicYayOBqy,2020-11-03 23:27:34,Twitter for iPhone,133,557
Get in a truck. Walk. Do whatever it takes to vote Texas! Let's go make some history.   Polls are open in San Antonio until 7pm! https://t.co/5es7TJssRf,2020-11-03 22:46:26,Twitter for Android,12,117
You still have a few hours left to VOTE San Antonio! Polls will be open until 7pm and they have to let you vote if you are in line by 7pm.   Remember you can vote at ANY polling location in the county.   Let's finish strong!,2020-11-03 20:40:08,Twitter for Android,32,136
Go vote y'all! https://t.co/TDw6PRX3Tm,2020-11-03 18:21:12,Twitter Web App,52,342
This is it y'all! Election day is here. Polls are open in San Antonio until 7:00pm and you can vote at ANY polling location.   Visit https://t.co/UmOBkHsaxJ to find the one nearest you and vote Democrat all the way down your ballot.   Let's say "Adios Trump!". #BidenHarris2020 https://t.co/lvyCAjBmlS,2020-11-03 13:52:37,Twitter Web App,11,54
pinche mentiroso! https://t.co/kh4SJ7pV0s,2020-11-02 23:55:17,Twitter for iPhone,203,936
Getting out the vote with DNC Chairman @TomPerez and @sheriffsalazar on the westside of San Antonio.   Election day is tomorrow y'all. Please go vote! https://t.co/U6JzQ3UedN,2020-11-02 15:23:17,Twitter for Android,24,169
If you don't live in one of the 27 most populated cities in Texas that means they just tried to keep your entire community from being able to vote. Your whole city. Everyone.   Go vote y'all. Like your right to vote depends on it.,2020-11-01 19:51:14,Twitter Web App,16,77
The @TexasGOP literally just tried to throw out 127000 votes. 127000 people would have been disenfranchised.  Think about that. And then go vote on Tuesday if you haven't already! https://t.co/zqHgMiU2FX,2020-11-01 18:57:51,Twitter Web App,130,463
Glad they didn’t respond. He probably wants to tell the Russians how to help him cheat. https://t.co/x4cfFriYjQ,2020-11-01 03:21:57,Twitter for iPhone,26,113
Congrats to San Antonian Mario Barrios on his big win tonight! @ShowtimeBoxing @StephenEspinoza,2020-11-01 02:48:51,Twitter for iPhone,1,26
Getting out the vote for @JoeBiden and @KamalaHarris in the Rio Grande Valley on the last day of early voting.   Let's finish this strong y'all!  #BidenHarris2020 https://t.co/k2sDNrUmyS,2020-10-30 19:33:30,Twitter for Android,23,204
These Hispanics in Florida might cost Biden a win? What about the 7/10 white Floridians who are voting for Trump? Do you think they could cost Biden a win? https://t.co/ZeI6eNIDtZ,2020-10-30 03:18:32,Twitter for iPhone,46,375
I look forward to seeing @KamalaHarris in the Rio Grande Valley on Friday! https://t.co/u6ryYOZsOj,2020-10-29 19:54:53,Twitter for iPhone,20,147
It is incredibly inspiring to see all of these reports of people going through extraordinary lengths to make sure their vote is cast in this historic election.  The American people won't be silenced or suppressed.   5 days y'all. Dig deep.  https://t.co/oWWX0X9CFc,2020-10-29 15:19:00,Twitter Web App,8,46
Only 2 days left to early vote! Polls in San Antonio are open today and Friday until 10pm. You can vote at ANY location in the county.   Election day is Tuesday November 3rd.   Please make sure your voice is part of this historic election. We can't let up now! #BidenHarris2020 https://t.co/1ea1wPEwBA,2020-10-29 15:07:45,Twitter Web App,8,9
This is great news from @JoeBiden! https://t.co/gdVF6ZWbyT,2020-10-29 13:45:24,Twitter for iPhone,25,239
All your hard work is paying off. Let’s go Texans!   One more week. https://t.co/m7sLlhBtI2,2020-10-27 19:58:38,Twitter for iPhone,108,914
Join me in supporting @UnitedSua Texas women who will #TurnTexasBlue. Help them turn out every single vote. https://t.co/0JXDQzZB5J,2020-10-27 13:28:04,Twitter for Android,8,28
Texans -- this is the last week of early voting. Please go vote by Friday. #ByeDon2020    https://t.co/CsOEaT6Pac,2020-10-26 12:21:53,Twitter Web App,27,129
If there’s one place in Texas that I would have @JoeBiden visit during the final stretch it’s the Rio Grande Valley. #RGV #BidenHarris2020   (I say that even as a proud San Antonian),2020-10-26 00:16:13,Twitter for iPhone,258,1422
Don’t anyone say we didn’t show up. https://t.co/1RQTttTsll,2020-10-24 15:01:32,Twitter for iPhone,104,612
Please go vote y'all! #BidenHarris2020  Trump campaign ad about America's comeback features footage from Russia and Slovenia https://t.co/4KSAEzSxsb,2020-10-24 14:42:10,Twitter for Android,9,51
|Join us tonight with the cast of one of the best shows of all-time and let's say adios to Trump Texas style.   I'm excited to join the Fundraiser About Something - donate and you can be a part of it: https://t.co/xwWi092FcHhttps://t.co/wgNEw2TXof|,2020-10-23 23:42:46,Twitter for Android,6,37
Join us after the debate live on IG. https://t.co/1HV3M0ucvP,2020-10-23 01:20:54,Twitter for Android,8,33
Texans — You still have time to vote early until October 30th! San Antonians I respectfully ask for your support for my re-election campaign to Congress. #castroforcongress #BidenHarris2020 https://t.co/Pp8Es69Ws9,2020-10-23 01:16:46,Twitter for iPhone,5,74
Polls are open until 8pm here in San Antonio! Please go vote!,2020-10-22 23:47:01,Twitter for Android,60,324
Thank you for highlighting these human rights abuses @StephenAtHome @colbertlateshow https://t.co/99tIt3KASa,2020-10-22 15:17:20,Twitter for iPhone,706,3863
They got no problem with millions in dark money for billionaires but grandmas giving $10 to kick them out of office is worth a federal probe. https://t.co/p9JGOX1pJa,2020-10-22 02:21:37,Twitter for iPhone,71,343
Waiting in line to vote early (polls are open Texas!)? Sign up and join us for an important conversation starting at 6:30pm CT.   https://t.co/u0LM8m57KI https://t.co/ZMf14A6kXo,2020-10-21 23:15:38,Twitter for Android,3,14
My mom only has two kids. https://t.co/8HjUTnzZdh,2020-10-21 17:44:45,Twitter for iPhone,3,156
tfw you get left out of your own family’s IG live... https://t.co/zA81KiTSJm,2020-10-21 17:34:09,Twitter for iPhone,103,1496
If you have already voted please reach out to family and friends and remind them to vote!   Ignore the polls. This is a tough election. Incumbent Presidents aren’t easily beaten.   But Donald Trump must go! #BidenHarris,2020-10-21 03:37:18,Twitter for iPhone,237,1373
Texans — If you haven’t voted yet please go vote!,2020-10-21 03:17:12,Twitter for iPhone,236,1033
Happy Birthday @KamalaHarris from all us @texasdemocrats! https://t.co/HDWcbY3XAI,2020-10-20 19:02:26,Twitter Web App,19,139
Just 18 days left! Please make your plan to vote but you can do even more to serve your community — sign up to be a poll worker today and become an essential line worker for our democracy. https://t.co/KLbxZZtrEQ,2020-10-17 17:42:52,Twitter Web App,8,45
