Happy Thanksgiving #TX25! As we gather with our family and friends today we reflect on the abundance of blessings given to us by our Creator. https://t.co/V5qy4WbqNT,2020-11-26 12:37:08,Twitter Web App,0,3
Just another example of Democrats’ rules for thee but not for me... https://t.co/otZBJvcW8y,2020-11-25 22:20:25,Twitter for iPhone,2,2
A victory for life! A federal appeals court ruled that Texas may defund Planned Parenthood by eliminating the abortion provider’s Medicaid funding. https://t.co/Dzzd5NHwwa,2020-11-25 18:48:16,Twitter for iPhone,0,3
I respect Senator Toomey but we must make sure every legal vote counts now and in the future.,2020-11-22 02:45:51,Twitter for iPhone,2,16
The President has every right to ask the courts to investigate any voting irregularities.,2020-11-21 00:39:11,Twitter for iPhone,2,29
Meanwhile businesses continue shutting down and people are prohibited from hosting Thanksgiving dinners... https://t.co/Vev892Z7UV,2020-11-18 19:38:16,Twitter for iPhone,0,4
Are you kidding? This is socialism and government abuse. https://t.co/hOmoIC8RgT,2020-11-17 14:47:01,Twitter for iPhone,2,4
When will Joe Biden and Democrats condemn this violence? https://t.co/Z7cp9dfvw4,2020-11-15 18:36:58,Twitter Web App,3,20
Texans sent a resounding message in 2020 that they SUPPORT law enforcement and want to keep taxes low. The Left will stop at nothing to implement their radical agenda that threatens to destroy our nation. https://t.co/TB5dcCyjC7,2020-11-13 13:31:15,Twitter Web App,3,4
I’m now on Parler! Join me at @RogerWilliamsTX25. https://t.co/xfzYRn58VK,2020-11-12 14:32:35,Twitter Web App,0,7
Thanks to the extraordinary bravery of our men and women in uniform America remains a beacon of hope and liberty for the rest of the world. On Veterans Day we honor those who have answered the call to defend our great nation — we live freely because of their sacrifice. https://t.co/95i8KnSMfY,2020-11-11 14:29:19,Twitter Web App,0,4
Rules for thee but not for me apparently...https://t.co/6IVxKy36rM,2020-11-10 18:07:01,Twitter Web App,1,5
.@realDonaldTrump don’t give out don’t give in. We will keep fighting for you and for every American to be heard!,2020-11-07 15:54:19,Twitter for iPhone,26,121
In Texas we have a saying called fair and square—you can count on it. We must make sure this election is fair and free and EVERY legal vote is counted.,2020-11-07 15:36:25,Twitter for iPhone,3,25
Every LEGAL vote must be counted. Fair and free elections are the pillar of our democracy — the courts are in place to resolve any disputes and to apply the law. The American people decide the results of our election and every voice must be heard.,2020-11-07 00:42:06,Twitter for iPhone,10,29
Call your state legislators in GA NC PA and AZ and tell them they run the elections — not the radical Dems. In other words do your job.   Stand up and stand with this President.,2020-11-06 01:03:30,Twitter Web App,11,30
This is the most corrupt election in our lifetime. Where is the DOJ and AG?,2020-11-06 00:35:09,Twitter Web App,42,149
Radical Dems tried to do away with law and order and are now trying to do away with law and order at the ballot box.,2020-11-06 00:13:24,Twitter Web App,13,15
We will fight for @realDonaldTrump — we’ve got your back! @TeamTrump @EricTrump @IvankaTrump,2020-11-05 22:26:21,Twitter Web App,9,43
SHARE with your friends! EVERY legal vote must be counted and we must ensure Democrat election officials are held accountable for any abuse of our free and fair electoral process. @realDonaldTrump @EricTrump @IvankaTrump @TeamTrump https://t.co/fuNBSfMP2e,2020-11-05 22:02:10,Twitter Web App,3,5
EVERY legal ballot must be counted with full transparency — it’s unacceptable to have illegal votes counted in America and corrupt Democrat officials must be monitored! It is vital that we protect our democracy and ensure confidence in our free and fair electoral process.,2020-11-05 19:37:50,Twitter Web App,2,14
Thank you TX-25! We ran hard across the finish line and I’m humbled to continue working on behalf of all Texans in our great District. It’s one of my highest honors to serve you. https://t.co/7hSCLazfpX,2020-11-04 17:26:08,Twitter Web App,0,15
I'm honored to once again  represent you in Congress and I pledge to spend this next term continuing the fight for lower taxes defending our law enforcement taking care of our military and veterans and protecting the unborn. Thank you TX-25! https://t.co/aq312zFRx5,2020-11-04 15:38:42,Twitter Web App,3,30
We have about 1.5 hours left until polls close! I’m honored to serve #TX25 and will continue fighting for lower taxes less government and the American Dream for every Texan. Click here to find your polling location if you haven’t voted yet: https://t.co/7VXUSz2PJ1 https://t.co/2cbP36n00C,2020-11-03 23:46:40,Twitter Web App,3,10
Thank you Phyllis and Virginia! We have just a few hours left until the polls close — make sure you get out to #vote!  #NeighbortoNeighbor https://t.co/Wk9kX7UdTF,2020-11-03 21:18:46,Twitter Web App,0,3
Thank you Alan! I’m honored to have your support. I will ALWAYS fight on behalf of all Texans for greater opportunity and growth.   #NeighbortoNeighbor https://t.co/jeHaMFp1Ps,2020-11-03 18:34:44,Twitter Web App,0,5
Let’s go #TX25! We need everyone out to the polls today to KEEP TEXAS RED! It’s one of the greatest honors of my life to serve you — let’s cross the finish line. https://t.co/UQMtjMd6UY,2020-11-03 16:31:38,Twitter Web App,10,33
Polls are OPEN until 7pm tonight! SHARE with your friends family and neighbors — we can feel the momentum. Let’s get out the vote #TX25! Find your polling location here: https://t.co/7VXUSz2PJ1 https://t.co/bOvMZuq5pU,2020-11-03 13:19:44,Twitter Web App,1,6
TODAY! Let’s send a resounding message to Democrats that Texans reject big government and higher taxes. I’ll ALWAYS fight to protect our freedom and our great nation.  Get out the vote #TX25! Click here to find your polling location: https://t.co/7VXUSz2PJ1 https://t.co/G5Cwqdnzxe,2020-11-03 13:02:23,Twitter Web App,0,1
Ended the day with @JohnCornyn and @tedcruz in beautiful Dripping Springs! I’m proud to fight alongside of them for our conservative values and to ALWAYS keep America first. #TX25 is FIRED UP for Election Day — let’s get out the VOTE! 🇺🇸 https://t.co/62FksJ95hB,2020-11-03 02:16:52,Twitter Web App,16,122
Let me tell you Texans in #TX25 are FIRED UP for tomorrow! Incredible crowd and momentum tonight with my friends @JohnCornyn and @tedcruz — let’s get out there tomorrow and KEEP TEXAS RED! https://t.co/DGNb6IduOg,2020-11-03 01:58:19,Twitter Web App,20,104
Thanks to everyone who joined us at Lil Tex in Copperas Cove! We’re running hard through the finish line — I’m honored to have strong support across #TX25. One more day! https://t.co/t5Upi39qfd,2020-11-02 19:51:42,Twitter Web App,0,4
Awesome support out in Johnson County! We need everyone to get out to the polls tomorrow to VOTE RED if you haven’t already! Let’s finish strong #TX25. https://t.co/4wHBydSEY5,2020-11-02 17:33:02,Twitter Web App,3,6
TOMORROW is Election Day! It’s more important than ever that we get out to protect our great state and vote RED! If you haven’t voted already click here to find your polling place: https://t.co/7VXUSz2PJ1 https://t.co/HM1RGNA24p,2020-11-02 14:36:41,Twitter Web App,0,5
Thank you to the Capitol Republican Women for your strong support in Austin! We’re nearing the finish line — let’s get out to VOTE RED on Tuesday #TX25! Our nation depends on it. https://t.co/mj0rV3C2RU,2020-11-01 18:34:16,Twitter Web App,2,6
Thank you for your support Hudson family! I’ll keep up the fight for our music venues by pushing for a bipartisan vote on the Save Our Stages Act and delivering more targeted relief for small businesses.   Hear from Hudson’s on Mercer St in Hays County ⬇️  #NeighbortoNeighbor https://t.co/HGtWidpMtx,2020-11-01 14:53:40,Twitter Web App,10,48
THREE DAYS until Election Day! It’s great to see strong support in Burnet County and all of #TX25 as we’re out meeting with Texans every day.   SHARE with your friends and let’s get out to vote to keep Texas RED! https://t.co/4O8q5nGQ7g,2020-10-31 15:28:20,Twitter Web App,10,17
Thanks to all who joined us at Cleburne’s very own Loaf N Dog! It was great to see all of these Johnson County patriots and supporters this evening. We’re almost at the finish line — let’s get out to vote TX-25! https://t.co/sEYwA75BhY,2020-10-31 00:46:53,Twitter Web App,0,3
Honored to have the support of Cleburne Mayor Scott Cain! Johnson County is the heart of #TX25 and I’ll always work to protect our pro-life pro-business and pro-America values. If you haven’t already let’s get out to VOTE RED on NOV. 3! https://t.co/E0S2kb5sWj,2020-10-30 23:39:49,Twitter Web App,2,8
Today is the LAST DAY to vote early in Texas! As we near the finish line we need everyone to stand with us to protect our conservative values — it’s more important now than ever. Click here to find your polling place: https://t.co/7VXUSz2PJ1 https://t.co/5zt0zvhIJu,2020-10-30 16:20:16,Twitter Web App,0,4
Thank you Clarence! I’m honored to have your vote and the strong support of Texas across our district.   🚨TODAY is the LAST DAY of early voting — let’s get out to vote TX-25!   #NeighbortoNeighbor https://t.co/4EOxTApVRY,2020-10-30 14:17:36,Twitter Web App,0,0
I’ll continue fighting on behalf of our veterans students and small businesses and I will ALWAYS work to create greater opportunities for all Texans!  Hear more from Betsy in Johnson County ⬇️  #NeighbortoNeighbor https://t.co/uhAI9tH3ov,2020-10-29 23:38:47,Twitter Web App,0,3
Excellent news for our nation as we continue on the road to recovery!  “...the U.S. economy grew at its fastest pace ever in the third quarter as a nation battered by an unprecedented pandemic started to put itself back together.”  https://t.co/O4232RSJVP,2020-10-29 14:46:28,Twitter Web App,0,1
