Happy Thanksgiving from our family to yours. - The Cloud Family #HappyThanksgiving https://t.co/vfwTSVSTFe,2020-11-26 14:34:22,Twitter for iPhone,1,3
Yesterday I appeared on the Bob Jones show to talk about the post election situation and our upcoming work in Washington.   Tune in here: https://t.co/3Caw2XpoMT,2020-11-25 16:57:05,Twitter for iPhone,1,2
Read my full statement concerning the questions I have asked AG Barr and our electoral process here.   https://t.co/cU1oBR8BbD,2020-11-08 01:48:48,Twitter for iPhone,3,7
Appeared on the Wade &amp; Carter show this morning to talk about the current election situation and voter integrity.   Starts at 35:30.  https://t.co/Aa4Brj6VuV,2020-11-06 17:55:37,Twitter for iPhone,1,2
My statement backing up President @realDonaldTrump’s concern for transparency and integrity at every level. https://t.co/kitS4kzCZG,2020-11-06 03:54:29,Twitter for iPhone,8,26
THANK YOU!!  Thank you so much for the honor of continuing to serve you in Congress.  Because of you and your support we won with 63% of the vote and we kept Texas Texas! #TX27   My full statement here:  https://t.co/T5g65XVbzd https://t.co/vst6s1uAQf,2020-11-04 20:05:50,Twitter for iPhone,1,13
We have been declared the winner for District 27 with 62.4 percent reporting. Thank you!  https://t.co/x8PoivcEyg https://t.co/sxJVD9FGR2,2020-11-04 02:28:12,Twitter for iPhone,5,27
Two and a half more hours to get to the polls. They close at 7 pm.   Find your polling places here: https://t.co/s38T0TdLhQ  Then join us for our Election night party. https://t.co/2lMKJPnpJK,2020-11-03 22:32:14,Twitter for iPhone,3,2
Thankful for good friends all over this district who work to preserve liberty.   Let’s get out the vote.  Find your polling place here and get there BEFORE 7 pm. https://t.co/s38T0TdLhQ  #VOTE #WhartonCounty #VictoriaCounty https://t.co/N43Z36muQh,2020-11-03 19:31:33,Twitter for iPhone,0,4
Go Vote! It is Election Day!  Find your polling places here: https://t.co/s38T0TdLhQ https://t.co/gAOpiJRzIG,2020-11-03 17:47:15,Twitter for iPhone,1,4
First stop of the day - Lavaca County.   Thank you all for your support. Let’s get all of our family and friends to the polls. #vote2020 #ElectionDay #LavacaCounty https://t.co/lycZpoTKjH,2020-11-03 14:56:42,Twitter for iPhone,19,21
Today is the DAY! Thank you for your support and your VOTE!  #vote #2020Elections #ElectionDay #VOTECLOUD #TX27 https://t.co/7IEuUQTFhT,2020-11-03 12:17:13,Twitter for iPhone,13,6
