Wow! We can’t even get them in airport &amp; public bathrooms or in high schools. Period poverty is real in USA. #endperiodpoverty https://t.co/sp1qFS0k5X,2020-11-25 02:50:51,Twitter for iPhone,3,29
Agree. Trump says its the state. Abbott shifts to local. Locals act &amp; Paxton sues them.  Not working. Change is on the way. https://t.co/46JTMMvyAj,2020-11-22 12:18:15,Twitter for iPhone,11,45
@MCWebbJr Thanks for remembering. Monica was the best. It always came from the heart.,2020-11-22 05:04:45,Twitter for iPhone,0,1
Good job! https://t.co/zYsAfwhenD,2020-11-21 23:04:24,Twitter for iPhone,2,8
#NewProfilePic https://t.co/PjiuF3aqTb,2020-11-21 21:57:58,Twitter for iPhone,2,64
Amen Sister! https://t.co/tOINvqdRRk,2020-11-16 03:59:36,Twitter for iPhone,2,16
Can hardly wait! https://t.co/q6jIskwG1g,2020-11-16 03:58:55,Twitter for iPhone,4,39
Check out some of our wonderful local elected and newly elected wise Latina judges and justices on national TV! https://t.co/pvhEhrt57r,2020-11-13 20:19:27,TweetDeck,2,5
Sad but true. https://t.co/nvgHa9c981,2020-11-13 14:36:14,Twitter for iPhone,45,198
Loved that I was where it all started for me- Palito Blanco- when I got for news #BidenHarris2020 won.Was at church cleaning it for tomorrow’s Mass in honor of my parents. Our family will gather safely; and we will pray for our family friends and country. #PresidentElectJoe https://t.co/KzWJ2KEjg4,2020-11-07 18:54:50,Twitter for iPhone,2,70
Yep we did it. #bidenharis2020 #PresidentElectJoe #VPElectKamalaHarris https://t.co/Nq5DgjE74y,2020-11-07 18:42:33,Twitter for iPhone,4,27
Congratulations! https://t.co/mqZHGlK76D,2020-11-07 17:14:50,Twitter for iPhone,11,105
@MadeleineDean Congrats my friend. Proud of you. Love to you &amp; PJ. See you in DC!,2020-11-04 05:20:22,Twitter for iPhone,0,2
Thank you! More work to get done on behalf of the people. https://t.co/G2K7O1gIws,2020-11-04 01:50:05,Twitter for iPhone,14,84
Gracias a todos for placing your confidence in me and re-electing me to Congress.  I look forward to continuing to fight for nuestra gente in the Texas 29th Congressional District.,2020-11-04 01:49:32,Twitter for iPhone,29,289
There's still time for you to get in line and vote. The polls close at 7pm and as long as you are in line your vote will be counted. Find your closest polling location now! https://t.co/Ds9WybwGEE,2020-11-04 00:13:00,TweetDeck,5,21
Join @harrisdemocrats tonight after the polls close for a party hopping election night zoom. Sign up for details and link! https://t.co/t3GBPcG5s8,2020-11-03 23:15:00,TweetDeck,0,2
Campaigning with our state Senator @CarolforTexas! Todos con Biden! #ImWithJoe https://t.co/gTJznJKQGl,2020-11-03 17:46:46,Twitter for iPhone,6,46
Let's keep up this momentum! https://t.co/Mg0J7ocmAi,2020-11-03 17:06:25,TweetDeck,2,9
Don't forget Today is Election Day and you can vote at any of the 800+ polling locations here in Harris County. Find your closest polling place here: https://t.co/Ds9WybOi3e #ElectionDay,2020-11-03 17:02:08,TweetDeck,1,2
Ran into my friend @RobertGallegos_ at Mason Park. Everyone is doing their part. So should you! Make sure to tell everyone you know today is the day. Go vote! #ImWithJoe #GetOutTheVote https://t.co/B0eQzkzdWX,2020-11-03 16:35:56,Twitter for iPhone,1,20
Put all your energy in for a big win. Help get out the vote however you can today. No regrets! #GetOutTheVote #ImWithJoe https://t.co/Y5WZHdvofp,2020-11-03 15:26:53,Twitter for iPhone,2,9
Keeping it moving! People are excited to vote. #ImWithJoe https://t.co/pmWRqob5q4,2020-11-03 15:05:11,Twitter for iPhone,1,13
So pleased to see Election Defenders here in my neighborhood to help people troubleshoot any problems that may come up. No matter what they’re here to help you vote. https://t.co/x5Pdl5zTQQ,2020-11-03 14:46:37,Twitter for iPhone,1,12
Off visiting polls and getting out. First stop Northside. In my neighborhood. Voting steady. #BidenHarris2020 #HarrisVotes #ImWithJoe https://t.co/Kv0Jra5uWc,2020-11-03 14:32:15,Twitter for iPhone,4,17
It’s here-  #ElectionDay . Today is your last chance to VOTE. Sites will be open from 7am to 7pm. Only one drive thru site at Toyota Center downtown. Go to https://t.co/Ty9ylNBxM6 to find a voting location near you. I ask for your vote. #HarrisVotes #BidenHarris2020 https://t.co/rMKZ5QZNw2,2020-11-03 13:07:21,Twitter for iPhone,4,30
Tradition continues. Lighting a candle for a victory tomorrow for me Biden+Harris &amp; all Democrats. And for esp for my Judiciary Comadres @vgescobar @DebbieforFL @MadeleineDean @lucymcbath @marygayscanlon Let’s win! #BidenHarris2020 #HarrisVotes https://t.co/1eZqoGHAQF,2020-11-03 01:45:27,Twitter for iPhone,22,199
4/ “The people of Harris County will remember this tomorrow as they head into the ballot box. We are going to vote like never before to restore the soul of our nation and state.”  Read my full statement in response to Judge Hanen’s decision⬇️ https://t.co/kliRXEp9lI,2020-11-02 20:51:46,Twitter for iPhone,3,11
3/ “President Trump's bigotry rhetoric and failed record in tackling COVID-19 are indefensible and so the GOP has nothing else to try. Texans have seen right through these sham tactics and have voted in historic numbers.”,2020-11-02 20:51:44,Twitter for iPhone,1,5
2/ “The GOP is desperate. Instead of working to make voting easier and more accessible during this pandemic they resorted to plain old voter suppression in an effort to silence the new majority of Texans.”,2020-11-02 20:51:44,Twitter for iPhone,0,1
1/ “Judge Hanen’s decision is an amazing win for the 127000 voters in Harris County who prioritized their health followed the rules and made a plan to vote. Republicans know that Texas is on the verge of electing @JoeBiden and @KamalaHarris.”,2020-11-02 20:51:44,Twitter for iPhone,2,16
Standing by at Federal Courthouse to thank lawyers Clerk and all staff who fought to protect the votes of 127000 patriots.,2020-11-02 20:30:33,Twitter for iPhone,9,64
We won! Judge rules all votes cast in drive thru will be counted. Challengers had no standing. Justice prevails.,2020-11-02 20:28:50,Twitter for iPhone,38,241
Media and ‘Count Every Vote’ supporters wait outside CourtHouse for Judge’s ruling. Hearing scheduled at 10:30a. We wait. https://t.co/easVH7jQml,2020-11-02 18:17:54,Twitter for iPhone,0,8
Spoke briefly to activists gathered at park across from Federal Courthouse. The fight to ‘Count Every Vote’ is in the Courtroom but impacts us all. Judge to rule on whether 127000 votes cast in drive thru locations should be counted. We say Yes! UnAmerican if we didn’t. https://t.co/UsbEHfNP0z,2020-11-02 18:12:44,Twitter for iPhone,6,27
@CGHollins @JaimyBlanco Yes.,2020-11-02 03:06:19,Twitter for iPhone,0,7
And impacts all communities.  DTV RACIAL BREAKDOWN: Asian American - 8.8% Black -- 31.5% Latino -- 22.3% White -- 36.8% Unknown -- 0.5%  Women -- 60.6 Men -- 38.8,2020-11-01 18:29:28,Twitter for iPhone,7,24
This lawsuit impacts all of us. 126702 people across Harris County cast ballots in drive thrus. We cannot stand by and let anyone try to throw their votes out. If you voted at a drive thru location sign up so that your vote is protected. https://t.co/WnEHe5KjFl,2020-11-01 18:12:29,Twitter for iPhone,13,45
If you cast your vote at a drive-thru location in Harris County Texas Republicans are trying to invalidate your vote. To be a part of a lawsuit over this sign up for free legal representation here and please share: https://t.co/D3bW6Gbosa,2020-11-01 14:18:48,TweetDeck,184,250
Dropped snacks off to volunteers at @Area5Dems Lit drop teams in the field. Managed to catch a few reporting back in. Thank you to all volunteers- Biden+Harris &amp; all Democrats cannot win without you. #HarrisVotes #BidenHarris2020 https://t.co/zyVgbACLMw,2020-10-31 23:01:08,Twitter for iPhone,3,15
Launching lit drop for @SriPKulkarni in Rosenberg &amp; in support of all Democrats in Ft Bend County. If you haven’t voted yet last chance is this Tuesday. Make a plan now. Go to  https://t.co/Uos9TTd4R2 to find location near you. #BidenHarris2020 https://t.co/nNvPUzaQZf,2020-10-31 18:05:27,Twitter for iPhone,3,17
