Wishing everyone and their families faith hope and love this #ThanksgivingDay and always.  May we remember those who've lost a loved one during this difficult time and show gratitude to those who've been on the frontlines keeping us going.   Many blessings. Muchas bendiciones. https://t.co/zpZ1laI5ah,2020-11-26 17:58:28,Twitter Media Studio,9,55
This #Thanksgiving please follow @CDCgov guidelines.  We should be staying put at home &amp; avoiding travel if at all possible. We should also continue to #SocialDistance #WashOurHands &amp; #WearAMask.  This is how we'll help keep others healthy this holiday season. #DoYourPart https://t.co/wCpMtU5iBO,2020-11-24 17:42:59,Twitter Media Studio,81,255
Dot gov! About time. https://t.co/ACdBWxxF0y,2020-11-24 03:32:19,Twitter for iPhone,149,1935
@RepLucyMcBath Thinking of you amiga! Big hug and know I’m there with you every step of the way!,2020-11-24 03:10:23,Twitter for iPhone,2,45
Learn from the Aragonez family &amp; stay home this Thanksgiving!  A couple of weeks ago they had a small family gathering where they all got infected including 3 family members who didn’t attend.  If we all stay home this Thanksgiving we will all be able to celebrate next year. https://t.co/CHt4gtFNkx,2020-11-24 02:25:58,Twitter for iPhone,7,31
.@AliMayorkasʼs history-making nomination to lead the Department of Homeland Security which oversees our immigration system sends a powerful signal. If confirmed by the Senate DHS will be led by a Latino a Cuban-American and an immigrant. https://t.co/ncZBz7IFCh,2020-11-23 19:50:22,Twitter for iPhone,21,95
America is ready to lead the world not retreat from it. President-elect Biden has put forward a team of experienced crisis-tested foreign policy national security and law enforcement leaders with diverse backgrounds and fresh perspectives who will be ready to lead on Day One. https://t.co/yvzO8NchDc,2020-11-23 19:24:12,Twitter for iPhone,30,121
3/ While in Congress I filed a bipartisan bill (HR 7832) to rename the Broadway Street post office in Houston after Mr. Benny Martinez for his important role coordinating this historic meeting and his lifetime advocacy for Latinos in Houston.,2020-11-22 19:35:35,Twitter for iPhone,5,28
2/ President Kennedy accepted the invitation over one thousand others and the event went down in history as the first time a sitting President sat with a Latino civil rights organization.,2020-11-22 19:35:34,Twitter for iPhone,5,31
1/ On a day like yesterday November 21 1963 President John F. Kennedy met with Mexican American rights activists from LULAC and Viva Kennedy Clubs in Houston. John Herrera with help from Benny Martinez invited President Kennedy to the LULAC State Director's Ball. https://t.co/yksG2iBFi5,2020-11-22 19:35:33,Twitter for iPhone,14,51
Happy birthday to @abc13houston on 66 years of high-quality fact-based reporting. Thank you for everything you do for the Houston region. ¡Muchas felicidades!,2020-11-20 23:55:59,Twitter for iPhone,3,29
Here's your weekly update! This week I was back in D.C. where I voted on many bills #ForThePeople. These bills included support for our veterans protections against #COVID19 related scams and efforts to strengthen apprenticeship programs in America. https://t.co/pMOjNFzEaP,2020-11-20 23:21:47,Twitter Media Studio,8,26
