If they have the money to pay for meaningless recounts; then the Trump campaign can pay El Paso. https://t.co/GlbKEQZB8o,2020-11-28 14:42:28,Twitter for iPhone,31,83
So glad I had the opportunity to meet the Mayor. What a giant what a loss https://t.co/OXyGPkAhaZ,2020-11-24 12:51:56,Twitter for iPhone,1,4
You’re a legit Patriot sir! Thank you for speaking out! https://t.co/W4uoqsFSej,2020-11-18 03:32:19,Twitter for iPhone,2,13
Very sad and unfortunate. https://t.co/yReaMneHWA,2020-11-17 16:01:44,Twitter for iPhone,5,9
Very typical of the Lt Gov here. He literally makes things up all the time. Been doing it a minute! https://t.co/8ogkRRi8C4,2020-11-11 05:25:06,Twitter for iPhone,4,16
Total Lie! https://t.co/N9XBIsgeVo,2020-11-09 22:30:20,Twitter for iPhone,4,7
I’m surprised that Sen Ted Cruz is taking such an extreme position considering how close he and @BetoORourke finished in 2018. Makes you wonder......#BidenHarrisTransition https://t.co/7S4vRZm7PZ,2020-11-09 16:19:43,Twitter for iPhone,7,24
Congrats to our President-Elect @JoeBiden and our next VP @KamalaHarris on a job well done! Ready to work with your team to restore the soul of our democracy and help working families across our great nation. https://t.co/625nKomSgS,2020-11-07 16:38:55,Twitter for iPhone,3,9
John Lewis district pulls Biden over the top in GA! Wow!!! John still working for the people from up above! ❤️ https://t.co/VX1mhDZ1W8,2020-11-06 15:39:14,Twitter for iPhone,5,35
Go Conor! https://t.co/jIJpYFCLhb,2020-11-05 04:00:21,Twitter for iPhone,1,19
All votes must be counted. We live in a democracy. Pass it on. https://t.co/EWHLcRnsLU,2020-11-04 14:22:51,Twitter for iPhone,16,53
I am so optimistic about what we will continue to accomplish during the 117th Congress and beyond. Thank you again I could not have done this without you.,2020-11-04 02:42:12,Twitter for iPhone,3,18
I am honored and humbled that the people of Texas' 33rd district have sent me back to the U.S. House of Representatives for another term. https://t.co/1XL1bwNiWc,2020-11-04 02:41:41,Twitter for iPhone,20,120
