Collin County is the best place to live work and raise a family and I am grateful for the opportunity to continue serving the place I love. Thank you for your support. https://t.co/tZqVdy6bwh,2020-11-04 05:42:25,Twitter for iPhone,22,113
Just TWO hours before polls close at 7:00 PM. Go vote! https://t.co/jfxqXyvY58,2020-11-03 23:11:52,Twitter for iPhone,2,13
Lucky to have the very best volunteers in the country right here in Collin County! https://t.co/prsuLj8gIH,2020-11-03 19:59:31,Twitter for iPhone,2,25
Polls are open for seven more hours! Don’t miss your chance to #vote https://t.co/1NcYhE9pwO,2020-11-03 18:16:51,Twitter for iPhone,1,7
Awesome energy at John and Judy Gay Library in McKinney! Polls are busy but no lines! 🗳 https://t.co/cLHL6YtZjP,2020-11-03 16:05:38,Twitter for iPhone,25,36
Lines are gone at Clark High School in Plano! Get out and vote! https://t.co/TKafqelUES,2020-11-03 15:04:13,Twitter for iPhone,20,101
The polls are open! This is the most important election of our lifetimes and every single vote matters.   Find your closest Collin County polling place at https://t.co/P2auo93w5r and cast your vote before 7:00 PM! 🇺🇸 https://t.co/iZu3e6SVTr,2020-11-03 13:04:59,Twitter for iPhone,3,9
We have the best volunteers in the country who have worked day in and day out to Get Out the Vote and ensure every voice is heard tomorrow! https://t.co/tkaoPiMosX,2020-11-03 01:43:58,Twitter for iPhone,3,11
Knocking doors in Collin County! Sign up to volunteer for our final 72-hour Get Out the Vote operation now at https://t.co/hYLULH9xD4. https://t.co/cxYcfM2B1h,2020-10-31 19:01:32,Twitter for iPhone,6,23
Kicking off our last Super Saturday in Collin County before Election Day! What an absolute amazing team of volunteers! 🇺🇸 https://t.co/9gfEPwaKs9,2020-10-31 14:33:01,Twitter for iPhone,4,24
LET’S KEEP TEXAS RED. With just FOUR days left until Election Day it’s all hands on deck!  Sign up to volunteer for our final 72-hour Get Out The Vote operation here https://t.co/qL6AdNmkIA! https://t.co/nozicvkAwR,2020-10-31 00:10:15,Twitter Web App,2,15
There’s nothing like earning the support of a first time voter. Thanks for the support Drake! https://t.co/cdjtAS7P48,2020-10-30 21:42:26,Twitter for iPhone,1,8
Polls are still open for early voting for another 2.5 hours! Cast your Early Vote before 7:00 PM! https://t.co/kGTK1dnbiO,2020-10-30 21:21:53,Twitter for iPhone,1,11
Greeting voters with one of Collin County’s bravest. Thanks for the support Sheriff Skinner! https://t.co/JX034vNrFA,2020-10-30 20:55:40,Twitter for iPhone,2,11
Voters AND volunteers are excited to keep Collin County red! Let’s go! 🇺🇸 https://t.co/F61IFK8pSO,2020-10-30 18:07:13,Twitter for iPhone,4,9
Today is the LAST DAY to vote early. Visit https://t.co/LyNWU4zkVR to find an early polling place near you and make your voice heard today! 🗳 https://t.co/rbh6YX3B1z,2020-10-30 16:53:39,Twitter for iPhone,1,5
Just voted early with my biggest supporter and wife Anne at Davis Library in Plano!   Today is the LAST DAY to vote early. Get to the polls before they close at 7:00 PM! https://t.co/PYLkrSLxlX,2020-10-30 15:17:13,Twitter for iPhone,3,10
