Our small businesses must be supported year-round not just on #SmallBusinessSaturday.  That's why I am fighting in Congress for a second-round of PPP loans principal and interest assistance for pre-existing EIDL loans and directed aid for our hardest-hit industries.,2020-11-28 20:42:58,Gain Platform,10,62
This #SmallBusinessSaturday take time to learn more about what our #HTown businesses have to offer.  So many have done a great job of adding to online ordering curbside pickup and much more to help keep us healthy well-stocked and safe! https://t.co/2M1htDHAVx,2020-11-27 17:05:13,Gain Platform,3,23
Thanksgiving Day gives us the opportunity to reflect on all we have to be grateful for and to share that gratitude with family and friends.  I am grateful for our diverse and dynamic community—one that comes together for people in #TX07 and beyond. #HappyThanksgiving! https://t.co/H8CPyef2Il,2020-11-26 14:41:07,Gain Platform,2,21
With tomorrow's holiday in mind please mask up socially distance and do what you can to help #StopTheSpread. If you will be on the road please travel safely.  In all cases: stay safe! https://t.co/M3BqVtp0RX,2020-11-25 19:12:44,Gain Platform,5,25
Did you know Native Americans didn’t get the right to vote universally until the 1960s? I'm honored to work in Congress w/ Native American women fighting for civil rights their ancestors were denied &amp; their descendants deserve. #NativeAmericanHeritageMonth https://t.co/Xw1qcOSqTd,2020-11-24 21:55:51,Gain Platform,5,28
I was glad to vote for H.R. 6334 the Securing America from Epidemics Act this week.  This legislation will authorize U.S. participation in the @cepivaccines which is seeking to develop produce and distribute vaccines for emerging infectious diseases—including COVID-19.,2020-11-22 23:47:52,Gain Platform,2,24
Since the Capitol has been closed since March I haven't had the chance to see many Houstonians on the Hill in 2020.  I was so glad to have a chance to visit with our #TX07 neighbors who were visiting D.C. outside the Capitol this week. As you can see it was getting chilly! https://t.co/kksrwlOaAv,2020-11-22 20:40:22,Gain Platform,3,40
Around the world and even in #TX07 our transgender sisters and brothers have lost their lives in discriminatory anti-trans acts of violence.  Today we remember them for their contributions to our communities and the places they held in our hearts. #TDOR https://t.co/oOtMUl00PD,2020-11-20 15:49:24,Gain Platform,4,26
In this pandemic most are focused on doing what is right for our families and communities. Unfortunately some are taking advantage of uncertainty.  The House passed the Combating Pandemic Scams Act enabling the FTC to take action to fight scammers and protect Americans.,2020-11-18 22:50:10,Gain Platform,4,36
Those who served sacrificed and fought to protect us deserve our support.  This week I was glad to vote for the Improving Safety and Security for Veterans Act of 2019 requiring @DeptVetAffairs to submit reports on patient safety and quality of care at VA Medical Centers.,2020-11-18 17:45:13,Gain Platform,2,16
I'm glad to report House passage the Aircraft Certification Reform &amp; Accountability Act.  The culmination of @TransportDems' investigation into the failures leading to the tragic 737 MAX crash it strengthens the FAA's aircraft certification process &amp; improves air travel safety.,2020-11-18 01:32:43,Gain Platform,3,16
The ACA Marketplace is open now—review plans for health insurance that will work best for you and for your family.  Enrollment and changes to current plans must be completed by December 15—don't wait! #TX07 ⤵️ https://t.co/hi6kCe9TKD,2020-11-17 19:39:13,Gain Platform,7,9
Thanks so much to all who participated in last night's tele-town hall on the #BuffaloBayou &amp; Tributaries Resiliency Study Interim Report—lots of great comments &amp; questions from #TX07.  The comment period closes this Friday Nov. 20—be sure to submit yours. https://t.co/5bOGRf5lHV,2020-11-16 22:57:13,Gain Platform,3,14
TOMORROW: we'll be having a telephone town hall to discuss the Buffalo Bayou and Tributaries Resiliency Study Interim Report and its impacts on #TX07.  This is your final reminder to be sure you get the call: https://t.co/SOIbuEejXO https://t.co/vWN9bCzUcN,2020-11-14 22:23:25,Gain Platform,4,25
Around the world and here in #TX07 we celebrate victory of light over darkness good over evil and knowledge over ignorance.  Happy #Diwali to all who celebrate today! https://t.co/vEC04aNkIz,2020-11-14 16:28:04,Gain Platform,6,40
Most of us are doing our best to prevent the spread in our community. And though it is causing extra strain on all of us—from our businesses to our schools—#TX07 must remain vigilant.  #MaskUp to keep each other safe through the holidays and cooler months. https://t.co/ppPua8nLiB,2020-11-12 20:26:54,Gain Platform,6,25
It has been my honor to serve the men and women who served all of us in their roles in the U.S. military.  This #VeteransDay I'm thinking of all the servicemembers I have met throughout Houston and the examples of sacrifice courage teamwork and patriotism they set for us. https://t.co/O6Cyf4pLdu,2020-11-11 14:47:35,Gain Platform,5,37
Reminder: we'll be holding a #TX07 Town Hall to talk about the Army Corps' Buffalo Bayou and Tributaries Resilience Study Interim Report.  Be sure to join in to hear about the alternatives and provide input.  RSVP: https://t.co/SOIbuEejXO https://t.co/BzOGppg92b,2020-11-10 23:03:29,Gain Platform,4,20
More than 130 million Americans live with pre-existing conditions. They rely on the Affordable Care Act’s pre-existing condition protections to get affordable care. If Texas &amp; the Trump Admin get their way those protections will be gone. #SaveTheACA! https://t.co/lPmKlRO8hg,2020-11-10 16:23:44,Gain Platform,6,27
Last month the Army Corps released the Buffalo Bayou and Tributaries Resilience Study Interim Report which will impact #TX07.  Join us for a telephone town hall to hear the alternatives and share your thoughts on them.  RSVP ➡ https://t.co/SOIbuEejXO https://t.co/r0b0glVzG4,2020-11-06 17:42:50,Gain Platform,15,35
Nomination applications for those students interested in attending military service academies are due this Friday Nov. 6 by 5pm.  More info: https://t.co/PjFJJ3YqJ0 https://t.co/PL3KzQnbza,2020-11-04 16:35:33,Gain Platform,2,13
#TX07: It's Election Day!   I urge you to exercise your right to vote by casting your ballot and making your voice heard.    You can vote at one of 800 voting centers across Harris County.    You can find out where and answers to other questions here: https://t.co/AllI7RBUHn,2020-11-03 13:50:45,Gain Platform,9,39
We need to understand COVID-19's impact on those with chronic illnesses.  I cosponsored HR 7057 the Understanding COVID-19 Subsets and ME/CFS Act which will coordinate NIH funding to address post-viral chronic neuroimmune diseases in COVID-19's wake.  https://t.co/QU9zTkrEb7,2020-11-02 21:40:49,Gain Platform,1,28
Sometimes a call from our office can help constituents figure out why a passport is delayed.  Please contact our #TX07 team to get help!  Online: https://t.co/o33QfLmcT2 Or call: (713) 353-8680 https://t.co/Z7rLbOGb5E,2020-11-02 17:45:16,Gain Platform,2,12
Have you made your plan to vote yet? If you're waiting to vote on Election Day Harris County has information on what you'll need to cast your ballot safely and efficiently.  Visit https://t.co/OaN5q9Cjh8 to get started! https://t.co/ATiBMg5gpg,2020-11-02 01:03:41,Gain Platform,8,37
