Turducken = success!  Happy Thanksgiving #VA10! Thinking of all the voters volunteers and staff who have helped me get to where I am.   Thankful for all of you! https://t.co/2gKR3IzkFr,2020-11-26 23:57:31,Twitter for iPhone,8,157
#thankful 💁🏼‍♀️ https://t.co/uCAaWtUAj4,2020-11-26 21:26:18,Twitter for Android,10,169
Happy #Thanksgiving from the Wextons!   We are staying home and I'm cooking my first turducken—wish me luck! 🦃🦆🐓  How are you celebrating differently this year? https://t.co/HZFsu2jCvw,2020-11-26 16:56:30,Twitter for Android,6,73
It's about time. Lots of work to do. Onward! https://t.co/ClLEp8qrq9,2020-11-24 00:03:17,Twitter for Android,10,119
Happy Birthday to President-elect @JoeBiden 🎉🥳 https://t.co/4mH9c3Paxi,2020-11-20 22:53:41,Twitter for Android,5,141
I joined Sully Dems' virtual meeting last night to thank some of our incredible #TeamWexton volunteers!  COVID made this a campaign unlike any other and we couldn't have done it without the heart and hard work of volunteers across #VA10. https://t.co/enkFlHAf5e,2020-11-16 19:12:39,Twitter for Android,1,18
Back in February I wrote an open letter to Dem presidential candidates about the monumental task they'd face in rebuilding our federal workforce.  @JoeBiden assured me he was up to the job.  It's encouraging to see such talented &amp; devoted experts ready to take up this challenge. https://t.co/PXqV0Xup9i,2020-11-10 22:12:58,Twitter for Android,12,109
Wow am I ready for President Joe Biden and Vice President Kamala Harris.  We celebrate tonight—and tomorrow we get to work! 🇺🇸,2020-11-08 01:59:57,Twitter for Android,15,211
Today I’m thinking of the 2 million federal employees who spent the last four years serving under this administration.  Thank you for your service. Thank you for holding steady and working for the American people.  Relief is coming. Pride is coming. Leadership is coming. 🇺🇸,2020-11-07 20:13:11,Twitter for iPhone,115,708
On January 20th 2021 there will be a woman in the White House.  Congratulations @kamalaharris! 🇺🇸🎉 https://t.co/nUm4SPUNdK,2020-11-07 18:27:36,Twitter for iPhone,25,326
Joe Biden and Kamala Harris are *officially* the next PRESIDENT and VICE PRESIDENT OF THE UNITED STATES 🇺🇲  With President-elect @JoeBiden and VP-elect @KamalaHarris we're going to build a better brighter future for every American family. https://t.co/jJnqsFUYHw,2020-11-07 16:28:58,Twitter for Android,26,197
Hey @realDonaldTrump.   I appreciate your fondness for #VA10 but you're still president for a couple more months and the pandemic is still raging out of control—including in your own White House.  This national disgrace cannot end soon enough. https://t.co/rpIslhF4zF,2020-11-07 16:09:27,Twitter for Android,28,162
“Real change enduring change happens one step at a time.” — RBG  Two years ago today we took one big step towards change starting right here in #VA10.  And today we're on the verge of taking another major leap forward. https://t.co/izdu4EjNI7,2020-11-06 18:45:31,Twitter for Android,9,126
After watching whatever that was from the president I think we all need a good palate cleanser.  Here's a new video of @NationalZoo's baby panda 🐼 https://t.co/blFbSyxnyk,2020-11-06 01:51:24,Twitter for iPhone,182,1172
I had a blast joining @LoudounDems virtual meeting tonight!  I'm honored to have such incredible support from our grassroots volunteers! Thanks for all of your hard work to help us win again here in #VA10. https://t.co/eZYn1FQQpJ,2020-11-06 01:16:07,Twitter for Android,1,40
Congratulations to my friend Mayor Kelly Burk on winning a resounding reelection victory on Tuesday!  Dems also took two of the three seats on town council—congrats Zach and Ara 🎉 https://t.co/tWjOVvKGsm,2020-11-05 18:50:27,Twitter for Android,6,58
Dems had a great night in Winchester yesterday—Mayor David Smith won a big reelection and our town council secured a 6-3 majority!  "City voters have confirmed that Winchester has become a stronghold for the Democratic Party." https://t.co/ZKArokf76T,2020-11-05 01:55:29,Twitter for Android,10,125
cc @SpanbergerVA07 @ElaineLuriaVA,2020-11-04 23:38:04,Twitter for Android,4,71
How it started            How it's going https://t.co/dL4i6hikUM,2020-11-04 23:38:04,Twitter for Android,157,1525
The President is having a complete and utter meltdown because the American people are exercising their right to vote—and they're voting him out. https://t.co/xkp2FqNrZP,2020-11-04 22:16:06,Twitter for Android,59,416
It was a terrific night for Dems in Manassas with the election of my friend @MDavisYounger as the first ever Black mayor woman mayor and the first Dem to ever hold the seat!  We also swept the city council with Pam Tom and Mark—congrats to all! 🎉 https://t.co/sq0UmODPVS,2020-11-04 19:39:44,Twitter for Android,17,182
A big CONGRATS to my friend @ElaineLuriaVA on a hard-fought and well-deserved victory! https://t.co/hasCs4VyRm,2020-11-04 17:01:29,Twitter for Android,10,166
Count every vote.,2020-11-04 16:00:29,Twitter for Android,10,200
Live from Wexton HQ on our big victory! https://t.co/lZPBtbndeY,2020-11-04 03:44:06,Twitter for Android,23,200
I'm LIVE from #TeamWexton Campaign HQ with @SenatorJohnBell and @pwcdanica after the news of our big victory!  Tune in now 👇🏻 https://t.co/tbqAoNLgjv,2020-11-04 03:39:06,Twitter for Android,5,47
THANK YOU #VA10!  Serving our district in Congress these past two years has been the honor of my life. I'm beyond grateful for the opportunity to continue fighting for the issues that matter to our kids and families. https://t.co/g0sKcWWrpd,2020-11-04 03:33:31,Twitter for Android,93,1110
Congratulations to my friend @MarkWarnerVA on a resounding reelection as our senior Senator from the Commonwealth of Virginia!,2020-11-04 01:03:41,Twitter for Android,19,273
Hey #VA10 are you watching our Virtual Election Night Watch Party?  It's not too late to tune in!  We're live now watching results come in  👇🏻  https://t.co/tbqAoNLgjv,2020-11-04 00:23:43,Twitter for Android,5,30
ONE 🕗  HOUR 🕘  TO 🕙  GO 🕚  FIND YOUR POLLING PLACE AT https://t.co/WWdj7Dbcob https://t.co/aWCF0CUfoD,2020-11-03 23:03:17,Twitter for Android,5,37
#TeamWexton has been out all 👏🏻 across 👏🏻 #VA10 👏🏻 today and we're wrapping it up with a stop at Rolling Ridge Elementary in Sterling.  Thanks for joining me @JenniferBoysko @SuhasforVA and @AtoosaReaser—Get out and #VOTE Virginia! https://t.co/xmCkVxJYXX,2020-11-03 22:38:37,Twitter for Android,13,60
You're running out of time to cast your ballot #VA10!  Only 2⃣ hours to go 🕔  Find your polling place at https://t.co/ACDuaQIMXi and make sure you're in line by 7 p.m. https://t.co/YoBAXy5jS0,2020-11-03 22:01:57,Twitter for Android,5,22
I just left Langley High School in McLean with @TerryMcAuliffe where voters were fired up and ready to keep #VA10 blue.  Get out there and vote Virginia! https://t.co/tsUi0Le6qv,2020-11-03 20:59:37,Twitter for Android,6,57
Stop number 6⃣ of the day—Chantilly!  I've had a great time going out all across #VA10 talking to voters about my bipartisan work in Congress and plans to continue fighting for the issues important to Virginia families.  Make a plan to get out to the polls before 7 p.m. https://t.co/Co5pRSTJmR,2020-11-03 19:56:26,Twitter for Android,5,51
You only have 5⃣ hours left to make your voice count in this election #VA10!  As long as you're in line by 7 p.m. you have the right to cast your ballot.  Find your polling place at https://t.co/ACDuaQIMXi. https://t.co/Q0u8k4qzEu,2020-11-03 19:00:15,Twitter for Android,4,18
By far my favorite #ElectionDay tradition is tacos for lunch this time at Señor Ramon Taqueria in Chantilly.  I got my favorite—corn nuggets! https://t.co/LsEEjjnNew,2020-11-03 18:34:53,Twitter for Android,9,151
I made my fifth stop of the day in Manassas with @guzman4virginia @MDavisYounger and our incredible town council candidates Tom Osina Mark Wolfe and Pam Sebesky!  We've got a message for all Virginians: #VOTE   https://t.co/ACDuaQIMXi https://t.co/241yyKbolZ,2020-11-03 17:28:38,Twitter for Android,5,31
Got voting FOMO yet?  Well come on out to the polls like these voters here in Gainesville!  You have until 7 p.m. tonight to make your voice heard in the most consequential election of our lifetime. https://t.co/ZV3fiC4klG,2020-11-03 16:15:05,Twitter for Android,9,70
Look who joined me and Mayor David Smith at the polls in Winchester—@JoeBiden and @KamalaHarris!  Have questions about where you can cast your ballot today? Head to https://t.co/ACDuaQIMXi. https://t.co/i5C3BSnLVh,2020-11-03 15:04:48,Twitter for Android,9,87
Next stop: Berryville with @WendyGooditisVA! 🗺️  I love hearing why #VA10 voters are out here today—from health care to gun violence prevention to getting control of #COVID19 and so much more.  It's all on the ballot this year so make a plan to cast yours before 7 p.m. 🗳️ https://t.co/4eVWbcRQ6v,2020-11-03 13:54:32,Twitter for Android,9,42
