This #Thanksgiving may look different because of #COVID19 and my thoughts are with everyone who has experienced loss this year. In these hard times I am grateful for the opportunity to serve and work alongside the Hampton Roads community. https://t.co/x217vj1V93,2020-11-26 17:25:48,Twitter for iPhone,7,22
My virtual town hall on health care and COVID-19 just started! Join us live on Facebook at https://t.co/eENuL64pvO.,2020-11-24 23:34:08,Twitter Web App,3,4
Earlier today I sent a letter to @GSAEmily warning that any delay in a peaceful and effective transition will have catastrophic consequences on the safety and well-being of the United States and its people.  More info on that letter can be found here: https://t.co/5Pea7xDDX1 https://t.co/BCBeNpVKRE,2020-11-24 01:12:40,Twitter Web App,6,23
The Department of Education should immediately put the tool back online and stop its continued and repeated efforts to undermine a program designed to help students who have been defrauded. My full statement with @RepMaloney ⤵️ https://t.co/6iaQPJxL9b,2020-11-23 16:00:56,Twitter Web App,1,3
Grateful that community leaders and organizations came together during this difficult time to distribute hot meals at the Annual Feeding 5000 event https://t.co/wXTc65g0iu,2020-11-21 21:42:10,Twitter for iPhone,6,21
I was pleased to join this effort led by @RepBonamici @USRepKCastor @RepGrijalvaCS &amp; @RepDonBeyer to stand up to the President's most recent attacks on science. As we work to #ActOnClimate we owe a debt of gratitude to staff at @NOAA and other agencies for their tireless work. https://t.co/Oo1DtcdsSo,2020-11-20 22:07:55,Twitter Web App,15,38
On Tuesday November 24th I will be hosting a virtual Facebook town hall on the ACA open enrollment and new guidelines to control the COVID-19 pandemic. I hope you will join us or submit a question here: https://t.co/N0mensyGFq,2020-11-20 21:59:43,Twitter Web App,7,13
A quality education cannot be achieved without a safe learning environment. The Keeping All Students Safe Act would establish nationwide requirements and provide states &amp; teachers the support they need to improve their schools’ culture by using only evidence-based interventions. https://t.co/Hfw7LnvwAC,2020-11-19 16:30:44,Twitter Web App,6,31
Virginia was one of the first states to launch a COVID-19 tracking app. Please download it and turn on notifications.  https://t.co/u5e1cyO6UA,2020-11-18 21:51:47,Twitter Web App,5,9
This is part of a broader concerning pattern of President Trump and other Republican officials trying to undermine truth and faith in a fair election that he lost. We must all support a smooth and peaceful transition for President-elect Biden. https://t.co/YAm3VzBHyY,2020-11-18 01:54:41,Twitter for iPhone,6,29
MSHA should have acted sooner to issue a more protective regulation however miners cannot wait. In order to accelerate this process the @EdLaborCmte is working on legislation to protect miners’ from silica exposure. https://t.co/hYFfli8XNL,2020-11-17 21:39:12,Twitter Web App,2,7
New measures are now in place to stop the spread of COVID-19 in Virginia. Make sure you familiarize yourself with the new updates. https://t.co/6hpIXerQyG,2020-11-16 15:53:48,Twitter Web App,12,41
Wishing a Happy #Diwali to all those celebrating! May we all remember that love and light triumph especially during these difficult times.,2020-11-14 22:14:22,Twitter for iPhone,5,23
Honored to receive the  @VASTATENAACP Freedom Fighter award this evening. Watch tonight’s Freedom Fund Gala here: https://t.co/PEYQwJpC7m https://t.co/7lDHuSnymO,2020-11-14 02:18:21,Twitter for iPhone,4,12
Attended the Isle of Wight Veteran’s Memorial in observance of #VeteransDay with Rev. Nathaniel Johnson and Joel Acree the Chairman of the Board of Supervisors for Isle of Wight County. https://t.co/ccQwaxQ2hQ,2020-11-11 20:42:31,Twitter for iPhone,6,23
Happy #VeteransDay to all who served.     Today is a time where we should all take a moment to honor the brave servicemembers who answered the call to defend our country and the values it stands for – life liberty &amp; the pursuit of happiness. https://t.co/yZbzV5S8PK,2020-11-11 14:12:47,Twitter for iPhone,7,23
Comments start at the 0:16 mark.   These comments are irresponsible coming from a sitting Secretary of State who is charged with promoting democracy abroad. https://t.co/BKMxRDKw1P,2020-11-11 01:39:17,Twitter for iPhone,9,28
As we continue to confront the worst public health emergency in recent history our first priority must be to protect Americans’ health and wellbeing. Yet today a group of Republican Attorney Generals are arguing to the Supreme Court that the ACA should be struck down. https://t.co/8rCwAWp4Fz,2020-11-10 16:04:50,Twitter Web App,6,16
The country is in the middle of a spike in COVID-19 infections. Wear a mask. Observe social distancing. Wash your hands.,2020-11-09 17:29:48,Twitter Web App,11,41
Americans chose hope over fear unity over division and science over fiction. During a pandemic &amp; economic crisis Americans expect us to lead. It is our responsibility to fulfill that expectation by working with President-elect Joe Biden &amp; Vice President-elect Kamala Harris https://t.co/OjnSVXJnYH,2020-11-07 22:09:56,Twitter for iPhone,11,75
The Trump Admin has officially left the Paris Climate Agreement. While the US must work to rejoin quickly VA's state and local leaders have always said #WeAreStillIn. 🌎They know Virginians deserve clean energy jobs not climate chaos and I am thankful for their leadership.,2020-11-05 21:48:12,Twitter Web App,7,40
It’s Election Day! If you didn’t vote early polls are now open in Virginia until 7:00 PM. And if you still have your absentee ballot you can return it at your polling place.   More info and to find your polling place visit: https://t.co/P4Ex6B5cXV.,2020-11-03 13:10:53,Twitter for iPad,10,30
The Chesapeake Bay is a national treasure and I'm pleased that the Chesapeake WILD Act a bill I introduced is now law. https://t.co/xtFnvAZ5Xb,2020-11-03 00:20:17,Twitter Web App,5,25
Over the last four years the Trump Administration has refused to work in good faith with the @EdLaborCmte and instead clearly demonstrated a culture of incompetence cover-ups and corruption. https://t.co/Rh4BymXn44,2020-11-02 19:29:25,Twitter Web App,3,9
During this COVID-19 pandemic access to affordable quality health coverage is more important than ever. Enrollment in https://t.co/aUuUw8G2OG is open from November 1 to December 15.  Coverage may be more affordable than you think. #GetCovered https://t.co/ObzHB1F51I,2020-11-02 18:16:31,Twitter for iPhone,13,17
TODAY is the last day to vote early in Virginia. For more information on where you can vote early in-person today please visit: https://t.co/P4Ex6B5cXV.,2020-10-31 16:43:47,Twitter for iPad,5,7
Attended the groundbreaking ceremony for the expansion of the Hampton Roads Bridge -Tunnel. This project will increase capacity ease congestion and enhance travel time reliability. https://t.co/EKp0r0XEiO,2020-10-29 20:16:57,Twitter for iPhone,5,12
The U.S. House passed the #JusticeInPolicing Act which would ban the use of no-knock warrants/chokeholds &amp; appropriately hold officers accountable for misconduct. This federal bill is awaiting action in the Senate since @senatemajldr has refused to bring it up for a vote.,2020-10-28 20:36:05,Twitter Web App,4,11
