So many small businesses have been affected by Covid-19. Today on Small Business Saturday let's come together as a community to support our small businesses here in Central Washington! #ShopSmall https://t.co/LdxwIuEe3g,2020-11-28 18:03:03,Sprout Social,0,0
Happy Thanksgiving to you all and your loved ones! Wishing you a happy blessed and safe day. https://t.co/umr35wicaR,2020-11-26 17:01:27,Sprout Social,0,2
I am committed to working on what is important to you which is why I am asking if you could take 2 minutes to take our survey and answer what issues are most important to you right now! https://t.co/clYHlzAaAz,2020-11-17 20:00:38,Sprout Social,0,0
Congrats to my friend @BurgessOwens on your victory! Flipping this seat back to the GOP was hard work but now the real work on behalf of your constituents begins. Your commitment &amp; integrity will serve UT's 4th District well. Welcome to the U.S. House! https://t.co/L1Qi9zc7oX,2020-11-16 22:41:58,Twitter Web App,55,500
Happy Veterans Day! Today please join me in saying thank you to all those who have served our great nation. https://t.co/3K66nwD3ch,2020-11-11 19:08:04,Sprout Social,0,0
Thank you to all those who voted and supported my campaign. I am grateful to you all and I am looking forward to remaining as your Representative here in Central Washington! https://t.co/M9s3kVHTZs,2020-11-04 18:03:23,Sprout Social,1,5
There is just ONE HOUR left to deposit your ballot in an official drop box! Make sure you do so to make sure your vote is counted!   #VoteNewhouse #WA04 https://t.co/KlyhduDqFl,2020-11-04 03:00:10,Sprout Social,0,0
🚨TODAY IS ELECTION DAY🚨  Deposit your ballot in an official drop box by 8:00pm today!  #VoteNewhouse #WA04 https://t.co/LAlpmjFfK0,2020-11-03 16:01:40,Sprout Social,1,1
🚨 TOMORROW IS ELECTION DAY🚨  Make sure you have all of the information you need! Find it here: https://t.co/KKfBTjno1O        #VoteNewhouse #WA04 https://t.co/Z0E5utAC2f,2020-11-02 22:00:40,Sprout Social,0,0
A vote for Dan Newhouse is a vote for lower taxes and more jobs here in Central Washington! #VoteNewhouse for #WA04 https://t.co/WYOsEUuKRY,2020-11-02 17:30:09,Sprout Social,0,0
Have you returned your ballot? Comment 'yes' below if you have!,2020-11-01 21:30:05,Sprout Social,0,0
Happy Halloween everyone - stay safe! https://t.co/oHTKmktZJy,2020-10-31 19:00:32,Sprout Social,0,1
Like if you're voting Dan Newhouse for Congress! #WA04 https://t.co/9rndc5gbcZ,2020-10-30 23:45:05,Sprout Social,1,0
As a farmer and businessman myself I am committed to lowering your taxes and creating jobs here at home. #VoteNewhouse #WA04 https://t.co/SBvYWkhIHz,2020-10-30 17:30:36,Sprout Social,0,0
There is so much at stake this Election! Take the pledge to vote here: https://t.co/V1j9UU0WM6,2020-10-30 00:00:17,Sprout Social,0,0
In 2013 the Obama Admin's scientists &amp; wildlife experts found that the gray wolf had recovered but radical environmentalists have brought legislation blocking the delisting of the species. Today the Trump Admin got the job done. Great news for the West! https://t.co/7wCNNnKM9D,2020-10-29 20:13:31,Sprout Social,1,0
I am proud to support my friend @CliffBentz for Oregon's 2nd Congressional District. We need strong leaders like Cliff to bring common sense to Washington D.C. on issues of natural resources water energy and public lands. https://t.co/0qeoDmkXcc,2020-10-29 19:12:52,Sprout Social,17,27
I am committed to getting results for Central Washington. Don't forget to return your ballot and vote Dan Newhouse for Congress! https://t.co/vR8RxsOBJV,2020-10-29 18:00:48,Sprout Social,0,0
Today on National First Responders Day I want to take a moment to say thank you to all first responders in Central Washington and across the country. Thank you for keeping our communities safe! https://t.co/9LtEdUqJX7,2020-10-28 22:30:09,Sprout Social,0,0
There is just ONE WEEK until Election Day! https://t.co/I3XNaUZbwU,2020-10-27 22:45:04,Sprout Social,0,0
With only days left until Election Day make sure you have all the information you need to vote! Visit here: https://t.co/KKfBTjno1O,2020-10-27 00:00:20,Sprout Social,0,0
Today is the online voter registration deadline! There is so much at stake - make your voice heard! https://t.co/UcGgjUhjZG,2020-10-26 21:31:26,Sprout Social,0,0
October is Breast Cancer Awareness Month. Let us remember those who have lost a loved one due to this disease and pray for all those fighting the battle. https://t.co/4HiDn94JCX,2020-10-25 17:32:01,Sprout Social,0,0
As your Representative I am committed to protecting jobs lowering taxes and saving our dams. #WA04 #VoteNewhouse https://t.co/vXBE1j4mpr,2020-10-23 20:00:37,Sprout Social,1,1
The second Presidential Debate is tonight! Will you be watching? https://t.co/xpkKeffvDk,2020-10-22 17:17:36,Sprout Social,0,2
Dan Newhouse gets results for Central Washington! #WA04 https://t.co/MpVeQ4LJWH,2020-10-21 19:30:45,Sprout Social,1,1
There are just 2️⃣ weeks until Election Day! Have you registered to vote yet? https://t.co/a8TTHshs1u,2020-10-20 18:49:23,Sprout Social,1,2
The online voter registration deadline is in just one week! Make sure you're registered to vote - your vote and your voice matters! Find your information here: https://t.co/KKfBTjno1O https://t.co/liOfYpTFiP,2020-10-20 02:37:06,Sprout Social,1,1
You should have your election ballot by TODAY! Make your voice heard - find voting information here: https://t.co/KKfBTjno1O https://t.co/a5twCprO0A,2020-10-16 17:52:24,Sprout Social,1,1
Click below to endorse Dan Newhouse for Congress! https://t.co/4jxfzT20qf,2020-10-15 16:49:46,Sprout Social,1,1
President Trump signed Savanna's Act and the Not Invisible Act into law! I am grateful to all those who helped to bring awareness to this issue and I am happy to see important steps being taken to solve it. #EndMMIW https://t.co/Gt5ML4P1r1,2020-10-14 22:18:31,Sprout Social,4,4
Happy Birthday to the @USNavy! Thank you for the work you do to protect our great nation. https://t.co/nH6cLIJGmu,2020-10-13 19:00:38,Sprout Social,1,2
As a farmer myself I know how important farming is to Central Washington. I am wishing all farmers a happy National Farmers' Day today! https://t.co/PBnsdYb3Bq,2020-10-12 21:30:59,Sprout Social,1,1
Today is World Mental Health Day! Mental health is so important to take care of. If you find yourself struggling here are some resources and hotlines in Central Washington: https://t.co/IWL5wFdm9X https://t.co/BrYfIolcEv,2020-10-10 17:30:06,Sprout Social,1,1
There are just 25 days until Election Day! The countdown is on and Dan could use your support in the lead up to Election Day! https://t.co/J1ychBmfrM,2020-10-09 20:30:15,Sprout Social,3,5
If you haven't registered to vote yet there's still time! The online voter registration deadline in Washington is October 26th. You can register to vote here: https://t.co/KKfBTjno1O https://t.co/iHH1duvLaT,2020-10-08 20:05:04,Sprout Social,0,0
The #VPDebate is tonight! Who else will be watching?,2020-10-07 16:54:26,Sprout Social,0,2
President Trump announced Amy Coney Barrett to fill the Supreme Court vacancy. Do you want to tell the Senate to vote to #FillTheSeat? Sign the petition: https://t.co/6a0lnvKILu,2020-10-06 21:34:14,Sprout Social,0,0
Today is World Teachers' Day! Our teachers are so important - I encourage you all to thank a teacher today! https://t.co/H38R93Pis7,2020-10-05 20:24:31,Sprout Social,0,1
There is officially ONE MONTH left until Election Day! https://t.co/txX1Lmdril,2020-10-03 17:45:03,Sprout Social,0,0
I am committed to providing a clean energy environment in Central Washington! https://t.co/qsi8BGVcLq,2020-10-02 19:30:11,Sprout Social,0,0
On this day in 1958 @NASA was established! https://t.co/kucEm6y1DS,2020-10-01 17:32:58,Sprout Social,0,1
As a hop farmer myself I am honored to be named a 2020 Beer Champion! Central Washington is one of the nation's largest hop growing regions and I will always support the growers brewers distributors and retailers across the United States.  https://t.co/ZW96QUQWLt,2020-09-29 19:00:38,Sprout Social,0,0
Are you registered to vote? The deadline to register online in Washington is October 26. Make sure you have the information you need to register! https://t.co/DysNaIrOOI https://t.co/nqexsDEMOb,2020-09-28 21:24:13,Sprout Social,0,0
